"M03_5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_03\Complete_Model\TUFLOW\runs\M03_5m_001.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.547,          0.9521,      8.1527,          0.9521
     2,"FC01.2_R",          71.026,          1.1669,      4.9324,          1.1669
     3,"FC04.1_C",           9.460,          1.3218,      2.7981,          1.3217
