"M03_5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_03\Complete_Model\TUFLOW\runs\M03_5m_001.tcf]","ID (Lowest)","Q Below","Q Above","Q Total","A Below","A Above","A Total","V Below","V Above","V Combined","h U/S","h D/S","dh","Time"
       1,"FC01.1_R",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       2,"FC04.1_C",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
       3,"FC01.2_R",        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,        -99999.0,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000
