"M03_5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_03\Complete_Model\TUFLOW\runs\M03_5m_001.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8677,      0.9520
     2,"FC01.1_R.2",     47.4100,      0.9637
     3,"FC01.2_R.1",     42.8158,      1.2975
     4,"FC01.2_R.2",     40.8262,      1.3105
     5,"FC04.1_C.1",     44.9236,      1.3219
     6,"FC04.1_C.2",     43.5143,      1.3138
