"EG04_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_005.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"ds1",          50.932,          1.3754,      1.5975,          0.7280
     2,"ds2",          75.688,          1.3881,      1.4269,          0.9275
     3,"ds3",          75.662,          1.4243,      1.7707,          1.4243
     4,"ds4",          75.653,          1.4240,      1.6226,          0.7615
     5,"ds5",          75.632,          1.4512,      1.2247,          1.4083
     6,"ds_weir",          75.599,          1.4882,      2.1670,          1.4882
     7,"FC01.01",          53.794,          1.3309,      1.3089,          0.6765
     8,"FC01.02",          60.690,          1.3362,      1.1323,          0.9704
     9,"FC01.03",          62.907,          1.3357,      1.2199,          0.9808
    10,"FC01.04",          66.858,          1.3375,      1.9039,          0.9869
    11,"FC01.05",          66.865,          1.3337,      1.4859,          1.2882
    12,"FC01.06",          66.799,          1.3236,      1.1756,          1.2811
    13,"FC01.07",          66.805,          1.3240,      0.9738,          1.3090
    14,"FC01.08",          66.809,          1.3172,      1.1621,          1.2769
    15,"FC01.09",          64.853,          1.3071,      1.2694,          0.6303
    16,"FC01.12",          53.690,          0.9401,      1.5536,          0.5982
    17,"FC01.13",          64.125,          0.8874,      1.7244,          0.8359
    18,"FC01.14",          64.818,          0.9052,      1.8980,          0.8646
    19,"FC01.15",          63.084,          0.9194,      1.6698,          0.8763
    20,"FC01.16",          46.659,          0.9240,      1.2191,          0.8794
    21,"FC01.17",          37.360,          0.9510,      1.1573,          0.9098
    22,"FC01.18",          43.262,          0.9487,      0.7137,          0.9486
    23,"FC01.19",          49.791,          0.9822,      0.7640,          0.9493
    24,"FC01.1_R",          53.024,          0.9718,      9.0920,          0.9718
    25,"FC01.20",          36.017,          0.9780,      1.1100,          0.6352
    26,"FC01.21",          37.160,          1.0101,      0.6577,          0.9483
    27,"FC01.22",          32.587,          0.9803,      0.9382,          0.3376
    28,"FC01.23",          31.284,          0.9822,      1.5853,          0.6094
    29,"FC01.24",          35.961,          0.9819,      1.9413,          0.6054
    30,"FC01.25",          35.976,          0.9811,      2.1827,          0.6374
    31,"FC01.26",          35.990,          0.9743,      2.0833,          0.8052
    32,"FC01.27",          37.366,          0.9991,      2.7832,          0.8123
    33,"FC01.28A",          37.367,          0.9958,      2.1789,          0.6169
    34,"FC01.28B",          32.873,          0.9751,      1.7282,          0.5674
    35,"FC01.29",          33.228,          0.9858,      1.4951,          0.5620
    36,"FC01.2_R",          75.819,          1.3200,      8.7753,          1.3200
    37,"FC01.30",          76.703,          0.9899,      2.3231,          0.9869
    38,"FC01.31",          79.279,          0.9838,      2.2148,          0.9667
    39,"FC01.32",          80.238,          0.9812,      2.0760,          0.9653
    40,"FC01.33",           0.000,          3.0001,      0.0000,          3.0001
    41,"FC01.34",          78.995,          0.9693,      1.7509,          0.7621
    42,"FC01.36",          47.961,          0.9653,      1.7647,          0.5269
    43,"FC01.37",          65.503,          0.6802,      1.5939,          0.5808
    44,"FC01.38",          76.144,          0.9375,      1.4621,          0.5909
    45,"FC01.39",          92.152,          0.9351,      1.7471,          0.5922
    46,"FC01.40",          92.215,          0.9241,      2.6285,          0.6745
    47,"FC02.01",           0.735,          1.8415,      0.0306,          1.8418
    48,"FC02.02",           0.425,          1.8392,      0.0241,          1.8593
    49,"FC02.03",           0.128,          1.8392,      0.3107,          2.9657
    50,"FC02.04",           0.000,          3.0001,      0.0000,          3.0001
    51,"FC02.05",           0.000,          3.0001,      0.0000,          3.0001
    52,"FC02.06",           0.000,          3.0001,      0.0000,          3.0001
    53,"FC_weir1",          82.387,          0.9764,      1.5796,          0.7773
    54,"RD_weir",          12.559,          0.9718,      1.1805,          0.9718
