"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Node ID","Hmax","Time Hmax"
     1,"ds1.1",     38.9866,      1.4357
     2,"ds1.2",     38.8979,      1.4441
     3,"ds2.2",     38.4378,      1.4563
     4,"ds3.2",     37.3385,      1.4709
     5,"ds4.2",     35.8638,      1.4941
     6,"ds5.2",     34.2726,      1.5197
     7,"ds_weir.2",     33.3010,      1.5000
     8,"FC01.01.1",     39.1086,      1.4230
     9,"FC01.02.1",     39.1433,      1.4187
    10,"FC01.03.1",     39.2068,      1.4177
    11,"FC01.04.1",     39.6124,      1.4070
    12,"FC01.05.1",     39.9579,      1.4037
    13,"FC01.06.1",     40.1508,      1.3949
    14,"FC01.07.1",     40.1855,      1.3909
    15,"FC01.08.1",     40.2872,      1.3864
    16,"FC01.09.1",     40.5849,      1.3721
    17,"FC01.12.1",     42.6007,      1.3507
    18,"FC01.12.2",     42.5966,      1.3497
    19,"FC01.13.1",     42.6090,      1.3475
    20,"FC01.14.1",     42.6235,      1.3468
    21,"FC01.15.1",     42.6494,      1.3427
    22,"FC01.16.1",     42.6889,      1.3326
    23,"FC01.17.1",     42.7342,      1.3193
    24,"FC01.18.1",     42.7447,      1.3135
    25,"FC01.19.1",     42.7546,      1.3117
    26,"FC01.1_R.1",     49.8932,      0.9697
    27,"FC01.1_R.2",     47.1298,      0.9774
    28,"FC01.20.1",     42.8189,      1.2974
    29,"FC01.21.1",     42.8389,      1.2957
    30,"FC01.22.1",     42.8545,      1.2920
    31,"FC01.23.1",     42.8981,      1.2744
    32,"FC01.24.1",     42.9713,      1.2605
    33,"FC01.25.1",     43.2450,      1.2271
    34,"FC01.26.1",     43.6677,      1.1185
    35,"FC01.27.1",     44.0720,      1.0494
    36,"FC01.28A.1",     44.8278,      1.0204
    37,"FC01.28B.1",     45.1367,      1.0132
    38,"FC01.29.1",     45.5061,      1.0025
    39,"FC01.30.1",     46.1245,      0.9957
    40,"FC01.31.1",     46.5394,      0.9915
    41,"FC01.32.1",     46.7627,      0.9870
    42,"FC01.33.1",     46.8194,      0.9826
    43,"FC01.36.1",     49.9096,      0.9651
    44,"FC01.37.1",     49.9524,      0.9716
    45,"FC01.38.1",     50.0637,      0.9675
    46,"FC01.39.1",     50.5660,      0.9425
    47,"FC01.40.1",     52.0243,      0.9250
    48,"FC02.01.1",     42.8997,      1.2721
    49,"FC02.02.1",     42.9045,      1.2698
    50,"FC02.03.1",     42.9101,      1.2668
    51,"FC02.04.1",     43.4941,      0.9684
    52,"FC02.05.1",     43.4978,      0.9627
    53,"FC02.06.1",     44.3884,      0.9271
