"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Time (h)","SQ FC01.1_R [EG04_006]","SQ FC01.2_R [EG04_006]","SQ FC02.04 [EG04_006]","SQ FC_weir1 [EG04_006]","SQ ds_weir [EG04_006]"
      79,          1.300000,     59.7772,     78.5848,      6.7710,     70.4246,     76.7946
      80,          1.316667,     59.1005,     78.6386,      6.5572,     69.1317,     77.0863
      81,          1.333333,     58.3999,     78.6699,      6.3439,     68.6256,     77.3589
      82,          1.350000,     57.6716,     78.6788,      6.1338,     66.2536,     77.5781
      83,          1.366667,     56.9331,     78.6668,      5.9266,     64.7948,     77.7867
      84,          1.383333,     56.1864,     78.6343,      5.7206,     63.2201,     77.9509
      85,          1.400000,     55.4219,     78.5764,      5.5139,     61.6024,     78.1037
      86,          1.416667,     54.6363,     78.4937,      5.3086,     60.3158,     78.2140
      87,          1.433333,     53.8337,     78.3873,      5.1066,     57.1009,     78.3226
      88,          1.450000,     53.0159,     78.2584,      4.9079,     54.6722,     78.3849
      89,          1.466667,     52.1828,     78.1024,      4.7139,     53.3875,     78.4381
      90,          1.483333,     51.3432,     77.9109,      4.5162,     52.2834,     78.4704
      91,          1.500000,     50.5691,     77.6859,      4.3210,     51.1712,     78.4704
      92,          1.516667,     50.0141,     77.4339,      4.1333,     50.3697,     78.4704
      93,          1.533333,     49.6285,     77.1594,      3.9538,     49.8502,     78.4276
      94,          1.550000,     49.1978,     76.8615,      3.7790,     49.3951,     78.3744
      95,          1.566667,     48.6979,     76.5441,      3.6037,     48.9085,     78.2799
      96,          1.583333,     48.1221,     76.2069,      3.4339,     48.3603,     78.1771
      97,          1.600000,     47.4631,     75.8532,      3.2860,     47.7312,     78.0351
      98,          1.616667,     46.7455,     75.4821,      3.1697,     47.0407,     77.8816
      99,          1.633333,     45.9637,     75.0863,      3.0711,     46.2861,     77.6825
     100,          1.650000,     45.1179,     74.6635,      2.9809,     45.4653,     77.4704
     101,          1.666667,     44.2057,     74.2136,      2.8976,     44.5823,     77.2328
     102,          1.683333,     43.2089,     73.7303,      2.8138,     43.6260,     76.9533
     103,          1.700000,     42.0791,     73.2065,      2.7228,     42.5490,     76.6783
     104,          1.716667,     40.7761,     72.6414,      2.6264,     41.3187,     76.3685
     105,          1.733333,     39.2377,     72.0228,      2.5272,     39.8833,     76.0458
     106,          1.750000,     37.3630,     71.3418,      2.4253,     38.1683,     75.6987
     107,          1.766667,     34.8397,     70.5834,      2.3322,     35.9183,     75.3203
     108,          1.783333,     31.9874,     69.6866,      2.2572,     33.2333,     74.9203
     109,          1.800000,     29.3101,     68.7458,      2.1954,     30.5402,     74.4902
     110,          1.816667,     26.7043,     67.6184,      2.1415,     27.9461,     74.0278
     111,          1.833333,     24.7262,     66.2963,      2.0929,     25.7143,     73.5300
     112,          1.850000,     23.3323,     64.7011,      2.0489,     24.0733,     72.9887
     113,          1.866667,     22.3285,     62.6860,      2.0109,     22.8759,     72.3907
     114,          1.883333,     21.5561,     60.1138,      1.9738,     21.9706,     71.7311
     115,          1.900000,     20.9594,     56.7774,      1.9418,     21.2720,     70.9975
     116,          1.916667,     20.4701,     45.2839,      1.9121,     20.7194,     70.1663
     117,          1.933333,     20.0304,     38.6181,      1.8829,     20.2451,     69.2065
     118,          1.950000,     19.6500,     35.4962,      1.8543,     19.8323,     68.0715
     119,          1.966667,     19.3176,     32.9982,      1.8258,     19.4731,     66.6235
     120,          1.983333,     19.0175,     30.9115,      1.7991,     19.1531,     64.7203
     121,          2.000000,     18.7360,     29.1390,      1.7757,     18.8626,     62.3014
     122,          2.016667,     18.4479,     27.6475,      1.7490,     18.5702,     59.3032
     123,          2.033334,     18.1589,     26.3703,      1.7188,     18.2789,     55.8434
     124,          2.050000,     17.8342,     25.2920,      1.6847,     17.9653,     52.0806
     125,          2.066667,     17.4812,     24.3799,      1.6496,     17.6200,     48.2568
     126,          2.083333,     17.1118,     23.5977,      1.6099,     17.2539,     44.6055
     127,          2.100000,     16.6980,     22.9117,      1.5705,     16.8516,     41.2202
     128,          2.116667,     16.2731,     22.3019,      1.5272,     16.4309,     38.1826
     129,          2.133333,     15.8271,     21.7393,      1.4825,     15.9923,     35.4922
