"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Time (h)","Q ds1 [EG04_006]","Q ds2 [EG04_006]","Q ds3 [EG04_006]","Q ds4 [EG04_006]","Q ds5 [EG04_006]","Q ds_weir [EG04_006]","Q FC01.01 [EG04_006]","Q FC01.02 [EG04_006]","Q FC01.03 [EG04_006]","Q FC01.04 [EG04_006]","Q FC01.05 [EG04_006]","Q FC01.06 [EG04_006]","Q FC01.07 [EG04_006]","Q FC01.08 [EG04_006]","Q FC01.09 [EG04_006]","Q FC01.12 [EG04_006]","Q FC01.13 [EG04_006]","Q FC01.14 [EG04_006]","Q FC01.15 [EG04_006]","Q FC01.16 [EG04_006]","Q FC01.17 [EG04_006]","Q FC01.18 [EG04_006]","Q FC01.19 [EG04_006]","Q FC01.1_R [EG04_006]","Q FC01.20 [EG04_006]","Q FC01.21 [EG04_006]","Q FC01.22 [EG04_006]","Q FC01.23 [EG04_006]","Q FC01.24 [EG04_006]","Q FC01.25 [EG04_006]","Q FC01.26 [EG04_006]","Q FC01.27 [EG04_006]","Q FC01.28A [EG04_006]","Q FC01.28B [EG04_006]","Q FC01.29 [EG04_006]","Q FC01.2_R [EG04_006]","Q FC01.30 [EG04_006]","Q FC01.31 [EG04_006]","Q FC01.32 [EG04_006]","Q FC01.33 [EG04_006]","Q FC01.34 [EG04_006]","Q FC01.36 [EG04_006]","Q FC01.37 [EG04_006]","Q FC01.38 [EG04_006]","Q FC01.39 [EG04_006]","Q FC01.40 [EG04_006]","Q FC02.01 [EG04_006]","Q FC02.02 [EG04_006]","Q FC02.03 [EG04_006]","Q FC02.04 [EG04_006]","Q FC02.05 [EG04_006]","Q FC02.06 [EG04_006]","Q FC_weir1 [EG04_006]","Q RD_weir [EG04_006]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.020,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,           0.155,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.045,           0.425,           0.000,           0.000,           0.000,           0.000,           0.001,           0.023,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.004,           0.122,           0.635,           0.000,           0.000,           0.000,           0.000,           0.005,           0.053,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,           0.254,           0.837,           0.000,           0.000,           0.000,           0.000,           0.013,           0.086,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.061,           0.445,           1.159,           0.000,           0.000,           0.000,           0.000,           0.028,           0.131,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.176,           0.738,           1.614,           0.000,           0.000,           0.000,           0.000,           0.059,           0.183,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.036,           0.419,           1.168,           2.122,           0.000,           0.000,           0.000,           0.000,           0.098,           0.232,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.009,           0.189,           0.864,           1.702,           2.618,           0.000,           0.000,           0.000,           0.000,           0.116,           0.280,           0.000,           0.000
