"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"ds1",          52.136,          1.3849,      1.6142,          0.7180
     2,"ds2",          78.564,          1.4154,      1.4227,          0.9248
     3,"ds3",          78.539,          1.4565,      1.7642,          1.4566
     4,"ds4",          78.543,          1.4596,      1.6304,          0.7533
     5,"ds5",          78.512,          1.4748,      1.0376,          0.7235
     6,"ds6",          78.457,          1.4934,      1.3784,          1.4516
     7,"FC01.01",          54.504,          1.3570,      1.3181,          0.6726
     8,"FC01.02",          61.641,          1.3603,      1.1349,          0.9436
     9,"FC01.03",          63.933,          1.3601,      1.2237,          0.9519
    10,"FC01.04",          68.445,          1.3772,      1.9112,          0.9577
    11,"FC01.05",          68.457,          1.3627,      1.4935,          1.3008
    12,"FC01.06",          68.345,          1.3625,      1.1832,          1.3361
    13,"FC01.07",          68.350,          1.3497,      0.9827,          1.3344
    14,"FC01.08",          68.355,          1.3441,      1.1707,          1.3296
    15,"FC01.09",          66.180,          1.3333,      1.2870,          0.6309
    16,"FC01.12",          53.998,          0.9124,      1.5561,          0.5981
    17,"FC01.13",          65.534,          0.8668,      1.7030,          0.8089
    18,"FC01.14",          67.068,          0.8842,      1.9096,          0.8452
    19,"FC01.15",          65.902,          0.8989,      1.6931,          0.8564
    20,"FC01.16",          49.037,          0.9048,      1.2496,          0.8659
    21,"FC01.17",          40.500,          0.9251,      1.2263,          0.8937
    22,"FC01.18",          48.735,          0.9423,      0.7844,          0.9150
    23,"FC01.19",          57.052,          0.9774,      0.8522,          0.9212
    24,"FC01.1_R",          53.024,          0.9747,      9.0920,          0.9747
    25,"FC01.20",          41.746,          0.9451,      1.2099,          0.6363
    26,"FC01.21",          45.169,          0.9746,      0.7676,          0.9173
    27,"FC01.22",          39.543,          0.9444,      0.9382,          0.3376
    28,"FC01.23",          37.955,          0.9498,      1.6903,          0.6175
    29,"FC01.24",          35.634,          0.9790,      1.8925,          0.5830
    30,"FC01.25",          35.637,          0.9815,      2.1254,          0.6073
    31,"FC01.26",          35.656,          0.9567,      2.0192,          0.8054
    32,"FC01.27",          37.344,          0.9915,      2.7517,          0.8458
    33,"FC01.28A",          37.346,          0.9968,      2.1783,          0.6167
    34,"FC01.28B",          32.862,          0.9765,      1.7282,          0.5674
    35,"FC01.29",          33.221,          0.9886,      1.4951,          0.5620
    36,"FC01.2_R",          78.681,          1.3489,      9.1066,          1.3489
    37,"FC01.30",          76.702,          0.9944,      2.3230,          0.9871
    38,"FC01.31",          79.278,          0.9838,      2.2148,          0.9663
    39,"FC01.32",          80.237,          0.9792,      2.0760,          0.9646
    40,"FC01.33",           0.000,          3.0001,      0.0000,          3.0001
    41,"FC01.34",          78.993,          0.9678,      1.7513,          0.7780
    42,"FC01.36",          47.959,          0.9585,      1.7647,          0.5269
    43,"FC01.37",          65.503,          0.6802,      1.5939,          0.5808
    44,"FC01.38",          76.145,          0.9366,      1.4621,          0.5909
    45,"FC01.39",          92.151,          0.9344,      1.7471,          0.5922
    46,"FC01.40",          92.215,          0.9244,      2.6285,          0.6745
    47,"FC02.01",           7.700,          0.9927,      0.2398,          0.7558
    48,"FC02.02",           8.609,          0.9859,      0.3426,          0.7292
    49,"FC02.03",           8.839,          0.9861,      0.4454,          3.0001
    50,"FC02.04",           8.864,          0.9684,      1.4693,          0.9684
    51,"FC02.05",           8.868,          0.9362,      0.1947,          0.9361
    52,"FC02.06",           8.878,          0.9271,      1.7213,          0.9271
    53,"FC_weir1",          82.387,          0.9769,      1.5774,          0.9453
    54,"RD_weir",          12.558,          0.9747,      1.1805,          0.9747
