"EG04_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_005.tcf]","Time (h)","SQ FC01.1_R [EG04_005]","SQ FC01.2_R [EG04_005]","SQ FC02.04 [EG04_005]","SQ FC_weir1 [EG04_005]","SQ ds_weir [EG04_005]"
      41,          0.666667,     46.0196,     19.7877,      0.0000,     45.4049,      0.0000
      42,          0.683333,     47.5166,     23.0904,      0.0000,     46.8420,      0.0000
      43,          0.700000,     48.9359,     26.5150,      0.0000,     48.3361,      0.0000
      44,          0.716667,     50.2919,     29.9968,      0.0000,     49.6764,      0.0000
      45,          0.733333,     53.8176,     33.1830,      0.0000,     53.2192,      2.4805
      46,          0.750000,     57.4635,     35.8813,      0.0000,     61.4155,      6.1975
      47,          0.766667,     60.2504,     38.5052,      0.0000,     69.5607,      9.1905
      48,          0.783333,     62.0891,     41.3270,      0.0000,     73.3853,     11.7483
      49,          0.800000,     63.2492,     44.5239,      0.0000,     76.2330,     14.1618
      50,          0.816667,     63.9968,     48.6418,      0.0000,     78.1214,     16.6082
      51,          0.833333,     64.5131,     52.6478,      0.0000,     79.5126,     19.4782
      52,          0.850000,     64.8726,     55.1617,      0.0000,     80.4700,     23.0005
      53,          0.866667,     65.1135,     57.8910,      0.0000,     81.1612,     26.9367
      54,          0.883333,     65.2662,     60.4502,      0.0000,     81.5730,     31.0471
      55,          0.900000,     65.3760,     62.7281,      0.0000,     81.8461,     34.9870
      56,          0.916667,     65.4608,     64.6349,      0.0000,     82.0503,     38.6727
      57,          0.933333,     65.5310,     66.1892,      0.0000,     82.2173,     42.1429
      58,          0.950000,     65.5751,     67.4826,      0.0000,     82.3396,     45.3714
      59,          0.966667,     65.5830,     68.5712,      0.0000,     82.3816,     48.3237
      60,          0.983333,     65.5779,     69.5061,      0.0000,     82.3826,     50.9690
      61,          1.000000,     65.5591,     70.3329,      0.0000,     82.3525,     53.2731
      62,          1.016667,     65.5355,     71.0310,      0.0000,     82.3055,     55.2887
      63,          1.033333,     65.4718,     71.6513,      0.0000,     82.2063,     57.1514
      64,          1.050000,     65.3701,     72.1970,      0.0000,     82.0081,     58.9703
      65,          1.066667,     65.2497,     72.6865,      0.0000,     81.7571,     60.7872
      66,          1.083333,     65.1167,     73.1280,      0.0000,     81.4744,     62.5636
      67,          1.100000,     64.9689,     73.5241,      0.0000,     81.1624,     64.2500
      68,          1.116667,     64.7247,     73.8835,      0.0000,     80.6566,     65.7994
      69,          1.133333,     64.4114,     74.2070,      0.0000,     79.9896,     67.1855
      70,          1.150000,     64.0630,     74.4988,      0.0000,     79.2359,     68.3995
      71,          1.166667,     63.6948,     74.7579,      0.0000,     78.4238,     69.4560
      72,          1.183333,     63.3123,     74.9877,      0.0000,     77.6331,     70.3683
      73,          1.200000,     62.9027,     75.1871,      0.0000,     76.9120,     71.1570
      74,          1.216667,     62.4502,     75.3543,      0.0000,     76.0022,     71.8418
      75,          1.233333,     61.9657,     75.4953,      0.0000,     74.9288,     72.4371
      76,          1.250000,     61.4819,     75.6096,      0.0000,     73.9359,     72.9527
      77,          1.266667,     60.9756,     75.6994,      0.0000,     72.9031,     73.4029
      78,          1.283333,     60.4108,     75.7630,      0.0000,     71.4579,     73.7987
      79,          1.300000,     59.7772,     75.8026,      0.0000,     70.4283,     74.1356
      80,          1.316667,     59.1005,     75.8185,      0.0000,     69.1348,     74.4318
      81,          1.333333,     58.3998,     75.8085,      0.0000,     68.6272,     74.6942
      82,          1.350000,     57.6714,     75.7725,      0.0000,     66.2538,     74.9087
      83,          1.366667,     56.9335,     75.7103,      0.0000,     64.7960,     75.1012
      84,          1.383333,     56.1865,     75.6219,      0.0000,     63.2270,     75.2622
      85,          1.400000,     55.4219,     75.5059,      0.0000,     61.4335,     75.3855
      86,          1.416667,     54.6373,     75.3590,      0.0000,     60.2762,     75.4897
      87,          1.433333,     53.8336,     75.1826,      0.0000,     56.5975,     75.5429
      88,          1.450000,     53.0138,     74.9750,      0.0000,     54.6696,     75.5958
      89,          1.466667,     52.1818,     74.7331,      0.0000,     53.4037,     75.5993
      90,          1.483333,     51.3428,     74.4438,      0.0000,     52.2866,     75.5993
      91,          1.500000,     50.5693,     74.1071,      0.0000,     51.1707,     75.5628
      92,          1.516667,     50.0134,     73.7258,      0.0000,     50.3699,     75.5099
      93,          1.533333,     49.6277,     73.3027,      0.0000,     49.8517,     75.4113
      94,          1.550000,     49.1974,     72.8379,      0.0000,     49.3954,     75.3005
      95,          1.566667,     48.6979,     72.3301,      0.0000,     48.9086,     75.1472
      96,          1.583333,     48.1213,     71.7792,      0.0000,     48.3592,     74.9567
      97,          1.600000,     47.4647,     71.1826,      0.0000,     47.7326,     74.7400
      98,          1.616667,     46.7457,     70.5391,      0.0000,     47.0402,     74.4874
      99,          1.633333,     45.9642,     69.8215,      0.0000,     46.2861,     74.1963
     100,          1.650000,     45.1182,     69.0563,      0.0000,     45.4664,     73.8624
     101,          1.666667,     44.2060,     68.2051,      0.0000,     44.5831,     73.4933
     102,          1.683333,     43.2091,     67.2612,      0.0000,     43.6262,     73.0811
     103,          1.700000,     42.0792,     66.2149,      0.0000,     42.5491,     72.6233
     104,          1.716667,     40.7763,     65.0349,      0.0000,     41.3188,     72.1201
     105,          1.733333,     39.2379,     63.6823,      0.0000,     39.8836,     71.5727
     106,          1.750000,     37.3632,     62.1104,      0.0000,     38.1684,     70.9705
     107,          1.766667,     34.8420,     60.3042,      0.0000,     35.9220,     70.3162
     108,          1.783333,     31.9899,     58.2300,      0.0000,     33.2362,     69.5945
     109,          1.800000,     29.3119,     55.8210,      0.0000,     30.5422,     68.8022
     110,          1.816667,     26.7052,     48.6268,      0.0000,     27.9487,     67.9266
     111,          1.833333,     24.7304,     44.6560,      0.0000,     25.7149,     66.9493
     112,          1.850000,     23.3375,     42.0673,      0.0000,     24.0757,     65.8431
     113,          1.866667,     22.3276,     39.6690,      0.0000,     22.8779,     64.5394
     114,          1.883333,     21.5572,     37.4828,      0.0000,     21.9702,     62.9753
     115,          1.900000,     20.9606,     35.3745,      0.0000,     21.2736,     61.1217
     116,          1.916667,     20.4702,     33.3570,      0.0000,     20.7197,     58.9471
     117,          1.933333,     20.0306,     31.4645,      0.0000,     20.2451,     56.4646
     118,          1.950000,     19.6502,     29.7379,      0.0000,     19.8324,     53.7349
     119,          1.966667,     19.3178,     28.1992,      0.0000,     19.4732,     50.8639
     120,          1.983333,     19.0174,     26.8330,      0.0000,     19.1532,     47.9628
     121,          2.000000,     18.7360,     25.6378,      0.0000,     18.8622,     45.1437
     122,          2.016667,     18.4479,     24.5899,      0.0000,     18.5701,     42.4483
     123,          2.033334,     18.1589,     23.6696,      0.0000,     18.2789,     39.9467
     124,          2.050000,     17.8343,     22.8657,      0.0000,     17.9655,     37.6380
     125,          2.066667,     17.4812,     22.1443,      0.0000,     17.6198,     35.5121
     126,          2.083333,     17.1118,     21.5156,      0.0000,     17.2539,     33.5082
     127,          2.100000,     16.6980,     20.9503,      0.0000,     16.8517,     31.6346
     128,          2.116667,     16.2731,     20.4160,      0.0000,     16.4309,     29.9349
     129,          2.133333,     15.8271,     19.9340,      0.0000,     15.9923,     28.4195
     130,          2.150000,     15.3544,     19.4674,      0.0000,     15.5321,     27.0795
     131,          2.166667,     14.8570,     19.0074,      0.0000,     15.0409,     25.9052
     132,          2.183333,     14.3443,     18.5799,      0.0000,     14.5340,     24.8701
     133,          2.200000,     13.8489,     18.1493,      0.0000,     14.0352,     23.9605
     134,          2.216667,     13.4259,     17.7026,      0.0000,     13.5801,     23.1537
     135,          2.233333,     13.0859,     17.2589,      0.0000,     13.2111,     22.4328
     136,          2.250000,     12.8064,     16.8007,      0.0000,     12.9114,     21.7888
     137,          2.266667,     12.5656,     16.3421,      0.0000,     12.6578,     21.1947
     138,          2.283334,     12.3418,     15.8811,      0.0000,     12.4275,     20.6498
     139,          2.300000,     12.1141,     15.4544,      0.0000,     12.2013,     20.1440
     140,          2.316667,     11.8720,     15.0183,      0.0000,     11.9658,     19.6573
     141,          2.333333,     11.6244,     14.5998,      0.0000,     11.7204,     19.1993
     142,          2.350000,     11.3736,     14.2106,      0.0000,     11.4725,     18.7448
     143,          2.366667,     11.1303,     13.8422,      0.0000,     11.2269,     18.3255
     144,          2.383333,     10.9128,     13.5028,      0.0000,     10.9989,     17.9113
     145,          2.400000,     10.7181,     13.1809,      0.0000,     10.7963,     17.5021
     146,          2.416667,     10.5411,     12.8872,      0.0000,     10.6128,     17.1144
     147,          2.433333,     10.3757,     12.6005,      0.0000,     10.4437,     16.7428
     148,          2.450000,     10.2070,     12.3237,      0.0000,     10.2759,     16.3674
     149,          2.466667,     10.0268,     12.0611,      0.0000,     10.1000,     15.9614
     150,          2.483333,      9.8266,     11.8166,      0.0000,      9.9078,     15.5866
     151,          2.500000,      9.6088,     11.5748,      0.0000,      9.6974,     15.2610
     152,          2.516667,      9.3780,     11.3563,      0.0000,      9.4719,     14.9853
     153,          2.533334,      9.1400,     11.1444,      0.0000,      9.2374,     14.7011
     154,          2.550000,      8.8963,     10.9209,      0.0000,      8.9942,     14.3654
     155,          2.566667,      8.6476,     10.6911,      0.0000,      8.7514,     13.9882
     156,          2.583333,      8.3983,     10.4754,      0.0000,      8.5021,     13.6040
     157,          2.600000,      8.1456,     10.2720,      0.0000,      8.2504,     13.2240
     158,          2.616667,      7.9034,     10.0502,      0.0000,      8.0049,     12.8579
     159,          2.633333,      7.6799,      9.8516,      0.0000,      7.7738,     12.5227
     160,          2.650000,      7.4806,      9.6530,      0.0000,      7.5648,     12.2188
     161,          2.666667,      7.2997,      9.4579,      0.0000,      7.3774,     11.9397
     162,          2.683333,      7.1314,      9.2719,      0.0000,      7.2044,     11.6791
     163,          2.700000,      6.9657,      9.0559,      0.0000,      7.0382,     11.4396
     164,          2.716667,      6.7925,      8.8091,      0.0000,      6.8669,     11.2081
     165,          2.733334,      6.6019,      8.5749,      0.0000,      6.6848,     10.9790
     166,          2.750000,      6.3937,      8.3457,      0.0000,      6.4844,     10.7663
     167,          2.766667,      6.1745,      8.1352,      0.0000,      6.2711,     10.5597
     168,          2.783334,      5.9466,      7.9335,      0.0000,      6.0476,     10.3516
     169,          2.800000,      5.7107,      7.7391,      0.0000,      5.8154,     10.1429
     170,          2.816667,      5.4678,      7.5461,      0.0000,      5.5779,      9.9310
     171,          2.833333,      5.2207,      7.3581,      0.0000,      5.3324,      9.7235
     172,          2.850000,      4.9693,      7.1624,      0.0000,      5.0846,      9.5145
     173,          2.866667,      4.7195,      6.9665,      0.0000,      4.8349,      9.3112
     174,          2.883333,      4.4767,      6.7684,      0.0000,      4.5895,      9.1134
     175,          2.900000,      4.2442,      6.5617,      0.0000,      4.3555,      8.9199
     176,          2.916667,      4.0213,      6.3572,      0.0000,      4.1285,      8.7300
     177,          2.933333,      3.8064,      6.1446,      0.0000,      3.9094,      8.5405
     178,          2.950000,      3.5998,      5.9328,      0.0000,      3.6999,      8.3572
     179,          2.966667,      3.3998,      5.7255,      0.0000,      3.4990,      8.1778
     180,          2.983334,      3.2140,      5.5151,      0.0000,      3.3076,      8.0030
     181,          3.000000,      3.0377,      5.3068,      0.0000,      3.1260,      7.8221
