"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Time(h)","F ds1 [EG04_006]","F ds2 [EG04_006]","F ds3 [EG04_006]","F ds4 [EG04_006]","F ds5 [EG04_006]","F ds_weir [EG04_006]","F FC01.01 [EG04_006]","F FC01.02 [EG04_006]","F FC01.03 [EG04_006]","F FC01.04 [EG04_006]","F FC01.05 [EG04_006]","F FC01.06 [EG04_006]","F FC01.07 [EG04_006]","F FC01.08 [EG04_006]","F FC01.09 [EG04_006]","F FC01.12 [EG04_006]","F FC01.13 [EG04_006]","F FC01.14 [EG04_006]","F FC01.15 [EG04_006]","F FC01.16 [EG04_006]","F FC01.17 [EG04_006]","F FC01.18 [EG04_006]","F FC01.19 [EG04_006]","F FC01.1_R [EG04_006]","F FC01.20 [EG04_006]","F FC01.21 [EG04_006]","F FC01.22 [EG04_006]","F FC01.23 [EG04_006]","F FC01.24 [EG04_006]","F FC01.25 [EG04_006]","F FC01.26 [EG04_006]","F FC01.27 [EG04_006]","F FC01.28A [EG04_006]","F FC01.28B [EG04_006]","F FC01.29 [EG04_006]","F FC01.2_R [EG04_006]","F FC01.30 [EG04_006]","F FC01.31 [EG04_006]","F FC01.32 [EG04_006]","F FC01.33 [EG04_006]","F FC01.34 [EG04_006]","F FC01.36 [EG04_006]","F FC01.37 [EG04_006]","F FC01.38 [EG04_006]","F FC01.39 [EG04_006]","F FC01.40 [EG04_006]","F FC02.01 [EG04_006]","F FC02.02 [EG04_006]","F FC02.03 [EG04_006]","F FC02.04 [EG04_006]","F FC02.05 [EG04_006]","F FC02.06 [EG04_006]","F FC_weir1 [EG04_006]","F RD_weir [EG04_006]"
       1,          0.000000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,E,E,E,E,E,E,E,E,E,E,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       2,          0.016667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,,,E,E,E,E,E,,E,E
       3,          0.033333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,,,,E,E,E,E,*,,E,E
       4,          0.050000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
       5,          0.066667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
       6,          0.083333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
       7,          0.100000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
       8,          0.116667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
       9,          0.133333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
      10,          0.150000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
      11,          0.166667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,,E,E,E,E,,,E,E
      12,          0.183333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,*,,,,,,E,E,E,E,,,E,E
      13,          0.200000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,,,,,,,E,E,E,E,,,E,E
      14,          0.216667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,,,,,,,E,E,E,E,,,E,E
      15,          0.233333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E,G,*,,,E,,,,,,,E,E,E,E,,,,E
      16,          0.250000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,E,E,,,G,,,,E,,,,,,,E,E,E,E,,T,,E
      17,          0.266667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E,,,,,G,,,,E,,,,,,,E,E,E,E,,T,,E
      18,          0.283333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,,,,,,G,,,,E,,,,,,,E,E,E,E,,T,,E
      19,          0.300000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,,,,,,,,G,,,,E,,,,,,,E,E,E,E,,T,,E
      20,          0.316667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,*,,,,,,,,,G,,,,E,,,,,,,A,E,E,E,,T,,E
      21,          0.333333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,,,,,,,,,,G,,,,E,,,,,,,A,E,E,E,,T,,E
      22,          0.350000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,E,E,,T,,E
      23,          0.366667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,*,,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,E,E,,T,,E
      24,          0.383333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,E,E,,T,,E
      25,          0.400000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,*,,,,,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,E,E,,T,,E
      26,          0.416667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,*,,,,,,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,E,E,,T,,E
      27,          0.433333,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,,E,,T,,E
      28,          0.450000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,A,,A,,,,,,,,,,G,,,,E,,,,,,,A,A,A,E,,T,,E
      29,          0.466667,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,,,A,A,A,E,,T,,E
      30,          0.483333,E,E,E,E,E,E,E,E,E,E,E,*,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,,,A,A,A,E,,T,,E
      31,          0.500000,E,E,E,E,E,E,E,E,E,E,*,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,,,A,A,A,E,,T,,E
