"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Time (h)","H ds1.1 [EG04_004]","H ds1.2 [EG04_004]","H ds2.2 [EG04_004]","H ds3.2 [EG04_004]","H ds4.2 [EG04_004]","H ds5.2 [EG04_004]","H ds6.2 [EG04_004]","H FC01.01.1 [EG04_004]","H FC01.02.1 [EG04_004]","H FC01.03.1 [EG04_004]","H FC01.04.1 [EG04_004]","H FC01.05.1 [EG04_004]","H FC01.06.1 [EG04_004]","H FC01.07.1 [EG04_004]","H FC01.08.1 [EG04_004]","H FC01.09.1 [EG04_004]","H FC01.12.1 [EG04_004]","H FC01.12.2 [EG04_004]","H FC01.13.1 [EG04_004]","H FC01.14.1 [EG04_004]","H FC01.15.1 [EG04_004]","H FC01.16.1 [EG04_004]","H FC01.17.1 [EG04_004]","H FC01.18.1 [EG04_004]","H FC01.19.1 [EG04_004]","H FC01.1_R.1 [EG04_004]","H FC01.1_R.2 [EG04_004]","H FC01.20.1 [EG04_004]","H FC01.21.1 [EG04_004]","H FC01.22.1 [EG04_004]","H FC01.23.1 [EG04_004]","H FC01.24.1 [EG04_004]","H FC01.25.1 [EG04_004]","H FC01.26.1 [EG04_004]","H FC01.27.1 [EG04_004]","H FC01.28A.1 [EG04_004]","H FC01.28B.1 [EG04_004]","H FC01.29.1 [EG04_004]","H FC01.30.1 [EG04_004]","H FC01.31.1 [EG04_004]","H FC01.32.1 [EG04_004]","H FC01.33.1 [EG04_004]","H FC01.36.1 [EG04_004]","H FC01.37.1 [EG04_004]","H FC01.38.1 [EG04_004]","H FC01.39.1 [EG04_004]","H FC01.40.1 [EG04_004]","H FC02.01.1 [EG04_004]","H FC02.02.1 [EG04_004]","H FC02.03.1 [EG04_004]","H FC02.04.1 [EG04_004]","H FC02.05.1 [EG04_004]","H FC02.06.1 [EG04_004]"
      76,          1.250000,     38.9728,     38.8827,     38.4169,     37.3670,     35.7306,     34.7987,     34.6270,     39.0978,     39.1331,     39.1976,     39.6055,     39.9519,     40.1450,     40.1797,     40.2815,     40.5803,     42.5599,     42.5557,     42.5693,     42.5869,     42.6195,     42.6686,     42.7216,     42.7335,     42.7445,     49.8027,     47.0244,     42.8142,     42.8354,     42.8516,     42.8966,     42.9704,     43.2437,     43.6525,     44.0383,     44.7785,     45.0920,     45.4601,     46.0364,     46.4416,     46.6544,     46.7073,     49.8163,     49.8526,     49.9456,     50.3417,     51.6402,     42.8983,     42.9035,     42.9091,     43.4241,     43.4268,     44.3289
      77,          1.266667,     38.9755,     38.8857,     38.4209,     37.3693,     35.7347,     34.8036,     34.6317,     39.1000,     39.1351,     39.1995,     39.6071,     39.9534,     40.1464,     40.1811,     40.2830,     40.5816,     42.5725,     42.5683,     42.5815,     42.5984,     42.6293,     42.6760,     42.7269,     42.7385,     42.7491,     49.7909,     47.0102,     42.8169,     42.8377,     42.8536,     42.8979,     42.9709,     43.2421,     43.6489,     44.0325,     44.7713,     45.0858,     45.4541,     46.0243,     46.4289,     46.6406,     46.6931,     49.8043,     49.8397,     49.9306,     50.3141,     51.5901,     42.8994,     42.9044,     42.9098,     43.4156,     43.4181,     44.3210
      78,          1.283333,     38.9778,     38.8881,     38.4244,     37.3711,     35.7383,     34.8080,     34.6359,     39.1018,     39.1369,     39.2011,     39.6083,     39.9546,     40.1476,     40.1823,     40.2841,     40.5826,     42.5828,     42.5786,     42.5915,     42.6077,     42.6372,     42.6817,     42.7309,     42.7421,     42.7524,     49.7775,     46.9884,     42.8184,     42.8388,     42.8545,     42.8981,     42.9705,     43.2398,     43.6449,     44.0265,     44.7641,     45.0794,     45.4480,     46.0117,     46.4149,     46.6245,     46.6761,     49.7906,     49.8251,     49.9131,     50.2825,     51.5362,     42.8996,     42.9042,     42.9093,     43.4059,     43.4084,     44.3127
      79,          1.300000,     38.9798,     38.8904,     38.4274,     37.3728,     35.7414,     34.8118,     34.6397,     39.1034,     39.1385,     39.2025,     39.6095,     39.9557,     40.1487,     40.1834,     40.2852,     40.5835,     42.5908,     42.5867,     42.5994,     42.6149,     42.6432,     42.6860,     42.7336,     42.7444,     42.7545,     49.7623,     46.9753,     42.8189,     42.8389,     42.8543,     42.8973,     42.9691,     43.2367,     43.6402,     44.0195,     44.7555,     45.0719,     45.4403,     45.9959,     46.3981,     46.6067,     46.6582,     49.7749,     49.8085,     49.8940,     50.2495,     51.4809,     42.8988,     42.9032,     42.9081,     43.3957,     43.3979,     44.3041
      80,          1.316667,     38.9816,     38.8923,     38.4301,     37.3743,     35.7443,     34.8152,     34.6430,     39.1048,     39.1398,     39.2037,     39.6104,     39.9565,     40.1494,     40.1841,     40.2859,     40.5841,     42.5966,     42.5925,     42.6050,     42.6201,     42.6473,     42.6884,     42.7343,     42.7449,     42.7547,     49.7456,     46.9566,     42.8177,     42.8372,     42.8525,     42.8950,     42.9663,     43.2323,     43.6344,     44.0115,     44.7461,     45.0639,     45.4328,     45.9804,     46.3813,     46.5883,     46.6393,     49.7579,     49.7908,     49.8735,     50.2153,     51.4242,     42.8964,     42.9006,     42.9052,     43.3849,     43.3871,     44.2954
      81,          1.333333,     38.9831,     38.8940,     38.4324,     37.3755,     35.7467,     34.8181,     34.6459,     39.1060,     39.1409,     39.2047,     39.6111,     39.9571,     40.1500,     40.1847,     40.2865,     40.5846,     42.6000,     42.5959,     42.6083,     42.6230,     42.6494,     42.6891,     42.7336,     42.7439,     42.7534,     49.7280,     46.9375,     42.8150,     42.8341,     42.8492,     42.8912,     42.9620,     43.2267,     43.6275,     44.0022,     44.7354,     45.0551,     45.4252,     45.9660,     46.3680,     46.5747,     46.6262,     49.7399,     49.7719,     49.8519,     50.1801,     51.3666,     42.8925,     42.8965,     42.9008,     43.3740,     43.3760,     44.2867
      82,          1.350000,     38.9843,     38.8953,     38.4342,     37.3766,     35.7490,     34.8207,     34.6484,     39.1069,     39.1418,     39.2055,     39.6117,     39.9577,     40.1506,     40.1853,     40.2870,     40.5849,     42.6010,     42.5968,     42.6092,     42.6236,     42.6493,     42.6879,     42.7313,     42.7414,     42.7507,     49.7092,     46.9180,     42.8112,     42.8301,     42.8451,     42.8866,     42.9572,     43.2216,     43.6216,     43.9938,     44.7247,     45.0493,     45.4196,     45.9534,     46.3511,     46.5538,     46.6039,     49.7208,     49.7522,     49.8298,     50.1452,     51.3111,     42.8877,     42.8915,     42.8956,     43.3631,     43.3650,     44.2782
      83,          1.366667,     38.9852,     38.8964,     38.4359,     37.3775,     35.7508,     34.8230,     34.6507,     39.1077,     39.1425,     39.2061,     39.6121,     39.9579,     40.1507,     40.1854,     40.2872,     40.5849,     42.5997,     42.5955,     42.6079,     42.6222,     42.6475,     42.6854,     42.7278,     42.7376,     42.7467,     49.6897,     46.8926,     42.8060,     42.8246,     42.8392,     42.8802,     42.9501,     43.2125,     43.6112,     43.9807,     44.7099,     45.0373,     45.4095,     45.9322,     46.3274,     46.5287,     46.5782,     49.7010,     49.7316,     49.8069,     50.1102,     51.2550,     42.8815,     42.8851,     42.8891,     43.3521,     43.3540,     44.2695
      84,          1.383333,     38.9859,     38.8971,     38.4371,     37.3781,     35.7524,     34.8250,     34.6526,     39.1082,     39.1430,     39.2066,     39.6123,     39.9580,     40.1508,     40.1855,     40.2872,     40.5848,     42.5963,     42.5921,     42.6045,     42.6186,     42.6435,     42.6804,     42.7217,     42.7312,     42.7400,     49.6692,     46.8637,     42.7985,     42.8165,     42.8314,     42.8722,     42.9417,     43.2034,     43.6014,     43.9686,     44.6965,     45.0261,     45.3994,     45.9121,     46.3051,     46.5041,     46.5527,     49.6803,     49.7103,     49.7830,     50.0741,     51.1975,     42.8733,     42.8769,     42.8806,     43.3411,     43.3429,     44.2608
      85,          1.400000,     38.9864,     38.8978,     38.4380,     37.3787,     35.7536,     34.8267,     34.6543,     39.1085,     39.1433,     39.2068,     39.6124,     39.9580,     40.1507,     40.1854,     40.2870,     40.5845,     42.5904,     42.5861,     42.5986,     42.6126,     42.6372,     42.6734,     42.7138,     42.7231,     42.7317,     49.6475,     46.8418,     42.7895,     42.8073,     42.8219,     42.8625,     42.9319,     43.1935,     43.5914,     43.9565,     44.6831,     45.0155,     45.3898,     45.8919,     46.2829,     46.4800,     46.5281,     49.6583,     49.6877,     49.7580,     50.0370,     51.1388,     42.8638,     42.8671,     42.8706,     43.3299,     43.3315,     44.2518
      86,          1.416667,     38.9867,     38.8981,     38.4385,     37.3790,     35.7547,     34.8281,     34.6557,     39.1087,     39.1435,     39.2069,     39.6122,     39.9577,     40.1503,     40.1850,     40.2866,     40.5840,     42.5817,     42.5774,     42.5900,     42.6041,     42.6285,     42.6644,     42.7041,     42.7133,     42.7218,     49.6243,     46.8197,     42.7788,     42.7966,     42.8112,     42.8516,     42.9209,     43.1828,     43.5812,     43.9452,     44.6711,     45.0058,     45.3813,     45.8741,     46.2631,     46.4581,     46.5059,     49.6348,     49.6637,     49.7318,     49.9992,     51.0785,     42.8526,     42.8557,     42.8591,     43.3186,     43.3201,     44.2427
      87,          1.433333,     38.9868,     38.8982,     38.4388,     37.3790,     35.7554,     34.8292,     34.6568,     39.1087,     39.1434,     39.2068,     39.6119,     39.9572,     40.1498,     40.1844,     40.2860,     40.5832,     42.5703,     42.5659,     42.5788,     42.5931,     42.6176,     42.6535,     42.6926,     42.7018,     42.7101,     49.5993,     46.7679,     42.7666,     42.7846,     42.7992,     42.8395,     42.9092,     43.1714,     43.5704,     43.9332,     44.6581,     44.9942,     45.3686,     45.8431,     46.2221,     46.4120,     46.4578,     49.6097,     49.6382,     49.7041,     49.9603,     51.0181,     42.8408,     42.8437,     42.8470,     43.3072,     43.3086,     44.2336
      88,          1.450000,     38.9866,     38.8981,     38.4388,     37.3790,     35.7560,     34.8302,     34.6579,     39.1085,     39.1431,     39.2065,     39.6114,     39.9566,     40.1491,     40.1837,     40.2852,     40.5823,     42.5565,     42.5521,     42.5652,     42.5798,     42.6046,     42.6404,     42.6790,     42.6880,     42.6962,     49.5723,     46.7236,     42.7528,     42.7702,     42.7847,     42.8249,     42.8938,     43.1557,     43.5534,     43.9140,     44.6372,     44.9768,     45.3527,     45.8111,     46.1852,     46.3723,     46.4180,     49.5825,     49.6106,     49.6747,     49.9207,     50.9569,     42.8263,     42.8294,     42.8325,     43.2959,     43.2972,     44.2245
      89,          1.466667,     38.9861,     38.8976,     38.4385,     37.3790,     35.7563,     34.8308,     34.6585,     39.1079,     39.1426,     39.2060,     39.6107,     39.9557,     40.1481,     40.1827,     40.2841,     40.5811,     42.5400,     42.5354,     42.5488,     42.5635,     42.5884,     42.6237,     42.6616,     42.6705,     42.6785,     49.5425,     46.6981,     42.7343,     42.7523,     42.7670,     42.8070,     42.8759,     43.1378,     43.5357,     43.8954,     44.6188,     44.9623,     45.3412,     45.7888,     46.1589,     46.3441,     46.3901,     49.5527,     49.5809,     49.6432,     49.8793,     50.8940,     42.8083,     42.8113,     42.8145,     43.2846,     43.2858,     44.2153
      90,          1.483333,     38.9855,     38.8970,     38.4378,     37.3785,     35.7563,     34.8314,     34.6590,     39.1073,     39.1420,     39.2054,     39.6098,     39.9547,     40.1470,     40.1815,     40.2828,     40.5796,     42.5197,     42.5150,     42.5288,     42.5440,     42.5693,     42.6049,     42.6426,     42.6512,     42.6590,     49.5092,     46.6764,     42.7155,     42.7324,     42.7474,     42.7879,     42.8570,     43.1208,     43.5203,     43.8803,     44.6047,     44.9512,     45.3326,     45.7723,     46.1380,     46.3218,     46.3678,     49.5197,     49.5476,     49.6088,     49.8356,     50.8292,     42.7888,     42.7916,     42.7948,     43.2729,     43.2740,     44.2057
      91,          1.500000,     38.9846,     38.8960,     38.4368,     37.3779,     35.7561,     34.8316,     34.6593,     39.1065,     39.1411,     39.2045,     39.6087,     39.9534,     40.1455,     40.1800,     40.2812,     40.5779,     42.4960,     42.4911,     42.5055,     42.5214,     42.5477,     42.5843,     42.6223,     42.6309,     42.6389,     49.4709,     46.6545,     42.6954,     42.7130,     42.7279,     42.7683,     42.8383,     43.1050,     43.5068,     43.8676,     44.5931,     44.9420,     45.3250,     45.7566,     46.1177,     46.2999,     46.3460,     49.4816,     49.5104,     49.5709,     49.7889,     50.7622,     42.7694,     42.7720,     42.7749,     43.2611,     43.2621,     44.1961
      92,          1.516667,     38.9834,     38.8949,     38.4354,     37.3773,     35.7556,     34.8316,     34.6592,     39.1053,     39.1400,     39.2034,     39.6072,     39.9518,     40.1437,     40.1782,     40.2793,     40.5759,     42.4695,     42.4645,     42.4797,     42.4964,     42.5240,     42.5619,     42.6006,     42.6094,     42.6174,     49.4251,     46.6380,     42.6750,     42.6926,     42.7077,     42.7484,     42.8193,     43.0895,     43.4939,     43.8557,     44.5824,     44.9334,     45.3183,     45.7435,     46.1005,     46.2818,     46.3281,     49.4364,     49.4669,     49.5274,     49.7398,     50.6984,     42.7494,     42.7520,     42.7548,     43.2496,     43.2506,     44.1870
      93,          1.533333,     38.9818,     38.8932,     38.4337,     37.3762,     35.7549,     34.8316,     34.6591,     39.1039,     39.1386,     39.2019,     39.6056,     39.9500,     40.1417,     40.1761,     40.2771,     40.5736,     42.4407,     42.4355,     42.4514,     42.4692,     42.4985,     42.5382,     42.5775,     42.5865,     42.5947,     49.3705,     46.6269,     42.6538,     42.6711,     42.6862,     42.7276,     42.7998,     43.0743,     43.4822,     43.8458,     44.5739,     44.9266,     45.3133,     45.7342,     46.0885,     46.2691,     46.3157,     49.3828,     49.4154,     49.4774,     49.6866,     50.6338,     42.7288,     42.7314,     42.7341,     43.2384,     43.2392,     44.1781
      94,          1.550000,     38.9801,     38.8914,     38.4314,     37.3751,     35.7538,     34.8310,     34.6586,     39.1023,     39.1370,     39.2004,     39.6038,     39.9479,     40.1396,     40.1739,     40.2748,     40.5711,     42.4096,     42.4042,     42.4210,     42.4402,     42.4715,     42.5134,     42.5542,     42.5633,     42.5715,     49.3067,     46.6174,     42.6320,     42.6494,     42.6649,     42.7072,     42.7808,     43.0601,     43.4723,     43.8379,     44.5679,     44.9219,     45.3097,     45.7273,     46.0794,     46.2593,     46.3059,     49.3201,     49.3553,     49.4190,     49.6265,     50.5666,     42.7083,     42.7106,     42.7130,     43.2272,     43.2281,     44.1688
      95,          1.566667,     38.9780,     38.8893,     38.4289,     37.3735,     35.7526,     34.8305,     34.6580,     39.1005,     39.1351,     39.1986,     39.6018,     39.9457,     40.1371,     40.1714,     40.2721,     40.5684,     42.3764,     42.3709,     42.3888,     42.4097,     42.4433,     42.4879,     42.5304,     42.5397,     42.5480,     49.2333,     46.6075,     42.6099,     42.6279,     42.6436,     42.6866,     42.7618,     43.0469,     43.4635,     43.8312,     44.5629,     44.9179,     45.3064,     45.7208,     46.0704,     46.2495,     46.2961,     49.2480,     49.2863,     49.3522,     49.5593,     50.4962,     42.6875,     42.6898,     42.6923,     43.2158,     43.2165,     44.1594
      96,          1.583333,     38.9757,     38.8868,     38.4260,     37.3719,     35.7510,     34.8294,     34.6569,     39.0984,     39.1331,     39.1966,     39.5996,     39.9432,     40.1344,     40.1687,     40.2693,     40.5656,     42.3415,     42.3357,     42.3547,     42.3775,     42.4142,     42.4621,     42.5061,     42.5158,     42.5245,     49.1496,     46.5963,     42.5880,     42.6065,     42.6224,     42.6661,     42.7431,     43.0337,     43.4550,     43.8246,     44.5580,     44.9139,     45.3029,     45.7136,     46.0606,     46.2387,     46.2853,     49.1665,     49.2083,     49.2769,     49.4849,     50.4250,     42.6669,     42.6690,     42.6713,     43.2044,     43.2051,     44.1501
      97,          1.600000,     38.9731,     38.8841,     38.4228,     37.3701,     35.7491,     34.8283,     34.6559,     39.0961,     39.1308,     39.1944,     39.5971,     39.9406,     40.1316,     40.1658,     40.2662,     40.5625,     42.3050,     42.2990,     42.3195,     42.3445,     42.3843,     42.4359,     42.4816,     42.4914,     42.5011,     49.0555,     46.5835,     42.5665,     42.5852,     42.6013,     42.6458,     42.7244,     43.0207,     43.4463,     43.8177,     44.5528,     44.9094,     45.2989,     45.7056,     46.0496,     46.2265,     46.2730,     49.0746,     49.1224,     49.1955,     49.4135,     50.3812,     42.6465,     42.6487,     42.6510,     43.1942,     43.1949,     44.1453
      98,          1.616667,     38.9702,     38.8811,     38.4190,     37.3679,     35.7469,     34.8267,     34.6543,     39.0935,     39.1283,     39.1919,     39.5945,     39.9378,     40.1286,     40.1627,     40.2631,     40.5592,     42.2670,     42.2607,     42.2830,     42.3105,     42.3540,     42.4087,     42.4566,     42.4667,     42.4757,     48.9540,     46.5692,     42.5433,     42.5623,     42.5792,     42.6251,     42.7057,     43.0076,     43.4374,     43.8103,     44.5469,     44.9045,     45.2946,     45.6966,     46.0372,     46.2126,     46.2592,     48.9764,     49.0309,     49.1088,     49.3411,     50.3415,     42.6261,     42.6283,     42.6307,     43.1860,     43.1866,     44.1409
      99,          1.633333,     38.9671,     38.8778,     38.4150,     37.3658,     35.7443,     34.8251,     34.6526,     39.0909,     39.1257,     39.1893,     39.5918,     39.9348,     40.1254,     40.1594,     40.2596,     40.5557,     42.2268,     42.2201,     42.2438,     42.2742,     42.3218,     42.3807,     42.4301,     42.4403,     42.4493,     48.8453,     46.5535,     42.5194,     42.5386,     42.5558,     42.6028,     42.6852,     42.9936,     43.4277,     43.8022,     44.5403,     44.8990,     45.2897,     45.6866,     46.0234,     46.1974,     46.2439,     48.8719,     48.9348,     49.0182,     49.2641,     50.3023,     42.6037,     42.6056,     42.6078,     43.1789,     43.1795,     44.1361
     100,          1.650000,     38.9637,     38.8743,     38.4108,     37.3632,     35.7416,     34.8230,     34.6505,     39.0879,     39.1228,     39.1865,     39.5888,     39.9316,     40.1219,     40.1559,     40.2559,     40.5520,     42.1840,     42.1769,     42.2030,     42.2371,     42.2893,     42.3525,     42.4038,     42.4143,     42.4235,     48.7298,     46.5363,     42.4957,     42.5151,     42.5325,     42.5807,     42.6652,     42.9793,     43.4175,     43.7934,     44.5330,     44.8928,     45.2842,     45.6756,     46.0083,     46.1807,     46.2272,     48.7618,     48.8340,     48.9241,     49.1858,     50.2635,     42.5818,     42.5839,     42.5862,     43.1724,     43.1729,     44.1312
     101,          1.666667,     38.9601,     38.8705,     38.4062,     37.3607,     35.7386,     34.8208,     34.6483,     39.0848,     39.1197,     39.1835,     39.5856,     39.9281,     40.1181,     40.1521,     40.2520,     40.5480,     42.1386,     42.1311,     42.1588,     42.1973,     42.2553,     42.3235,     42.3771,     42.3880,     42.3967,     48.6077,     46.5175,     42.4710,     42.4915,     42.5093,     42.5585,     42.6450,     42.9647,     43.4072,     43.7839,     44.5248,     44.8859,     45.2782,     45.6636,     45.9918,     46.1625,     46.2089,     48.6469,     48.7282,     48.8260,     49.1059,     50.2258,     42.5598,     42.5615,     42.5637,     43.1662,     43.1667,     44.1261
     102,          1.683333,     38.9562,     38.8664,     38.4012,     37.3578,     35.7352,     34.8183,     34.6458,     39.0813,     39.1163,     39.1802,     39.5821,     39.9244,     40.1142,     40.1480,     40.2477,     40.5437,     42.0903,     42.0824,     42.1129,     42.1560,     42.2200,     42.2935,     42.3496,     42.3605,     42.3700,     48.4771,     46.4967,     42.4465,     42.4670,     42.4853,     42.5361,     42.6240,     42.9497,     43.3962,     43.7737,     44.5158,     44.8781,     45.2716,     45.6504,     45.9737,     46.1424,     46.1889,     48.5257,     48.6185,     48.7245,     49.0230,     50.1825,     42.5365,     42.5388,     42.5411,     43.1598,     43.1604,     44.1198
     103,          1.700000,     38.9521,     38.8620,     38.3959,     37.3549,     35.7318,     34.8155,     34.6430,     39.0777,     39.1128,     39.1767,     39.5784,     39.9204,     40.1099,     40.1436,     40.2431,     40.5390,     42.0383,     42.0298,     42.0637,     42.1129,     42.1842,     42.2637,     42.3226,     42.3340,     42.3439,     48.3326,     46.4730,     42.4219,     42.4427,     42.4614,     42.5131,     42.6028,     42.9344,     43.3844,     43.7624,     44.5057,     44.8694,     45.2642,     45.6356,     45.9533,     46.1198,     46.1663,     48.3959,     48.5022,     48.6174,     48.9353,     50.1342,     42.5138,     42.5160,     42.5184,     43.1528,     43.1533,     44.1125
     104,          1.716667,     38.9476,     38.8573,     38.3902,     37.3517,     35.7280,     34.8126,     34.6402,     39.0739,     39.1089,     39.1730,     39.5744,     39.9160,     40.1051,     40.1388,     40.2380,     40.5339,     41.9826,     41.9734,     42.0114,     42.0676,     42.1471,     42.2332,     42.2944,     42.3062,     42.3159,     48.1688,     46.4453,     42.3968,     42.4175,     42.4368,     42.4898,     42.5815,     42.9183,     43.3716,     43.7506,     44.4943,     44.8595,     45.2556,     45.6183,     45.9295,     46.0932,     46.1398,     48.2503,     48.3770,     48.5033,     48.8446,     50.0861,     42.4904,     42.4926,     42.4950,     43.1453,     43.1457,     44.1049
     105,          1.733333,     38.9427,     38.8521,     38.3841,     37.3484,     35.7238,     34.8094,     34.6370,     39.0696,     39.1048,     39.1688,     39.5700,     39.9112,     40.1000,     40.1335,     40.2325,     40.5283,     41.9224,     41.9124,     41.9553,     42.0199,     42.1087,     42.2020,     42.2657,     42.2777,     42.2877,     47.9849,     46.4123,     42.3707,     42.3921,     42.4116,     42.4656,     42.5589,     42.9012,     43.3571,     43.7369,     44.4812,     44.8480,     45.2455,     45.5980,     45.9015,     46.0622,     46.1086,     48.0982,     48.2451,     48.3852,     48.7513,     50.0386,     42.4663,     42.4685,     42.4708,     43.1374,     43.1378,     44.0972
     106,          1.750000,     38.9374,     38.8465,     38.3775,     37.3446,     35.7195,     34.8060,     34.6337,     39.0651,     39.1003,     39.1644,     39.5653,     39.9060,     40.0944,     40.1278,     40.2265,     40.5222,     41.8569,     41.8458,     41.8949,     41.9694,     42.0688,     42.1699,     42.2358,     42.2485,     42.2586,     47.7701,     46.3717,     42.3437,     42.3650,     42.3848,     42.4402,     42.5353,     42.8825,     43.3403,     43.7209,     44.4661,     44.8344,     45.2333,     45.5735,     45.8678,     46.0245,     46.0709,     47.9305,     48.1056,     48.2615,     48.6571,     49.9913,     42.4409,     42.4429,     42.4452,     43.1290,     43.1294,     44.0892
     107,          1.766667,     38.9317,     38.8404,     38.3703,     37.3407,     35.7149,     34.8022,     34.6301,     39.0601,     39.0954,     39.1596,     39.5600,     39.9002,     40.0881,     40.1214,     40.2198,     40.5153,     41.7848,     41.7723,     41.8294,     41.9156,     42.0271,     42.1365,     42.2053,     42.2182,     42.2285,     47.4963,     46.3165,     42.3155,     42.3370,     42.3571,     42.4136,     42.5100,     42.8616,     43.3209,     43.7016,     44.4473,     44.8172,     45.2177,     45.5421,     45.8241,     45.9750,     46.0211,     47.7399,     47.9569,     48.1345,     48.5682,     49.9684,     42.4143,     42.4165,     42.4189,     43.1212,     43.1216,     44.0848
     108,          1.783333,     38.9254,     38.8337,     38.3625,     37.3365,     35.7098,     34.7983,     34.6262,     39.0547,     39.0900,     39.1543,     39.5543,     39.8939,     40.0811,     40.1142,     40.2121,     40.5073,     41.7027,     41.6864,     41.7575,     41.8597,     41.9840,     42.1022,     42.1733,     42.1863,     42.1958,     47.2109,     46.2473,     42.2857,     42.3073,     42.3278,     42.3853,     42.4826,     42.8376,     43.2977,     43.6774,     44.4223,     44.7940,     45.1958,     45.4995,     45.7658,     45.9098,     45.9563,     47.5637,     47.8111,     48.0102,     48.4914,     49.9567,     42.3863,     42.3885,     42.3910,     43.1149,     43.1152,     44.0816
     109,          1.800000,     38.9185,     38.8264,     38.3541,     37.3318,     35.7044,     34.7940,     34.6221,     39.0487,     39.0841,     39.1484,     39.5477,     39.8865,     40.0731,     40.1061,     40.2036,     40.4985,     41.6138,     41.5977,     41.6796,     41.7958,     41.9376,     42.0653,     42.1390,     42.1518,     42.1618,     46.9654,     46.1734,     42.2532,     42.2748,     42.2955,     42.3542,     42.4519,     42.8087,     43.2683,     43.6469,     44.3887,     44.7640,     45.1689,     45.4502,     45.6999,     45.8367,     45.8844,     47.4188,     47.6919,     47.9054,     48.4236,     49.9461,     42.3553,     42.3575,     42.3602,     43.1095,     43.1098,     44.0783
     110,          1.816667,     38.9106,     38.8179,     38.3447,     37.3267,     35.6985,     34.7893,     34.6177,     39.0419,     39.0774,     39.1417,     39.5401,     39.8781,     40.0637,     40.0964,     40.1934,     40.4879,     41.5121,     41.4927,     41.5942,     41.7293,     41.8878,     42.0263,     42.1015,     42.1145,     42.1247,     46.7809,     46.0975,     42.2177,     42.2392,     42.2602,     42.3199,     42.4175,     42.7754,     43.2340,     43.6115,     44.3522,     44.7295,     45.1392,     45.3994,     45.6328,     45.7624,     45.8120,     47.3032,     47.5942,     47.8188,     48.3675,     49.9345,     42.3210,     42.3236,     42.3265,     43.1048,     43.1051,     44.0751
     111,          1.833333,     38.9016,     38.8085,     38.3342,     37.3210,     35.6921,     34.7843,     34.6129,     39.0341,     39.0697,     39.1340,     39.5314,     39.8683,     40.0531,     40.0855,     40.1818,     40.4757,     41.3954,     41.3718,     41.5002,     41.6592,     41.8343,     41.9841,     42.0618,     42.0748,     42.0840,     46.6722,     46.0294,     42.1798,     42.2012,     42.2223,     42.2831,     42.3811,     42.7407,     43.1989,     43.5735,     44.3130,     44.6927,     45.1070,     45.3475,     45.5658,     45.6892,     45.7426,     47.2216,     47.5190,     47.7494,     48.3207,     49.9218,     42.2843,     42.2871,     42.2902,     43.1004,     43.1008,     44.0718
     112,          1.850000,     38.8914,     38.7976,     38.3223,     37.3146,     35.6849,     34.7788,     34.6077,     39.0252,     39.0608,     39.1251,     39.5213,     39.8568,     40.0403,     40.0724,     40.1678,     40.4608,     41.2593,     41.2292,     41.3962,     41.5836,     41.7773,     41.9389,     42.0180,     42.0316,     42.0412,     46.5937,     45.9761,     42.1390,     42.1607,     42.1821,     42.2441,     42.3428,     42.7050,     43.1630,     43.5351,     44.2726,     44.6555,     45.0762,     45.3021,     45.5097,     45.6287,     45.6871,     47.1609,     47.4622,     47.6962,     48.2828,     49.9123,     42.2454,     42.2484,     42.2518,     43.0965,     43.0968,     44.0692
     113,          1.866667,     38.8794,     38.7850,     38.3088,     37.3073,     35.6770,     34.7727,     34.6020,     39.0148,     39.0504,     39.1145,     39.5091,     39.8428,     40.0247,     40.0563,     40.1505,     40.4420,     41.0949,     41.0542,     41.2803,     41.5028,     41.7180,     41.8932,     41.9732,     41.9868,     41.9962,     46.5363,     45.9358,     42.0962,     42.1183,     42.1399,     42.2035,     42.3035,     42.6699,     43.1293,     43.5005,     44.2374,     44.6229,     45.0499,     45.2642,     45.4641,     45.5802,     45.6446,     47.1140,     47.4183,     47.6550,     48.2529,     49.9024,     42.2047,     42.2079,     42.2117,     43.0930,     43.0933,     44.0668
     114,          1.883333,     38.8650,     38.7698,     38.2931,     37.2989,     35.6680,     34.7660,     34.5958,     39.0021,     39.0377,     39.1017,     39.4938,     39.8251,     40.0048,     40.0358,     40.1284,     40.4175,     40.8969,     40.8389,     41.1516,     41.4152,     41.6533,     41.8398,     41.9261,     41.9397,     41.9494,     46.4916,     45.9046,     42.0531,     42.0754,     42.0978,     42.1637,     42.2660,     42.6390,     43.1013,     43.4725,     44.2081,     44.5965,     45.0283,     45.2338,     45.4280,     45.5417,     45.6122,     47.0778,     47.3836,     47.6219,     48.2276,     49.8911,     42.1649,     42.1683,     42.1724,     43.0896,     43.0899,     44.0643
