"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Time (h)","Q ds1 [EG04_004]","Q ds2 [EG04_004]","Q ds3 [EG04_004]","Q ds4 [EG04_004]","Q ds5 [EG04_004]","Q ds6 [EG04_004]","Q FC01.01 [EG04_004]","Q FC01.02 [EG04_004]","Q FC01.03 [EG04_004]","Q FC01.04 [EG04_004]","Q FC01.05 [EG04_004]","Q FC01.06 [EG04_004]","Q FC01.07 [EG04_004]","Q FC01.08 [EG04_004]","Q FC01.09 [EG04_004]","Q FC01.12 [EG04_004]","Q FC01.13 [EG04_004]","Q FC01.14 [EG04_004]","Q FC01.15 [EG04_004]","Q FC01.16 [EG04_004]","Q FC01.17 [EG04_004]","Q FC01.18 [EG04_004]","Q FC01.19 [EG04_004]","Q FC01.1_R [EG04_004]","Q FC01.20 [EG04_004]","Q FC01.21 [EG04_004]","Q FC01.22 [EG04_004]","Q FC01.23 [EG04_004]","Q FC01.24 [EG04_004]","Q FC01.25 [EG04_004]","Q FC01.26 [EG04_004]","Q FC01.27 [EG04_004]","Q FC01.28A [EG04_004]","Q FC01.28B [EG04_004]","Q FC01.29 [EG04_004]","Q FC01.2_R [EG04_004]","Q FC01.30 [EG04_004]","Q FC01.31 [EG04_004]","Q FC01.32 [EG04_004]","Q FC01.33 [EG04_004]","Q FC01.34 [EG04_004]","Q FC01.36 [EG04_004]","Q FC01.37 [EG04_004]","Q FC01.38 [EG04_004]","Q FC01.39 [EG04_004]","Q FC01.40 [EG04_004]","Q FC02.01 [EG04_004]","Q FC02.02 [EG04_004]","Q FC02.03 [EG04_004]","Q FC02.04 [EG04_004]","Q FC02.05 [EG04_004]","Q FC02.06 [EG04_004]","Q FC_weir1 [EG04_004]","Q RD_weir [EG04_004]"
     144,          2.383333,          16.632,          16.866,          17.245,          17.988,          18.581,          19.769,          16.374,          16.197,          16.113,          16.005,          15.822,          15.556,          15.347,          15.192,          14.869,          14.596,          14.463,          14.313,          14.216,          14.065,          13.684,          13.668,          13.562,          10.913,          13.439,          13.290,          13.152,          13.082,          11.712,          11.668,          11.612,          11.572,          11.534,          11.468,          11.365,          14.701,          11.241,          11.149,          11.080,           0.000,          10.948,          10.877,          10.788,          10.654,          10.438,          10.242,           1.278,           1.165,           1.069,           1.045,           1.028,           0.987,          10.999,           0.000
     145,          2.400000,          16.186,          16.395,          16.779,          17.553,          18.136,          19.280,          15.946,          15.785,          15.709,          15.607,          15.428,          15.174,          14.976,          14.827,          14.511,          14.249,          14.135,          13.988,          13.892,          13.747,          13.420,          13.378,          13.270,          10.718,          13.150,          13.005,          12.872,          12.805,          11.465,          11.421,          11.368,          11.328,          11.292,          11.228,          11.133,          14.357,          11.014,          10.928,          10.866,           0.000,          10.750,          10.685,          10.606,          10.483,          10.285,          10.096,           1.252,           1.144,           1.052,           1.029,           1.012,           0.972,          10.796,           0.000
     146,          2.416667,          15.779,          15.976,          16.344,          17.135,          17.709,          18.803,          15.545,          15.390,          15.317,          15.220,          15.052,          14.807,          14.618,          14.472,          14.169,          13.917,          13.814,          13.674,          13.583,          13.443,          13.163,          13.093,          12.991,          10.541,          12.876,          12.734,          12.604,          12.539,          11.228,          11.187,          11.136,          11.100,          11.066,          11.007,          10.920,          14.013,          10.810,          10.731,          10.673,           0.000,          10.570,          10.511,          10.437,          10.320,          10.134,           9.947,           1.227,           1.122,           1.034,           1.012,           0.997,           0.958,          10.613,           0.000
     147,          2.433333,          15.395,          15.584,          15.939,          16.736,          17.293,          18.346,          15.166,          15.013,          14.942,          14.849,          14.689,          14.457,          14.271,          14.131,          13.843,          13.602,          13.510,          13.374,          13.285,          13.151,          12.912,          12.828,          12.730,          10.373,          12.615,          12.478,          12.351,          12.287,          11.007,          10.968,          10.919,          10.884,          10.851,          10.795,          10.712,          13.702,          10.617,          10.547,          10.494,           0.000,          10.401,          10.344,          10.272,          10.158,           9.973,           9.756,           1.199,           1.099,           1.016,           0.996,           0.979,           0.937,          10.443,           0.000
     148,          2.450000,          15.035,          15.211,          15.555,          16.366,          16.902,          17.905,          14.805,          14.658,          14.590,          14.501,          14.344,          14.121,          13.944,          13.809,          13.529,          13.304,          13.211,          13.084,          13.003,          12.874,          12.670,          12.571,          12.474,          10.207,          12.364,          12.233,          12.111,          12.049,          10.797,          10.760,          10.716,          10.683,          10.653,          10.602,          10.527,          13.393,          10.439,          10.373,          10.322,           0.000,          10.235,          10.177,          10.102,           9.980,           9.770,           9.509,           1.173,           1.076,           0.995,           0.976,           0.958,           0.912,          10.276,           0.000
     149,          2.466667,          14.689,          14.858,          15.195,          16.024,          16.535,          17.484,          14.466,          14.319,          14.251,          14.163,          14.013,          13.796,          13.629,          13.500,          13.232,          13.025,          12.946,          12.811,          12.732,          12.609,          12.436,          12.328,          12.234,          10.027,          12.128,          12.000,          11.883,          11.823,          10.605,          10.570,          10.527,          10.496,          10.468,          10.418,          10.348,          13.113,          10.261,          10.195,          10.143,           0.000,          10.058,           9.994,           9.910,           9.774,           9.540,           9.252,           1.142,           1.050,           0.973,           0.956,           0.938,           0.887,          10.100,           0.000
     150,          2.483333,          14.372,          14.532,          14.855,          15.705,          16.185,          17.086,          14.153,          14.002,          13.935,          13.849,          13.703,          13.496,          13.335,          13.211,          12.956,          12.759,          12.689,          12.554,          12.477,          12.359,          12.202,          12.093,          12.003,           9.826,          11.902,          11.778,          11.664,          11.605,          10.421,          10.386,          10.344,          10.313,          10.285,          10.234,          10.165,          12.843,          10.074,          10.003,           9.949,           0.000,           9.861,           9.791,           9.700,           9.551,           9.298,           8.999,           1.113,           1.025,           0.952,           0.936,           0.913,           0.863,           9.908,           0.000
     151,          2.500000,          14.070,          14.223,          14.540,          15.416,          15.863,          16.707,          13.848,          13.701,          13.634,          13.552,          13.411,          13.211,          13.056,          12.937,          12.690,          12.501,          12.437,          12.306,          12.231,          12.118,          11.977,          11.868,          11.779,           9.609,          11.679,          11.558,          11.447,          11.391,          10.233,          10.199,          10.157,          10.125,          10.095,          10.043,           9.969,          12.587,           9.872,           9.795,           9.736,           0.000,           9.647,           9.569,           9.471,           9.317,           9.051,           8.745,           1.087,           1.000,           0.928,           0.913,           0.891,           0.838,           9.697,           0.000
     152,          2.516667,          13.786,          13.930,          14.245,          15.155,          15.567,          16.355,          13.563,          13.414,          13.349,          13.267,          13.133,          12.942,          12.792,          12.676,          12.440,          12.258,          12.196,          12.071,          11.996,          11.888,          11.752,          11.646,          11.561,           9.378,          11.461,          11.340,          11.229,          11.173,          10.040,          10.005,           9.961,           9.926,           9.894,           9.835,           9.752,          12.335,           9.651,           9.570,           9.506,           0.000,           9.417,           9.337,           9.236,           9.075,           8.801,           8.484,           1.063,           0.976,           0.904,           0.889,           0.866,           0.813,           9.472,           0.000
     153,          2.533334,          13.514,          13.654,          13.970,          14.925,          15.301,          16.028,          13.288,          13.142,          13.077,          12.997,          12.869,          12.681,          12.538,          12.427,          12.197,          12.022,          11.964,          11.840,          11.769,          11.663,          11.528,          11.419,          11.331,           9.140,          11.232,          11.111,          11.000,          10.943,           9.828,           9.791,           9.741,           9.703,           9.667,           9.604,           9.518,          12.096,           9.413,           9.332,           9.266,           0.000,           9.180,           9.098,           8.994,           8.829,           8.544,           8.219,           1.042,           0.951,           0.881,           0.865,           0.841,           0.788,           9.237,           0.000
     154,          2.550000,          13.254,          13.388,          13.702,          14.724,          15.062,          15.726,          13.030,          12.884,          12.820,          12.741,          12.616,          12.437,          12.296,          12.187,          11.966,          11.794,          11.737,          11.613,          11.543,          11.436,          11.298,          11.189,          11.099,           8.896,          10.998,          10.873,          10.758,          10.699,           9.600,           9.562,           9.509,           9.469,           9.431,           9.365,           9.278,          11.869,           9.173,           9.087,           9.019,           0.000,           8.937,           8.853,           8.747,           8.576,           8.283,           7.954,           1.024,           0.930,           0.857,           0.841,           0.819,           0.763,           8.994,           0.000
     155,          2.566667,          12.999,          13.138,          13.455,          14.537,          14.852,          15.451,          12.769,          12.632,          12.572,          12.495,          12.372,          12.196,          12.056,          11.949,          11.734,          11.563,          11.513,          11.386,          11.313,          11.204,          11.063,          10.951,          10.859,           8.648,          10.755,          10.625,          10.505,          10.445,           9.363,           9.325,           9.272,           9.231,           9.192,           9.126,           9.040,          11.635,           8.934,           8.846,           8.777,           0.000,           8.690,           8.604,           8.496,           8.322,           8.024,           7.690,           1.003,           0.907,           0.834,           0.818,           0.795,           0.738,           8.751,           0.000
     156,          2.583333,          12.669,          12.820,          13.181,          14.052,          14.566,          15.188,          12.502,          12.372,          12.317,          12.250,          12.128,          11.959,          11.824,          11.719,          11.507,          11.338,          11.284,          11.154,          11.080,          10.968,          10.825,          10.710,          10.616,           8.398,          10.508,          10.376,          10.253,          10.191,           9.129,           9.090,           9.035,           8.993,           8.954,           8.888,           8.801,          11.412,           8.691,           8.600,           8.529,           0.000,           8.441,           8.354,           8.244,           8.067,           7.766,           7.432,           0.981,           0.885,           0.811,           0.795,           0.772,           0.714,           8.502,           0.000
     157,          2.600000,          12.401,          12.537,          12.864,          13.585,          14.185,          14.896,          12.253,          12.125,          12.071,          12.004,          11.885,          11.721,          11.590,          11.485,          11.277,          11.106,          11.050,          10.917,          10.842,          10.726,          10.582,          10.464,          10.367,           8.146,          10.257,          10.122,           9.995,           9.931,           8.889,           8.848,           8.791,           8.748,           8.706,           8.636,           8.546,          11.182,           8.440,           8.349,           8.277,           0.000,           8.189,           8.101,           7.993,           7.818,           7.529,           7.247,           0.961,           0.863,           0.788,           0.773,           0.751,           0.697,           8.250,           0.000
     158,          2.616667,          12.153,          12.278,          12.571,          13.159,          13.775,          14.566,          12.019,          11.886,          11.830,          11.762,          11.648,          11.484,          11.350,          11.246,          11.039,          10.852,          10.780,          10.669,          10.595,          10.479,          10.331,          10.213,          10.114,           7.903,          10.000,           9.862,           9.731,           9.666,           8.640,           8.598,           8.541,           8.497,           8.455,           8.385,           8.297,          10.937,           8.192,           8.103,           8.031,           0.000,           7.944,           7.861,           7.758,           7.597,           7.336,           7.098,           0.943,           0.842,           0.768,           0.754,           0.732,           0.682,           8.005,           0.000
     159,          2.633333,          11.917,          12.034,          12.299,          12.779,          13.372,          14.207,          11.792,          11.652,          11.591,          11.518,          11.403,          11.234,          11.097,          10.989,          10.773,          10.588,          10.517,          10.412,          10.342,          10.228,          10.080,           9.958,           9.856,           7.680,           9.742,           9.599,           9.467,           9.401,           8.393,           8.351,           8.295,           8.251,           8.210,           8.141,           8.056,          10.676,           7.955,           7.868,           7.799,           0.000,           7.718,           7.642,           7.549,           7.405,           7.170,           6.954,           0.925,           0.824,           0.750,           0.736,           0.716,           0.668,           7.774,           0.000
     160,          2.650000,          11.686,          11.800,          12.042,          12.441,          12.998,          13.833,          11.569,          11.417,          11.351,          11.272,          11.148,          10.971,          10.831,          10.722,          10.507,          10.347,          10.273,          10.159,          10.086,           9.973,           9.823,           9.702,           9.600,           7.481,           9.483,           9.341,           9.209,           9.142,           8.154,           8.112,           8.057,           8.015,           7.974,           7.908,           7.827,          10.417,           7.734,           7.653,           7.588,           0.000,           7.515,           7.446,           7.361,           7.230,           7.015,           6.807,           0.903,           0.804,           0.732,           0.719,           0.702,           0.653,           7.565,           0.000
     161,          2.666667,          11.461,          11.570,          11.798,          12.143,          12.662,          13.472,          11.351,          11.188,          11.118,          11.033,          10.908,          10.730,          10.591,          10.482,          10.271,          10.114,          10.037,           9.911,           9.838,           9.720,           9.572,           9.449,           9.346,           7.300,           9.231,           9.087,           8.954,           8.888,           7.924,           7.884,           7.831,           7.791,           7.753,           7.692,           7.616,          10.186,           7.531,           7.456,           7.399,           0.000,           7.331,           7.268,           7.189,           7.066,           6.864,           6.660,           0.883,           0.784,           0.714,           0.702,           0.683,           0.638,           7.377,           0.000
     162,          2.683333,          11.180,          11.312,          11.547,          11.871,          12.363,          13.169,          11.050,          10.923,          10.867,          10.797,          10.675,          10.496,          10.355,          10.243,          10.035,           9.864,           9.818,           9.670,           9.592,           9.474,           9.326,           9.203,           9.101,           7.131,           8.985,           8.844,           8.714,           8.650,           7.709,           7.671,           7.622,           7.585,           7.550,           7.493,           7.424,           9.983,           7.346,           7.278,           7.224,           0.000,           7.160,           7.101,           7.025,           6.908,           6.706,           6.473,           0.860,           0.762,           0.696,           0.685,           0.664,           0.619,           7.204,           0.000
     163,          2.700000,          10.913,          11.037,          11.273,          11.609,          12.053,          12.910,          10.797,          10.677,          10.622,          10.556,          10.437,          10.263,          10.123,          10.015,           9.805,           9.648,           9.600,           9.436,           9.356,           9.237,           9.091,           8.970,           8.868,           6.966,           8.754,           8.615,           8.486,           8.423,           7.513,           7.477,           7.432,           7.397,           7.365,           7.312,           7.248,           9.722,           7.174,           7.109,           7.057,           0.000,           6.994,           6.936,           6.859,           6.733,           6.512,           6.228,           0.833,           0.741,           0.679,           0.668,           0.647,           0.596,           7.038,           0.000
     164,          2.716667,          10.664,          10.781,          11.011,          11.379,          11.716,          12.628,          10.557,          10.442,          10.387,          10.320,          10.210,          10.039,           9.904,           9.798,           9.593,           9.441,           9.390,           9.211,           9.128,           9.010,           8.865,           8.747,           8.647,           6.792,           8.534,           8.400,           8.275,           8.213,           7.332,           7.297,           7.254,           7.221,           7.191,           7.139,           7.076,           9.515,           7.004,           6.938,           6.886,           0.000,           6.823,           6.760,           6.674,           6.535,           6.289,           5.973,           0.807,           0.719,           0.659,           0.648,           0.626,           0.573,           6.867,           0.000
     165,          2.733334,          10.425,          10.537,          10.761,          11.162,          11.450,          12.340,          10.327,          10.214,          10.160,          10.093,           9.986,           9.819,           9.688,           9.585,           9.391,           9.244,           9.193,           8.994,           8.909,           8.792,           8.649,           8.533,           8.436,           6.602,           8.326,           8.194,           8.070,           8.011,           7.156,           7.123,           7.081,           7.048,           7.018,           6.967,           6.903,           9.314,           6.828,           6.760,           6.705,           0.000,           6.636,           6.566,           6.471,           6.318,           6.050,           5.717,           0.781,           0.694,           0.637,           0.628,           0.606,           0.551,           6.685,           0.000
     166,          2.750000,          10.196,          10.304,          10.528,          10.948,          11.216,          12.061,          10.107,           9.998,           9.943,           9.876,           9.772,           9.614,           9.487,           9.387,           9.195,           9.034,           8.955,           8.784,           8.700,           8.581,           8.440,           8.326,           8.230,           6.394,           8.122,           7.991,           7.870,           7.811,           6.982,           6.949,           6.906,           6.873,           6.841,           6.787,           6.719,           9.111,           6.639,           6.566,           6.507,           0.000,           6.431,           6.355,           6.253,           6.089,           5.804,           5.462,           0.757,           0.673,           0.618,           0.609,           0.585,           0.528,           6.484,           0.000
     167,          2.766667,           9.979,          10.084,          10.305,          10.736,          11.000,          11.798,           9.897,           9.789,           9.734,           9.663,           9.554,           9.393,           9.261,           9.155,           8.957,           8.783,           8.704,           8.564,           8.491,           8.377,           8.237,           8.125,           8.028,           6.174,           7.919,           7.791,           7.669,           7.610,           6.803,           6.769,           6.724,           6.689,           6.655,           6.595,           6.523,           8.863,           6.438,           6.359,           6.295,           0.000,           6.213,           6.134,           6.026,           5.854,           5.555,           5.198,           0.735,           0.652,           0.598,           0.589,           0.564,           0.502,           6.271,           0.000
     168,          2.783334,           9.743,           9.859,          10.085,          10.528,          10.789,          11.544,           9.653,           9.556,           9.501,           9.431,           9.324,           9.163,           9.029,           8.923,           8.730,           8.559,           8.479,           8.350,           8.278,           8.169,           8.033,           7.921,           7.825,           5.947,           7.716,           7.585,           7.462,           7.402,           6.614,           6.578,           6.530,           6.492,           6.456,           6.393,           6.316,           8.639,           6.223,           6.140,           6.073,           0.000,           5.986,           5.904,           5.791,           5.610,           5.297,           4.923,           0.716,           0.631,           0.576,           0.567,           0.539,           0.475,           6.048,           0.000
     169,          2.800000,           9.494,           9.613,           9.853,          10.315,          10.579,          11.305,           9.413,           9.324,           9.271,           9.202,           9.097,           8.936,           8.803,           8.696,           8.501,           8.329,           8.270,           8.141,           8.070,           7.962,           7.823,           7.709,           7.613,           5.711,           7.505,           7.374,           7.247,           7.185,           6.414,           6.377,           6.326,           6.285,           6.247,           6.181,           6.099,           8.408,           6.002,           5.914,           5.842,           0.000,           5.753,           5.666,           5.549,           5.360,           5.033,           4.648,           0.697,           0.609,           0.553,           0.544,           0.514,           0.449,           5.815,           0.000
     170,          2.816667,           9.251,           9.364,           9.614,          10.099,          10.367,          11.068,           9.177,           9.093,           9.039,           8.971,           8.871,           8.710,           8.575,           8.468,           8.277,           8.122,           8.065,           7.934,           7.864,           7.752,           7.613,           7.497,           7.398,           5.468,           7.287,           7.152,           7.023,           6.959,           6.204,           6.166,           6.113,           6.070,           6.029,           5.958,           5.872,           8.192,           5.771,           5.679,           5.606,           0.000,           5.511,           5.422,           5.300,           5.104,           4.767,           4.374,           0.677,           0.586,           0.530,           0.522,           0.493,           0.422,           5.578,           0.000
     171,          2.833333,           9.013,           9.125,           9.376,           9.880,          10.157,          10.842,           8.940,           8.863,           8.809,           8.742,           8.644,           8.485,           8.352,           8.246,           8.061,           7.915,           7.856,           7.725,           7.652,           7.540,           7.398,           7.280,           7.179,           5.221,           7.064,           6.925,           6.791,           6.725,           5.987,           5.948,           5.891,           5.847,           5.804,           5.731,           5.641,           7.976,           5.535,           5.439,           5.361,           0.000,           5.265,           5.174,           5.048,           4.846,           4.500,           4.103,           0.658,           0.564,           0.507,           0.499,           0.469,           0.395,           5.332,           0.000
     172,          2.850000,           8.781,           8.893,           9.144,           9.659,           9.941,          10.620,           8.709,           8.640,           8.587,           8.520,           8.424,           8.268,           8.136,           8.031,           7.851,           7.703,           7.645,           7.512,           7.439,           7.324,           7.177,           7.056,           6.951,           4.969,           6.834,           6.689,           6.551,           6.483,           5.762,           5.721,           5.663,           5.616,           5.571,           5.495,           5.402,           7.768,           5.293,           5.194,           5.114,           0.000,           5.014,           4.922,           4.793,           4.588,           4.241,           3.867,           0.638,           0.542,           0.485,           0.478,           0.447,           0.374,           5.085,           0.000
     173,          2.866667,           8.556,           8.666,           8.915,           9.437,           9.723,          10.397,           8.487,           8.420,           8.369,           8.303,           8.210,           8.052,           7.923,           7.818,           7.638,           7.492,           7.432,           7.297,           7.221,           7.104,           6.952,           6.827,           6.719,           4.720,           6.598,           6.447,           6.305,           6.235,           5.531,           5.489,           5.428,           5.381,           5.334,           5.255,           5.160,           7.555,           5.048,           4.946,           4.865,           0.000,           4.764,           4.672,           4.545,           4.342,           4.002,           3.651,           0.619,           0.522,           0.464,           0.457,           0.427,           0.354,           4.835,           0.000
     174,          2.883333,           8.335,           8.442,           8.690,           9.220,           9.509,          10.176,           8.267,           8.203,           8.153,           8.089,           7.997,           7.841,           7.710,           7.603,           7.424,           7.272,           7.210,           7.077,           7.000,           6.879,           6.724,           6.592,           6.481,           4.477,           6.357,           6.202,           6.056,           5.983,           5.295,           5.252,           5.191,           5.142,           5.095,           5.014,           4.917,           7.337,           4.803,           4.700,           4.619,           0.000,           4.520,           4.430,           4.305,           4.108,           3.779,           3.442,           0.600,           0.500,           0.443,           0.436,           0.406,           0.333,           4.590,           0.000
     175,          2.900000,           8.118,           8.222,           8.471,           9.003,           9.295,           9.955,           8.051,           7.989,           7.939,           7.875,           7.784,           7.629,           7.495,           7.386,           7.205,           7.048,           6.984,           6.855,           6.776,           6.650,           6.491,           6.357,           6.242,           4.244,           6.113,           5.954,           5.803,           5.728,           5.060,           5.016,           4.953,           4.904,           4.855,           4.775,           4.679,           7.113,           4.566,           4.465,           4.385,           0.000,           4.286,           4.199,           4.077,           3.883,           3.563,           3.232,           0.580,           0.479,           0.422,           0.416,           0.386,           0.312,           4.356,           0.000
     176,          2.916667,           7.904,           8.008,           8.259,           8.793,           9.083,           9.729,           7.836,           7.776,           7.726,           7.661,           7.572,           7.415,           7.279,           7.166,           6.982,           6.820,           6.755,           6.630,           6.548,           6.420,           6.257,           6.120,           6.002,           4.021,           5.869,           5.706,           5.551,           5.475,           4.826,           4.782,           4.720,           4.670,           4.623,           4.543,           4.447,           6.885,           4.336,           4.236,           4.157,           0.000,           4.062,           3.978,           3.858,           3.669,           3.355,           3.021,           0.559,           0.457,           0.400,           0.394,           0.365,           0.292,           4.129,           0.000
     177,          2.933333,           7.689,           7.793,           8.044,           8.587,           8.876,           9.513,           7.620,           7.560,           7.509,           7.443,           7.349,           7.195,           7.057,           6.942,           6.755,           6.587,           6.522,           6.401,           6.317,           6.187,           6.021,           5.880,           5.759,           3.806,           5.624,           5.458,           5.301,           5.223,           4.597,           4.554,           4.492,           4.443,           4.395,           4.317,           4.222,           6.653,           4.112,           4.014,           3.937,           0.000,           3.846,           3.764,           3.645,           3.460,           3.150,           2.829,           0.536,           0.435,           0.380,           0.375,           0.347,           0.275,           3.909,           0.000
     178,          2.950000,           7.468,           7.575,           7.833,           8.384,           8.672,           9.298,           7.397,           7.336,           7.283,           7.214,           7.119,           6.964,           6.826,           6.711,           6.525,           6.350,           6.285,           6.170,           6.087,           5.955,           5.786,           5.643,           5.520,           3.600,           5.384,           5.217,           5.058,           4.979,           4.375,           4.332,           4.271,           4.223,           4.176,           4.098,           4.005,           6.417,           3.899,           3.802,           3.727,           0.000,           3.637,           3.559,           3.442,           3.259,           2.961,           2.672,           0.515,           0.414,           0.361,           0.357,           0.330,           0.260,           3.700,           0.000
     179,          2.966667,           7.242,           7.352,           7.617,           8.183,           8.472,           9.083,           7.171,           7.109,           7.056,           6.986,           6.890,           6.733,           6.593,           6.477,           6.290,           6.112,           6.047,           5.939,           5.855,           5.721,           5.552,           5.409,           5.284,           3.400,           5.146,           4.978,           4.818,           4.739,           4.158,           4.116,           4.057,           4.010,           3.964,           3.888,           3.796,           6.183,           3.692,           3.598,           3.526,           0.000,           3.436,           3.360,           3.247,           3.073,           2.791,           2.527,           0.493,           0.393,           0.342,           0.339,           0.313,           0.245,           3.499,           0.000
     180,          2.983334,           7.017,           7.127,           7.400,           7.987,           8.279,           8.871,           6.944,           6.881,           6.826,           6.756,           6.659,           6.502,           6.360,           6.242,           6.056,           5.880,           5.816,           5.713,           5.629,           5.494,           5.323,           5.179,           5.054,           3.214,           4.916,           4.749,           4.588,           4.509,           3.952,           3.911,           3.853,           3.806,           3.761,           3.687,           3.598,           5.944,           3.496,           3.405,           3.334,           0.000,           3.248,           3.176,           3.068,           2.902,           2.635,           2.386,           0.470,           0.372,           0.324,           0.321,           0.295,           0.231,           3.308,           0.000
     181,          3.000000,           6.790,           6.901,           7.181,           7.790,           8.084,           8.668,           6.716,           6.653,           6.598,           6.527,           6.429,           6.272,           6.130,           6.011,           5.826,           5.651,           5.589,           5.486,           5.403,           5.268,           5.098,           4.954,           4.830,           3.038,           4.691,           4.522,           4.361,           4.283,           3.751,           3.712,           3.655,           3.609,           3.566,           3.493,           3.406,           5.710,           3.307,           3.218,           3.151,           0.000,           3.070,           3.002,           2.900,           2.742,           2.486,           2.243,           0.447,           0.352,           0.307,           0.305,           0.279,           0.216,           3.126,           0.000
