"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Node ID","Hmax","Time Hmax"
     1,"ds1.1",     38.9868,      1.4361
     2,"ds1.2",     38.8982,      1.4443
     3,"ds2.2",     38.4388,      1.4565
     4,"ds3.2",     37.3790,      1.4675
     5,"ds4.2",     35.7563,      1.4961
     6,"ds5.2",     34.8316,      1.5298
     7,"ds6.2",     34.6593,      1.4934
     8,"FC01.01.1",     39.1087,      1.4233
     9,"FC01.02.1",     39.1435,      1.4206
    10,"FC01.03.1",     39.2069,      1.4161
    11,"FC01.04.1",     39.6124,      1.4069
    12,"FC01.05.1",     39.9580,      1.4037
    13,"FC01.06.1",     40.1508,      1.3954
    14,"FC01.07.1",     40.1855,      1.3904
    15,"FC01.08.1",     40.2872,      1.3857
    16,"FC01.09.1",     40.5849,      1.3728
    17,"FC01.12.1",     42.6010,      1.3498
    18,"FC01.12.2",     42.5968,      1.3489
    19,"FC01.13.1",     42.6092,      1.3495
    20,"FC01.14.1",     42.6237,      1.3482
    21,"FC01.15.1",     42.6496,      1.3413
    22,"FC01.16.1",     42.6891,      1.3325
    23,"FC01.17.1",     42.7344,      1.3202
    24,"FC01.18.1",     42.7449,      1.3140
    25,"FC01.19.1",     42.7548,      1.3127
    26,"FC01.1_R.1",     49.8932,      0.9747
    27,"FC01.1_R.2",     47.1298,      0.9790
    28,"FC01.20.1",     42.8190,      1.2971
    29,"FC01.21.1",     42.8390,      1.2935
    30,"FC01.22.1",     42.8546,      1.2934
    31,"FC01.23.1",     42.8981,      1.2816
    32,"FC01.24.1",     42.9709,      1.2676
    33,"FC01.25.1",     43.2454,      1.2101
    34,"FC01.26.1",     43.6677,      1.1179
    35,"FC01.27.1",     44.0720,      1.0534
    36,"FC01.28A.1",     44.8278,      1.0208
    37,"FC01.28B.1",     45.1367,      1.0136
    38,"FC01.29.1",     45.5061,      1.0026
    39,"FC01.30.1",     46.1245,      0.9955
    40,"FC01.31.1",     46.5394,      0.9909
    41,"FC01.32.1",     46.7627,      0.9870
    42,"FC01.33.1",     46.8194,      0.9819
    43,"FC01.36.1",     49.9096,      0.9672
    44,"FC01.37.1",     49.9524,      0.9699
    45,"FC01.38.1",     50.0637,      0.9678
    46,"FC01.39.1",     50.5660,      0.9425
    47,"FC01.40.1",     52.0243,      0.9250
    48,"FC02.01.1",     42.8997,      1.2793
    49,"FC02.02.1",     42.9045,      1.2727
    50,"FC02.03.1",     42.9099,      1.2683
    51,"FC02.04.1",     43.4941,      0.9684
    52,"FC02.05.1",     43.4978,      0.9627
    53,"FC02.06.1",     44.3884,      0.9271
