"EG04_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_005.tcf]","Time (h)","Q ds1 [EG04_005]","Q ds2 [EG04_005]","Q ds3 [EG04_005]","Q ds4 [EG04_005]","Q ds5 [EG04_005]","Q ds_weir [EG04_005]","Q FC01.01 [EG04_005]","Q FC01.02 [EG04_005]","Q FC01.03 [EG04_005]","Q FC01.04 [EG04_005]","Q FC01.05 [EG04_005]","Q FC01.06 [EG04_005]","Q FC01.07 [EG04_005]","Q FC01.08 [EG04_005]","Q FC01.09 [EG04_005]","Q FC01.12 [EG04_005]","Q FC01.13 [EG04_005]","Q FC01.14 [EG04_005]","Q FC01.15 [EG04_005]","Q FC01.16 [EG04_005]","Q FC01.17 [EG04_005]","Q FC01.18 [EG04_005]","Q FC01.19 [EG04_005]","Q FC01.1_R [EG04_005]","Q FC01.20 [EG04_005]","Q FC01.21 [EG04_005]","Q FC01.22 [EG04_005]","Q FC01.23 [EG04_005]","Q FC01.24 [EG04_005]","Q FC01.25 [EG04_005]","Q FC01.26 [EG04_005]","Q FC01.27 [EG04_005]","Q FC01.28A [EG04_005]","Q FC01.28B [EG04_005]","Q FC01.29 [EG04_005]","Q FC01.2_R [EG04_005]","Q FC01.30 [EG04_005]","Q FC01.31 [EG04_005]","Q FC01.32 [EG04_005]","Q FC01.33 [EG04_005]","Q FC01.34 [EG04_005]","Q FC01.36 [EG04_005]","Q FC01.37 [EG04_005]","Q FC01.38 [EG04_005]","Q FC01.39 [EG04_005]","Q FC01.40 [EG04_005]","Q FC02.01 [EG04_005]","Q FC02.02 [EG04_005]","Q FC02.03 [EG04_005]","Q FC02.04 [EG04_005]","Q FC02.05 [EG04_005]","Q FC02.06 [EG04_005]","Q FC_weir1 [EG04_005]","Q RD_weir [EG04_005]"
     106,          1.750000,          46.999,          67.638,          68.432,          69.125,          70.181,          70.970,          50.483,          56.344,          57.996,          60.171,          59.951,          59.600,          59.330,          59.141,          57.858,          49.073,          44.853,          44.521,          42.282,          32.607,          25.921,          29.521,          31.758,          37.363,          27.080,          27.499,          26.957,          25.853,          27.219,          27.158,          27.080,          27.027,          26.964,          26.299,          25.773,          62.110,          38.089,          38.870,          38.602,           0.000,          37.647,          33.032,          30.113,          27.787,          24.962,          22.968,           0.417,           0.226,           0.062,           0.000,           0.000,           0.000,          38.168,           0.000
     107,          1.766667,          46.486,          66.617,          67.502,          68.284,          69.449,          70.316,          50.024,          55.716,          57.288,          59.262,          59.007,          58.602,          58.285,          58.065,          56.848,          47.926,          44.886,          44.317,          41.987,          32.552,          25.679,          29.136,          31.084,          34.842,          26.839,          27.153,          26.658,          25.575,          26.815,          26.747,          26.659,          26.594,          26.519,          25.900,          25.366,          60.304,          36.352,          36.843,          36.484,           0.000,          35.217,          32.155,          29.108,          26.702,          23.975,          22.303,           0.424,           0.229,           0.065,           0.000,           0.000,           0.000,          35.922,           0.000
     108,          1.783333,          45.918,          65.480,          66.463,          67.345,          68.639,          69.594,          49.490,          54.984,          56.460,          58.206,          57.908,          57.434,          57.061,          56.801,          55.650,          46.699,          44.416,          43.829,          41.532,          32.378,          25.320,          28.759,          30.650,          31.990,          26.483,          26.772,          26.325,          25.265,          26.309,          26.228,          26.116,          26.032,          25.941,          25.361,          24.798,          58.230,          34.078,          34.268,          33.851,           0.000,          32.420,          29.930,          27.679,          25.738,          23.323,          21.860,           0.483,           0.262,           0.076,           0.000,           0.000,           0.000,          33.236,           0.000
     109,          1.800000,          45.286,          64.200,          65.300,          66.294,          67.745,          68.802,          48.858,          54.116,          55.478,          56.971,          56.620,          56.062,          55.620,          55.314,          54.210,          45.240,          43.588,          43.032,          40.900,          32.099,          24.831,          28.101,          29.763,          29.312,          26.041,          26.251,          25.848,          24.814,          25.643,          25.552,          25.418,          25.313,          25.194,          24.709,          24.133,          55.821,          31.591,          31.546,          31.119,           0.000,          29.730,          27.870,          26.080,          24.547,          22.651,          21.438,           0.540,           0.304,           0.088,           0.000,           0.000,           0.000,          30.542,           0.000
     110,          1.816667,          44.591,          62.742,          63.980,          65.111,          66.752,          67.927,          48.089,          53.048,          54.248,          55.417,          54.826,          53.683,          52.655,          51.948,          50.271,          40.844,          42.385,          41.893,          39.991,          31.665,          24.227,          27.343,          28.779,          26.705,          25.521,          25.622,          25.256,          24.267,          24.856,          24.755,          24.610,          24.505,          24.387,          23.983,          23.448,          48.627,          29.190,          28.978,          28.541,           0.000,          27.123,          25.977,          24.689,          23.515,          22.010,          21.025,           0.606,           0.335,           0.096,           0.000,           0.000,           0.000,          27.949,           0.000
     111,          1.833333,          43.392,          60.721,          62.384,          63.756,          65.629,          66.949,          46.332,          50.698,          51.580,          52.215,          51.410,          50.131,          49.140,          48.457,          47.038,          37.977,          40.497,          39.999,          38.312,          30.605,          23.919,          26.864,          28.143,          24.730,          25.092,          25.050,          24.698,          23.753,          24.080,          23.963,          23.812,          23.704,          23.581,          23.206,          22.709,          44.656,          26.882,          26.571,          26.206,           0.000,          25.059,          24.280,          23.417,          22.578,          21.429,          20.616,           0.682,           0.365,           0.103,           0.000,           0.000,           0.000,          25.715,           0.000
     112,          1.850000,          42.156,          58.168,          60.183,          62.021,          64.320,          65.843,          44.574,          48.418,          49.032,          49.255,          48.478,          47.271,          46.359,          45.732,          44.480,          36.149,          38.551,          38.057,          36.695,          29.822,          23.257,          26.090,          27.023,          23.337,          24.504,          24.380,          24.058,          23.175,          23.288,          23.167,          23.006,          22.899,          22.789,          22.487,          22.071,          42.067,          25.076,          24.755,          24.463,           0.000,          23.579,          23.047,          22.409,          21.783,          20.919,          20.294,           0.710,           0.396,           0.111,           0.000,           0.000,           0.000,          24.076,           0.000
     113,          1.866667,          41.168,          55.637,          57.722,          59.852,          62.709,          64.539,          43.100,          46.417,          46.757,          46.614,          45.875,          44.752,          43.887,          43.293,          42.106,          34.433,          36.629,          36.105,          35.033,          29.005,          22.575,          25.138,          25.851,          22.328,          23.811,          23.627,          23.359,          22.563,          22.547,          22.430,          22.293,          22.200,          22.111,          21.871,          21.567,          39.669,          23.678,          23.405,          23.179,           0.000,          22.509,          22.134,          21.646,          21.165,          20.499,          19.994,           0.691,           0.390,           0.109,           0.000,           0.000,           0.000,          22.878,           0.000
     114,          1.883333,          40.033,          52.279,          54.994,          57.420,          60.779,          62.975,          41.693,          44.478,          44.572,          44.176,          43.440,          42.335,          41.481,          40.888,          39.715,          32.876,          34.712,          34.143,          33.277,          28.191,          21.953,          24.418,          24.980,          21.557,          23.203,          22.974,          22.740,          22.034,          21.950,          21.847,          21.730,          21.657,          21.588,          21.400,          21.160,          37.483,          22.606,          22.383,          22.205,           0.000,          21.694,          21.417,          21.038,          20.663,          20.127,          19.692,           0.650,           0.367,           0.106,           0.000,           0.000,           0.000,          21.970,           0.000
     115,          1.900000,          38.444,          48.837,          51.625,          54.535,          58.522,          61.122,          40.001,          42.331,          42.251,          41.789,          41.068,          39.962,          39.110,          38.517,          37.341,          31.385,          32.846,          32.274,          31.561,          27.348,          21.478,          23.759,          24.064,          20.961,          22.696,          22.444,          22.257,          21.630,          21.484,          21.390,          21.292,          21.231,          21.174,          21.032,          20.836,          35.374,          21.771,          21.596,          21.458,           0.000,          21.066,          20.853,          20.541,          20.228,          19.776,          19.387,           0.608,           0.343,           0.096,           0.000,           0.000,           0.000,          21.274,           0.000
     116,          1.916667,          36.922,          45.717,          48.380,          51.385,          55.909,          58.947,          38.282,          40.138,          39.916,          39.430,          38.715,          37.636,          36.794,          36.208,          35.037,          29.961,          31.049,          30.495,          29.910,          26.537,          21.059,          23.172,          23.337,          20.470,          22.330,          22.028,          21.860,          21.302,          21.100,          21.012,          20.925,          20.874,          20.826,          20.711,          20.542,          33.357,          21.133,          20.985,          20.871,           0.000,          20.556,          20.383,          20.115,          19.841,          19.442,          19.081,           0.572,           0.325,           0.093,           0.000,           0.000,           0.000,          20.720,           0.000
     117,          1.933333,          35.511,          42.778,          45.128,          48.152,          53.036,          56.465,          36.586,          37.954,          37.663,          37.188,          36.468,          35.409,          34.590,          34.018,          32.877,          28.648,          29.411,          28.873,          28.364,          25.768,          20.723,          22.718,          22.768,          20.031,          21.928,          21.631,          21.484,          20.994,          20.765,          20.685,          20.608,          20.561,          20.518,          20.415,          20.265,          31.464,          20.613,          20.481,          20.379,           0.000,          20.105,          19.958,          19.727,          19.486,          19.127,          18.802,           0.515,           0.290,           0.082,           0.000,           0.000,           0.000,          20.245,           0.000
     118,          1.950000,          34.090,          40.057,          42.186,          45.030,          50.032,          53.735,          34.845,          35.812,          35.509,          35.061,          34.369,          33.352,          32.575,          32.026,          30.936,          27.445,          27.914,          27.439,          27.022,          24.988,          20.453,          22.252,          22.242,          19.650,          21.581,          21.284,          21.150,          20.723,          20.462,          20.388,          20.319,          20.277,          20.239,          20.145,          20.005,          29.738,          20.158,          20.040,          19.951,           0.000,          19.716,          19.588,          19.381,          19.166,          18.847,          18.549,           0.477,           0.266,           0.074,           0.000,           0.000,           0.000,          19.832,           0.000
     119,          1.966667,          32.705,          37.556,          39.507,          42.132,          47.041,          50.864,          33.132,          33.805,          33.526,          33.122,          32.434,          31.470,          30.735,          30.216,          29.185,          26.371,          26.617,          26.218,          25.861,          24.239,          20.203,          21.867,          21.758,          19.318,          21.228,          20.947,          20.829,          20.462,          20.186,          20.118,          20.053,          20.014,          19.979,          19.888,          19.755,          28.199,          19.770,          19.660,          19.578,           0.000,          19.374,          19.263,          19.073,          18.876,          18.580,          18.298,           0.436,           0.242,           0.066,           0.000,           0.000,           0.000,          19.473,           0.000
     120,          1.983333,          31.433,          35.366,          37.092,          39.478,          44.157,          47.963,          31.597,          32.003,          31.733,          31.344,          30.689,          29.783,          29.098,          28.612,          27.635,          25.425,          25.495,          25.141,          24.835,          23.517,          19.935,          21.492,          21.309,          19.017,          20.922,          20.638,          20.527,          20.212,          19.921,          19.859,          19.798,          19.759,          19.725,          19.637,          19.505,          26.833,          19.433,          19.326,          19.251,           0.000,          19.067,          18.969,          18.792,          18.603,          18.322,          18.049,           0.400,           0.221,           0.062,           0.000,           0.000,           0.000,          19.153,           0.000
     121,          2.000000,          30.175,          33.345,          34.945,          37.104,          41.474,          45.144,          30.125,          30.324,          30.077,          29.718,          29.106,          28.277,          27.644,          27.195,          26.293,          24.579,          24.513,          24.196,          23.928,          22.850,          19.687,          21.119,          20.918,          18.736,          20.626,          20.348,          20.232,          19.965,          19.663,          19.604,          19.546,          19.508,          19.474,          19.387,          19.256,          25.638,          19.130,          19.029,          18.956,           0.000,          18.784,          18.687,          18.520,          18.340,          18.067,          17.797,           0.366,           0.205,           0.058,           0.000,           0.000,           0.000,          18.862,           0.000
     122,          2.016667,          28.928,          31.403,          32.912,          34.935,          38.987,          42.448,          28.773,          28.791,          28.566,          28.245,          27.688,          26.939,          26.371,          25.963,          25.152,          23.809,          23.631,          23.350,          23.107,          22.218,          19.416,          20.711,          20.575,          18.448,          20.326,          20.070,          19.953,          19.728,          19.400,          19.344,          19.286,          19.247,          19.212,          19.127,          18.992,          24.590,          18.843,          18.740,          18.666,           0.000,          18.494,          18.400,          18.245,          18.064,          17.775,          17.427,           0.348,           0.192,           0.054,           0.000,           0.000,           0.000,          18.570,           0.000
     123,          2.033334,          27.735,          29.730,          31.089,          32.966,          36.722,          39.947,          27.542,          27.436,          27.237,          26.953,          26.450,          25.773,          25.260,          24.893,          24.155,          23.101,          22.846,          22.602,          22.400,          21.678,          19.165,          20.367,          20.212,          18.159,          20.014,          19.774,          19.656,          19.469,          19.131,          19.077,          19.019,          18.980,          18.943,          18.856,          18.713,          23.670,          18.561,          18.454,          18.378,           0.000,          18.206,          18.107,          17.933,          17.728,          17.396,          16.995,           0.324,           0.181,           0.049,           0.000,           0.000,           0.000,          18.279,           0.000
     124,          2.050000,          26.676,          28.255,          29.471,          31.189,          34.657,          37.638,          26.408,          26.237,          26.054,          25.799,          25.351,          24.747,          24.286,          23.953,          23.280,          22.436,          22.158,          21.931,          21.751,          21.154,          18.920,          20.019,          19.867,          17.834,          19.689,          19.518,          19.351,          19.208,          18.849,          18.798,          18.739,          18.699,          18.662,          18.572,          18.427,          22.866,          18.267,          18.155,          18.072,           0.000,          17.887,          17.776,          17.577,          17.350,          16.985,          16.559,           0.314,           0.171,           0.047,           0.000,           0.000,           0.000,          17.965,           0.000
     125,          2.066667,          25.719,          26.987,          28.060,          29.606,          32.715,          35.512,          25.419,          25.175,          25.008,          24.772,          24.367,          23.821,          23.404,          23.106,          22.498,          21.816,          21.549,          21.344,          21.180,          20.681,          18.665,          19.674,          19.524,          17.481,          19.369,          19.176,          19.027,          18.939,          18.564,          18.509,          18.451,          18.408,          18.369,          18.275,          18.119,          22.144,          17.946,          17.821,          17.734,           0.000,          17.536,          17.419,          17.202,          16.955,          16.563,          16.123,           0.304,           0.163,           0.045,           0.000,           0.000,           0.000,          17.620,           0.000
     126,          2.083333,          24.824,          25.859,          26.823,          28.105,          30.868,          33.508,          24.500,          24.239,          24.087,          23.877,          23.507,          23.017,          22.640,          22.373,          21.823,          21.250,          20.998,          20.810,          20.661,          20.234,          18.402,          19.324,          19.178,          17.112,          19.034,          18.867,          18.717,          18.641,          18.258,          18.207,          18.145,          18.100,          18.059,          17.958,          17.789,          21.516,          17.603,          17.471,          17.377,           0.000,          17.170,          17.047,          16.814,          16.550,          16.138,          15.687,           0.289,           0.155,           0.043,           0.000,           0.000,           0.000,          17.254,           0.000
     127,          2.100000,          23.991,          24.843,          25.696,          26.725,          29.202,          31.635,          23.661,          23.405,          23.267,          23.078,          22.746,          22.303,          21.969,          21.727,          21.233,          20.728,          20.486,          20.311,          20.176,          19.811,          18.140,          18.979,          18.840,          16.698,          18.704,          18.543,          18.396,          18.322,          17.931,          17.881,          17.815,          17.767,          17.723,          17.615,          17.431,          20.950,          17.233,          17.090,          16.986,           0.000,          16.762,          16.627,          16.401,          16.126,          15.683,          15.177,           0.290,           0.158,           0.043,           0.000,           0.000,           0.000,          16.852,           0.000
     128,          2.116667,          23.227,          23.933,          24.663,          25.556,          27.744,          29.935,          22.896,          22.656,          22.532,          22.363,          22.067,          21.668,          21.369,          21.150,          20.709,          20.206,          20.012,          19.848,          19.722,          19.408,          17.871,          18.628,          18.492,          16.273,          18.357,          18.197,          18.052,          17.975,          17.580,          17.527,          17.456,          17.404,          17.356,          17.244,          17.050,          20.416,          16.836,          16.683,          16.575,           0.000,          16.339,          16.199,          15.957,          15.660,          15.183,          14.642,           0.293,           0.160,           0.043,           0.000,           0.000,           0.000,          16.431,           0.000
     129,          2.133333,          22.531,          23.114,          23.745,          24.533,          26.472,          28.419,          22.217,          21.993,          21.879,          21.722,          21.446,          21.079,          20.799,          20.595,          20.173,          19.765,          19.556,          19.399,          19.274,          18.998,          17.593,          18.270,          18.139,          15.827,          18.001,          17.836,          17.685,          17.608,          17.204,          17.148,          17.074,          17.018,          16.967,          16.848,          16.648,          19.934,          16.424,          16.260,          16.144,           0.000,          15.898,          15.750,          15.491,          15.172,          14.669,          14.108,           0.298,           0.162,           0.042,           0.000,           0.000,           0.000,          15.992,           0.000
     130,          2.150000,          21.892,          22.389,          22.949,          23.641,          25.361,          27.079,          21.587,          21.383,          21.278,          21.135,          20.884,          20.542,          20.280,          20.091,          19.693,          19.310,          19.111,          18.959,          18.841,          18.595,          17.286,          17.888,          17.760,          15.354,          17.624,          17.455,          17.302,          17.222,          16.808,          16.751,          16.673,          16.615,          16.560,          16.437,          16.228,          19.467,          15.990,          15.820,          15.696,           0.000,          15.431,          15.269,          15.012,          14.675,          14.149,          13.574,           0.304,           0.165,           0.042,           0.000,           0.000,           0.000,          15.532,           0.000
     131,          2.166667,          21.337,          21.750,          22.241,          22.858,          24.391,          25.905,          21.010,          20.817,          20.722,          20.592,          20.358,          20.036,          19.789,          19.607,          19.229,          18.879,          18.692,          18.528,          18.409,          18.181,          16.968,          17.499,          17.370,          14.857,          17.231,          17.058,          16.903,          16.822,          16.396,          16.337,          16.255,          16.193,          16.135,          16.002,          15.775,          19.007,          15.527,          15.346,          15.214,           0.000,          14.935,          14.771,          14.508,          14.170,          13.629,          13.039,           0.312,           0.168,           0.042,           0.000,           0.000,           0.000,          15.041,           0.000
     132,          2.183333,          20.804,          21.166,          21.613,          22.166,          23.536,          24.870,          20.476,          20.291,          20.200,          20.075,          19.857,          19.554,          19.321,          19.146,          18.786,          18.449,          18.268,          18.099,          17.977,          17.761,          16.632,          17.091,          16.965,          14.344,          16.820,          16.643,          16.482,          16.395,          15.954,          15.891,          15.802,          15.735,          15.671,          15.534,          15.305,          18.580,          15.044,          14.853,          14.715,           0.000,          14.424,          14.257,          13.997,          13.659,          13.136,          12.662,           0.323,           0.175,           0.044,           0.000,           0.000,           0.000,          14.534,           0.000
     133,          2.200000,          20.296,          20.615,          21.033,          21.547,          22.781,          23.961,          19.969,          19.790,          19.704,          19.585,          19.379,          19.087,          18.864,          18.696,          18.345,          18.017,          17.832,          17.662,          17.539,          17.323,          16.303,          16.675,          16.540,          13.849,          16.389,          16.201,          16.032,          15.943,          15.484,          15.419,          15.326,          15.257,          15.192,          15.053,          14.819,          18.149,          14.552,          14.356,          14.219,           0.000,          13.926,          13.769,          13.546,          13.252,          12.816,          12.484,           0.334,           0.179,           0.044,           0.000,           0.000,           0.000,          14.035,           0.000
     134,          2.216667,          19.809,          20.103,          20.493,          20.984,          22.108,          23.154,          19.488,          19.317,          19.231,          19.117,          18.915,          18.628,          18.408,          18.242,          17.896,          17.572,          17.390,          17.220,          17.096,          16.888,          15.948,          16.234,          16.100,          13.426,          15.943,          15.751,          15.573,          15.480,          15.007,          14.940,          14.846,          14.775,          14.709,          14.571,          14.334,          17.703,          14.075,          13.887,          13.755,           0.000,          13.490,          13.361,          13.184,          12.946,          12.592,          12.324,           0.343,           0.183,           0.044,           0.000,           0.000,           0.000,          13.580,           0.000
     135,          2.233333,          19.338,          19.614,          19.985,          20.462,          21.499,          22.433,          19.029,          18.856,          18.772,          18.657,          18.460,          18.177,          17.955,          17.791,          17.447,          17.130,          16.945,          16.772,          16.645,          16.439,          15.576,          15.789,          15.648,          13.086,          15.488,          15.287,          15.104,          15.010,          14.530,          14.462,          14.366,          14.295,          14.229,          14.101,          13.888,          17.259,          13.651,          13.483,          13.364,           0.000,          13.138,          13.033,          12.891,          12.694,          12.400,          12.163,           0.348,           0.187,           0.044,           0.000,           0.000,           0.000,          13.211,           0.000
     136,          2.250000,          18.887,          19.146,          19.503,          19.974,          20.942,          21.789,          18.576,          18.405,          18.321,          18.209,          18.010,          17.728,          17.508,          17.345,          17.001,          16.678,          16.494,          16.315,          16.186,          15.975,          15.198,          15.336,          15.194,          12.806,          15.029,          14.828,          14.643,          14.547,          14.073,          14.006,          13.918,          13.855,          13.796,          13.685,          13.501,          16.801,          13.293,          13.145,          13.044,           0.000,          12.849,          12.763,          12.643,          12.474,          12.219,          11.998,           0.344,           0.183,           0.043,           0.000,           0.000,           0.000,          12.911,           0.000
     137,          2.266667,          18.429,          18.656,          19.024,          19.499,          20.414,          21.195,          18.122,          17.949,          17.867,          17.755,          17.559,          17.276,          17.054,          16.888,          16.536,          16.210,          16.024,          15.845,          15.717,          15.507,          14.820,          14.894,          14.752,          12.566,          14.590,          14.392,          14.213,          14.118,          13.665,          13.605,          13.527,          13.472,          13.420,          13.326,          13.164,          16.342,          12.985,          12.860,          12.772,           0.000,          12.603,          12.526,          12.422,          12.267,          12.025,          11.772,           0.326,           0.172,           0.038,           0.000,           0.000,           0.000,          12.658,           0.000
     138,          2.283334,          17.972,          18.189,          18.551,          19.040,          19.924,          20.650,          17.665,          17.494,          17.411,          17.300,          17.106,          16.820,          16.597,          16.429,          16.075,          15.755,          15.581,          15.390,          15.265,          15.066,          14.459,          14.491,          14.350,          12.342,          14.190,          13.998,          13.824,          13.736,          13.312,          13.257,          13.187,          13.137,          13.092,          13.009,          12.870,          15.881,          12.717,          12.608,          12.529,           0.000,          12.379,          12.304,          12.200,          12.047,          11.793,          11.508,           0.305,           0.160,           0.035,           0.000,           0.000,           0.000,          12.428,           0.000
     139,          2.300000,          17.522,          17.732,          18.090,          18.592,          19.451,          20.144,          17.217,          17.047,          16.964,          16.853,          16.661,          16.380,          16.157,          15.991,          15.639,          15.326,          15.152,          14.962,          14.839,          14.647,          14.116,          14.113,          13.980,          12.114,          13.827,          13.648,          13.480,          13.396,          13.001,          12.950,          12.887,          12.843,          12.802,          12.729,          12.610,          15.454,          12.471,          12.372,          12.299,           0.000,          12.151,          12.074,          11.965,          11.805,          11.542,          11.243,           0.285,           0.149,           0.032,           0.000,           0.000,           0.000,          12.201,           0.000
     140,          2.316667,          17.085,          17.287,          17.639,          18.154,          18.995,          19.657,          16.787,          16.610,          16.525,          16.414,          16.222,          15.941,          15.722,          15.553,          15.206,          14.897,          14.735,          14.553,          14.436,          14.256,          13.797,          13.770,          13.642,          11.872,          13.497,          13.324,          13.168,          13.091,          12.725,          12.677,          12.620,          12.579,          12.542,          12.474,          12.365,          15.018,          12.231,          12.134,          12.063,           0.000,          11.912,          11.830,          11.719,          11.554,          11.284,          10.978,           0.264,           0.137,           0.030,           0.000,           0.000,           0.000,          11.966,           0.000
     141,          2.333333,          16.607,          16.831,          17.196,          17.731,          18.558,          19.199,          16.361,          16.185,          16.102,          15.990,          15.798,          15.519,          15.298,          15.132,          14.786,          14.486,          14.342,          14.170,          14.058,          13.888,          13.499,          13.449,          13.329,          11.624,          13.195,          13.033,          12.886,          12.811,          12.469,          12.424,          12.370,          12.331,          12.294,          12.228,          12.122,          14.600,          11.989,          11.891,          11.819,           0.000,          11.666,          11.581,          11.469,          11.301,          11.022,          10.718,           0.245,           0.127,           0.027,           0.000,           0.000,           0.000,          11.720,           0.000
     142,          2.350000,          16.155,          16.364,          16.731,          17.311,          18.137,          18.745,          15.918,          15.749,          15.670,          15.564,          15.373,          15.099,          14.885,          14.722,          14.382,          14.094,          13.969,          13.808,          13.705,          13.547,          13.222,          13.148,          13.035,          11.374,          12.907,          12.753,          12.611,          12.540,          12.219,          12.175,          12.121,          12.081,          12.044,          11.975,          11.865,          14.211,          11.735,          11.639,          11.568,           0.000,          11.415,          11.330,          11.219,          11.053,          10.787,          10.538,           0.230,           0.118,           0.023,           0.000,           0.000,           0.000,          11.472,           0.000
     143,          2.366667,          15.729,          15.932,          16.285,          16.896,          17.728,          18.326,          15.489,          15.321,          15.243,          15.140,          14.959,          14.696,          14.488,          14.331,          14.004,          13.730,          13.624,          13.474,          13.378,          13.227,          12.957,          12.863,          12.754,          11.130,          12.631,          12.482,          12.345,          12.276,          11.962,          11.920,          11.866,          11.825,          11.787,          11.719,          11.612,          13.842,          11.485,          11.389,          11.318,           0.000,          11.170,          11.091,          10.991,          10.840,          10.602,          10.389,           0.225,           0.115,           0.023,           0.000,           0.000,           0.000,          11.227,           0.000
     144,          2.383333,          15.319,          15.514,          15.858,          16.495,          17.329,          17.911,          15.079,          14.917,          14.841,          14.741,          14.565,          14.313,          14.117,          13.967,          13.654,          13.402,          13.297,          13.157,          13.068,          12.927,          12.696,          12.586,          12.479,          10.913,          12.358,          12.214,          12.078,          12.009,          11.707,          11.665,          11.612,          11.572,          11.534,          11.467,          11.365,          13.503,          11.241,          11.149,          11.080,           0.000,          10.948,          10.877,          10.788,          10.655,          10.438,          10.242,           0.216,           0.109,           0.021,           0.000,           0.000,           0.000,          10.999,           0.000
     145,          2.400000,          14.933,          15.116,          15.455,          16.113,          16.942,          17.502,          14.691,          14.531,          14.459,          14.362,          14.194,          13.952,          13.763,          13.619,          13.320,          13.090,          13.001,          12.853,          12.766,          12.631,          12.437,          12.314,          12.210,          10.718,          12.094,          11.951,          11.820,          11.754,          11.460,          11.419,          11.367,          11.328,          11.291,          11.228,          11.133,          13.181,          11.014,          10.928,          10.866,           0.000,          10.750,          10.686,          10.606,          10.483,          10.285,          10.096,           0.211,           0.106,           0.020,           0.000,           0.000,           0.000,          10.796,           0.000
     146,          2.416667,          14.571,          14.744,          15.073,          15.759,          16.576,          17.114,          14.334,          14.173,          14.099,          14.004,          13.844,          13.613,          13.433,          13.297,          13.014,          12.795,          12.716,          12.571,          12.485,          12.354,          12.177,          12.054,          11.952,          10.541,          11.837,          11.698,          11.570,          11.507,          11.224,          11.185,          11.136,          11.099,          11.066,          11.007,          10.920,          12.887,          10.810,          10.732,          10.673,           0.000,          10.570,          10.511,          10.437,          10.320,          10.134,           9.947,           0.203,           0.102,           0.019,           0.000,           0.000,           0.000,          10.613,           0.000
     147,          2.433333,          14.231,          14.397,          14.718,          15.435,          16.232,          16.743,          13.996,          13.838,          13.764,          13.673,          13.517,          13.297,          13.125,          12.993,          12.718,          12.508,          12.437,          12.295,          12.211,          12.085,          11.926,          11.802,          11.703,          10.376,          11.590,          11.458,          11.332,          11.271,          11.003,          10.966,          10.918,          10.884,          10.851,          10.795,          10.712,          12.601,          10.617,          10.547,          10.494,           0.000,          10.407,          10.342,          10.273,          10.158,           9.973,           9.756,           0.190,           0.096,           0.018,           0.000,           0.000,           0.000,          10.444,           0.000
     148,          2.450000,          13.913,          14.070,          14.387,          15.157,          15.808,          16.367,          13.678,          13.520,          13.449,          13.359,          13.210,          12.995,          12.830,          12.701,          12.440,          12.240,          12.173,          12.032,          11.952,          11.831,          11.677,          11.560,          11.465,          10.207,          11.358,          11.228,          11.109,          11.050,          10.794,          10.760,          10.715,          10.683,          10.653,          10.602,          10.527,          12.324,          10.439,          10.373,          10.322,           0.000,          10.235,          10.178,          10.102,           9.980,           9.770,           9.509,           0.183,           0.091,           0.017,           0.000,           0.000,           0.000,          10.276,           0.000
     149,          2.466667,          13.613,          13.762,          14.078,          14.928,          15.403,          15.961,          13.376,          13.215,          13.144,          13.057,          12.915,          12.711,          12.550,          12.427,          12.176,          11.983,          11.920,          11.785,          11.706,          11.590,          11.443,          11.331,          11.241,          10.027,          11.138,          11.013,          10.900,          10.843,          10.601,          10.568,          10.527,          10.496,          10.468,          10.418,          10.348,          12.061,          10.261,          10.195,          10.143,           0.000,          10.059,           9.994,           9.910,           9.774,           9.540,           9.252,           0.171,           0.085,           0.016,           0.000,           0.000,           0.000,          10.100,           0.000
     150,          2.483333,          13.326,          13.471,          13.786,          14.726,          15.092,          15.587,          13.087,          12.928,          12.859,          12.774,          12.637,          12.437,          12.285,          12.167,          11.923,          11.739,          11.679,          11.548,          11.474,          11.363,          11.224,          11.115,          11.027,           9.827,          10.928,          10.808,          10.699,          10.644,          10.415,          10.383,          10.344,          10.313,          10.284,          10.234,          10.164,          11.817,          10.074,          10.002,           9.949,           0.000,           9.861,           9.791,           9.700,           9.551,           9.298,           8.999,           0.162,           0.079,           0.015,           0.000,           0.000,           0.000,           9.908,           0.000
     151,          2.500000,          13.057,          13.193,          13.516,          14.548,          14.844,          15.261,          12.816,          12.660,          12.591,          12.506,          12.370,          12.177,          12.026,          11.910,          11.679,          11.502,          11.451,          11.325,          11.252,          11.146,          11.012,          10.907,          10.824,           9.609,          10.728,          10.612,          10.505,          10.452,          10.229,          10.198,          10.157,          10.125,          10.095,          10.043,           9.969,          11.575,           9.872,           9.795,           9.736,           0.000,           9.647,           9.569,           9.471,           9.317,           9.051,           8.745,           0.157,           0.077,           0.014,           0.000,           0.000,           0.000,           9.697,           0.000
