"Loc1_L","2D","Q_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________","L"
"Loc1_P","2D","H_V_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________","P"
"DF01.1                              ","Node","H_","P"
"DF01.2                              ","Node","H_","P"
"DF01                                ","Chan [DF]","Q_V_","L"
"PF01                                ","Chan [PF]","Q_V_","L"
