"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8764,      0.9501
     2,"FC01.1_R.2",     47.3323,      0.9584
     3,"FC01.2_R.1",     42.7828,      1.2481
     4,"FC01.2_R.2",     40.7602,      1.2578
     5,"FC04.1_C.1",     43.6682,      0.6819
     6,"FC04.1_C.2",     43.0743,      1.2225
     7,"Pipe16.2",     43.5739,      3.0000
     8,"Pit1",     43.5744,      2.9947
     9,"Pit1.1",     43.5744,      2.9944
    10,"Pit10",     43.5744,      3.0000
    11,"Pit10.1",     43.5744,      3.0000
    12,"Pit11",     43.5744,      2.9996
    13,"Pit11.1",     43.5744,      2.9993
    14,"Pit12",     43.5744,      2.9996
    15,"Pit12.1",     43.5744,      2.9995
    16,"Pit13",     43.5744,      3.0000
    17,"Pit13.1",     43.5744,      3.0000
    18,"Pit14",     43.5744,      2.9993
    19,"Pit14.1",     43.5744,      2.9993
    20,"Pit15",     43.5744,      2.9971
    21,"Pit15.1",     43.5744,      2.9972
    22,"Pit16",     43.5744,      2.9989
    23,"Pit16.1",     43.5744,      2.9988
    24,"Pit17",     43.5744,      2.9941
    25,"Pit17.1",     43.5744,      2.9938
    26,"Pit18",     43.5746,      2.9908
    27,"Pit18.1",     43.5746,      2.9907
    28,"Pit19",     43.5745,      2.9882
    29,"Pit19.1",     43.5745,      2.9878
    30,"Pit2",     43.5744,      2.9914
    31,"Pit2.1",     43.5744,      2.9913
    32,"Pit3",     43.5744,      2.9963
    33,"Pit3.1",     43.5744,      2.9961
    34,"Pit4",     43.5744,      2.9928
    35,"Pit4.1",     43.5744,      2.9926
    36,"Pit5",     43.5743,      2.9999
    37,"Pit5.1",     43.5743,      3.0000
    38,"Pit6",     43.5744,      2.9967
    39,"Pit6.1",     43.5744,      2.9967
    40,"Pit7",     43.5744,      2.9992
    41,"Pit7.1",     43.5744,      2.9990
    42,"Pit8",     43.5744,      2.9964
    43,"Pit8.1",     43.5744,      2.9964
    44,"Pit9",     43.5744,      2.9981
    45,"Pit9.1",     43.5744,      3.0000
