"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time(h)","V FC01.1_R [EG15_000]","V FC01.2_R [EG15_000]","V FC04.1_C [EG15_000]","V Pipe0 [EG15_000]","V Pipe1 [EG15_000]","V Pipe10 [EG15_000]","V Pipe11 [EG15_000]","V Pipe12 [EG15_000]","V Pipe13 [EG15_000]","V Pipe14 [EG15_000]","V Pipe15 [EG15_000]","V Pipe16 [EG15_000]","V Pipe17 [EG15_000]","V Pipe19 [EG15_000]","V Pipe2 [EG15_000]","V Pipe3 [EG15_000]","V Pipe4 [EG15_000]","V Pipe5 [EG15_000]","V Pipe6 [EG15_000]","V Pipe7 [EG15_000]","V Pipe8 [EG15_000]","V Pipe9 [EG15_000]","V Pit1 [EG15_000]","V Pit10 [EG15_000]","V Pit11 [EG15_000]","V Pit12 [EG15_000]","V Pit13 [EG15_000]","V Pit14 [EG15_000]","V Pit15 [EG15_000]","V Pit16 [EG15_000]","V Pit17 [EG15_000]","V Pit18 [EG15_000]","V Pit19 [EG15_000]","V Pit2 [EG15_000]","V Pit3 [EG15_000]","V Pit4 [EG15_000]","V Pit5 [EG15_000]","V Pit6 [EG15_000]","V Pit7 [EG15_000]","V Pit8 [EG15_000]","V Pit9 [EG15_000]"
      96,          1.583333,    7.444,    4.668,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.001,   -0.001,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000
      97,          1.600000,    7.367,    4.628,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000
      98,          1.616667,    7.284,    4.586,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
      99,          1.633333,    7.195,    4.542,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     100,          1.650000,    7.099,    4.497,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     101,          1.666667,    6.995,    4.451,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     102,          1.683333,    6.882,    4.403,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     103,          1.700000,    6.759,    4.354,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     104,          1.716667,    6.624,    4.303,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     105,          1.733333,    6.476,    4.249,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     106,          1.750000,    6.315,    4.194,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     107,          1.766667,    6.139,    4.138,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000
     108,          1.783333,    5.955,    4.078,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     109,          1.800000,    5.762,    4.016,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     110,          1.816667,    5.556,    3.949,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     111,          1.833333,    5.340,    3.878,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000
     112,          1.850000,    5.112,    3.801,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     113,          1.866667,    4.876,    3.717,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     114,          1.883333,    3.777,    3.627,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000
     115,          1.900000,    3.697,    3.530,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     116,          1.916667,    3.628,    3.424,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     117,          1.933333,    3.567,    3.308,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000
     118,          1.950000,    3.515,    3.180,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     119,          1.966667,    3.472,    3.039,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     120,          1.983333,    3.435,    2.883,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     121,          2.000000,    3.403,    2.722,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000
     122,          2.016667,    3.376,    2.562,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000
     123,          2.033334,    3.350,    2.406,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000
     124,          2.050000,    3.325,    2.260,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     125,          2.066667,    3.298,    2.122,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     126,          2.083333,    3.271,    1.992,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000
     127,          2.100000,    3.243,    1.872,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     128,          2.116667,    3.214,    1.763,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     129,          2.133333,    3.183,    1.666,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000
     130,          2.150000,    3.149,    1.579,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     131,          2.166667,    3.114,    1.505,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     132,          2.183333,    3.079,    1.443,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     133,          2.200000,    3.043,    1.388,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     134,          2.216667,    3.012,    1.337,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000
     135,          2.233333,    2.987,    1.292,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     136,          2.250000,    2.965,    1.252,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000
     137,          2.266667,    2.945,    1.216,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     138,          2.283334,    2.928,    1.182,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     139,          2.300000,    2.910,    1.148,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000
     140,          2.316667,    2.892,    1.116,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     141,          2.333333,    2.872,    1.086,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000
     142,          2.350000,    2.851,    1.057,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000
     143,          2.366667,    2.833,    1.033,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000
     144,          2.383333,    2.813,    1.008,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000
     145,          2.400000,    2.795,    0.986,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     146,          2.416667,    2.776,    0.962,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000
     147,          2.433333,    2.760,    0.940,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000
     148,          2.450000,    2.746,    0.919,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,   -0.000
     149,          2.466667,    2.731,    0.900,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000
     150,          2.483333,    2.713,    0.882,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000
     151,          2.500000,    2.692,    0.865,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000
     152,          2.516667,    2.670,    0.849,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000
     153,          2.533334,    2.648,    0.833,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000
     154,          2.550000,    2.628,    0.817,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000
     155,          2.566667,    2.606,    0.803,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,   -0.000,   -0.000,   -0.000,   -0.000,    0.000,    0.000
