"EG15_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_002.tcf]","Time (h)","SQ Pipe7 [EG15_002]","SQ Pipe6 [EG15_002]","SQ Pipe5 [EG15_002]","SQ Pipe19 [EG15_002]","SQ Pipe3 [EG15_002]","SQ Pipe2 [EG15_002]","SQ Pipe1 [EG15_002]","SQ Pipe0 [EG15_002]","SQ Pipe17 [EG15_002]","SQ Pipe16 [EG15_002]","SQ Pipe15 [EG15_002]","SQ Pipe14 [EG15_002]","SQ Pipe13 [EG15_002]","SQ Pipe12 [EG15_002]","SQ Pipe11 [EG15_002]","SQ Pipe10 [EG15_002]","SQ Pipe9 [EG15_002]","SQ Pipe8 [EG15_002]","SQ Pipe4 [EG15_002]","SQ FC04.1_C [EG15_002]","SQ FC01.2_R [EG15_002]","SQ FC01.1_R [EG15_002]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0002,      0.0001,      0.0001,      0.0002,      0.0002,      0.0003,      0.0004,      0.0005,      0.0002,      0.0002,      0.0002,      0.0001,      0.0003,      0.0002,      0.0002,      0.0001,      0.0001,      0.0003,      0.0002,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0007,      0.0004,      0.0004,      0.0005,      0.0006,      0.0012,      0.0017,      0.0018,      0.0005,      0.0005,      0.0005,      0.0006,      0.0010,      0.0003,      0.0006,      0.0003,      0.0009,      0.0009,      0.0003,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0010,      0.0008,      0.0009,      0.0014,      0.0014,      0.0031,      0.0037,      0.0029,      0.0013,      0.0006,      0.0013,      0.0026,      0.0033,      0.0007,      0.0010,      0.0013,      0.0022,      0.0018,      0.0008,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0017,      0.0015,      0.0019,      0.0036,      0.0028,      0.0050,      0.0053,      0.0046,      0.0045,      0.0022,      0.0025,      0.0070,      0.0069,      0.0018,      0.0015,      0.0030,      0.0049,      0.0028,      0.0018,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0026,      0.0027,      0.0038,      0.0070,      0.0044,      0.0069,      0.0102,      0.0051,      0.0103,      0.0050,      0.0041,      0.0132,      0.0111,      0.0037,      0.0036,      0.0054,      0.0083,      0.0042,      0.0032,      0.0000,      0.0157,      0.0000
       7,          0.100000,      0.0043,      0.0051,      0.0077,      0.0126,      0.0064,      0.0091,      0.0151,      0.0046,      0.0187,      0.0137,      0.0068,      0.0209,      0.0178,      0.0071,      0.0054,      0.0102,      0.0139,      0.0077,      0.0057,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0076,      0.0098,      0.0148,      0.0206,      0.0079,      0.0115,      0.0196,      0.0049,      0.0332,      0.0311,      0.0133,      0.0330,      0.0299,      0.0127,      0.0120,      0.0166,      0.0202,      0.0115,      0.0091,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0113,      0.0173,      0.0228,      0.0298,      0.0103,      0.0126,      0.0265,      0.0075,      0.0520,      0.0563,      0.0240,      0.0507,      0.0472,      0.0202,      0.0200,      0.0239,      0.0276,      0.0176,      0.0133,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0151,      0.0280,      0.0347,      0.0442,      0.0126,      0.0158,      0.0373,      0.0089,      0.0791,      0.0959,      0.0398,      0.0786,      0.0726,      0.0295,      0.0352,      0.0334,      0.0370,      0.0248,      0.0187,      0.0000,      0.0690,      0.0000
      11,          0.166667,      0.0191,      0.0430,      0.0505,      0.0613,      0.0166,      0.0203,      0.0465,      0.0113,      0.1190,      0.0856,      0.0583,      0.1127,      0.1016,      0.0410,      0.0518,      0.0452,      0.0493,      0.0320,      0.0254,      0.0000,      0.0825,      0.0000
      12,          0.183333,      0.0245,      0.0628,      0.0697,      0.0802,      0.0221,      0.0266,      0.0559,      0.0152,      0.1631,      0.1057,      0.0806,      0.1505,      0.1332,      0.0566,      0.0723,      0.0608,      0.0658,      0.0416,      0.0333,      0.0000,      0.1044,      0.0000
