"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Time (h)","Q FC01.1_R [EG15_003]","Q FC01.2_R [EG15_003]","Q FC04.1_C [EG15_003]","Q Pipe0 [EG15_003]","Q Pipe1 [EG15_003]","Q Pipe10 [EG15_003]","Q Pipe11 [EG15_003]","Q Pipe12 [EG15_003]","Q Pipe13 [EG15_003]","Q Pipe14 [EG15_003]","Q Pipe15 [EG15_003]","Q Pipe16 [EG15_003]","Q Pipe17 [EG15_003]","Q Pipe19 [EG15_003]","Q Pipe2 [EG15_003]","Q Pipe3 [EG15_003]","Q Pipe4 [EG15_003]","Q Pipe5 [EG15_003]","Q Pipe6 [EG15_003]","Q Pipe7 [EG15_003]","Q Pipe8 [EG15_003]","Q Pipe9 [EG15_003]","Q Pit1 [EG15_003]","Q Pit10 [EG15_003]","Q Pit11 [EG15_003]","Q Pit12 [EG15_003]","Q Pit13 [EG15_003]","Q Pit14 [EG15_003]","Q Pit15 [EG15_003]","Q Pit16 [EG15_003]","Q Pit17 [EG15_003]","Q Pit18 [EG15_003]","Q Pit19 [EG15_003]","Q Pit2 [EG15_003]","Q Pit3 [EG15_003]","Q Pit4 [EG15_003]","Q Pit5 [EG15_003]","Q Pit6 [EG15_003]","Q Pit7 [EG15_003]","Q Pit8 [EG15_003]","Q Pit9 [EG15_003]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.004,           0.001,           0.001,           0.000,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.001,           0.000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.002,           0.003,           0.001,           0.001,           0.001,           0.003,           0.002,           0.001,           0.001,           0.001,           0.001,           0.002,           0.002,           0.001,           0.001,           0.001,           0.001,           0.002,           0.002,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.004,           0.001,           0.003,           0.000,           0.000
       6,          0.083333,           0.000,           0.153,           0.000,           0.002,           0.004,           0.002,           0.001,           0.002,           0.007,           0.006,           0.003,           0.002,           0.004,           0.003,           0.005,           0.003,           0.002,           0.001,           0.001,           0.001,           0.003,           0.004,           0.002,           0.010,           0.000,           0.011,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.005,           0.001,           0.004,           0.011,           0.005,           0.013,           0.002,           0.000
       7,          0.100000,           0.000,           0.029,           0.000,           0.002,           0.008,           0.005,           0.002,           0.004,           0.013,           0.014,           0.004,           0.005,           0.011,           0.006,           0.007,           0.005,           0.003,           0.003,           0.002,           0.003,           0.005,           0.008,           0.003,           0.019,           0.007,           0.000,           0.000,           0.000,           0.006,           0.000,           0.000,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,           0.007,           0.000,           0.002,           0.011
       8,          0.116667,           0.000,           0.036,           0.000,           0.003,           0.013,           0.010,           0.005,           0.008,           0.024,           0.025,           0.008,           0.017,           0.024,           0.011,           0.009,           0.007,           0.005,           0.007,           0.004,           0.005,           0.009,           0.014,           0.015,           0.029,           0.011,           0.000,           0.037,           0.009,           0.000,           0.000,           0.008,           0.003,           0.000,           0.000,           0.000,           0.000,           0.006,           0.010,           0.001,           0.000,           0.014
       9,          0.133333,           0.000,           0.051,           0.000,           0.003,           0.022,           0.017,           0.010,           0.015,           0.040,           0.043,           0.015,           0.041,           0.044,           0.019,           0.013,           0.009,           0.008,           0.013,           0.008,           0.007,           0.014,           0.022,           0.000,           0.043,           0.015,           0.014,           0.010,           0.013,           0.000,           0.000,           0.000,           0.011,           0.022,           0.034,           0.000,           0.008,           0.013,           0.014,           0.001,           0.000,           0.019
      10,          0.150000,           0.000,           0.072,           0.000,           0.003,           0.033,           0.026,           0.024,           0.026,           0.064,           0.069,           0.026,           0.077,           0.074,           0.031,           0.016,           0.012,           0.013,           0.022,           0.015,           0.010,           0.020,           0.031,           0.000,           0.057,           0.019,           0.020,           0.012,           0.019,           0.002,           0.006,           0.002,           0.013,           0.031,           0.035,           0.000,           0.006,           0.012,           0.017,           0.000,           0.006,           0.013
