"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","F FC01.1_R [EG15_005]","F FC01.2_R [EG15_005]","F FC04.1_C [EG15_005]","F Pipe0 [EG15_005]","F Pipe1 [EG15_005]","F Pipe10 [EG15_005]","F Pipe11 [EG15_005]","F Pipe12 [EG15_005]","F Pipe13 [EG15_005]","F Pipe14 [EG15_005]","F Pipe15 [EG15_005]","F Pipe16 [EG15_005]","F Pipe17 [EG15_005]","F Pipe19 [EG15_005]","F Pipe2 [EG15_005]","F Pipe3 [EG15_005]","F Pipe4 [EG15_005]","F Pipe5 [EG15_005]","F Pipe6 [EG15_005]","F Pipe7 [EG15_005]","F Pipe8 [EG15_005]","F Pipe9 [EG15_005]","F Pit1 [EG15_005]","F Pit11 [EG15_005]","F Pit12 [EG15_005]","F Pit14 [EG15_005]","F Pit15 [EG15_005]","F Pit16 [EG15_005]","F Pit18 [EG15_005]","F Pit19 [EG15_005]","F Pit2 [EG15_005]","F Pit4 [EG15_005]","F Pit5 [EG15_005]","F Pit6 [EG15_005]","F Pit7 [EG15_005]","F Pit8 [EG15_005]","F Pit9 [EG15_005]"
      31,          0.500000,A,D,A,F,F,F,F,F L,F,F,F,F,F,F,F L,F L,F,F,F,F,F,F,D,R,R,R,R,R,D,D,D,D,D,D,R,R,R
      32,          0.516667,A,D,A,F,F,F,F,F L,F,F,F,F,F,F,F L,F,F,F L,F L,F,F,F,D,R,R,R,R,R,D,D,R,D,D,D,R,R,R
      33,          0.533333,A,D,A,F,F,F,F,F L,F,F,F,F,F,F,F,F L,F,F L,F,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      34,          0.550000,A,D,A,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      35,          0.566667,B,D,A,F,F,F,F,F L,F,F,F,F,F,F,F L,F L,F,F L,F L,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      36,          0.583333,L,D,A,F,F L,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      37,          0.600000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      38,          0.616667,L,F,A,F,F L,F,F,F,F,F,F,F,F,F L,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      39,          0.633333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      40,          0.650000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      41,          0.666667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F L,F,F,R,R,R,R,R,R,D,D,R,D,D,R,R,R,R
      42,          0.683333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,R,R,R,D,R,R,D,D,R,D,D,R,R,R,R
      43,          0.700000,L,F,A,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,R,R,R,D,R,R,D,D,R,D,D,R,R,R,R
      44,          0.716667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,R,R,D,D,R,R,D,D,R,D,D,R,R,R,R
      45,          0.733333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,D,R,D,D,R,R,D,D,R,D,D,R,R,R,R
      46,          0.750000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F L,F,D,R,D,D,D,R,D,D,R,D,D,R,R,R,R
      47,          0.766667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F L,D,R,D,D,D,R,D,D,R,D,D,R,R,R,R
      48,          0.783333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,D,D,D,D,D,R,D,D,R,D,D,R,R,R,R
      49,          0.800000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,R,D,D,R,R,R,R
      50,          0.816667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,D,D,D,R,R,R,R
      51,          0.833333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,D,D,D,R,R,R,R
      52,          0.850000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,R,D,D,D,D,R,R,R,R
      53,          0.866667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,R,D,R,R,R,R
      54,          0.883333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,R,R,R,D
      55,          0.900000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,R,D,R,R,R,D
      56,          0.916667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,R,D,R,R,R,D
      57,          0.933333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,R,R,R,D
      58,          0.950000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,R,R,R,D
      59,          0.966667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,R,R,D,D
      60,          0.983333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,R,D,R,R,D,D
      61,          1.000000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,R,D,R,R,D,D
      62,          1.016667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,R,R,D,D
      63,          1.033333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,D,R,D,D
      64,          1.050000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D
      65,          1.066667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,R,D,R,D,D
      66,          1.083333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      67,          1.100000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D
      68,          1.116667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      69,          1.133333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      70,          1.150000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      71,          1.166667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      72,          1.183333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      73,          1.200000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      74,          1.216667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      75,          1.233333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,D,D,D,R,D,D,D
      76,          1.250000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      77,          1.266667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      78,          1.283333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      79,          1.300000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      80,          1.316667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      81,          1.333333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      82,          1.350000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      83,          1.366667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      84,          1.383333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      85,          1.400000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      86,          1.416667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      87,          1.433333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
