"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Time(h)","V FC01.1_R [EG15_003]","V FC01.2_R [EG15_003]","V FC04.1_C [EG15_003]","V Pipe0 [EG15_003]","V Pipe1 [EG15_003]","V Pipe10 [EG15_003]","V Pipe11 [EG15_003]","V Pipe12 [EG15_003]","V Pipe13 [EG15_003]","V Pipe14 [EG15_003]","V Pipe15 [EG15_003]","V Pipe16 [EG15_003]","V Pipe17 [EG15_003]","V Pipe19 [EG15_003]","V Pipe2 [EG15_003]","V Pipe3 [EG15_003]","V Pipe4 [EG15_003]","V Pipe5 [EG15_003]","V Pipe6 [EG15_003]","V Pipe7 [EG15_003]","V Pipe8 [EG15_003]","V Pipe9 [EG15_003]","V Pit1 [EG15_003]","V Pit10 [EG15_003]","V Pit11 [EG15_003]","V Pit12 [EG15_003]","V Pit13 [EG15_003]","V Pit14 [EG15_003]","V Pit15 [EG15_003]","V Pit16 [EG15_003]","V Pit17 [EG15_003]","V Pit18 [EG15_003]","V Pit19 [EG15_003]","V Pit2 [EG15_003]","V Pit3 [EG15_003]","V Pit4 [EG15_003]","V Pit5 [EG15_003]","V Pit6 [EG15_003]","V Pit7 [EG15_003]","V Pit8 [EG15_003]","V Pit9 [EG15_003]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.164,    0.129,    0.108,    0.045,    0.104,    0.126,    0.151,    0.145,    0.174,    0.122,    0.149,    0.120,    0.139,    0.113,    0.091,    0.071,    0.103,    0.095,    0.109,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.215,    0.236,    0.188,    0.080,    0.197,    0.174,    0.133,    0.186,    0.212,    0.182,    0.185,    0.166,    0.173,    0.111,    0.132,    0.104,    0.149,    0.201,    0.180,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.336,    0.327,    0.211,    0.136,    0.252,    0.228,    0.215,    0.268,    0.286,    0.255,    0.247,    0.286,    0.273,    0.182,    0.253,    0.254,    0.238,    0.254,    0.224,    0.725,    0.155,    0.155,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.155,    0.000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000,    0.360,    0.409,    0.314,    0.312,    0.309,    0.386,    0.339,    0.338,    0.195,    0.342,    0.307,    0.366,    0.362,    0.308,    0.296,    0.296,    0.273,    0.347,    0.357,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000,    0.155,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.129,    0.725,    0.000,    0.000
       6,          0.083333,    0.000,    0.517,    0.000,    0.359,    0.428,    0.364,    0.199,    0.356,    0.487,    0.487,    0.388,    0.261,    0.433,    0.401,    0.445,    0.406,    0.360,    0.344,    0.345,    0.285,    0.404,    0.437,    0.155,    0.966,    0.000,    0.966,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.129,    0.155,    0.966,    0.966,    0.966,    0.966,    0.155,    0.000
       7,          0.100000,    0.000,    0.299,    0.000,    0.346,    0.512,    0.474,    0.073,    0.423,    0.560,    0.570,    0.434,    0.367,    0.544,    0.472,    0.481,    0.447,    0.412,    0.398,    0.378,    0.411,    0.455,    0.526,    0.186,    0.966,    0.966,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000,    0.129,    0.000,    0.000,    0.000,    0.966,    0.000,    0.186,    0.725
       8,          0.116667,    0.000,    0.319,    0.000,    0.404,    0.565,    0.527,    0.108,    0.506,    0.647,    0.658,    0.503,    0.520,    0.652,    0.609,    0.515,    0.483,    0.458,    0.489,    0.439,    0.453,    0.510,    0.614,    0.725,    0.966,    0.966,    0.000,    0.717,    0.966,    0.000,    0.000,    0.725,    0.129,    0.000,    0.000,    0.000,    0.000,    0.966,    0.966,    0.129,    0.000,    0.725
       9,          0.133333,    0.000,    0.358,    0.000,    0.406,    0.635,    0.596,    0.142,    0.581,    0.739,    0.754,    0.582,    0.710,    0.757,    0.705,    0.562,    0.515,    0.508,    0.558,    0.502,    0.491,    0.571,    0.635,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.000,    0.966,    0.725,    0.966,    0.000,    0.966,    0.966,    0.966,    0.129,    0.000,    0.725
      10,          0.150000,    0.000,    0.404,    0.000,    0.393,    0.703,    0.663,    0.247,    0.661,    0.837,    0.855,    0.661,    0.826,    0.870,    0.694,    0.593,    0.547,    0.560,    0.635,    0.577,    0.531,    0.619,    0.695,    0.000,    0.912,    0.966,    0.966,    0.966,    0.966,    0.155,    0.725,    0.155,    0.966,    0.725,    0.966,    0.000,    0.966,    0.966,    0.966,    0.000,    0.725,    0.725
      11,          0.166667,    0.000,    0.428,    0.000,    0.168,    0.744,    0.725,    0.311,    0.732,    0.931,    0.958,    0.740,    0.324,    0.984,    0.768,    0.625,    0.580,    0.612,    0.716,    0.662,    0.604,    0.678,    0.753,    0.186,    0.854,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.155,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966
      12,          0.183333,    0.000,    0.461,    0.000,    0.197,    0.784,    0.792,    0.343,    0.802,    1.017,    1.058,    0.818,    0.214,    1.094,    0.833,    0.660,    0.625,    0.666,    0.792,    0.749,    0.645,    0.730,    0.820,    0.000,    0.819,    0.966,    0.966,    0.916,    0.966,    0.725,    0.000,    0.000,    0.966,    0.966,    0.946,    0.000,    0.966,    0.966,    0.966,    0.725,    0.966,    0.129
      13,          0.200000,    1.002,    1.805,    0.210,    0.087,    0.825,    0.863,    0.437,    0.877,    1.099,    1.151,    0.892,    0.031,    1.198,    0.899,    0.713,    0.667,    0.516,    0.863,    0.830,    0.685,    0.775,    0.890,    0.000,    0.800,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.966,    0.966,    0.966,    0.885,    0.000,    0.966,    0.966,    0.966,    0.129,    0.966,    0.966
      14,          0.216667,    1.460,    0.339,    0.405,    0.013,    0.865,    0.565,   -0.208,   -0.190,    0.078,    0.206,   -0.318,    0.022,    0.293,    0.964,    0.767,    0.709,    0.364,    0.930,   -0.156,    0.732,    0.826,    0.965,    0.000,    0.788,    0.966,    0.966,    0.940,    0.966,    0.725,    0.155,    0.966,    0.966,    0.966,    0.842,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      15,          0.233333,    1.680,    0.408,    0.516,   -0.105,    0.043,   -0.283,   -0.239,   -0.273,    0.113,    0.231,   -0.373,    0.011,    0.335,   -0.451,    0.817,    0.748,   -0.092,   -0.431,   -0.458,    0.804,   -0.092,   -0.245,    0.725,    0.781,    0.966,    0.966,    0.966,    0.966,    0.155,    0.155,    0.966,    0.966,    0.890,    0.810,    0.000,    0.966,    0.966,    0.894,    0.000,    0.966,    0.966
      16,          0.250000,    1.821,    0.706,    0.607,   -0.054,    0.158,    0.437,    0.400,    0.402,    0.513,    0.635,   -0.587,    0.051,    0.705,   -0.421,    0.165,   -0.475,   -0.487,   -0.526,   -0.624,    0.255,    0.350,    0.485,    0.000,    0.269,    0.939,    0.966,    0.966,    0.966,    0.155,    0.155,    0.966,    0.913,    0.792,    0.803,    0.186,    0.966,    0.946,    0.845,    0.725,    0.966,    0.966
      17,          0.266667,    1.920,    0.290,    0.685,    0.004,    0.346,    0.939,    0.662,    0.902,    0.257,   -0.110,    0.463,    0.002,   -0.353,    0.659,    0.099,    0.201,    0.316,    0.661,    0.708,    0.419,    0.677,    0.899,    0.223,   -0.229,   -0.265,   -0.238,   -0.117,   -0.290,    0.966,    0.155,    0.660,    0.576,    0.617,    0.793,    0.000,    0.966,    0.911,    0.165,    0.752,   -0.085,   -0.276
      18,          0.283333,    2.000,    0.890,    0.753,   -0.004,    0.351,    0.956,    0.557,    0.870,    0.225,   -0.012,    0.419,    0.001,   -0.239,    0.756,    0.077,    0.225,    0.334,    0.755,    0.765,    0.423,    0.697,    0.898,    0.000,   -0.172,   -0.132,   -0.164,   -0.145,   -0.308,    0.068,    0.725,    0.349,    0.406,    0.475,    0.720,    0.966,    0.966,    0.869,    0.105,    0.222,   -0.153,   -0.287
      19,          0.300000,    2.073,    0.842,    0.814,    0.009,    0.322,    0.958,    0.458,    0.834,    0.225,    0.047,    0.369,    0.001,   -0.141,    0.755,    0.061,    0.284,    0.435,    0.762,    0.724,    0.429,    0.714,    0.899,    0.000,   -0.120,   -0.092,   -0.107,   -0.146,   -0.255,   -0.095,    0.000,    0.246,    0.328,    0.393,    0.459,    0.000,    0.966,    0.817,    0.071,    0.144,   -0.176,   -0.282
      20,          0.316667,    2.146,    0.358,    0.866,   -0.006,    0.256,    0.947,    0.416,    0.781,    0.192,    0.025,    0.341,    0.001,   -0.127,    0.767,    0.053,    0.337,    0.474,    0.777,    0.643,    0.452,    0.731,    0.896,    0.000,   -0.117,   -0.086,   -0.078,   -0.108,   -0.171,   -0.217,    0.725,    0.178,    0.271,    0.341,    0.329,    0.725,    0.966,    0.656,    0.054,    0.092,   -0.186,   -0.218
      21,          0.333333,    2.218,    0.177,    0.910,    0.016,    0.229,    0.921,    0.366,    0.726,    0.165,    0.022,    0.290,    0.001,   -0.100,    0.754,    0.058,    0.353,    0.506,    0.760,    0.550,    0.433,    0.720,    0.891,    0.223,   -0.112,   -0.074,   -0.063,   -0.096,   -0.135,   -0.272,    0.155,    0.130,    0.260,    0.322,    0.297,    0.000,    0.966,    0.495,    0.054,    0.074,   -0.194,   -0.172
      22,          0.350000,    2.285,    1.036,    0.946,    0.033,    0.169,    0.899,    0.346,    0.644,    0.157,    0.034,    0.228,    0.002,   -0.070,    0.768,    0.066,    0.308,    0.519,    0.757,    0.462,    0.425,    0.714,    0.873,    0.966,   -0.097,   -0.063,   -0.053,   -0.078,   -0.120,   -0.306,   -0.036,    0.118,    0.244,    0.308,    0.169,    0.725,    0.878,    0.381,    0.056,    0.035,   -0.200,   -0.155
      23,          0.366667,    2.352,    1.097,    0.978,    0.048,    0.147,    0.870,    0.300,    0.566,    0.129,    0.024,    0.185,    0.001,   -0.058,    0.744,    0.072,    0.288,    0.550,    0.729,    0.382,    0.425,    0.709,    0.862,    0.532,   -0.089,   -0.054,   -0.041,   -0.063,   -0.102,   -0.286,   -0.054,    0.100,    0.232,    0.298,    0.101,    0.725,    0.787,    0.320,    0.058,    0.011,   -0.210,   -0.137
      24,          0.383333,    2.430,   -0.257,    1.004,    0.059,    0.149,    0.832,    0.249,    0.483,    0.102,    0.015,    0.167,    0.001,   -0.053,    0.716,    0.075,    0.283,    0.559,    0.662,    0.347,    0.422,    0.703,    0.849,    0.306,   -0.076,   -0.044,   -0.034,   -0.057,   -0.093,   -0.208,   -0.137,    0.084,    0.225,    0.291,    0.097,    0.223,    0.642,    0.293,    0.058,   -0.018,   -0.212,   -0.122
      25,          0.400000,    2.518,   -0.399,    1.027,    0.057,    0.136,    0.780,    0.211,    0.429,    0.084,    0.009,    0.151,    0.001,   -0.049,    0.699,    0.076,    0.276,    0.560,    0.590,    0.319,    0.419,    0.696,    0.832,    0.204,   -0.065,   -0.038,   -0.029,   -0.050,   -0.083,   -0.153,   -0.219,    0.069,    0.218,    0.286,    0.078,    0.223,    0.557,    0.271,    0.057,   -0.052,   -0.187,   -0.113
      26,          0.416667,    2.609,    0.550,    1.046,    0.048,    0.089,    0.713,    0.184,    0.389,    0.070,    0.005,    0.133,    0.001,   -0.043,    0.702,    0.076,    0.261,    0.535,    0.502,    0.283,    0.415,    0.690,    0.823,    0.113,   -0.059,   -0.033,   -0.024,   -0.044,   -0.077,   -0.132,   -0.224,    0.034,    0.214,    0.281,    0.053,    0.966,    0.487,    0.247,    0.056,   -0.055,   -0.178,   -0.106
      27,          0.433333,    2.708,   -0.203,    1.063,    0.030,    0.073,    0.662,    0.165,    0.353,    0.062,    0.006,    0.108,    0.001,   -0.034,    0.681,    0.075,    0.253,    0.524,    0.461,    0.240,    0.411,    0.681,    0.791,    0.087,   -0.053,   -0.028,   -0.020,   -0.036,   -0.068,   -0.108,   -0.316,    0.049,    0.207,    0.276,    0.037,    0.870,    0.443,    0.232,    0.055,   -0.122,   -0.157,   -0.098
