"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","SQ Pipe7 [EG15_004]","SQ Pipe6 [EG15_004]","SQ Pipe5 [EG15_004]","SQ Pipe19 [EG15_004]","SQ Pipe3 [EG15_004]","SQ Pipe2 [EG15_004]","SQ Pipe1 [EG15_004]","SQ Pipe0 [EG15_004]","SQ Pipe17 [EG15_004]","SQ Pipe16 [EG15_004]","SQ Pipe15 [EG15_004]","SQ Pipe14 [EG15_004]","SQ Pipe13 [EG15_004]","SQ Pipe12 [EG15_004]","SQ Pipe11 [EG15_004]","SQ Pipe10 [EG15_004]","SQ Pipe9 [EG15_004]","SQ Pipe8 [EG15_004]","SQ Pipe4 [EG15_004]","SQ FC04.1_C [EG15_004]","SQ FC01.2_R [EG15_004]","SQ FC01.1_R [EG15_004]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0002,      0.0001,      0.0002,      0.0000,      0.0002,      0.0000,      0.0000,      0.0006,      0.0002,      0.0001,      0.0002,      0.0002,      0.0000,      0.0002,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0007,      0.0004,      0.0003,      0.0000,      0.0006,      0.0000,      0.0000,      0.0017,      0.0004,      0.0002,      0.0005,      0.0004,      0.0000,      0.0003,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0010,      0.0007,      0.0005,      0.0000,      0.0014,      0.0000,      0.0000,      0.0029,      0.0003,      0.0003,      0.0013,      0.0011,      0.0000,      0.0006,      0.0000,      0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0017,      0.0011,      0.0006,      0.0000,      0.0028,      0.0000,      0.0000,      0.0046,      0.0027,      0.0011,      0.0024,      0.0030,      0.0000,      0.0010,      0.0000,      0.0007,      0.0000,      0.0000,      0.0000,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0026,      0.0015,      0.0009,      0.0000,      0.0044,      0.0062,      0.0000,      0.0051,      0.0055,      0.0026,      0.0033,      0.0054,      0.0000,      0.0015,      0.0000,      0.0011,      0.0005,     -0.0005,      0.0000,      0.0000,      0.0157,      0.0000
       7,          0.100000,      0.0043,      0.0019,      0.0012,      0.0000,      0.0064,      0.0098,      0.0000,      0.0003,      0.0108,      0.0055,      0.0048,      0.0085,      0.0000,      0.0025,      0.0000,      0.0022,      0.0025,     -0.0025,      0.0000,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0076,      0.0025,      0.0014,      0.0000,      0.0079,      0.0115,      0.0000,     -0.0034,      0.0149,      0.0112,      0.0088,      0.0126,      0.0000,      0.0040,      0.0000,      0.0041,      0.0043,     -0.0043,      0.0000,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0112,      0.0034,      0.0017,      0.0000,      0.0103,      0.0131,      0.0000,     -0.0049,      0.0273,      0.0209,      0.0139,      0.0216,      0.0000,      0.0064,      0.0000,      0.0065,      0.0056,     -0.0056,      0.0000,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0049,      0.0045,      0.0019,      0.0008,      0.0127,      0.0169,      0.0152,     -0.0041,      0.0472,      0.0378,      0.0208,      0.0370,      0.0000,     -0.0003,      0.0000,      0.0090,      0.0072,     -0.0008,     -0.0008,      0.0000,      0.0690,      0.0000
      11,          0.166667,      0.0143,      0.0062,      0.0044,      0.0100,      0.0167,      0.0191,      0.0439,     -0.0001,      0.0760,      0.0656,      0.0269,      0.0548,      0.0000,     -0.0029,      0.0000,      0.0159,      0.0224,      0.0242,     -0.0100,      0.0000,      0.0825,      0.0000
