"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time(h)","F FC01.1_R [EG15_000]","F FC01.2_R [EG15_000]","F FC04.1_C [EG15_000]","F Pipe0 [EG15_000]","F Pipe1 [EG15_000]","F Pipe10 [EG15_000]","F Pipe11 [EG15_000]","F Pipe12 [EG15_000]","F Pipe13 [EG15_000]","F Pipe14 [EG15_000]","F Pipe15 [EG15_000]","F Pipe16 [EG15_000]","F Pipe17 [EG15_000]","F Pipe19 [EG15_000]","F Pipe2 [EG15_000]","F Pipe3 [EG15_000]","F Pipe4 [EG15_000]","F Pipe5 [EG15_000]","F Pipe6 [EG15_000]","F Pipe7 [EG15_000]","F Pipe8 [EG15_000]","F Pipe9 [EG15_000]","F Pit1 [EG15_000]","F Pit10 [EG15_000]","F Pit11 [EG15_000]","F Pit12 [EG15_000]","F Pit13 [EG15_000]","F Pit14 [EG15_000]","F Pit15 [EG15_000]","F Pit16 [EG15_000]","F Pit17 [EG15_000]","F Pit18 [EG15_000]","F Pit19 [EG15_000]","F Pit2 [EG15_000]","F Pit3 [EG15_000]","F Pit4 [EG15_000]","F Pit5 [EG15_000]","F Pit6 [EG15_000]","F Pit7 [EG15_000]","F Pit8 [EG15_000]","F Pit9 [EG15_000]"
       1,          0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       2,          0.016667,G,G,G,A,A,C,D,A,A,A,A,A,A,A,A,A,D,A,A,A,D,C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
       3,          0.033333,G,G,G,A,D,F,A,D,A,A,A,D,A,D,D L,A,D,D,D,F,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
       4,          0.050000,G,G,G,D,D,F,F,F,F,F,A,D,B,A,F L,A,D,A,D,F,F,F,N,N,N,N,N,N,N,E,N,D,D,N,N,N,N,N,N,N,N
       5,          0.066667,G,G,G,F L,F L,F,F,F,F,F,F,F L,F,F L,F,H,F L,F,F,F,F L,F,N,R,N,N,N,N,N,E,D,D,D,N,N,N,N,D,D,D,R
       6,          0.083333,G,G,G,F L,F,F,F,F,F L,F L,F,F,F L,F,F L,F L,F,F,F,F,F L,F,D,R,R,R,R,R,R,N,D,D,D,D,N,N,N,D,D,R L,R
       7,          0.100000,G,G,G,F L,F,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,F L,F,F,D,R,R,R,R,R,R,D,D,D,D,D,N,N,D,D,D,R,R
       8,          0.116667,G,G,G,F,F,F,F,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,D,D,D,D,D,N,N,D,D,D,R,R
       9,          0.133333,G,G,G,F,F L,F,F,F,F L,F L,F L,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,D,D,D,D,D,D,N,D,D,D,R L,R
      10,          0.150000,G,G,G,F L,F L,F,F,F,F L,F L,F L,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,D,D,D,D,D,D,N,D,D,D,R L,R
      11,          0.166667,G,G,G,F,F L,F,F,F,F L,F,F L,F,F L,F,F L,F,F,F,F,F,F,F,D,R,R,R,R,R,R,D,D,D,D,D,D,D,D,D,D,R,R
      12,          0.183333,G,G,G,F,F L,F,F,F,F L,F L,F L,F,F L,F,F L,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R L,R
      13,          0.200000,G,G,G,F L,F,F,F,F,F L,F,F L,F,F L,F,F,F,F,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      14,          0.216667,A,G,G,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      15,          0.233333,A,G,G,F,F,F,F L,F,F,F,F L,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      16,          0.250000,A,G,G,F,F,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      17,          0.266667,A,G,G,F,F,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      18,          0.283333,A,G,G,F,F L,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      19,          0.300000,A,G,G,F,F L,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      20,          0.316667,A,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      21,          0.333333,A,G,G,F,F L,F,F,F,F,F,F L,F,F,F,F,F,F L,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      22,          0.350000,A,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F L,F,F,F,D,R,R,R,R,R,R,R,R,D,D,R,D,D,D,R,R,R,R
      23,          0.366667,A,G,G,F,F L,F L,F L,F L,F,F,F,F,F,F,F,F L,F,F L,F,F,F L,F,D,R,R,R,R,R,R,R,R,D,D,R,D,D,D,R,R,R L,R
      24,          0.383333,A,G,G,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,D,R,R,R,R,R,R,R,R,D,D,R,D,D,D,R,R,R,R
      25,          0.400000,A,G,G,F,F,F,F,F L,F,F,F,F,F,F,F L,F,F,F,F,F,F L,F,D,R,R,R,R,R,R,R,R,D,D,R,D,D,D,R,R,R L,R
      26,          0.416667,A,G,G,F,F,F L,F,F,F,F,F,F,F,F,F L,F,F,F L,F,F,F,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      27,          0.433333,A,G,G,F,F L,F L,F,F,F,F,F,F,F,F,F,F L,F L,F L,F,F,F,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      28,          0.450000,A,G,G,F,F,F L,F,F L,F,F,F,F,F,F,F L,F,F,F,F L,F,F L,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      29,          0.466667,A,G,G,F,F,F L,F,F,F,F,F,F,F,F,F L,F L,F,F,F,F L,F L,F,R,R,R,D,D,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      30,          0.483333,A,G,G,F,F,F L,F,F L,F,F,F,F,F,F,F L,F,F L,F,F,F L,F L,F,R,R,R,D,D,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      31,          0.500000,A,G,G,F,F,F L,F,F,F,F,F,F,F,F L,F L,F,F,F,F,F,F L,F,D,R,R,D,D,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      32,          0.516667,A,G,G,F,F,F L,F,F,F,F,F,F,F,F,F L,F,F,F,F,F L,F L,F,D,R,R,D,D,D,R,R,R,D,D,R,R,D,D,R,R,R,R
      33,          0.533333,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,D,R,R,D,D,D,R,R,R,D,D,R,R,D,D,R,R,R,R
      34,          0.550000,A,D,G,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,D,R,D,D,D,D,R,R,R,D,D,D,R,D,D,R,R,R,R
      35,          0.566667,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,D,R,D,D,D,D,R,R,R,D,D,D,R,D,D,R,R,R,R
      36,          0.583333,B,D,G,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,F L,F L,F L,R,R,D,D,D,D,R,R,R,D,D,R,R,D,D,R,R,R,R
      37,          0.600000,L,D,G,F,F,F L,F,F,F,F,F,F,F,F,F L,F,F,F,F,F L,F L,F,D,D,D,D,D,D,D,R,R,D,D,D,R,D,D,R,R,R,R
      38,          0.616667,L,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,D,D,D,D,D,D,D,R,R,D,D,D,R,R,D,R,R,R,R
      39,          0.633333,L,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,D,D,D,D,D,D,D,R,R,D,D,D,R,D,D,R,R,R,R
      40,          0.650000,L,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,R,D,D,D,R,D,D,R,R,R,R
