"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time (h)","SQ Pipe7 [EG15_000]","SQ Pipe6 [EG15_000]","SQ Pipe5 [EG15_000]","SQ Pipe19 [EG15_000]","SQ Pipe3 [EG15_000]","SQ Pipe2 [EG15_000]","SQ Pipe1 [EG15_000]","SQ Pipe0 [EG15_000]","SQ Pipe17 [EG15_000]","SQ Pipe16 [EG15_000]","SQ Pipe15 [EG15_000]","SQ Pipe14 [EG15_000]","SQ Pipe13 [EG15_000]","SQ Pipe12 [EG15_000]","SQ Pipe11 [EG15_000]","SQ Pipe10 [EG15_000]","SQ Pipe9 [EG15_000]","SQ Pipe8 [EG15_000]","SQ Pipe4 [EG15_000]","SQ FC04.1_C [EG15_000]","SQ FC01.2_R [EG15_000]","SQ FC01.1_R [EG15_000]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.1726,      0.0218,      0.0392,      0.0931,      0.0363,      0.0144,      0.0987,      0.0615,      0.0247,      0.0185,      0.0239,      0.0237,      0.0229,      0.0357,      0.0210,      0.0937,      0.2720,      0.2873,      0.0185,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.1658,      0.1155,      0.1660,      0.2011,      0.0425,      0.0303,      0.1155,      0.0617,      0.0799,      0.0776,      0.0928,      0.1189,      0.2191,      0.4318,      0.3836,      0.4205,      0.4100,      0.3218,      0.0546,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.1371,      0.2411,      0.2503,      0.2433,      0.0434,      0.0647,      0.1158,      0.0598,      0.5014,      0.4885,      0.2376,      0.4815,      0.4657,      0.4451,      0.4536,      0.4404,      0.4374,      0.3086,      0.0744,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.1141,     -0.1687,     -0.1547,     -0.0894,     -0.1810,     -0.0006,      0.0112,      0.0146,      0.2403,      0.0317,     -0.1708,      0.2351,      0.2307,      0.2969,      0.2687,      0.2843,      0.2769,      0.2216,     -0.1815,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.1096,      0.2407,      0.2475,      0.2256,      0.0507,      0.0022,      0.0733,      0.0579,     -0.1244,      0.0000,      0.1631,     -0.0500,      0.0603,      0.2756,      0.2015,      0.2835,      0.2664,      0.2152,      0.0892,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.1119,      0.2382,      0.2597,      0.2343,      0.0651,      0.0000,      0.0399,      0.0363,     -0.1040,      0.0003,      0.1467,     -0.0375,      0.0629,      0.2757,      0.1792,      0.2826,      0.2668,      0.2210,      0.1139,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.1106,      0.2296,      0.2595,      0.2384,      0.0709,      0.0041,      0.0375,      0.0278,     -0.0663,      0.0003,      0.1287,      0.0000,      0.0746,      0.2645,      0.1700,      0.2775,      0.2618,      0.2168,      0.1203,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.1088,      0.2133,      0.2517,      0.2413,      0.0747,      0.0067,      0.0373,      0.0240,     -0.0226,      0.0010,      0.1036,      0.0278,      0.0786,      0.2505,      0.1471,      0.2703,      0.2578,      0.2135,      0.1244,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.1080,      0.1815,      0.2432,      0.2385,      0.0746,      0.0083,      0.0358,      0.0215,     -0.0342,      0.0009,      0.0971,      0.0091,      0.0610,      0.2337,      0.1242,      0.2643,      0.2547,      0.2114,      0.1298,      0.0000,      0.0000,      0.0000
