"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","Q FC01.1_R [EG15_008]","Q FC01.2_R [EG15_008]","Q FC04.1_C [EG15_008]","Q Node20 [EG15_008]","Q Node21 [EG15_008]","Q Pipe10 [EG15_008]","Q Pipe11 [EG15_008]","Q Pipe12 [EG15_008]","Q Pipe13 [EG15_008]","Q Pipe14 [EG15_008]","Q Pipe15 [EG15_008]","Q Pipe16 [EG15_008]","Q Pipe17 [EG15_008]","Q Pipe19 [EG15_008]","Q Pipe5 [EG15_008]","Q Pipe6 [EG15_008]","Q Pipe9 [EG15_008]","Q Pit10 [EG15_008]","Q Pit11 [EG15_008]","Q Pit12 [EG15_008]","Q Pit13 [EG15_008]","Q Pit14 [EG15_008]","Q Pit15 [EG15_008]","Q Pit16 [EG15_008]","Q Pit18 [EG15_008]","Q Pit19 [EG15_008]","Q Pit2 [EG15_008]","Q Pit3 [EG15_008]","Q Pit4 [EG15_008]","Q Pit5 [EG15_008]","Q Pit6 [EG15_008]","Q Pit7 [EG15_008]","Q Pit8 [EG15_008]","Q Pit9 [EG15_008]"
     150,          2.483333,           9.915,          12.992,           0.044,          -0.703,          -0.863,           0.331,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.703,           0.270,           0.135,           0.863,          -0.051,          -0.031,          -0.028,          -0.044,          -0.065,          -0.135,          -0.433,           0.205,           0.196,           0.240,           0.251,           0.212,           0.226,           0.236,          -0.532,          -0.170,          -0.077
     151,          2.500000,           9.686,          12.720,           0.042,          -0.703,          -0.864,           0.332,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.703,           0.270,           0.135,           0.864,          -0.051,          -0.031,          -0.028,          -0.044,          -0.065,          -0.135,          -0.433,           0.205,           0.196,           0.240,           0.251,           0.212,           0.226,           0.236,          -0.532,          -0.170,          -0.077
     152,          2.516667,           9.451,          12.501,           0.041,          -0.703,          -0.864,           0.332,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.703,           0.270,           0.135,           0.864,          -0.051,          -0.031,          -0.028,          -0.044,          -0.065,          -0.135,          -0.433,           0.205,           0.196,           0.240,           0.251,           0.212,           0.226,           0.236,          -0.532,          -0.171,          -0.077
     153,          2.533334,           9.211,          12.248,           0.040,          -0.703,          -0.864,           0.332,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.703,           0.270,           0.135,           0.864,          -0.051,          -0.031,          -0.028,          -0.044,          -0.065,          -0.135,          -0.433,           0.205,           0.196,           0.240,           0.251,           0.212,           0.226,           0.237,          -0.532,          -0.171,          -0.077
     154,          2.550000,           8.973,          12.056,           0.039,          -0.704,          -0.864,           0.332,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.704,           0.270,           0.135,           0.864,          -0.051,          -0.031,          -0.028,          -0.044,          -0.065,          -0.135,          -0.434,           0.205,           0.196,           0.240,           0.251,           0.212,           0.226,           0.237,          -0.533,          -0.171,          -0.077
     155,          2.566667,           8.773,          11.834,           0.038,          -0.704,          -0.865,           0.332,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.704,           0.270,           0.135,           0.865,          -0.051,          -0.031,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.196,           0.240,           0.251,           0.212,           0.226,           0.237,          -0.533,          -0.171,          -0.077
     156,          2.583333,           8.530,          11.621,           0.037,          -0.704,          -0.865,           0.332,           0.084,           0.161,           0.033,           0.002,           0.069,           0.000,          -0.026,           0.704,           0.270,           0.135,           0.865,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.240,           0.251,           0.212,           0.227,           0.237,          -0.533,          -0.171,          -0.077
     157,          2.600000,           8.283,          11.367,           0.035,          -0.704,          -0.865,           0.332,           0.084,           0.161,           0.033,           0.002,           0.070,           0.000,          -0.026,           0.704,           0.270,           0.135,           0.865,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.240,           0.251,           0.212,           0.227,           0.237,          -0.533,          -0.171,          -0.077
     158,          2.616667,           8.041,          11.194,           0.034,          -0.704,          -0.865,           0.332,           0.084,           0.161,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.704,           0.270,           0.135,           0.865,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.240,           0.251,           0.212,           0.227,           0.237,          -0.533,          -0.171,          -0.077
     159,          2.633333,           7.802,          10.920,           0.033,          -0.705,          -0.866,           0.332,           0.084,           0.161,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.270,           0.135,           0.866,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.240,           0.252,           0.213,           0.227,           0.237,          -0.533,          -0.171,          -0.077
     160,          2.650000,           7.619,          10.702,           0.033,          -0.705,          -0.866,           0.332,           0.084,           0.161,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.270,           0.135,           0.866,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.533,          -0.171,          -0.077
     161,          2.666667,           7.451,          10.449,           0.032,          -0.705,          -0.866,           0.332,           0.084,           0.161,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.270,           0.135,           0.866,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     162,          2.683333,           7.270,          10.249,           0.031,          -0.705,          -0.866,           0.333,           0.084,           0.161,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.270,           0.135,           0.866,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.434,           0.205,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     163,          2.700000,           7.094,          10.054,           0.030,          -0.705,          -0.866,           0.333,           0.084,           0.161,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.271,           0.135,           0.866,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     164,          2.716667,           6.898,           9.803,           0.029,          -0.705,          -0.867,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.271,           0.135,           0.867,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     165,          2.733334,           6.698,           9.559,           0.028,          -0.705,          -0.867,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.271,           0.135,           0.867,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     166,          2.750000,           6.492,           9.354,           0.027,          -0.705,          -0.867,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.705,           0.271,           0.135,           0.867,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     167,          2.766667,           6.276,           9.090,           0.026,          -0.706,          -0.867,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.867,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.135,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     168,          2.783334,           6.058,           8.932,           0.026,          -0.706,          -0.867,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.867,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     169,          2.800000,           5.826,           8.681,           0.025,          -0.706,          -0.867,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.867,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.534,          -0.171,          -0.077
     170,          2.816667,           5.589,           8.464,           0.024,          -0.706,          -0.868,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.171,          -0.077
     171,          2.833333,           5.346,           8.241,           0.023,          -0.706,          -0.868,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.171,          -0.077
     172,          2.850000,           5.101,           8.018,           0.023,          -0.706,          -0.868,           0.333,           0.084,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.171,          -0.077
     173,          2.866667,           4.845,           7.890,           0.022,          -0.706,          -0.868,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.171,          -0.077
     174,          2.883333,           4.603,           7.697,           0.021,          -0.706,          -0.868,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.171,          -0.077
     175,          2.900000,           4.357,           7.458,           0.021,          -0.706,          -0.868,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.171,          -0.077
     176,          2.916667,           4.114,           7.263,           0.020,          -0.706,          -0.868,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.237,          -0.535,          -0.172,          -0.077
     177,          2.933333,           3.886,           7.061,           0.020,          -0.706,          -0.868,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.706,           0.271,           0.135,           0.868,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.435,           0.206,           0.197,           0.241,           0.252,           0.213,           0.227,           0.238,          -0.535,          -0.172,          -0.077
     178,          2.950000,           3.668,           6.870,           0.019,          -0.707,          -0.869,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.707,           0.271,           0.135,           0.869,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.436,           0.206,           0.198,           0.241,           0.252,           0.213,           0.227,           0.238,          -0.535,          -0.172,          -0.077
     179,          2.966667,           3.465,           6.676,           0.018,          -0.707,          -0.869,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.707,           0.271,           0.135,           0.869,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.436,           0.206,           0.198,           0.241,           0.252,           0.213,           0.227,           0.238,          -0.535,          -0.172,          -0.077
     180,          2.983334,           3.280,           6.489,           0.018,          -0.707,          -0.869,           0.333,           0.085,           0.162,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.707,           0.271,           0.135,           0.869,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.436,           0.206,           0.198,           0.241,           0.252,           0.213,           0.227,           0.238,          -0.535,          -0.172,          -0.077
     181,          3.000000,           3.106,           6.289,           0.017,          -0.707,          -0.869,           0.335,           0.085,           0.158,           0.034,           0.002,           0.070,           0.000,          -0.026,           0.707,           0.271,           0.135,           0.869,          -0.051,          -0.032,          -0.028,          -0.044,          -0.066,          -0.136,          -0.436,           0.206,           0.198,           0.241,           0.252,           0.213,           0.227,           0.238,          -0.536,          -0.169,          -0.079
