"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","Q FC01.1_R [EG15_007]","Q FC01.2_R [EG15_007]","Q FC04.1_C [EG15_007]","Q Node20 [EG15_007]","Q Pit10 [EG15_007]","Q Pit11 [EG15_007]","Q Pit13 [EG15_007]","Q Pit15 [EG15_007]","Q Pit18 [EG15_007]","Q Pit19 [EG15_007]","Q Pit2 [EG15_007]","Q Pit4 [EG15_007]","Q Pit5 [EG15_007]","Q Pit6 [EG15_007]","Q Pit7 [EG15_007]","Q Pit9 [EG15_007]"
     139,          2.300000,          12.207,          16.898,           0.058,          -0.124,           0.026,           0.012,           0.004,           0.000,           0.020,           0.024,           0.008,           0.002,           0.006,           0.015,           0.000,           0.008
     140,          2.316667,          11.967,          16.422,           0.057,          -0.121,           0.025,           0.011,           0.003,           0.000,           0.019,           0.024,           0.008,           0.002,           0.006,           0.014,           0.000,           0.008
     141,          2.333333,          11.730,          15.963,           0.055,          -0.121,           0.024,           0.011,           0.003,           0.002,           0.019,           0.023,           0.008,           0.002,           0.006,           0.014,           0.002,           0.007
     142,          2.350000,          11.498,          15.528,           0.054,          -0.115,           0.023,           0.011,           0.003,           0.000,           0.018,           0.022,           0.007,           0.002,           0.006,           0.013,           0.002,           0.007
     143,          2.366667,          11.292,          15.121,           0.053,          -0.111,           0.022,           0.010,           0.003,           0.002,           0.018,           0.022,           0.007,           0.000,           0.006,           0.013,           0.002,           0.007
     144,          2.383333,          11.077,          14.800,           0.051,          -0.104,           0.022,           0.010,           0.003,           0.000,           0.017,           0.021,           0.007,           0.000,           0.005,           0.012,           0.000,           0.006
     145,          2.400000,          10.851,          14.447,           0.050,          -0.105,           0.021,           0.009,           0.003,           0.000,           0.017,           0.021,           0.007,           0.002,           0.005,           0.012,           0.002,           0.006
     146,          2.416667,          10.647,          14.144,           0.049,          -0.101,           0.020,           0.009,           0.003,           0.000,           0.017,           0.020,           0.007,           0.002,           0.005,           0.011,           0.002,           0.006
     147,          2.433333,          10.468,          13.824,           0.047,          -0.098,           0.019,           0.009,           0.002,           0.000,           0.016,           0.020,           0.007,           0.002,           0.005,           0.011,           0.002,           0.006
     148,          2.450000,          10.296,          13.515,           0.046,          -0.094,           0.018,           0.008,           0.002,           0.000,           0.016,           0.019,           0.006,           0.002,           0.005,           0.010,           0.002,           0.005
     149,          2.466667,          10.116,          13.247,           0.045,          -0.090,           0.018,           0.008,           0.002,           0.000,           0.015,           0.018,           0.005,           0.002,           0.004,           0.010,           0.002,           0.005
     150,          2.483333,           9.915,          12.982,           0.044,          -0.085,           0.017,           0.008,           0.002,           0.000,           0.015,           0.018,           0.005,           0.000,           0.004,           0.010,           0.002,           0.005
     151,          2.500000,           9.686,          12.729,           0.042,          -0.082,           0.016,           0.008,           0.002,           0.000,           0.014,           0.017,           0.005,           0.000,           0.004,           0.009,           0.002,           0.005
     152,          2.516667,           9.451,          12.494,           0.041,          -0.077,           0.016,           0.007,           0.000,           0.000,           0.014,           0.016,           0.004,           0.000,           0.004,           0.009,           0.002,           0.004
     153,          2.533334,           9.212,          12.240,           0.040,          -0.077,           0.015,           0.007,           0.000,           0.000,           0.014,           0.016,           0.004,           0.002,           0.004,           0.008,           0.002,           0.004
     154,          2.550000,           8.972,          12.011,           0.039,          -0.072,           0.015,           0.007,           0.000,           0.000,           0.013,           0.015,           0.004,           0.000,           0.004,           0.008,           0.002,           0.004
     155,          2.566667,           8.773,          11.811,           0.038,          -0.071,           0.014,           0.007,           0.000,           0.000,           0.013,           0.015,           0.004,           0.002,           0.004,           0.008,           0.002,           0.004
     156,          2.583333,           8.529,          11.593,           0.037,          -0.067,           0.014,           0.006,           0.000,           0.000,           0.012,           0.014,           0.004,           0.000,           0.004,           0.008,           0.002,           0.004
     157,          2.600000,           8.282,          11.381,           0.035,          -0.064,           0.013,           0.006,           0.000,           0.000,           0.012,           0.014,           0.003,           0.000,           0.003,           0.007,           0.002,           0.003
     158,          2.616667,           8.040,          11.196,           0.034,          -0.062,           0.013,           0.006,           0.002,           0.000,           0.011,           0.013,           0.003,           0.000,           0.003,           0.007,           0.000,           0.003
     159,          2.633333,           7.802,          10.979,           0.033,          -0.060,           0.012,           0.006,           0.002,           0.000,           0.011,           0.013,           0.003,           0.000,           0.003,           0.007,           0.000,           0.003
     160,          2.650000,           7.619,          10.689,           0.033,          -0.056,           0.012,           0.005,           0.000,           0.000,           0.011,           0.013,           0.003,           0.000,           0.003,           0.006,           0.000,           0.003
     161,          2.666667,           7.450,          10.452,           0.032,          -0.054,           0.011,           0.005,           0.000,           0.000,           0.010,           0.013,           0.003,           0.000,           0.003,           0.006,           0.000,           0.003
     162,          2.683333,           7.271,          10.240,           0.031,          -0.056,           0.011,           0.005,           0.000,           0.000,           0.009,           0.012,           0.003,           0.002,           0.003,           0.006,           0.002,           0.003
     163,          2.700000,           7.094,          10.028,           0.030,          -0.054,           0.010,           0.005,           0.002,           0.000,           0.009,           0.011,           0.003,           0.000,           0.003,           0.006,           0.002,           0.002
     164,          2.716667,           6.898,           9.778,           0.029,          -0.045,           0.010,           0.005,           0.000,           0.000,           0.008,           0.011,           0.003,           0.000,           0.003,           0.005,           0.000,           0.000
     165,          2.733334,           6.697,           9.562,           0.028,          -0.050,           0.010,           0.005,           0.002,           0.000,           0.008,           0.010,           0.002,           0.000,           0.003,           0.005,           0.000,           0.004
     166,          2.750000,           6.492,           9.355,           0.027,          -0.042,           0.009,           0.005,           0.000,           0.000,           0.008,           0.010,           0.002,           0.000,           0.002,           0.005,           0.000,           0.000
     167,          2.766667,           6.277,           9.128,           0.026,          -0.044,           0.009,           0.004,           0.002,           0.000,           0.007,           0.009,           0.002,           0.000,           0.002,           0.005,           0.002,           0.000
     168,          2.783334,           6.058,           8.921,           0.026,          -0.038,           0.009,           0.004,           0.000,           0.000,           0.007,           0.009,           0.002,           0.000,           0.002,           0.004,           0.000,           0.000
     169,          2.800000,           5.826,           8.675,           0.025,          -0.034,           0.008,           0.004,           0.000,           0.000,           0.007,           0.009,           0.000,           0.000,           0.002,           0.004,           0.000,           0.000
     170,          2.816667,           5.589,           8.446,           0.024,          -0.042,           0.008,           0.004,           0.002,           0.000,           0.006,           0.008,           0.003,           0.002,           0.002,           0.004,           0.002,           0.000
     171,          2.833333,           5.346,           8.257,           0.023,          -0.034,           0.007,           0.004,           0.000,           0.000,           0.006,           0.008,           0.003,           0.000,           0.002,           0.004,           0.000,           0.000
     172,          2.850000,           5.101,           8.038,           0.023,          -0.035,           0.007,           0.004,           0.000,           0.000,           0.006,           0.008,           0.003,           0.000,           0.002,           0.004,           0.002,           0.000
     173,          2.866667,           4.844,           7.905,           0.022,          -0.031,           0.007,           0.004,           0.000,           0.000,           0.006,           0.007,           0.002,           0.000,           0.002,           0.003,           0.000,           0.000
     174,          2.883333,           4.603,           7.667,           0.021,          -0.028,           0.007,           0.003,           0.000,           0.000,           0.005,           0.007,           0.000,           0.000,           0.002,           0.003,           0.000,           0.000
     175,          2.900000,           4.357,           7.460,           0.021,          -0.030,           0.007,           0.003,           0.000,           0.000,           0.005,           0.007,           0.003,           0.000,           0.002,           0.003,           0.000,           0.000
     176,          2.916667,           4.114,           7.264,           0.020,          -0.030,           0.006,           0.003,           0.000,           0.000,           0.005,           0.007,           0.002,           0.000,           0.002,           0.003,           0.002,           0.000
     177,          2.933333,           3.886,           7.061,           0.020,          -0.028,           0.006,           0.003,           0.000,           0.000,           0.005,           0.006,           0.003,           0.000,           0.002,           0.003,           0.000,           0.000
     178,          2.950000,           3.669,           6.858,           0.019,          -0.025,           0.006,           0.003,           0.000,           0.000,           0.005,           0.006,           0.000,           0.000,           0.002,           0.003,           0.000,           0.000
     179,          2.966667,           3.465,           6.683,           0.018,          -0.029,           0.006,           0.003,           0.000,           0.000,           0.005,           0.006,           0.003,           0.002,           0.002,           0.003,           0.000,           0.000
     180,          2.983334,           3.279,           6.485,           0.018,          -0.026,           0.006,           0.003,           0.000,           0.000,           0.004,           0.006,           0.003,           0.000,           0.000,           0.002,           0.002,           0.000
     181,          3.000000,           3.106,           6.277,           0.017,          -0.023,           0.006,           0.003,           0.000,           0.000,           0.004,           0.005,           0.003,           0.000,           0.000,           0.002,           0.000,           0.000
