"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","Q FC01.1_R [EG15_007]","Q FC01.2_R [EG15_007]","Q FC04.1_C [EG15_007]","Q Node20 [EG15_007]","Q Pit10 [EG15_007]","Q Pit11 [EG15_007]","Q Pit13 [EG15_007]","Q Pit15 [EG15_007]","Q Pit18 [EG15_007]","Q Pit19 [EG15_007]","Q Pit2 [EG15_007]","Q Pit4 [EG15_007]","Q Pit5 [EG15_007]","Q Pit6 [EG15_007]","Q Pit7 [EG15_007]","Q Pit9 [EG15_007]"
      33,          0.533333,          20.457,          11.911,           0.503,          -1.448,           0.222,           0.210,           0.179,           0.054,           0.103,           0.117,           0.083,           0.054,           0.087,           0.107,           0.069,           0.163
      34,          0.550000,          24.206,          -0.114,           0.515,          -1.469,           0.225,           0.214,           0.183,           0.061,           0.103,           0.116,           0.083,           0.054,           0.087,           0.107,           0.069,           0.167
      35,          0.566667,          28.460,          10.801,           0.524,          -1.488,           0.227,           0.216,           0.186,           0.068,           0.103,           0.116,           0.083,           0.054,           0.087,           0.107,           0.069,           0.171
      36,          0.583333,          31.477,          10.673,           0.533,          -1.504,           0.230,           0.219,           0.189,           0.073,           0.103,           0.116,           0.083,           0.054,           0.087,           0.107,           0.069,           0.174
      37,          0.600000,          34.276,          12.102,           0.539,          -1.516,           0.232,           0.221,           0.192,           0.078,           0.103,           0.116,           0.083,           0.054,           0.087,           0.106,           0.068,           0.177
      38,          0.616667,          36.703,          13.826,           0.545,          -1.526,           0.234,           0.223,           0.194,           0.083,           0.102,           0.115,           0.082,           0.053,           0.086,           0.106,           0.068,           0.179
      39,          0.633333,          38.800,          15.956,           0.548,          -1.534,           0.235,           0.225,           0.196,           0.087,           0.102,           0.115,           0.082,           0.053,           0.086,           0.105,           0.068,           0.181
      40,          0.650000,          40.686,          18.562,           0.551,          -1.541,           0.237,           0.226,           0.197,           0.090,           0.101,           0.114,           0.081,           0.052,           0.085,           0.105,           0.067,           0.183
      41,          0.666667,          42.426,          21.358,           0.552,          -1.545,           0.238,           0.228,           0.199,           0.093,           0.101,           0.114,           0.081,           0.052,           0.085,           0.104,           0.067,           0.185
      42,          0.683333,          44.043,          24.145,           0.552,          -1.547,           0.239,           0.229,           0.200,           0.095,           0.100,           0.113,           0.080,           0.051,           0.084,           0.104,           0.066,           0.186
      43,          0.700000,          45.293,          26.661,           0.551,          -1.547,           0.240,           0.229,           0.201,           0.097,           0.099,           0.112,           0.079,           0.051,           0.084,           0.103,           0.066,           0.187
      44,          0.716667,          46.110,          29.175,           0.549,          -1.545,           0.240,           0.230,           0.202,           0.098,           0.098,           0.111,           0.078,           0.050,           0.083,           0.102,           0.065,           0.188
      45,          0.733333,          46.617,          31.528,           0.547,          -1.543,           0.240,           0.230,           0.202,           0.099,           0.097,           0.110,           0.077,           0.049,           0.082,           0.101,           0.064,           0.188
      46,          0.750000,          46.929,          33.878,           0.543,          -1.539,           0.241,           0.231,           0.202,           0.100,           0.097,           0.109,           0.077,           0.049,           0.081,           0.101,           0.064,           0.189
      47,          0.766667,          47.126,          36.444,           0.539,          -1.532,           0.241,           0.231,           0.202,           0.100,           0.095,           0.108,           0.075,           0.048,           0.080,           0.100,           0.063,           0.189
      48,          0.783333,          47.238,          39.498,           0.533,          -1.523,           0.241,           0.230,           0.202,           0.100,           0.094,           0.107,           0.074,           0.047,           0.079,           0.099,           0.062,           0.188
      49,          0.800000,          47.305,          43.168,           0.527,          -1.513,           0.240,           0.230,           0.202,           0.099,           0.093,           0.106,           0.073,           0.046,           0.078,           0.098,           0.061,           0.188
      50,          0.816667,          47.356,          47.249,           0.520,          -1.502,           0.240,           0.230,           0.201,           0.097,           0.092,           0.104,           0.072,           0.045,           0.077,           0.097,           0.060,           0.187
      51,          0.833333,          47.392,          50.989,           0.513,          -1.490,           0.239,           0.229,           0.200,           0.096,           0.091,           0.103,           0.071,           0.044,           0.076,           0.096,           0.059,           0.187
      52,          0.850000,          47.420,          54.100,           0.505,          -1.474,           0.238,           0.228,           0.199,           0.094,           0.089,           0.101,           0.069,           0.043,           0.075,           0.095,           0.057,           0.185
      53,          0.866667,          47.438,          56.592,           0.497,          -1.457,           0.237,           0.227,           0.198,           0.091,           0.088,           0.100,           0.068,           0.042,           0.073,           0.093,           0.056,           0.184
      54,          0.883333,          47.450,          58.650,           0.487,          -1.439,           0.236,           0.226,           0.197,           0.088,           0.087,           0.098,           0.066,           0.041,           0.072,           0.092,           0.055,           0.182
