No,Node,Bed Level,Top Level,nChannels,Channels
    31,"FC01.1_R.1",      45.399,      52.324,    1,"FC01.1_R"
    32,"FC01.1_R.2",      44.499,      51.424,    1,"FC01.1_R"
    29,"FC01.2_R.1",      37.599,      43.883,    1,"FC01.2_R"
    30,"FC01.2_R.2",      37.499,      43.783,    1,"FC01.2_R"
    27,"FC04.1_C.1",      43.349,      49.633,    1,"FC04.1_C"
    28,"FC04.1_C.2",      42.749,      49.033,    1,"FC04.1_C"
    25,"Node20.1",      39.813,      44.813,    1,"Node20"
    26,"Node20.2",      29.813,      34.813,    1,"Node20"
    13,"Pit10.1",      42.753,      47.753,    1,"Pit10"
    14,"Pit10.2",      32.753,      37.753,    1,"Pit10"
    15,"Pit11.1",      42.776,      47.776,    1,"Pit11"
    16,"Pit11.2",      32.776,      37.776,    1,"Pit11"
    17,"Pit13.1",      42.837,      47.837,    1,"Pit13"
    18,"Pit13.2",      32.837,      37.837,    1,"Pit13"
    19,"Pit15.1",      42.989,      47.989,    1,"Pit15"
    20,"Pit15.2",      32.989,      37.989,    1,"Pit15"
    21,"Pit18.1",      43.322,      48.322,    1,"Pit18"
    22,"Pit18.2",      33.322,      38.322,    1,"Pit18"
    23,"Pit19.1",      43.340,      48.340,    1,"Pit19"
    24,"Pit19.2",      33.340,      38.340,    1,"Pit19"
     1,"Pit2.1",      43.216,      48.216,    1,"Pit2"
     2,"Pit2.2",      33.216,      38.216,    1,"Pit2"
     3,"Pit4.1",      43.308,      48.308,    1,"Pit4"
     4,"Pit4.2",      33.308,      38.308,    1,"Pit4"
     5,"Pit5.1",      43.277,      48.277,    1,"Pit5"
     6,"Pit5.2",      33.277,      38.277,    1,"Pit5"
     7,"Pit6.1",      43.253,      48.253,    1,"Pit6"
     8,"Pit6.2",      33.253,      38.253,    1,"Pit6"
     9,"Pit7.1",      43.147,      48.147,    1,"Pit7"
    10,"Pit7.2",      33.147,      38.147,    1,"Pit7"
    11,"Pit9.1",      42.864,      47.864,    1,"Pit9"
    12,"Pit9.2",      32.864,      37.864,    1,"Pit9"
