"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Time (h)","H FC01.1_R.1 [EG15_003]","H FC01.1_R.2 [EG15_003]","H FC01.2_R.1 [EG15_003]","H FC01.2_R.2 [EG15_003]","H FC04.1_C.1 [EG15_003]","H FC04.1_C.2 [EG15_003]","H Pipe16.2 [EG15_003]","H Pit1 [EG15_003]","H Pit1.1 [EG15_003]","H Pit10 [EG15_003]","H Pit10.1 [EG15_003]","H Pit11 [EG15_003]","H Pit11.1 [EG15_003]","H Pit12 [EG15_003]","H Pit12.1 [EG15_003]","H Pit13 [EG15_003]","H Pit13.1 [EG15_003]","H Pit14 [EG15_003]","H Pit14.1 [EG15_003]","H Pit15 [EG15_003]","H Pit15.1 [EG15_003]","H Pit16 [EG15_003]","H Pit16.1 [EG15_003]","H Pit17 [EG15_003]","H Pit17.1 [EG15_003]","H Pit18 [EG15_003]","H Pit18.1 [EG15_003]","H Pit19 [EG15_003]","H Pit19.1 [EG15_003]","H Pit2 [EG15_003]","H Pit2.1 [EG15_003]","H Pit3 [EG15_003]","H Pit3.1 [EG15_003]","H Pit4 [EG15_003]","H Pit4.1 [EG15_003]","H Pit5 [EG15_003]","H Pit5.1 [EG15_003]","H Pit6 [EG15_003]","H Pit6.1 [EG15_003]","H Pit7 [EG15_003]","H Pit7.1 [EG15_003]","H Pit8 [EG15_003]","H Pit8.1 [EG15_003]","H Pit9 [EG15_003]","H Pit9.1 [EG15_003]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2819,     40.7645,     42.7593,     40.6586,     42.7808,     40.5253,     42.8143,     39.9990,     42.8368,     40.8677,     42.8596,     40.9729,     43.0052,     41.1447,     43.1597,     41.3168,     43.2892,     41.4118,     43.3220,     41.6968,     43.3418,     41.4668,     43.2164,     41.3484,     43.3006,     41.4497,     43.3093,     41.8990,     43.2794,     41.6710,     43.2589,     41.1545,     43.1652,     40.9873,     43.0140,     40.8067,     42.8812
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8021,     41.6069,     43.2819,     40.7681,     42.7593,     40.6637,     42.7808,     40.5287,     42.8143,     40.0052,     42.8368,     40.8724,     42.8596,     40.9782,     43.0052,     41.1504,     43.1597,     41.3219,     43.2892,     41.4169,     43.3220,     41.6994,     43.3418,     41.4736,     43.2164,     41.3533,     43.3006,     41.4527,     43.3093,     41.9033,     43.2794,     41.6742,     43.2589,     41.1600,     43.1661,     40.9927,     43.0140,     40.8119,     42.8812
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8044,     41.6117,     43.2819,     40.7713,     42.7593,     40.6683,     42.7808,     40.5327,     42.8143,     40.0086,     42.8368,     40.8756,     42.8596,     40.9806,     43.0052,     41.1547,     43.1597,     41.3280,     43.2892,     41.4211,     43.3220,     41.7017,     43.3418,     41.4802,     43.2164,     41.3561,     43.3006,     41.4568,     43.3093,     41.9057,     43.2794,     41.6771,     43.2589,     41.1625,     43.1652,     40.9962,     43.0140,     40.8174,     42.8812
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8096,     41.6314,     43.2828,     40.7837,     42.7596,     40.6766,     42.7814,     40.5413,     42.8143,     40.0182,     42.8384,     40.8857,     42.8596,     40.9888,     43.0052,     41.1604,     43.1597,     41.3360,     43.2892,     41.4328,     43.3220,     41.7104,     43.3418,     41.4954,     43.2164,     41.3633,     43.3006,     41.4661,     43.3103,     41.9177,     43.2806,     41.6917,     43.2589,     41.1711,     43.1652,     41.0028,     43.0140,     40.8265,     42.8812
       5,          0.066667,     45.3990,     44.4990,     37.5990,     37.5442,     43.3490,     42.7490,     39.8152,     41.6365,     43.2819,     40.8118,     42.7601,     40.6958,     42.7808,     40.5569,     42.8143,     40.0252,     42.8368,     40.8986,     42.8596,     40.9955,     43.0069,     41.1673,     43.1597,     41.3519,     43.2892,     41.4445,     43.3220,     41.7155,     43.3418,     41.5151,     43.2164,     41.3769,     43.3006,     41.4745,     43.3093,     41.9353,     43.2804,     41.7082,     43.2595,     41.1804,     43.1662,     41.0123,     43.0140,     40.8322,     42.8812
       6,          0.083333,     45.3990,     44.4990,     37.6390,     37.5401,     43.3490,     42.7613,     39.8245,     41.6376,     43.2829,     40.8368,     42.7622,     40.7252,     42.7809,     40.5809,     42.8174,     40.0391,     42.8368,     40.9102,     42.8596,     41.0052,     43.0052,     41.1769,     43.1608,     41.3732,     43.2892,     41.4585,     43.3220,     41.7174,     43.3418,     41.5267,     43.2251,     41.3943,     43.3030,     41.4857,     43.3105,     41.9467,     43.2824,     41.7297,     43.2603,     41.1957,     43.1686,     41.0222,     43.0156,     40.8424,     42.8812
       7,          0.100000,     45.3990,     44.4990,     37.6136,     37.5075,     43.3490,     42.7801,     39.8426,     41.6334,     43.2866,     40.8633,     42.7646,     40.7612,     42.7824,     40.6179,     42.8143,     40.0649,     42.8368,     40.9228,     42.8596,     41.0131,     43.0071,     41.1955,     43.1597,     41.3969,     43.2892,     41.4733,     43.3220,     41.7454,     43.3418,     41.5443,     43.2189,     41.4155,     43.3006,     41.4987,     43.3093,     41.9579,     43.2794,     41.7409,     43.2608,     41.2179,     43.1652,     41.0393,     43.0156,     40.8687,     42.8844
       8,          0.116667,     45.3990,     44.4990,     37.6156,     37.5001,     43.3490,     42.7969,     39.8813,     41.6483,     43.2863,     40.9000,     42.7678,     40.7992,     42.7840,     40.6627,     42.8143,     40.1089,     42.8481,     40.9455,     42.8621,     41.0297,     43.0052,     41.2175,     43.1597,     41.4214,     43.2916,     41.4919,     43.3266,     41.7576,     43.3418,     41.5673,     43.2164,     41.4398,     43.3006,     41.5123,     43.3093,     41.9697,     43.2810,     41.7527,     43.2617,     41.2405,     43.1656,     41.0659,     43.0140,     40.9061,     42.8852
       9,          0.133333,     45.3990,     44.4990,     37.6196,     37.5042,     43.3490,     42.8043,     39.9574,     41.6480,     43.2819,     40.9436,     42.7716,     40.8451,     42.7851,     40.7132,     42.8182,     40.1586,     42.8397,     40.9752,     42.8635,     41.0503,     43.0052,     41.2426,     43.1597,     41.4469,     43.2892,     41.5150,     43.3251,     41.7705,     43.3485,     41.5969,     43.2258,     41.4689,     43.3006,     41.5290,     43.3118,     41.9809,     43.2832,     41.7707,     43.2629,     41.2677,     43.1657,     41.0944,     43.0140,     40.9502,     42.8869
      10,          0.150000,     45.3990,     44.4990,     37.6249,     37.5181,     43.3490,     42.8069,     40.0816,     41.6446,     43.2819,     40.9934,     42.7765,     40.8968,     42.7863,     40.7715,     42.8199,     40.2205,     42.8406,     41.0097,     42.8650,     41.0784,     43.0074,     41.2749,     43.1617,     41.4743,     43.2900,     41.5349,     43.3258,     41.7851,     43.3512,     41.6283,     43.2253,     41.5054,     43.3006,     41.5484,     43.3109,     41.9926,     43.2826,     41.7828,     43.2638,     41.2972,     43.1652,     41.1288,     43.0151,     41.0020,     42.8846
      11,          0.166667,     45.3990,     44.4990,     37.6280,     37.4990,     43.3490,     42.8079,     40.2729,     41.6534,     43.2832,     41.0433,     42.7821,     40.9520,     42.7876,     40.8324,     42.8214,     40.2910,     42.8473,     41.0471,     42.8662,     41.1153,     43.0058,     41.3124,     43.1608,     41.5030,     43.2905,     41.5616,     43.3266,     41.8135,     43.3473,     41.6481,     43.2289,     41.5417,     43.3006,     41.5698,     43.3125,     42.0059,     43.2840,     41.7965,     43.2650,     41.3263,     43.1668,     41.1626,     43.0174,     41.0528,     42.8866
      12,          0.183333,     45.3990,     44.4990,     37.6325,     37.5118,     43.3490,     42.8088,     40.4461,     41.6724,     43.2819,     41.0892,     42.7871,     41.0051,     42.7893,     40.8913,     42.8228,     40.4551,     42.8552,     41.0863,     42.8672,     41.1567,     43.0064,     41.3500,     43.1597,     41.5367,     43.2892,     41.5862,     43.3276,     41.8311,     43.3489,     41.6683,     43.2315,     41.5751,     43.3006,     41.5936,     43.3132,     42.0245,     43.2859,     41.8124,     43.2666,     41.3598,     43.1682,     41.1979,     43.0180,     41.0989,     42.8878
      13,          0.200000,     45.5542,     44.4990,     37.5990,     37.5938,     43.3554,     42.8100,     40.7836,     41.6913,     43.2819,     41.1327,     42.7913,     41.0544,     42.7910,     40.9450,     42.8240,     40.7841,     42.8434,     41.1253,     42.8675,     41.1979,     43.0052,     41.3868,     43.1597,     41.5736,     43.2929,     41.6088,     43.3287,     41.8495,     43.3508,     41.6894,     43.2360,     41.6096,     43.3006,     41.6208,     43.3146,     42.0434,     43.2879,     41.8369,     43.2694,     41.3966,     43.1656,     41.2369,     43.0188,     41.1473,     42.8909
      14,          0.216667,     45.7266,     44.4990,     37.6248,     37.5764,     43.3771,     42.8151,     41.3970,     41.7115,     43.2819,     41.4262,     42.7950,     41.4210,     42.7928,     41.4135,     42.8250,     41.4067,     42.8528,     41.3901,     42.8686,     41.3827,     43.0087,     41.4229,     43.1625,     41.6137,     43.2933,     41.6345,     43.3301,     41.8721,     43.3536,     41.7101,     43.2409,     41.6446,     43.3006,     41.6556,     43.3162,     42.0634,     43.2901,     41.8637,     43.2727,     41.4376,     43.1691,     41.4126,     43.0193,     41.4220,     42.8882
      15,          0.233333,     45.8317,     44.5687,     37.6237,     37.6205,     43.3991,     42.8277,     41.8660,     41.7686,     43.2868,     41.8954,     42.7981,     41.8910,     42.7944,     41.8801,     42.8260,     41.8660,     42.8458,     41.8591,     42.8695,     41.8197,     43.0076,     41.8052,     43.1625,     41.8557,     43.2939,     41.8505,     43.3324,     41.9085,     43.3609,     41.7748,     43.2461,     41.7721,     43.3006,     41.7666,     43.3176,     42.0821,     43.2923,     41.8891,     43.2777,     41.8610,     43.1652,     41.8764,     43.0201,     41.8885,     42.8890
      16,          0.250000,     45.9073,     44.6758,     37.6768,     37.6213,     43.4228,     42.8455,     42.6657,     42.5121,     43.2819,     42.7938,     42.8081,     42.7645,     42.7963,     42.7212,     42.8268,     42.6639,     42.8479,     42.6395,     42.8702,     42.5789,     43.0083,     42.5409,     43.1626,     42.9220,     43.2962,     42.9313,     43.3392,     42.9433,     43.3763,     42.5264,     43.2475,     42.5164,     43.3048,     42.4820,     43.3188,     42.4476,     43.2945,     42.9277,     43.2827,     42.8740,     43.1682,     42.8562,     43.0207,     42.8309,     42.8889
      17,          0.266667,     45.9641,     44.7536,     37.6263,     37.6142,     43.4473,     42.8575,     42.9048,     43.1436,     43.2829,     42.8961,     42.8566,     42.8883,     42.8522,     42.8929,     42.8713,     42.9052,     42.8972,     42.9269,     42.9035,     42.9903,     43.0080,     43.0544,     43.1624,     43.2918,     43.3042,     43.3343,     43.3575,     43.3523,     43.3953,     43.1509,     43.2506,     43.1318,     43.3006,     43.1456,     43.3197,     43.1548,     43.2968,     43.2983,     43.3062,     43.1689,     43.1710,     43.0445,     43.0443,     42.9512,     42.9270
      18,          0.283333,     46.0115,     44.8109,     37.7337,     37.6314,     43.4720,     42.8695,     42.9301,     43.2123,     43.2819,     42.9281,     42.8978,     42.9211,     42.8997,     42.9222,     42.9023,     42.9309,     42.9166,     42.9470,     42.9133,     43.0245,     43.0252,     43.1065,     43.1620,     43.3051,     43.3174,     43.3502,     43.3754,     43.3685,     43.4119,     43.2194,     43.2533,     43.2097,     43.3079,     43.2177,     43.3204,     43.2251,     43.3005,     43.3106,     43.3169,     43.1839,     43.1862,     43.0541,     43.0506,     42.9699,     42.9360
      19,          0.300000,     46.0571,     44.8679,     37.7167,     37.6476,     43.4961,     42.8821,     42.9551,     43.2326,     43.2819,     42.9594,     42.9404,     42.9529,     42.9385,     42.9500,     42.9346,     42.9558,     42.9361,     42.9685,     42.9335,     43.0369,     43.0338,     43.1209,     43.1597,     43.3170,     43.3291,     43.3643,     43.3908,     43.3835,     43.4277,     43.2379,     43.2659,     43.2248,     43.3006,     43.2456,     43.3208,     43.2599,     43.3076,     43.3219,     43.3268,     43.1956,     43.1985,     43.0664,     43.0592,     42.9887,     42.9480
      20,          0.316667,     46.1044,     44.9146,     37.6605,     37.6703,     43.5189,     42.8939,     42.9860,     43.2516,     43.2819,     42.9889,     42.9708,     42.9832,     42.9698,     42.9811,     42.9690,     42.9868,     42.9689,     42.9975,     42.9687,     43.0518,     43.0410,     43.1392,     43.1620,     43.3279,     43.3393,     43.3782,     43.4035,     43.3979,     43.4450,     43.2547,     43.2764,     43.2436,     43.3028,     43.2707,     43.3213,     43.2861,     43.3200,     43.3326,     43.3369,     43.2075,     43.2095,     43.0810,     43.0705,     43.0140,     42.9748
      21,          0.333333,     46.1523,     44.9695,     37.6869,     37.6892,     43.5390,     42.9051,     43.0161,     43.2607,     43.2874,     43.0158,     43.0025,     43.0140,     43.0024,     43.0119,     43.0024,     43.0170,     43.0016,     43.0259,     43.0020,     43.0655,     43.0471,     43.1487,     43.1627,     43.3316,     43.3460,     43.3861,     43.4109,     43.4016,     43.4467,     43.2703,     43.2812,     43.2484,     43.3006,     43.2853,     43.3230,     43.2967,     43.3342,     43.3406,     43.3453,     43.2208,     43.2185,     43.0931,     43.0814,     43.0460,     43.0035
      22,          0.350000,     46.1985,     45.0288,     37.7753,     37.6855,     43.5567,     42.9151,     43.0446,     43.2771,     43.2852,     43.0489,     43.0350,     43.0438,     43.0342,     43.0415,     43.0332,     43.0451,     43.0332,     43.0541,     43.0326,     43.0796,     43.0523,     43.1651,     43.1639,     43.3416,     43.3504,     43.3881,     43.4152,     43.4065,     43.4500,     43.2775,     43.2871,     43.2673,     43.3067,     43.3008,     43.3295,     43.3129,     43.3435,     43.3462,     43.3516,     43.2243,     43.2253,     43.1122,     43.0905,     43.0675,     43.0360
      23,          0.366667,     46.2464,     45.0897,     37.7900,     37.7282,     43.5724,     42.9259,     43.0739,     43.2839,     43.2892,     43.0782,     43.0653,     43.0732,     43.0649,     43.0712,     43.0648,     43.0745,     43.0648,     43.0835,     43.0646,     43.0968,     43.0656,     43.1800,     43.1765,     43.3457,     43.3537,     43.3917,     43.4182,     43.4101,     43.4536,     43.2857,     43.2916,     43.2746,     43.3041,     43.3129,     43.3357,     43.3223,     43.3504,     43.3506,     43.3565,     43.2311,     43.2304,     43.1257,     43.0981,     43.0913,     43.0648
      24,          0.383333,     46.3034,     45.1493,     37.7444,     37.7702,     43.5861,     42.9356,     43.1016,     43.2911,     43.2976,     43.1057,     43.0941,     43.1006,     43.0937,     43.0990,     43.0937,     43.1023,     43.0935,     43.1104,     43.0936,     43.1207,     43.0929,     43.1908,     43.1838,     43.3488,     43.3560,     43.3942,     43.4204,     43.4123,     43.4555,     43.2929,     43.2972,     43.2787,     43.3088,     43.3196,     43.3440,     43.3276,     43.3553,     43.3539,     43.3599,     43.2378,     43.2348,     43.1404,     43.1083,     43.1162,     43.0937
      25,          0.400000,     46.3694,     45.2091,     37.7754,     37.8094,     43.5983,     42.9436,     43.1276,     43.2979,     43.3023,     43.1310,     43.1209,     43.1264,     43.1205,     43.1252,     43.1206,     43.1283,     43.1205,     43.1368,     43.1211,     43.1434,     43.1205,     43.2000,     43.1889,     43.3516,     43.3578,     43.3962,     43.4220,     43.4140,     43.4568,     43.2949,     43.3005,     43.2860,     43.3044,     43.3240,     43.3500,     43.3325,     43.3591,     43.3567,     43.3628,     43.2447,     43.2389,     43.1589,     43.1263,     43.1405,     43.1202
      26,          0.416667,     46.4414,     45.2721,     37.8550,     37.8444,     43.6086,     42.9506,     43.1523,     43.2936,     43.3068,     43.1549,     43.1460,     43.1510,     43.1459,     43.1502,     43.1464,     43.1528,     43.1461,     43.1588,     43.1466,     43.1562,     43.1469,     43.2314,     43.1943,     43.3441,     43.3592,     43.3971,     43.4231,     43.4154,     43.4578,     43.3105,     43.3059,     43.2877,     43.3074,     43.3326,     43.3547,     43.3360,     43.3622,     43.3592,     43.3653,     43.2689,     43.2432,     43.1729,     43.1474,     43.1627,     43.1451
      27,          0.433333,     46.5213,     45.3376,     37.9023,     37.9102,     43.6177,     42.9565,     43.1746,     43.3072,     43.3097,     43.1776,     43.1694,     43.1738,     43.1693,     43.1728,     43.1697,     43.1752,     43.1696,     43.1802,     43.1696,     43.1825,     43.1701,     43.2272,     43.1974,     43.3530,     43.3609,     43.3987,     43.4241,     43.4167,     43.4586,     43.3051,     43.3085,     43.2992,     43.3088,     43.3319,     43.3575,     43.3415,     43.3649,     43.3611,     43.3672,     43.2639,     43.2459,     43.1958,     43.1698,     43.1845,     43.1688
      28,          0.450000,     46.6077,     45.4036,     38.0588,     37.9555,     43.6259,     42.9618,     43.1952,     43.3104,     43.3125,     43.1983,     43.1910,     43.1948,     43.1910,     43.1937,     43.1914,     43.1958,     43.1912,     43.2002,     43.1913,     43.2000,     43.1912,     43.2380,     43.2032,     43.3546,     43.3620,     43.4000,     43.4248,     43.4177,     43.4592,     43.3084,     43.3113,     43.3006,     43.3113,     43.3345,     43.3597,     43.3439,     43.3667,     43.3631,     43.3689,     43.2709,     43.2490,     43.2131,     43.1914,     43.2048,     43.1906
      29,          0.466667,     46.7088,     45.4787,     38.0949,     38.0986,     43.6331,     42.9665,     43.2142,     43.3137,     43.3153,     43.2175,     43.2112,     43.2142,     43.2110,     43.2131,     43.2110,     43.2148,     43.2111,     43.2187,     43.2109,     43.2178,     43.2105,     43.2502,     43.2149,     43.3567,     43.3630,     43.4012,     43.4255,     43.4186,     43.4597,     43.3123,     43.3142,     43.3049,     43.3153,     43.3374,     43.3617,     43.3467,     43.3685,     43.3649,     43.3703,     43.2777,     43.2519,     43.2294,     43.2107,     43.2235,     43.2106
      30,          0.483333,     46.8255,     45.5650,     38.1886,     38.1921,     43.6392,     42.9705,     43.2324,     43.3174,     43.3184,     43.2351,     43.2296,     43.2322,     43.2294,     43.2313,     43.2296,     43.2330,     43.2297,     43.2367,     43.2296,     43.2360,     43.2301,     43.2642,     43.2305,     43.3589,     43.3640,     43.4023,     43.4261,     43.4195,     43.4601,     43.3164,     43.3172,     43.3106,     43.3209,     43.3404,     43.3635,     43.3494,     43.3701,     43.3666,     43.3716,     43.2852,     43.2558,     43.2453,     43.2289,     43.2405,     43.2291
