"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time (h)","Q FC01.1_R [EG15_005]","Q FC01.2_R [EG15_005]","Q FC04.1_C [EG15_005]","Q Pipe0 [EG15_005]","Q Pipe1 [EG15_005]","Q Pipe10 [EG15_005]","Q Pipe11 [EG15_005]","Q Pipe12 [EG15_005]","Q Pipe13 [EG15_005]","Q Pipe14 [EG15_005]","Q Pipe15 [EG15_005]","Q Pipe16 [EG15_005]","Q Pipe17 [EG15_005]","Q Pipe19 [EG15_005]","Q Pipe2 [EG15_005]","Q Pipe3 [EG15_005]","Q Pipe4 [EG15_005]","Q Pipe5 [EG15_005]","Q Pipe6 [EG15_005]","Q Pipe7 [EG15_005]","Q Pipe8 [EG15_005]","Q Pipe9 [EG15_005]","Q Pit1 [EG15_005]","Q Pit11 [EG15_005]","Q Pit12 [EG15_005]","Q Pit14 [EG15_005]","Q Pit15 [EG15_005]","Q Pit16 [EG15_005]","Q Pit18 [EG15_005]","Q Pit19 [EG15_005]","Q Pit2 [EG15_005]","Q Pit4 [EG15_005]","Q Pit5 [EG15_005]","Q Pit6 [EG15_005]","Q Pit7 [EG15_005]","Q Pit8 [EG15_005]","Q Pit9 [EG15_005]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.002,           0.000,           0.000,           0.001,           0.000,           0.000,           0.001,           0.000,           0.007,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.001,           0.000,           0.001,           0.001,           0.000,           0.001,           0.000,           0.000,           0.001,           0.000,           0.001,           0.001,           0.001,           0.000,           0.000,           0.000,           0.004,           0.001,           0.002,           0.002,           0.009,           0.006,           0.000,           0.002,           0.000,           0.000,           0.008,           0.005,           0.000,           0.002
       5,          0.066667,           0.000,           0.010,           0.000,           0.005,           0.000,           0.001,           0.000,           0.001,           0.000,           0.003,           0.002,           0.001,           0.002,           0.000,           0.003,           0.003,           0.000,           0.001,           0.001,           0.002,          -0.000,           0.000,           0.020,           0.006,           0.007,           0.009,           0.000,           0.002,           0.001,           0.007,           0.003,           0.000,           0.004,           0.006,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.016,           0.000,           0.005,           0.000,           0.001,           0.000,           0.002,           0.000,           0.005,           0.003,           0.002,           0.004,           0.000,           0.005,           0.004,           0.000,           0.001,           0.001,           0.003,          -0.001,           0.001,           0.023,           0.008,           0.010,           0.001,           0.000,           0.000,           0.002,           0.009,           0.010,           0.000,           0.006,           0.008,           0.006,           0.000,           0.015
       7,          0.100000,           0.000,           0.025,           0.000,           0.000,           0.000,           0.002,           0.000,           0.003,           0.000,           0.009,           0.005,           0.005,           0.008,           0.000,           0.010,           0.006,           0.000,           0.001,           0.002,           0.004,          -0.002,           0.002,           0.000,           0.011,           0.014,           0.002,           0.000,           0.000,           0.007,           0.013,           0.013,           0.004,           0.007,           0.010,           0.006,           0.009,           0.000
       8,          0.116667,           0.000,           0.037,           0.000,          -0.003,           0.000,           0.004,           0.000,           0.004,           0.000,           0.013,           0.009,           0.010,           0.017,           0.000,           0.014,           0.008,           0.000,           0.001,           0.003,           0.008,          -0.004,           0.004,           0.005,           0.018,           0.012,           0.011,           0.000,           0.000,           0.007,           0.009,           0.018,           0.005,           0.009,           0.012,           0.007,           0.000,           0.018
       9,          0.133333,           0.000,           0.053,           0.000,          -0.005,           0.000,           0.007,           0.000,           0.006,           0.000,           0.022,           0.014,           0.021,           0.029,           0.000,           0.014,           0.010,           0.000,           0.002,           0.003,           0.011,          -0.006,           0.006,           0.000,           0.030,           0.015,           0.015,           0.000,           0.000,           0.010,           0.012,           0.024,           0.008,           0.012,           0.014,           0.004,           0.000,           0.000
      10,          0.150000,           0.000,           0.069,           0.000,          -0.004,           0.014,           0.009,           0.000,          -0.000,           0.000,           0.037,           0.021,           0.038,           0.048,           0.001,           0.016,           0.013,          -0.001,           0.002,           0.005,           0.005,          -0.000,           0.007,           0.009,           0.047,           0.025,           0.021,           0.000,           0.000,           0.013,           0.016,           0.033,           0.011,           0.014,           0.018,           0.004,           0.000,           0.020
