"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time (h)","H FC01.1_R.1 [EG15_005]","H FC01.1_R.2 [EG15_005]","H FC01.2_R.1 [EG15_005]","H FC01.2_R.2 [EG15_005]","H FC04.1_C.1 [EG15_005]","H FC04.1_C.2 [EG15_005]","H mh1 [EG15_005]","H mh2 [EG15_005]","H mh3 [EG15_005]","H mh4 [EG15_005]","H Pipe16.2 [EG15_005]","H Pit1 [EG15_005]","H Pit1.1 [EG15_005]","H Pit11 [EG15_005]","H Pit11.1 [EG15_005]","H Pit12 [EG15_005]","H Pit12.1 [EG15_005]","H Pit14 [EG15_005]","H Pit14.1 [EG15_005]","H Pit15 [EG15_005]","H Pit15.1 [EG15_005]","H Pit16 [EG15_005]","H Pit16.1 [EG15_005]","H Pit18 [EG15_005]","H Pit18.1 [EG15_005]","H Pit19 [EG15_005]","H Pit19.1 [EG15_005]","H Pit2 [EG15_005]","H Pit2.1 [EG15_005]","H Pit4 [EG15_005]","H Pit4.1 [EG15_005]","H Pit5 [EG15_005]","H Pit5.1 [EG15_005]","H Pit6 [EG15_005]","H Pit6.1 [EG15_005]","H Pit7 [EG15_005]","H Pit7.1 [EG15_005]","H Pit8 [EG15_005]","H Pit8.1 [EG15_005]","H Pit9 [EG15_005]","H Pit9.1 [EG15_005]"
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     41.9889,     40.7563,     41.2645,     42.0063,     40.2530,     42.0811,     43.2546,     40.9044,     42.8037,     40.8443,     42.8237,     41.0320,     42.8676,     41.0658,     42.9892,     41.2444,     43.1391,     42.0154,     43.3283,     42.0191,     43.3472,     42.0812,     43.2301,     41.9932,     43.3134,     42.0300,     43.2839,     42.0131,     43.2615,     41.3183,     43.1488,     41.2519,     43.0067,     41.2512,     42.8732
      13,          0.200000,     45.5333,     44.4990,     37.6104,     37.5275,     43.3579,     42.8085,     42.0871,     40.8071,     41.3016,     42.0576,     40.4895,     42.1076,     43.2504,     40.9347,     42.8103,     40.8714,     42.8251,     41.0649,     42.8686,     41.1214,     42.9922,     41.3253,     43.1393,     42.0640,     43.3299,     42.0688,     43.3491,     42.1126,     43.2333,     42.0976,     43.3151,     42.0980,     43.2859,     42.0647,     43.2644,     41.4021,     43.1491,     41.3964,     43.0078,     41.3979,     42.8748
      14,          0.216667,     45.7127,     44.4990,     37.7679,     37.5778,     43.3793,     42.8145,     42.1576,     40.9570,     41.4350,     42.1022,     40.9559,     42.1708,     43.2511,     40.9886,     42.8165,     40.9714,     42.8271,     41.1224,     42.8695,     41.1955,     42.9929,     41.4373,     43.1357,     42.1096,     43.3314,     42.1151,     43.3519,     42.1673,     43.2378,     42.1686,     43.3169,     42.1696,     43.2881,     42.1096,     43.2673,     41.5557,     43.1495,     41.5482,     43.0083,     41.5442,     42.8762
      15,          0.233333,     45.8228,     44.5526,     37.6302,     37.6128,     43.4010,     42.8280,     42.2097,     41.3246,     41.5911,     42.1532,     41.3242,     42.2243,     43.2521,     41.4366,     42.8219,     41.3842,     42.8291,     41.3188,     42.8704,     41.3195,     42.9936,     41.5151,     43.1394,     42.1622,     43.3351,     42.1691,     43.3585,     42.2201,     43.2420,     42.2234,     43.3184,     42.2240,     43.2902,     42.1609,     43.2727,     41.7108,     43.1501,     41.6954,     43.0089,     41.6788,     42.8777
      16,          0.250000,     45.9015,     44.6673,     37.7325,     37.6043,     43.4244,     42.8446,     42.3069,     42.3433,     42.3555,     42.3407,     42.3402,     42.3196,     43.2530,     42.3636,     42.8266,     42.3615,     42.8312,     42.3514,     42.8712,     42.3218,     42.9944,     42.3203,     43.1357,     42.3517,     43.3468,     42.3589,     43.3713,     42.3139,     43.2453,     42.3006,     43.3196,     42.3007,     43.2925,     42.3518,     43.2786,     42.3507,     43.1510,     42.3551,     43.0092,     42.3504,     42.8794
      17,          0.266667,     45.9588,     44.7498,     37.6874,     37.6242,     43.4490,     42.8562,     43.0507,     42.9223,     42.9327,     43.1796,     42.9211,     43.0668,     43.2538,     42.9126,     42.8564,     42.9117,     42.8689,     42.9283,     42.9068,     42.9752,     42.9953,     43.0121,     43.1357,     43.2056,     43.3591,     43.2200,     43.3838,     43.0618,     43.2478,     43.0593,     43.3206,     43.0681,     43.2949,     43.1881,     43.2857,     43.1083,     43.1527,     43.0293,     43.0248,     42.9539,     42.9234
      18,          0.283333,     46.0069,     44.8155,     37.6116,     37.6516,     43.4734,     42.8686,     43.1537,     42.9525,     42.9627,     43.2849,     42.9518,     43.1740,     43.2544,     42.9461,     42.8994,     42.9432,     42.8979,     42.9582,     42.9165,     43.0242,     43.0194,     43.0906,     43.1395,     43.3243,     43.3686,     43.3445,     43.3953,     43.1686,     43.2495,     43.1643,     43.3214,     43.1732,     43.2969,     43.2915,     43.3096,     43.1771,     43.1805,     43.0658,     43.0515,     42.9790,     42.9338
      19,          0.300000,     46.0548,     44.8760,     37.6633,     37.6480,     43.4970,     42.8814,     43.1993,     42.9790,     42.9867,     43.2967,     42.9783,     43.2204,     43.2547,     42.9749,     42.9387,     42.9713,     42.9364,     42.9846,     42.9338,     43.0425,     43.0308,     43.1253,     43.1357,     43.3387,     43.3848,     43.3597,     43.4118,     43.2152,     43.2507,     43.2135,     43.3220,     43.2238,     43.3036,     43.3029,     43.3187,     43.1886,     43.1901,     43.0758,     43.0595,     42.9982,     42.9491
      20,          0.316667,     46.1029,     44.9307,     37.6557,     37.6649,     43.5195,     42.8933,     43.2240,     43.0097,     43.0153,     43.3070,     43.0090,     43.2413,     43.2552,     43.0050,     42.9720,     43.0023,     42.9725,     43.0149,     42.9733,     43.0610,     43.0382,     43.1465,     43.1487,     43.3494,     43.3961,     43.3703,     43.4222,     43.2351,     43.2617,     43.2436,     43.3225,     43.2591,     43.3115,     43.3130,     43.3278,     43.1991,     43.1995,     43.0914,     43.0696,     43.0226,     42.9762
      21,          0.333333,     46.1494,     44.9903,     37.6804,     37.6829,     43.5393,     42.9049,     43.2394,     43.0372,     43.0431,     43.3157,     43.0365,     43.2543,     43.2649,     43.0339,     43.0059,     43.0307,     43.0057,     43.0402,     43.0051,     43.0776,     43.0430,     43.1591,     43.1603,     43.3582,     43.4036,     43.3797,     43.4325,     43.2491,     43.2694,     43.2634,     43.3232,     43.2833,     43.3230,     43.3216,     43.3355,     43.2112,     43.2084,     43.1050,     43.0797,     43.0530,     43.0079
      22,          0.350000,     46.1951,     45.0521,     37.7529,     37.7075,     43.5570,     42.9149,     43.2477,     43.0633,     43.0701,     43.3222,     43.0626,     43.2622,     43.2727,     43.0615,     43.0387,     43.0578,     43.0377,     43.0657,     43.0368,     43.0917,     43.0489,     43.1688,     43.1672,     43.3645,     43.4088,     43.3867,     43.4403,     43.2570,     43.2747,     43.2733,     43.3256,     43.2931,     43.3325,     43.3279,     43.3409,     43.2200,     43.2153,     43.1209,     43.0896,     43.0793,     43.0408
      23,          0.366667,     46.2424,     45.1136,     37.7735,     37.7199,     43.5726,     42.9256,     43.2561,     43.0904,     43.0958,     43.3269,     43.0897,     43.2698,     43.2798,     43.0882,     43.0692,     43.0853,     43.0696,     43.0923,     43.0691,     43.1126,     43.0693,     43.1783,     43.1730,     43.3681,     43.4118,     43.3900,     43.4432,     43.2648,     43.2793,     43.2838,     43.3303,     43.3018,     43.3393,     43.3324,     43.3449,     43.2254,     43.2207,     43.1382,     43.0982,     43.1021,     43.0694
      24,          0.383333,     46.2990,     45.1722,     37.7705,     37.7555,     43.5862,     42.9353,     43.2629,     43.1161,     43.1205,     43.3309,     43.1154,     43.2755,     43.2843,     43.1136,     43.0977,     43.1113,     43.0978,     43.1179,     43.0977,     43.1359,     43.0978,     43.1876,     43.1773,     43.3713,     43.4143,     43.3928,     43.4455,     43.2708,     43.2834,     43.2922,     43.3344,     43.3089,     43.3447,     43.3362,     43.3481,     43.2326,     43.2250,     43.1538,     43.1101,     43.1261,     43.0981
      25,          0.400000,     46.3643,     45.2333,     37.7728,     37.8119,     43.5984,     42.9432,     43.2693,     43.1408,     43.1447,     43.3347,     43.1401,     43.2810,     43.2888,     43.1384,     43.1249,     43.1363,     43.1250,     43.1446,     43.1254,     43.1556,     43.1247,     43.2002,     43.1813,     43.3740,     43.4161,     43.3950,     43.4471,     43.2767,     43.2875,     43.2998,     43.3376,     43.3150,     43.3489,     43.3398,     43.3509,     43.2405,     43.2292,     43.1723,     43.1296,     43.1498,     43.1249
      26,          0.416667,     46.4377,     45.2977,     37.8370,     37.8426,     43.6087,     42.9502,     43.2753,     43.1639,     43.1677,     43.3384,     43.1633,     43.2861,     43.2930,     43.1619,     43.1501,     43.1600,     43.1502,     43.1676,     43.1503,     43.1738,     43.1505,     43.2158,     43.1853,     43.3760,     43.4176,     43.3969,     43.4483,     43.2824,     43.2915,     43.3066,     43.3401,     43.3202,     43.3522,     43.3430,     43.3532,     43.2489,     43.2330,     43.1901,     43.1518,     43.1740,     43.1501
      27,          0.433333,     46.5194,     45.3666,     37.9107,     37.8889,     43.6177,     42.9562,     43.2807,     43.1849,     43.1888,     43.3417,     43.1843,     43.2907,     43.2968,     43.1834,     43.1731,     43.1815,     43.1736,     43.1883,     43.1737,     43.1936,     43.1738,     43.2260,     43.1910,     43.3782,     43.4187,     43.3985,     43.4493,     43.2873,     43.2953,     43.3111,     43.3435,     43.3237,     43.3547,     43.3460,     43.3551,     43.2572,     43.2361,     43.2081,     43.1735,     43.1947,     43.1731
      28,          0.450000,     46.6057,     45.4338,     37.9828,     37.9901,     43.6261,     42.9615,     43.2866,     43.2041,     43.2083,     43.3450,     43.2035,     43.2953,     43.3003,     43.2034,     43.1945,     43.2012,     43.1947,     43.2070,     43.1947,     43.2140,     43.1948,     43.2346,     43.2013,     43.3801,     43.4197,     43.4000,     43.4502,     43.2923,     43.2989,     43.3151,     43.3467,     43.3270,     43.3568,     43.3488,     43.3567,     43.2650,     43.2394,     43.2252,     43.1944,     43.2138,     43.1941
      29,          0.466667,     46.7104,     45.5131,     38.1096,     38.0663,     43.6334,     42.9662,     43.2927,     43.2220,     43.2260,     43.3481,     43.2214,     43.2998,     43.3036,     43.2214,     43.2138,     43.2195,     43.2138,     43.2246,     43.2138,     43.2314,     43.2137,     43.2475,     43.2164,     43.3820,     43.4205,     43.4015,     43.4509,     43.2974,     43.3023,     43.3192,     43.3495,     43.3302,     43.3587,     43.3516,     43.3582,     43.2733,     43.2437,     43.2410,     43.2137,     43.2311,     43.2137
      30,          0.483333,     46.8266,     45.6010,     38.2114,     38.1575,     43.6393,     42.9702,     43.2988,     43.2391,     43.2425,     43.3517,     43.2385,     43.3043,     43.3067,     43.2383,     43.2317,     43.2367,     43.2318,     43.2415,     43.2319,     43.2477,     43.2320,     43.2610,     43.2327,     43.3842,     43.4214,     43.4030,     43.4516,     43.3025,     43.3057,     43.3233,     43.3522,     43.3334,     43.3606,     43.3545,     43.3596,     43.2826,     43.2503,     43.2562,     43.2317,     43.2471,     43.2315
      31,          0.500000,     46.9465,     45.6933,     38.3378,     38.2114,     43.6445,     42.9740,     43.3049,     43.2550,     43.2580,     43.3555,     43.2544,     43.3087,     43.3098,     43.2542,     43.2485,     43.2527,     43.2487,     43.2573,     43.2488,     43.2630,     43.2487,     43.2741,     43.2494,     43.3864,     43.4223,     43.4046,     43.4521,     43.3074,     43.3090,     43.3273,     43.3547,     43.3369,     43.3624,     43.3577,     43.3611,     43.2925,     43.2597,     43.2707,     43.2481,     43.2622,     43.2482
      32,          0.516667,     47.0665,     45.7893,     38.3605,     38.3280,     43.6492,     42.9770,     43.3113,     43.2697,     43.2727,     43.3596,     43.2691,     43.3127,     43.3128,     43.2691,     43.2641,     43.2677,     43.2642,     43.2718,     43.2642,     43.2771,     43.2644,     43.2868,     43.2651,     43.3888,     43.4230,     43.4062,     43.4526,     43.3121,     43.3120,     43.3313,     43.3570,     43.3406,     43.3642,     43.3609,     43.3625,     43.3032,     43.2712,     43.2846,     43.2638,     43.2766,     43.2638
      33,          0.533333,     47.2276,     45.8979,     38.4467,     38.4126,     43.6532,     42.9796,     43.3182,     43.2837,     43.2867,     43.3643,     43.2831,     43.3157,     43.3156,     43.2833,     43.2789,     43.2820,     43.2791,     43.2855,     43.2792,     43.2902,     43.2791,     43.2990,     43.2793,     43.3915,     43.4239,     43.4082,     43.4532,     43.3165,     43.3147,     43.3357,     43.3593,     43.3445,     43.3660,     43.3637,     43.3637,     43.3152,     43.2838,     43.2978,     43.2787,     43.2903,     43.2786
      34,          0.550000,     47.4445,     46.0330,     38.5529,     38.5161,     43.6568,     42.9817,     43.3244,     43.2967,     43.3000,     43.3688,     43.2961,     43.3198,     43.3189,     43.2968,     43.2931,     43.2953,     43.2929,     43.2981,     43.2929,     43.3022,     43.2928,     43.3102,     43.2928,     43.3941,     43.4247,     43.4101,     43.4537,     43.3215,     43.3180,     43.3396,     43.3614,     43.3481,     43.3677,     43.3668,     43.3652,     43.3256,     43.2962,     43.3105,     43.2926,     43.3034,     43.2927
      35,          0.566667,     47.6946,     46.1870,     38.6559,     38.6171,     43.6598,     42.9835,     43.3306,     43.3092,     43.3125,     43.3731,     43.3086,     43.3252,     43.3234,     43.3095,     43.3062,     43.3081,     43.3063,     43.3104,     43.3063,     43.3139,     43.3061,     43.3236,     43.3063,     43.3967,     43.4255,     43.4118,     43.4542,     43.3273,     43.3227,     43.3439,     43.3634,     43.3519,     43.3694,     43.3701,     43.3667,     43.3355,     43.3085,     43.3223,     43.3057,     43.3158,     43.3058
      36,          0.583333,     47.9655,     46.3056,     38.7738,     38.7292,     43.6624,     42.9851,     43.3387,     43.3206,     43.3242,     43.3773,     43.3200,     43.3318,     43.3291,     43.3214,     43.3185,     43.3199,     43.3185,     43.3216,     43.3185,     43.3245,     43.3184,     43.3301,     43.3183,     43.3996,     43.4262,     43.4136,     43.4547,     43.3342,     43.3287,     43.3488,     43.3655,     43.3563,     43.3712,     43.3737,     43.3684,     43.3449,     43.3201,     43.3336,     43.3182,     43.3273,     43.3183
      37,          0.600000,     48.2413,     46.4057,     38.8978,     38.8383,     43.6644,     42.9861,     43.3460,     43.3314,     43.3352,     43.3815,     43.3308,     43.3391,     43.3363,     43.3326,     43.3301,     43.3312,     43.3302,     43.3322,     43.3302,     43.3344,     43.3299,     43.3389,     43.3297,     43.4018,     43.4268,     43.4152,     43.4548,     43.3416,     43.3361,     43.3549,     43.3677,     43.3613,     43.3733,     43.3773,     43.3705,     43.3537,     43.3313,     43.3439,     43.3297,     43.3381,     43.3299
      38,          0.616667,     48.4994,     46.4905,     39.0308,     38.9545,     43.6661,     42.9871,     43.3532,     43.3413,     43.3454,     43.3860,     43.3407,     43.3467,     43.3442,     43.3430,     43.3408,     43.3417,     43.3409,     43.3420,     43.3409,     43.3439,     43.3407,     43.3473,     43.3406,     43.4043,     43.4273,     43.4169,     43.4549,     43.3491,     43.3446,     43.3606,     43.3704,     43.3663,     43.3757,     43.3813,     43.3733,     43.3626,     43.3418,     43.3534,     43.3405,     43.3480,     43.3407
      39,          0.633333,     48.7366,     46.5595,     39.1825,     39.0796,     43.6672,     42.9877,     43.3606,     43.3511,     43.3550,     43.3906,     43.3505,     43.3551,     43.3534,     43.3528,     43.3510,     43.3517,     43.3511,     43.3518,     43.3511,     43.3532,     43.3511,     43.3559,     43.3511,     43.4070,     43.4278,     43.4187,     43.4551,     43.3571,     43.3533,     43.3666,     43.3734,     43.3714,     43.3786,     43.3856,     43.3767,     43.3708,     43.3514,     43.3623,     43.3505,     43.3573,     43.3508
      40,          0.650000,     48.9611,     46.6237,     39.3524,     39.2149,     43.6679,     42.9881,     43.3679,     43.3604,     43.3641,     43.3954,     43.3598,     43.3637,     43.3627,     43.3621,     43.3606,     43.3611,     43.3607,     43.3610,     43.3607,     43.3621,     43.3606,     43.3642,     43.3606,     43.4098,     43.4284,     43.4206,     43.4553,     43.3652,     43.3626,     43.3727,     43.3771,     43.3767,     43.3820,     43.3901,     43.3808,     43.3787,     43.3608,     43.3708,     43.3602,     43.3662,     43.3604
      41,          0.666667,     49.1778,     46.6779,     39.5393,     39.3554,     43.6683,     42.9883,     43.3753,     43.3693,     43.3727,     43.4001,     43.3687,     43.3722,     43.3716,     43.3709,     43.3696,     43.3700,     43.3697,     43.3699,     43.3698,     43.3707,     43.3698,     43.3724,     43.3698,     43.4127,     43.4290,     43.4229,     43.4556,     43.3732,     43.3716,     43.3791,     43.3817,     43.3824,     43.3862,     43.3949,     43.3855,     43.3861,     43.3696,     43.3788,     43.3692,     43.3746,     43.3694
      42,          0.683333,     49.3877,     46.7278,     39.7198,     39.4849,     43.6683,     42.9882,     43.3824,     43.3777,     43.3808,     43.4048,     43.3771,     43.3797,     43.3794,     43.3792,     43.3782,     43.3784,     43.3783,     43.3783,     43.3783,     43.3788,     43.3783,     43.3801,     43.3783,     43.4156,     43.4296,     43.4252,     43.4558,     43.3807,     43.3795,     43.3854,     43.3870,     43.3880,     43.3908,     43.3996,     43.3904,     43.3932,     43.3779,     43.3864,     43.3778,     43.3826,     43.3781
      43,          0.700000,     49.5546,     46.8444,     39.8850,     39.5985,     43.6680,     42.9880,     43.3894,     43.3856,     43.3885,     43.4097,     43.3851,     43.3873,     43.3872,     43.3871,     43.3862,     43.3863,     43.3863,     43.3862,     43.3863,     43.3866,     43.3863,     43.3875,     43.3862,     43.4190,     43.4306,     43.4280,     43.4559,     43.3880,     43.3872,     43.3917,     43.3927,     43.3940,     43.3961,     43.4045,     43.3961,     43.3979,     43.3861,     43.3935,     43.3858,     43.3900,     43.3861
      44,          0.716667,     49.6662,     46.9975,     40.0407,     39.6972,     43.6674,     42.9876,     43.3964,     43.3933,     43.3956,     43.4143,     43.3927,     43.3946,     43.3946,     43.3945,     43.3939,     43.3939,     43.3940,     43.3939,     43.3941,     43.3942,     43.3941,     43.3949,     43.3940,     43.4231,     43.4322,     43.4315,     43.4564,     43.3952,     43.3947,     43.3984,     43.3990,     43.4003,     43.4018,     43.4097,     43.4020,     43.4055,     43.3936,     43.4000,     43.3935,     43.3969,     43.3937
      45,          0.733333,     49.7367,     47.1344,     40.1859,     39.7861,     43.6666,     42.9871,     43.4034,     43.4004,     43.4026,     43.4192,     43.3999,     43.4022,     43.4022,     43.4016,     43.4011,     43.4011,     43.4012,     43.4011,     43.4012,     43.4014,     43.4013,     43.4021,     43.4014,     43.4273,     43.4341,     43.4352,     43.4571,     43.4025,     43.4021,     43.4051,     43.4056,     43.4068,     43.4079,     43.4149,     43.4080,     43.4113,     43.4010,     43.4064,     43.4009,     43.4037,     43.4011
      46,          0.750000,     49.7804,     47.2341,     40.3269,     39.8657,     43.6656,     42.9865,     43.4102,     43.4075,     43.4093,     43.4241,     43.4070,     43.4094,     43.4094,     43.4085,     43.4082,     43.4081,     43.4083,     43.4081,     43.4083,     43.4084,     43.4084,     43.4089,     43.4083,     43.4313,     43.4362,     43.4387,     43.4577,     43.4094,     43.4092,     43.4116,     43.4120,     43.4131,     43.4140,     43.4202,     43.4142,     43.4170,     43.4081,     43.4126,     43.4080,     43.4103,     43.4081
      47,          0.766667,     49.8081,     47.2966,     40.4750,     39.9419,     43.6642,     42.9855,     43.4165,     43.4142,     43.4156,     43.4286,     43.4137,     43.4156,     43.4157,     43.4150,     43.4149,     43.4149,     43.4150,     43.4149,     43.4151,     43.4150,     43.4151,     43.4155,     43.4152,     43.4351,     43.4385,     43.4420,     43.4584,     43.4156,     43.4155,     43.4178,     43.4181,     43.4190,     43.4197,     43.4250,     43.4198,     43.4223,     43.4146,     43.4184,     43.4146,     43.4165,     43.4148
      48,          0.783333,     49.8239,     47.3324,     40.6457,     40.0209,     43.6625,     42.9843,     43.4226,     43.4207,     43.4218,     43.4332,     43.4201,     43.4217,     43.4217,     43.4213,     43.4214,     43.4213,     43.4214,     43.4213,     43.4214,     43.4212,     43.4213,     43.4217,     43.4214,     43.4389,     43.4410,     43.4453,     43.4591,     43.4219,     43.4218,     43.4237,     43.4238,     43.4247,     43.4252,     43.4299,     43.4255,     43.4275,     43.4210,     43.4242,     43.4211,     43.4225,     43.4213
      49,          0.800000,     49.8334,     47.3523,     40.8509,     40.1062,     43.6606,     42.9830,     43.4285,     43.4267,     43.4276,     43.4375,     43.4262,     43.4280,     43.4280,     43.4274,     43.4274,     43.4273,     43.4275,     43.4273,     43.4275,     43.4276,     43.4276,     43.4277,     43.4276,     43.4426,     43.4438,     43.4484,     43.4603,     43.4278,     43.4276,     43.4295,     43.4297,     43.4304,     43.4307,     43.4346,     43.4309,     43.4326,     43.4271,     43.4297,     43.4272,     43.4283,     43.4274
