"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Time (h)","SQ Pipe7 [EG15_003]","SQ Pipe6 [EG15_003]","SQ Pipe5 [EG15_003]","SQ Pipe19 [EG15_003]","SQ Pipe3 [EG15_003]","SQ Pipe2 [EG15_003]","SQ Pipe1 [EG15_003]","SQ Pipe0 [EG15_003]","SQ Pipe17 [EG15_003]","SQ Pipe16 [EG15_003]","SQ Pipe15 [EG15_003]","SQ Pipe14 [EG15_003]","SQ Pipe13 [EG15_003]","SQ Pipe12 [EG15_003]","SQ Pipe11 [EG15_003]","SQ Pipe10 [EG15_003]","SQ Pipe9 [EG15_003]","SQ Pipe8 [EG15_003]","SQ Pipe4 [EG15_003]","SQ FC04.1_C [EG15_003]","SQ FC01.2_R [EG15_003]","SQ FC01.1_R [EG15_003]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0001,      0.0001,      0.0001,      0.0001,      0.0001,      0.0001,      0.0001,      0.0002,      0.0001,      0.0002,      0.0001,      0.0002,      0.0001,      0.0001,      0.0000,      0.0001,      0.0001,      0.0001,      0.0001,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0001,      0.0001,      0.0001,      0.0002,      0.0002,      0.0002,      0.0003,      0.0002,      0.0002,      0.0002,      0.0002,      0.0001,      0.0002,      0.0002,      0.0001,      0.0002,      0.0002,      0.0002,      0.0001,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0003,      0.0004,      0.0003,      0.0003,      0.0005,      0.0006,      0.0012,      0.0013,      0.0004,      0.0007,      0.0005,      0.0004,      0.0005,      0.0003,      0.0003,      0.0004,      0.0004,      0.0006,      0.0003,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0005,      0.0007,      0.0007,      0.0010,      0.0019,      0.0020,      0.0032,      0.0018,      0.0014,      0.0007,      0.0014,      0.0017,      0.0027,      0.0009,      0.0009,      0.0010,      0.0017,      0.0015,      0.0009,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0006,      0.0015,      0.0015,      0.0029,      0.0031,      0.0047,      0.0042,      0.0018,      0.0042,      0.0017,      0.0025,      0.0057,      0.0070,      0.0017,      0.0010,      0.0022,      0.0044,      0.0031,      0.0018,      0.0000,      0.1529,      0.0000
       7,          0.100000,      0.0033,      0.0023,      0.0031,      0.0061,      0.0048,      0.0066,      0.0080,      0.0015,      0.0114,      0.0052,      0.0042,      0.0138,      0.0129,      0.0037,      0.0022,      0.0051,      0.0080,      0.0052,      0.0033,      0.0000,      0.0294,      0.0000
       8,          0.116667,      0.0051,      0.0044,      0.0072,      0.0108,      0.0068,      0.0089,      0.0134,      0.0031,      0.0243,      0.0169,      0.0081,      0.0253,      0.0236,      0.0083,      0.0051,      0.0099,      0.0138,      0.0086,      0.0054,      0.0000,      0.0357,      0.0000
       9,          0.133333,      0.0073,      0.0080,      0.0127,      0.0187,      0.0090,      0.0131,      0.0218,      0.0031,      0.0441,      0.0411,      0.0151,      0.0434,      0.0402,      0.0151,      0.0099,      0.0167,      0.0218,      0.0140,      0.0084,      0.0000,      0.0506,      0.0000
      10,          0.150000,      0.0103,      0.0146,      0.0218,      0.0313,      0.0116,      0.0164,      0.0330,      0.0027,      0.0738,      0.0769,      0.0258,      0.0693,      0.0642,      0.0257,      0.0239,      0.0261,      0.0315,      0.0196,      0.0129,      0.0000,      0.0724,      0.0000
      11,          0.166667,      0.0177,      0.0259,      0.0354,      0.0465,      0.0150,      0.0204,      0.0411,      0.0015,      0.1125,      0.1095,      0.0403,      0.1031,      0.0935,      0.0386,      0.0389,      0.0372,      0.0432,      0.0286,      0.0187,      0.0000,      0.0863,      0.0000
      12,          0.183333,      0.0232,      0.0423,      0.0522,      0.0631,      0.0204,      0.0256,      0.0504,      0.0028,      0.1573,      0.1042,      0.0589,      0.1417,      0.1252,      0.0548,      0.0520,      0.0522,      0.0596,      0.0382,      0.0265,      0.0000,      0.1076,      0.0000
      13,          0.200000,      0.0297,      0.0622,      0.0716,      0.0827,      0.0267,      0.0348,      0.0610,      0.0018,      0.2043,      0.0200,      0.0805,      0.1826,      0.1592,      0.0759,      0.0769,      0.0716,      0.0800,      0.0483,      0.0351,      0.0002,      0.0018,      0.4980
      14,          0.216667,      0.0386,     -0.0365,      0.0933,      0.1051,      0.0342,      0.0463,      0.0723,      0.0014,      0.0828,      0.0137,     -0.0900,      0.0582,      0.0219,     -0.0487,     -0.0587,      0.0946,      0.1056,      0.0610,      0.0489,      0.0051,      0.0515,      1.5431
      15,          0.233333,      0.0553,     -0.1295,     -0.1217,     -0.1156,      0.0420,      0.0587,      0.0091,     -0.0108,      0.0947,      0.0071,     -0.1053,      0.0652,      0.0320,     -0.0773,     -0.0674,     -0.0799,     -0.0679,     -0.0226,     -0.0167,      0.0158,      0.1605,      2.3474
      16,          0.250000,      0.0722,     -0.1762,     -0.1486,     -0.1189,     -0.1342,      0.0465,      0.0448,     -0.0152,      0.1992,      0.0325,     -0.1660,      0.1793,      0.1449,      0.1135,      0.1130,      0.1235,      0.1372,      0.0988,     -0.1375,      0.0334,      0.4047,      2.9909
      17,          0.266667,      0.1184,      0.2000,      0.1869,      0.1862,      0.0568,      0.0279,      0.0979,      0.0012,     -0.0996,      0.0015,      0.1309,     -0.0312,      0.0725,      0.2550,      0.1870,      0.2654,      0.2542,      0.1912,      0.0893,      0.0580,      0.0542,      3.5082
      18,          0.283333,      0.1196,      0.2163,      0.2135,      0.2136,      0.0636,      0.0217,      0.0993,     -0.0012,     -0.0677,      0.0007,      0.1184,     -0.0035,      0.0636,      0.2459,      0.1575,      0.2702,      0.2538,      0.1971,      0.0943,      0.0891,      0.7939,      3.9600
      19,          0.300000,      0.1212,      0.2046,      0.2153,      0.2134,      0.0804,      0.0171,      0.0910,      0.0024,     -0.0399,      0.0008,      0.1043,      0.0133,      0.0637,      0.2357,      0.1293,      0.2709,      0.2540,      0.2019,      0.1228,      0.1256,      0.6654,      4.4112
