"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time(h)","V FC01.1_R [EG15_004]","V FC01.2_R [EG15_004]","V FC04.1_C [EG15_004]","V Pipe0 [EG15_004]","V Pipe1 [EG15_004]","V Pipe10 [EG15_004]","V Pipe11 [EG15_004]","V Pipe12 [EG15_004]","V Pipe13 [EG15_004]","V Pipe14 [EG15_004]","V Pipe15 [EG15_004]","V Pipe16 [EG15_004]","V Pipe17 [EG15_004]","V Pipe19 [EG15_004]","V Pipe2 [EG15_004]","V Pipe3 [EG15_004]","V Pipe4 [EG15_004]","V Pipe5 [EG15_004]","V Pipe6 [EG15_004]","V Pipe7 [EG15_004]","V Pipe8 [EG15_004]","V Pipe9 [EG15_004]","V Pit1 [EG15_004]","V Pit11 [EG15_004]","V Pit12 [EG15_004]","V Pit14 [EG15_004]","V Pit15 [EG15_004]","V Pit16 [EG15_004]","V Pit18 [EG15_004]","V Pit19 [EG15_004]","V Pit2 [EG15_004]","V Pit4 [EG15_004]","V Pit5 [EG15_004]","V Pit6 [EG15_004]","V Pit7 [EG15_004]","V Pit8 [EG15_004]","V Pit9 [EG15_004]"
      11,          0.166667,    0.000,    0.422,    0.000,   -0.000,    0.236,    0.589,    0.000,   -0.025,    0.000,    0.802,    0.668,    0.794,    0.830,    0.528,    0.224,    0.595,   -0.528,    0.439,    0.473,    0.053,    0.146,    0.639,    0.000,    0.879,    0.966,    0.966,    0.223,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.186,    0.966
      12,          0.183333,    0.000,    0.456,    0.000,    0.092,    0.301,    0.709,    0.000,    0.003,    0.000,    0.870,    0.709,    0.885,    0.889,    0.657,    0.222,    0.637,    0.101,    0.563,    0.545,    0.054,    0.218,    0.760,    0.725,    0.819,    0.966,    0.966,    0.000,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      13,          0.200000,    0.931,    0.084,    0.246,    0.029,    0.334,    0.148,    0.108,   -0.017,    0.349,    0.926,    0.776,    0.965,    0.907,    0.856,    0.247,    0.163,    0.197,    0.743,    0.675,    0.100,    0.230,    0.859,    0.966,    0.792,    0.966,    0.966,    0.966,    0.223,    0.966,    0.966,    0.918,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      14,          0.216667,    1.429,    1.003,    0.418,    0.075,    0.382,    0.215,    0.405,    0.171,    0.720,    0.476,    0.900,    0.011,    0.515,    0.987,    0.267,    0.100,    0.260,    0.915,    0.852,    0.133,    0.316,    0.944,    0.966,    0.776,    0.934,    0.966,    0.966,    0.000,    0.966,    0.966,    0.866,    0.966,    0.966,    0.957,    0.966,    0.966,    0.966
      15,          0.233333,    1.662,    0.490,    0.524,    0.091,    0.422,    0.407,    0.743,    0.442,    1.020,    0.834,   -0.226,    0.023,    0.983,    1.085,    0.292,    0.136,    0.311,    1.043,    0.032,    0.192,    0.421,    1.038,    0.966,    0.760,    0.906,    0.966,    0.966,    0.223,    0.966,    0.894,    0.833,    0.966,    0.966,    0.882,    0.966,    0.966,    0.966
      16,          0.250000,    1.811,    0.847,    0.612,    0.088,    0.387,   -0.148,   -0.055,   -0.165,   -0.245,    0.166,   -0.086,    0.021,    0.333,   -0.178,    0.207,   -0.114,    0.005,   -0.226,   -0.219,    0.282,    0.490,   -0.143,    0.966,    0.749,    0.882,    0.966,    0.966,    0.000,    0.839,    0.802,    0.813,    0.966,    0.934,    0.832,    0.966,    0.966,    0.944
      17,          0.266667,    1.911,    0.757,    0.690,    0.093,    0.384,    0.858,    0.468,    0.805,    0.450,    0.004,    0.363,    0.002,   -0.341,    0.555,    0.271,    0.186,    0.315,    0.534,    0.597,    0.397,    0.725,    0.820,    0.966,   -0.279,   -0.301,   -0.271,    0.966,    0.000,    0.785,    0.765,    0.802,    0.966,    0.901,    0.660,    0.966,   -0.098,   -0.284
      18,          0.283333,    1.992,    0.022,    0.757,    0.122,    0.366,    0.911,    0.404,    0.816,    0.397,    0.025,    0.346,    0.001,   -0.340,    0.759,    0.143,    0.232,    0.402,    0.762,    0.735,    0.398,    0.718,    0.856,    0.966,   -0.194,   -0.239,   -0.324,   -0.056,    0.223,    0.439,    0.481,    0.435,    0.966,    0.868,    0.187,    0.187,   -0.146,   -0.295
      19,          0.300000,    2.069,    0.168,    0.816,    0.118,    0.309,    0.923,    0.344,    0.790,    0.336,    0.042,    0.258,    0.001,   -0.247,    0.771,    0.128,    0.287,    0.463,    0.784,    0.692,    0.397,    0.729,    0.853,    0.385,   -0.153,   -0.153,   -0.297,   -0.161,    0.000,    0.359,    0.395,    0.281,    0.957,    0.719,    0.142,    0.143,   -0.166,   -0.279
      20,          0.316667,    2.144,    0.058,    0.868,    0.111,    0.279,    0.912,    0.318,    0.740,    0.302,    0.039,    0.224,    0.001,   -0.211,    0.761,    0.123,    0.306,    0.486,    0.786,    0.606,    0.395,    0.727,    0.847,    0.267,   -0.137,   -0.130,   -0.209,   -0.230,    0.331,    0.315,    0.350,    0.218,    0.947,    0.489,    0.120,    0.101,   -0.170,   -0.226
      21,          0.333333,    2.214,    0.548,    0.911,    0.101,    0.250,    0.895,    0.292,    0.685,    0.283,    0.049,    0.181,    0.001,   -0.169,    0.752,    0.114,    0.308,    0.504,    0.771,    0.519,    0.415,    0.727,    0.840,    0.208,   -0.121,   -0.113,   -0.176,   -0.263,    0.097,    0.273,    0.318,    0.179,    0.917,    0.408,    0.101,    0.072,   -0.178,   -0.205
      22,          0.350000,    2.280,    0.981,    0.947,    0.089,    0.210,    0.867,    0.267,    0.617,    0.257,    0.054,    0.142,    0.001,   -0.129,    0.745,    0.110,    0.287,    0.538,    0.749,    0.423,    0.411,    0.720,    0.829,    0.160,   -0.106,   -0.095,   -0.146,   -0.287,    0.016,    0.257,    0.304,    0.136,    0.849,    0.336,    0.092,    0.044,   -0.183,   -0.182
      23,          0.366667,    2.347,    1.072,    0.978,    0.077,    0.181,    0.836,    0.220,    0.535,    0.212,    0.039,    0.116,    0.001,   -0.104,    0.730,    0.108,    0.278,    0.551,    0.708,    0.350,    0.408,    0.713,    0.820,    0.128,   -0.089,   -0.073,   -0.121,   -0.258,   -0.051,    0.246,    0.294,    0.111,    0.699,    0.299,    0.086,    0.018,   -0.195,   -0.164
      24,          0.383333,    2.424,    0.866,    1.005,    0.068,    0.160,    0.797,    0.179,    0.454,    0.171,    0.029,    0.102,    0.001,   -0.089,    0.711,    0.105,    0.274,    0.552,    0.641,    0.321,    0.405,    0.706,    0.809,    0.104,   -0.073,   -0.061,   -0.111,   -0.193,   -0.119,    0.237,    0.286,    0.094,    0.595,    0.277,    0.081,   -0.011,   -0.198,   -0.143
      25,          0.400000,    2.511,   -0.464,    1.027,    0.060,    0.144,    0.745,    0.148,    0.396,    0.141,    0.019,    0.089,    0.001,   -0.079,    0.691,    0.100,    0.269,    0.549,    0.570,    0.275,    0.402,    0.698,    0.796,    0.086,   -0.063,   -0.050,   -0.102,   -0.146,   -0.177,    0.230,    0.280,    0.081,    0.530,    0.260,    0.075,   -0.046,   -0.182,   -0.129
      26,          0.416667,    2.605,    1.149,    1.047,    0.053,    0.129,    0.689,    0.123,    0.352,    0.116,    0.015,    0.076,    0.001,   -0.065,    0.672,    0.094,    0.264,    0.543,    0.486,    0.248,    0.398,    0.690,    0.780,    0.072,   -0.052,   -0.041,   -0.089,   -0.126,   -0.217,    0.223,    0.275,    0.071,    0.485,    0.246,    0.069,   -0.081,   -0.173,   -0.119
      27,          0.433333,    2.705,    0.402,    1.063,    0.045,    0.112,    0.624,    0.108,    0.318,    0.102,    0.015,    0.058,    0.001,   -0.049,    0.645,    0.086,    0.258,    0.535,    0.415,    0.198,    0.395,    0.681,    0.764,    0.058,   -0.044,   -0.033,   -0.073,   -0.111,   -0.241,    0.217,    0.270,    0.060,    0.451,    0.234,    0.062,   -0.113,   -0.157,   -0.109
      28,          0.450000,    2.808,    1.300,    1.078,    0.037,    0.094,    0.556,    0.095,    0.284,    0.088,    0.016,    0.043,    0.001,   -0.035,    0.615,    0.076,    0.251,    0.523,    0.351,    0.161,    0.391,    0.672,    0.747,    0.046,   -0.037,   -0.026,   -0.061,   -0.099,   -0.236,    0.212,    0.266,    0.050,    0.424,    0.223,    0.054,   -0.136,   -0.141,   -0.099
      29,          0.466667,    2.927,   -0.047,    1.091,    0.027,    0.069,    0.495,    0.078,    0.249,    0.072,    0.013,    0.036,    0.001,   -0.028,    0.575,    0.065,    0.243,    0.508,    0.310,    0.137,    0.387,    0.662,    0.725,    0.032,   -0.030,   -0.021,   -0.052,   -0.088,   -0.206,    0.206,    0.262,    0.036,    0.397,    0.212,    0.045,   -0.153,   -0.128,   -0.089
      30,          0.483333,    3.054,   -0.017,    1.102,    0.016,    0.042,    0.441,    0.065,    0.216,    0.060,    0.008,    0.033,    0.001,   -0.026,    0.530,    0.051,    0.234,    0.490,    0.281,    0.122,    0.382,    0.651,    0.701,    0.019,   -0.026,   -0.017,   -0.046,   -0.081,   -0.169,    0.200,    0.258,    0.022,    0.371,    0.201,    0.036,   -0.161,   -0.117,   -0.079
      31,          0.500000,    3.180,    1.014,    1.111,    0.007,    0.016,    0.397,    0.054,    0.189,    0.050,    0.007,    0.028,    0.001,   -0.021,    0.483,    0.034,    0.223,    0.469,    0.253,    0.107,    0.377,    0.639,    0.672,    0.008,   -0.021,   -0.014,   -0.040,   -0.076,   -0.137,    0.194,    0.254,    0.007,    0.347,    0.189,    0.024,   -0.157,   -0.109,   -0.069
      32,          0.516667,    3.301,    0.645,    1.119,    0.000,   -0.004,    0.364,    0.047,    0.168,    0.043,    0.005,    0.024,    0.001,   -0.017,    0.436,    0.016,    0.211,    0.443,    0.221,    0.093,    0.371,    0.624,    0.639,    0.000,   -0.019,   -0.011,   -0.036,   -0.066,   -0.116,    0.187,    0.249,   -0.002,    0.319,    0.176,    0.011,   -0.145,   -0.102,   -0.063
      33,          0.533333,    3.457,    0.650,    1.126,   -0.003,   -0.028,    0.338,    0.043,    0.154,    0.039,    0.005,    0.018,    0.001,   -0.012,    0.390,    0.000,    0.200,    0.420,    0.190,    0.076,    0.364,    0.607,    0.605,   -0.002,   -0.017,   -0.008,   -0.029,   -0.059,   -0.104,    0.179,    0.243,   -0.019,    0.296,    0.165,    0.000,   -0.139,   -0.096,   -0.057
      34,          0.550000,    3.656,    0.676,    1.132,   -0.012,   -0.054,    0.313,    0.038,    0.139,    0.034,    0.006,    0.013,    0.001,   -0.008,    0.341,   -0.018,    0.189,    0.397,    0.160,    0.062,    0.356,    0.589,    0.570,   -0.011,   -0.014,   -0.007,   -0.025,   -0.051,   -0.094,    0.170,    0.237,   -0.030,    0.275,    0.154,   -0.012,   -0.133,   -0.091,   -0.052
      35,          0.566667,    4.880,    0.695,    1.137,   -0.021,   -0.077,    0.291,    0.034,    0.127,    0.030,    0.005,    0.011,    0.001,   -0.005,    0.292,   -0.039,    0.177,    0.371,    0.131,    0.050,    0.349,    0.572,    0.531,   -0.020,   -0.012,   -0.005,   -0.020,   -0.042,   -0.083,    0.162,    0.232,   -0.038,    0.251,    0.143,   -0.025,   -0.125,   -0.085,   -0.048
      36,          0.583333,    5.397,    0.746,    1.142,   -0.029,   -0.092,    0.266,    0.030,    0.113,    0.026,    0.006,    0.008,    0.000,   -0.003,    0.246,   -0.060,    0.161,    0.340,    0.108,    0.039,    0.341,    0.554,    0.493,   -0.025,   -0.010,   -0.004,   -0.016,   -0.035,   -0.072,    0.154,    0.227,   -0.041,    0.226,    0.129,   -0.038,   -0.118,   -0.080,   -0.043
      37,          0.600000,    5.877,    0.848,    1.145,   -0.033,   -0.098,    0.238,    0.025,    0.099,    0.022,    0.004,    0.005,    0.000,   -0.000,    0.201,   -0.079,    0.143,    0.299,    0.084,    0.028,    0.333,    0.534,    0.454,   -0.027,   -0.009,   -0.002,   -0.012,   -0.029,   -0.059,    0.145,    0.221,   -0.041,    0.194,    0.112,   -0.049,   -0.112,   -0.072,   -0.038
      38,          0.616667,    6.293,    0.961,    1.148,   -0.032,   -0.091,    0.213,    0.022,    0.087,    0.019,    0.004,    0.004,    0.000,    0.000,    0.153,   -0.094,    0.116,    0.238,    0.059,    0.018,    0.324,    0.512,    0.416,   -0.024,   -0.007,   -0.001,   -0.007,   -0.021,   -0.041,    0.136,    0.215,   -0.034,    0.147,    0.090,   -0.057,   -0.106,   -0.065,   -0.034
      39,          0.633333,    6.653,    1.115,    1.150,   -0.023,   -0.071,    0.190,    0.017,    0.075,    0.014,    0.002,    0.004,    0.000,    0.000,    0.098,   -0.105,    0.088,    0.172,    0.037,    0.011,    0.314,    0.489,    0.383,   -0.016,   -0.006,   -0.000,   -0.003,   -0.013,   -0.031,    0.126,    0.209,   -0.027,    0.098,    0.067,   -0.061,   -0.100,   -0.060,   -0.030
      40,          0.650000,    6.976,    1.290,    1.151,   -0.014,   -0.048,    0.169,    0.014,    0.066,    0.012,    0.002,    0.003,    0.000,    0.001,    0.067,   -0.110,    0.065,    0.118,    0.023,    0.005,    0.304,    0.463,    0.351,   -0.009,   -0.005,    0.000,   -0.001,   -0.009,   -0.023,    0.114,    0.202,   -0.018,    0.059,    0.048,   -0.063,   -0.095,   -0.054,   -0.026
      41,          0.666667,    7.275,    1.491,    1.152,   -0.008,   -0.029,    0.150,    0.011,    0.057,    0.009,    0.001,    0.003,    0.000,    0.001,    0.045,   -0.111,    0.047,    0.077,    0.013,    0.003,    0.292,    0.434,    0.321,   -0.005,   -0.004,    0.001,    0.000,   -0.005,   -0.016,    0.102,    0.194,   -0.011,    0.033,    0.033,   -0.061,   -0.089,   -0.048,   -0.024
      42,          0.683333,    7.552,    1.686,    1.152,   -0.004,   -0.020,    0.133,    0.009,    0.049,    0.007,    0.000,    0.002,    0.000,    0.001,    0.029,   -0.108,    0.033,    0.051,    0.007,    0.001,    0.278,    0.403,    0.293,   -0.002,   -0.003,    0.001,    0.001,   -0.003,   -0.011,    0.089,    0.185,   -0.008,    0.018,    0.023,   -0.058,   -0.083,   -0.044,   -0.020
      43,          0.700000,    7.766,    1.862,    1.151,   -0.002,   -0.012,    0.120,    0.008,    0.043,    0.006,    0.000,    0.002,    0.000,    0.001,    0.019,   -0.101,    0.024,    0.034,    0.004,    0.000,    0.263,    0.370,    0.267,   -0.001,   -0.003,    0.001,    0.001,   -0.001,   -0.008,    0.076,    0.175,   -0.005,    0.010,    0.016,   -0.053,   -0.076,   -0.040,   -0.018
      44,          0.716667,    7.906,    2.039,    1.150,   -0.001,   -0.009,    0.107,    0.006,    0.038,    0.004,    0.000,    0.002,    0.000,    0.001,    0.012,   -0.092,    0.018,    0.024,    0.001,    0.000,    0.247,    0.337,    0.243,   -0.000,   -0.002,    0.001,    0.001,   -0.000,   -0.005,    0.064,    0.164,   -0.003,    0.006,    0.012,   -0.048,   -0.071,   -0.036,   -0.016
      45,          0.733333,    7.993,    2.200,    1.149,    0.000,   -0.005,    0.090,    0.005,    0.031,    0.003,    0.000,    0.002,    0.000,    0.001,    0.009,   -0.085,    0.013,    0.017,    0.001,    0.000,    0.227,    0.296,    0.209,    0.000,   -0.001,    0.001,    0.001,   -0.000,   -0.004,    0.049,    0.151,   -0.002,    0.004,    0.008,   -0.044,   -0.062,   -0.031,   -0.013
      46,          0.750000,    8.047,    2.362,    1.147,    0.000,   -0.002,    0.076,    0.003,    0.025,    0.001,    0.000,    0.002,    0.000,    0.001,    0.007,   -0.073,    0.010,    0.012,    0.000,    0.000,    0.204,    0.251,    0.179,    0.000,   -0.000,    0.001,    0.001,    0.000,   -0.003,    0.033,    0.135,   -0.001,    0.002,    0.006,   -0.038,   -0.052,   -0.026,   -0.011
      47,          0.766667,    8.081,    2.540,    1.145,    0.000,   -0.003,    0.061,    0.002,    0.019,    0.000,    0.000,    0.002,    0.000,    0.001,    0.004,   -0.064,    0.008,    0.010,    0.000,    0.000,    0.182,    0.213,    0.143,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.002,    0.021,    0.120,   -0.001,    0.002,    0.004,   -0.033,   -0.046,   -0.022,   -0.008
      48,          0.783333,    8.100,    2.750,    1.142,    0.000,   -0.001,    0.047,    0.002,    0.013,    0.000,    0.000,    0.001,    0.000,    0.001,    0.003,   -0.054,    0.006,    0.007,    0.000,    0.000,    0.160,    0.177,    0.121,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.002,    0.011,    0.105,   -0.000,    0.001,    0.003,   -0.028,   -0.038,   -0.017,   -0.006
      49,          0.800000,    8.111,    3.002,    1.139,    0.000,   -0.002,    0.037,    0.002,    0.010,    0.000,    0.000,    0.001,    0.000,    0.001,    0.002,   -0.044,    0.003,    0.005,    0.000,    0.000,    0.136,    0.143,    0.100,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.005,    0.088,   -0.001,    0.001,    0.002,   -0.023,   -0.031,   -0.014,   -0.004
      50,          0.816667,    8.120,    3.288,    1.135,    0.000,    0.000,    0.028,    0.002,    0.007,    0.000,    0.000,    0.002,    0.000,    0.001,    0.001,   -0.036,    0.003,    0.003,    0.000,    0.000,    0.115,    0.116,    0.078,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.000,    0.001,    0.074,    0.000,    0.001,    0.002,   -0.019,   -0.026,   -0.011,   -0.003
      51,          0.833333,    8.126,    3.548,    1.131,    0.000,    0.000,    0.021,    0.002,    0.005,   -0.000,    0.000,    0.001,    0.000,    0.001,    0.001,   -0.029,    0.002,    0.003,    0.000,    0.000,    0.096,    0.093,    0.063,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.000,   -0.002,    0.061,    0.000,    0.001,    0.001,   -0.015,   -0.021,   -0.008,   -0.001
      52,          0.850000,    8.131,    3.766,    1.127,    0.000,    0.000,    0.015,    0.001,    0.003,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.022,    0.002,    0.003,    0.000,    0.000,    0.078,    0.073,    0.049,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,   -0.003,    0.049,    0.000,    0.001,    0.001,   -0.011,   -0.018,   -0.006,   -0.001
      53,          0.866667,    8.134,    3.939,    1.122,    0.000,    0.000,    0.010,    0.001,    0.001,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.018,    0.001,    0.001,    0.000,    0.000,    0.064,    0.057,    0.037,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.004,    0.039,    0.000,   -0.000,    0.001,   -0.009,   -0.014,   -0.004,    0.000
      54,          0.883333,    8.136,    4.081,    1.117,    0.000,    0.000,    0.006,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.013,    0.000,    0.002,    0.000,    0.000,    0.050,    0.044,    0.029,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.003,    0.031,    0.000,    0.001,    0.000,   -0.007,   -0.012,   -0.003,    0.001
      55,          0.900000,    8.138,    4.200,    1.112,    0.000,    0.000,    0.004,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.009,    0.002,    0.001,    0.000,    0.000,    0.039,    0.033,    0.022,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.003,    0.024,    0.000,   -0.001,    0.001,   -0.004,   -0.009,   -0.002,    0.000
      56,          0.916667,    8.139,    4.303,    1.106,    0.000,    0.000,    0.002,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.007,    0.000,    0.001,    0.000,    0.000,    0.030,    0.025,    0.017,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.018,    0.000,    0.000,    0.000,   -0.003,   -0.007,   -0.001,    0.001
      57,          0.933333,    8.141,    4.393,    1.100,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.005,    0.000,    0.004,    0.000,    0.000,    0.023,    0.019,    0.013,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.014,    0.000,    0.003,    0.000,   -0.002,   -0.006,   -0.000,    0.001
      58,          0.950000,    8.141,    4.474,    1.094,    0.000,    0.000,    0.000,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.003,    0.000,    0.000,    0.000,    0.000,    0.017,    0.014,    0.009,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.010,    0.000,    0.001,    0.000,   -0.001,   -0.005,   -0.000,    0.001
      59,          0.966667,    8.141,    4.546,    1.088,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.002,    0.001,    0.000,    0.000,    0.000,    0.012,    0.010,    0.006,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.007,    0.000,   -0.000,    0.001,   -0.001,   -0.003,    0.000,    0.000
      60,          0.983333,    8.140,    4.612,    1.081,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.009,    0.007,    0.005,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.005,    0.000,   -0.001,    0.000,   -0.000,   -0.002,    0.000,    0.000
      61,          1.000000,    8.140,    4.672,    1.075,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.007,    0.005,    0.004,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.004,    0.000,    0.000,    0.000,    0.000,   -0.002,    0.000,    0.000
      62,          1.016667,    8.139,    4.726,    1.067,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.003,    0.000,    0.000,    0.005,    0.004,    0.003,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,   -0.000,    0.003,    0.000,    0.002,    0.000,   -0.000,   -0.001,    0.000,    0.000
      63,          1.033333,    8.137,    4.777,    1.060,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.004,    0.000,    0.000,    0.003,    0.002,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.002,    0.000,    0.002,    0.000,   -0.000,   -0.001,    0.000,    0.000
