"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","SQ Pipe6 [EG15_008]","SQ Pipe5 [EG15_008]","SQ Pipe19 [EG15_008]","SQ Pipe17 [EG15_008]","SQ Pipe16 [EG15_008]","SQ Pipe15 [EG15_008]","SQ Pipe14 [EG15_008]","SQ Pipe13 [EG15_008]","SQ Pipe12 [EG15_008]","SQ Pipe11 [EG15_008]","SQ Pipe10 [EG15_008]","SQ Pipe9 [EG15_008]","SQ FC04.1_C [EG15_008]","SQ FC01.2_R [EG15_008]","SQ FC01.1_R [EG15_008]"
     134,          2.216667,      0.1341,      0.2680,      0.6974,     -0.0256,      0.0000,      0.0689,      0.0020,      0.0332,      0.1600,      0.0837,      0.3287,      0.8556,      0.0654,     19.8317,     13.5859
     135,          2.233333,      0.1341,      0.2681,      0.6979,     -0.0256,      0.0000,      0.0689,      0.0019,      0.0332,      0.1601,      0.0837,      0.3290,      0.8562,      0.0641,     19.1455,     13.2417
     136,          2.250000,      0.1342,      0.2683,      0.6984,     -0.0256,      0.0000,      0.0690,      0.0020,      0.0332,      0.1602,      0.0838,      0.3292,      0.8569,      0.0624,     18.5094,     12.9495
     137,          2.266667,      0.1343,      0.2684,      0.6988,     -0.0257,      0.0000,      0.0690,      0.0020,      0.0332,      0.1603,      0.0838,      0.3294,      0.8575,      0.0610,     17.9247,     12.6916
     138,          2.283334,      0.1343,      0.2685,      0.6992,     -0.0257,      0.0000,      0.0690,      0.0020,      0.0332,      0.1604,      0.0838,      0.3296,      0.8580,      0.0596,     17.4018,     12.4483
     139,          2.300000,      0.1344,      0.2687,      0.6996,     -0.0257,      0.0000,      0.0691,      0.0020,      0.0333,      0.1605,      0.0839,      0.3298,      0.8586,      0.0582,     16.8941,     12.2072
     140,          2.316667,      0.1344,      0.2688,      0.6999,     -0.0257,      0.0000,      0.0691,      0.0020,      0.0333,      0.1605,      0.0839,      0.3300,      0.8591,      0.0568,     16.4090,     11.9667
     141,          2.333333,      0.1345,      0.2689,      0.7003,     -0.0257,      0.0000,      0.0692,      0.0020,      0.0333,      0.1606,      0.0839,      0.3302,      0.8596,      0.0555,     15.9515,     11.7301
     142,          2.350000,      0.1345,      0.2690,      0.7006,     -0.0257,      0.0000,      0.0692,      0.0020,      0.0333,      0.1607,      0.0840,      0.3303,      0.8601,      0.0541,     15.5222,     11.4980
     143,          2.366667,      0.1346,      0.2691,      0.7009,     -0.0257,      0.0000,      0.0692,      0.0020,      0.0333,      0.1607,      0.0840,      0.3305,      0.8605,      0.0528,     15.1201,     11.2920
     144,          2.383333,      0.1346,      0.2692,      0.7013,     -0.0257,      0.0000,      0.0692,      0.0020,      0.0334,      0.1608,      0.0840,      0.3307,      0.8610,      0.0514,     14.7688,     11.0767
     145,          2.400000,      0.1347,      0.2694,      0.7016,     -0.0258,      0.0000,      0.0693,      0.0020,      0.0334,      0.1608,      0.0841,      0.3308,      0.8614,      0.0501,     14.4389,     10.8514
     146,          2.416667,      0.1347,      0.2694,      0.7019,     -0.0258,      0.0000,      0.0693,      0.0020,      0.0334,      0.1609,      0.0841,      0.3310,      0.8618,      0.0488,     14.1171,     10.6466
     147,          2.433333,      0.1347,      0.2695,      0.7021,     -0.0258,      0.0000,      0.0693,      0.0020,      0.0334,      0.1609,      0.0841,      0.3311,      0.8622,      0.0475,     13.8294,     10.4676
     148,          2.450000,      0.1348,      0.2696,      0.7024,     -0.0258,      0.0000,      0.0693,      0.0020,      0.0334,      0.1610,      0.0842,      0.3312,      0.8626,      0.0462,     13.5274,     10.2966
     149,          2.466667,      0.1348,      0.2697,      0.7026,     -0.0258,      0.0000,      0.0694,      0.0020,      0.0334,      0.1610,      0.0842,      0.3313,      0.8629,      0.0449,     13.2171,     10.1157
     150,          2.483333,      0.1348,      0.2698,      0.7028,     -0.0258,      0.0000,      0.0694,      0.0020,      0.0335,      0.1611,      0.0842,      0.3315,      0.8633,      0.0437,     12.9918,      9.9147
     151,          2.500000,      0.1349,      0.2698,      0.7031,     -0.0258,      0.0000,      0.0694,      0.0020,      0.0335,      0.1611,      0.0842,      0.3316,      0.8636,      0.0424,     12.7196,      9.6859
     152,          2.516667,      0.1349,      0.2699,      0.7033,     -0.0258,      0.0000,      0.0694,      0.0020,      0.0335,      0.1612,      0.0842,      0.3317,      0.8639,      0.0411,     12.5014,      9.4514
     153,          2.533334,      0.1349,      0.2700,      0.7035,     -0.0258,      0.0000,      0.0694,      0.0020,      0.0335,      0.1612,      0.0842,      0.3318,      0.8641,      0.0399,     12.2481,      9.2109
     154,          2.550000,      0.1350,      0.2701,      0.7037,     -0.0258,      0.0000,      0.0695,      0.0020,      0.0335,      0.1612,      0.0843,      0.3319,      0.8644,      0.0388,     12.0564,      8.9730
     155,          2.566667,      0.1350,      0.2701,      0.7039,     -0.0258,      0.0000,      0.0695,      0.0020,      0.0335,      0.1613,      0.0843,      0.3320,      0.8647,      0.0376,     11.8339,      8.7726
     156,          2.583333,      0.1350,      0.2702,      0.7040,     -0.0258,      0.0000,      0.0695,      0.0020,      0.0335,      0.1613,      0.0843,      0.3321,      0.8650,      0.0365,     11.6214,      8.5301
     157,          2.600000,      0.1350,      0.2702,      0.7042,     -0.0258,      0.0000,      0.0695,      0.0020,      0.0335,      0.1613,      0.0843,      0.3322,      0.8652,      0.0355,     11.3672,      8.2827
     158,          2.616667,      0.1350,      0.2703,      0.7044,     -0.0258,      0.0000,      0.0695,      0.0020,      0.0335,      0.1614,      0.0843,      0.3322,      0.8654,      0.0345,     11.1937,      8.0407
     159,          2.633333,      0.1351,      0.2703,      0.7045,     -0.0259,      0.0000,      0.0695,      0.0020,      0.0335,      0.1614,      0.0843,      0.3323,      0.8657,      0.0335,     10.9200,      7.8020
     160,          2.650000,      0.1351,      0.2704,      0.7047,     -0.0259,      0.0000,      0.0695,      0.0020,      0.0335,      0.1614,      0.0844,      0.3324,      0.8659,      0.0325,     10.7024,      7.6189
     161,          2.666667,      0.1351,      0.2704,      0.7048,     -0.0258,      0.0000,      0.0696,      0.0020,      0.0335,      0.1615,      0.0844,      0.3325,      0.8661,      0.0316,     10.4487,      7.4513
     162,          2.683333,      0.1351,      0.2705,      0.7050,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1615,      0.0844,      0.3325,      0.8663,      0.0307,     10.2488,      7.2702
     163,          2.700000,      0.1352,      0.2705,      0.7051,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1615,      0.0844,      0.3326,      0.8665,      0.0297,     10.0545,      7.0937
     164,          2.716667,      0.1352,      0.2706,      0.7052,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1615,      0.0844,      0.3327,      0.8667,      0.0288,      9.8030,      6.8978
     165,          2.733334,      0.1352,      0.2706,      0.7054,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1616,      0.0845,      0.3327,      0.8668,      0.0280,      9.5585,      6.6981
     166,          2.750000,      0.1352,      0.2707,      0.7055,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1616,      0.0845,      0.3328,      0.8670,      0.0272,      9.3537,      6.4922
     167,          2.766667,      0.1352,      0.2707,      0.7056,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1616,      0.0845,      0.3329,      0.8672,      0.0263,      9.0900,      6.2764
     168,          2.783334,      0.1352,      0.2707,      0.7057,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1616,      0.0845,      0.3329,      0.8673,      0.0256,      8.9320,      6.0584
     169,          2.800000,      0.1352,      0.2708,      0.7058,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1616,      0.0845,      0.3330,      0.8675,      0.0248,      8.6814,      5.8263
     170,          2.816667,      0.1352,      0.2708,      0.7059,     -0.0259,      0.0000,      0.0696,      0.0020,      0.0336,      0.1616,      0.0845,      0.3330,      0.8676,      0.0241,      8.4636,      5.5891
     171,          2.833333,      0.1353,      0.2708,      0.7060,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1617,      0.0845,      0.3331,      0.8677,      0.0234,      8.2408,      5.3457
     172,          2.850000,      0.1353,      0.2709,      0.7061,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1617,      0.0845,      0.3331,      0.8679,      0.0227,      8.0176,      5.1012
     173,          2.866667,      0.1353,      0.2709,      0.7062,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1617,      0.0845,      0.3332,      0.8680,      0.0220,      7.8899,      4.8445
     174,          2.883333,      0.1353,      0.2709,      0.7063,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1617,      0.0845,      0.3332,      0.8681,      0.0214,      7.6970,      4.6028
     175,          2.900000,      0.1353,      0.2709,      0.7063,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1617,      0.0845,      0.3332,      0.8682,      0.0208,      7.4585,      4.3574
     176,          2.916667,      0.1353,      0.2710,      0.7064,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1617,      0.0845,      0.3333,      0.8683,      0.0202,      7.2626,      4.1136
     177,          2.933333,      0.1353,      0.2710,      0.7065,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1618,      0.0845,      0.3333,      0.8685,      0.0196,      7.0612,      3.8856
     178,          2.950000,      0.1353,      0.2710,      0.7066,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1618,      0.0845,      0.3334,      0.8686,      0.0190,      6.8697,      3.6682
     179,          2.966667,      0.1354,      0.2711,      0.7066,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1618,      0.0846,      0.3334,      0.8687,      0.0185,      6.6762,      3.4649
     180,          2.983334,      0.1354,      0.2711,      0.7067,     -0.0259,      0.0000,      0.0697,      0.0020,      0.0336,      0.1618,      0.0846,      0.3334,      0.8688,      0.0180,      6.4895,      3.2795
     181,          3.000000,      0.1354,      0.2711,      0.7068,     -0.0260,      0.0000,      0.0697,      0.0020,      0.0336,      0.1580,      0.0846,      0.3351,      0.8686,      0.0175,      6.2887,      3.1059
