"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","SQ Pipe6 [EG15_008]","SQ Pipe5 [EG15_008]","SQ Pipe19 [EG15_008]","SQ Pipe17 [EG15_008]","SQ Pipe16 [EG15_008]","SQ Pipe15 [EG15_008]","SQ Pipe14 [EG15_008]","SQ Pipe13 [EG15_008]","SQ Pipe12 [EG15_008]","SQ Pipe11 [EG15_008]","SQ Pipe10 [EG15_008]","SQ Pipe9 [EG15_008]","SQ FC04.1_C [EG15_008]","SQ FC01.2_R [EG15_008]","SQ FC01.1_R [EG15_008]"
      29,          0.466667,      0.0406,      0.0878,      0.1684,     -0.0028,      0.0005,      0.0161,      0.0061,      0.0229,      0.1108,      0.0544,      0.2081,      0.4108,      0.4427,      5.8956,     12.4207
      30,          0.483333,      0.0408,      0.0887,      0.1696,     -0.0029,      0.0005,      0.0164,      0.0057,      0.0213,      0.1063,      0.0519,      0.2013,      0.4121,      0.4605,      7.6162,     14.1092
      31,          0.500000,      0.0416,      0.0889,      0.1706,     -0.0032,      0.0004,      0.0168,      0.0053,      0.0205,      0.1050,      0.0502,      0.1957,      0.4129,      0.4762,      0.6302,     15.9267
      32,          0.516667,      0.0410,      0.0890,      0.1721,     -0.0033,      0.0004,      0.0166,      0.0050,      0.0202,      0.1018,      0.0496,      0.1916,      0.4132,      0.4910,      6.2976,     17.8159
      33,          0.533333,      0.0424,      0.0915,      0.1777,     -0.0034,      0.0004,      0.0170,      0.0053,      0.0200,      0.0995,      0.0489,      0.1926,      0.4132,      0.5035,      7.1109,     20.4574
      34,          0.550000,      0.0453,      0.0970,      0.1909,     -0.0041,      0.0004,      0.0186,      0.0046,      0.0195,      0.1021,      0.0484,      0.1888,      0.4137,      0.5147,      8.2447,     24.2058
      35,          0.566667,      0.0516,      0.1068,      0.2129,     -0.0054,      0.0003,      0.0217,      0.0044,      0.0194,      0.0998,      0.0483,      0.1902,      0.4143,      0.5244,      9.3178,     28.4598
      36,          0.583333,      0.0603,      0.1194,      0.2406,     -0.0076,      0.0003,      0.0263,      0.0030,      0.0184,      0.0996,      0.0474,      0.1895,      0.4165,      0.5328,     10.7412,     31.4772
      37,          0.600000,      0.0684,      0.1313,      0.2672,     -0.0100,      0.0003,      0.0308,      0.0019,      0.0178,      0.0995,      0.0474,      0.1896,      0.4187,      0.5393,     12.2151,     34.2756
      38,          0.616667,      0.0734,      0.1393,      0.2880,     -0.0113,      0.0003,      0.0335,      0.0012,      0.0175,      0.1004,      0.0471,      0.1894,      0.4224,      0.5450,     13.8315,     36.7033
      39,          0.633333,      0.0779,      0.1464,      0.3075,     -0.0123,      0.0003,      0.0357,      0.0010,      0.0175,      0.1006,      0.0471,      0.1912,      0.4282,      0.5484,     16.0628,     38.7999
      40,          0.650000,      0.0817,      0.1534,      0.3272,     -0.0132,      0.0003,      0.0378,      0.0007,      0.0175,      0.1015,      0.0477,      0.1932,      0.4358,      0.5507,     18.5760,     40.6856
      41,          0.666667,      0.0852,      0.1604,      0.3479,     -0.0139,      0.0002,      0.0396,      0.0006,      0.0180,      0.1029,      0.0488,      0.1960,      0.4457,      0.5522,     21.4765,     42.4257
      42,          0.683333,      0.0887,      0.1672,      0.3684,     -0.0148,      0.0002,      0.0414,      0.0005,      0.0184,      0.1047,      0.0499,      0.1993,      0.4577,      0.5522,     24.2751,     44.0427
      43,          0.700000,      0.0919,      0.1734,      0.3879,     -0.0155,      0.0002,      0.0431,      0.0003,      0.0186,      0.1063,      0.0510,      0.2028,      0.4705,      0.5512,     26.8122,     45.2932
      44,          0.716667,      0.0945,      0.1788,      0.4053,     -0.0162,      0.0002,      0.0448,      0.0003,      0.0191,      0.1080,      0.0520,      0.2061,      0.4822,      0.5493,     29.3575,     46.1095
      45,          0.733333,      0.0966,      0.1833,      0.4209,     -0.0168,      0.0002,      0.0461,      0.0002,      0.0193,      0.1093,      0.0528,      0.2092,      0.4934,      0.5467,     31.6756,     46.6173
      46,          0.750000,      0.0988,      0.1880,      0.4365,     -0.0174,      0.0002,      0.0474,      0.0001,      0.0197,      0.1106,      0.0536,      0.2123,      0.5048,      0.5434,     34.0175,     46.9292
      47,          0.766667,      0.1006,      0.1920,      0.4510,     -0.0179,      0.0002,      0.0485,      0.0001,      0.0199,      0.1120,      0.0544,      0.2155,      0.5160,      0.5388,     36.5767,     47.1262
      48,          0.783333,      0.1025,      0.1960,      0.4643,     -0.0183,      0.0002,      0.0496,      0.0000,      0.0204,      0.1137,      0.0554,      0.2190,      0.5284,      0.5332,     39.5963,     47.2380
      49,          0.800000,      0.1040,      0.1993,      0.4765,     -0.0187,      0.0001,      0.0506,      0.0000,      0.0209,      0.1153,      0.0566,      0.2226,      0.5412,      0.5272,     43.2302,     47.3054
      50,          0.816667,      0.1054,      0.2024,      0.4875,     -0.0190,      0.0002,      0.0514,      0.0001,      0.0212,      0.1170,      0.0575,      0.2264,      0.5539,      0.5204,     47.3428,     47.3557
      51,          0.833333,      0.1067,      0.2054,      0.4982,     -0.0193,      0.0002,      0.0522,      0.0002,      0.0216,      0.1187,      0.0585,      0.2303,      0.5661,      0.5134,     51.0925,     47.3924
      52,          0.850000,      0.1078,      0.2080,      0.5076,     -0.0196,      0.0001,      0.0530,      0.0001,      0.0222,      0.1205,      0.0596,      0.2341,      0.5779,      0.5052,     54.2311,     47.4203
      53,          0.866667,      0.1089,      0.2104,      0.5163,     -0.0198,      0.0001,      0.0535,      0.0003,      0.0227,      0.1223,      0.0608,      0.2381,      0.5902,      0.4965,     56.7278,     47.4377
      54,          0.883333,      0.1099,      0.2127,      0.5246,     -0.0200,      0.0001,      0.0542,      0.0004,      0.0231,      0.1240,      0.0619,      0.2419,      0.6018,      0.4875,     58.7652,     47.4500
      55,          0.900000,      0.1110,      0.2150,      0.5329,     -0.0202,      0.0001,      0.0548,      0.0005,      0.0236,      0.1257,      0.0630,      0.2455,      0.6127,      0.4780,     60.4754,     47.4598
      56,          0.916667,      0.1119,      0.2171,      0.5404,     -0.0205,      0.0001,      0.0553,      0.0005,      0.0240,      0.1272,      0.0639,      0.2490,      0.6233,      0.4683,     61.9664,     47.4686
      57,          0.933333,      0.1127,      0.2192,      0.5471,     -0.0207,      0.0001,      0.0559,      0.0006,      0.0245,      0.1287,      0.0648,      0.2522,      0.6331,      0.4582,     63.2603,     47.4754
      58,          0.950000,      0.1137,      0.2213,      0.5536,     -0.0209,      0.0001,      0.0564,      0.0007,      0.0248,      0.1301,      0.0657,      0.2552,      0.6421,      0.4477,     64.4252,     47.4767
      59,          0.966667,      0.1146,      0.2233,      0.5600,     -0.0211,      0.0001,      0.0570,      0.0007,      0.0252,      0.1314,      0.0665,      0.2583,      0.6513,      0.4371,     65.4691,     47.4754
      60,          0.983333,      0.1154,      0.2252,      0.5661,     -0.0213,      0.0001,      0.0575,      0.0008,      0.0256,      0.1328,      0.0675,      0.2614,      0.6604,      0.4262,     66.4122,     47.4730
      61,          1.000000,      0.1162,      0.2270,      0.5718,     -0.0214,      0.0001,      0.0580,      0.0009,      0.0260,      0.1341,      0.0683,      0.2644,      0.6691,      0.4160,     67.2741,     47.4699
      62,          1.016667,      0.1169,      0.2287,      0.5770,     -0.0216,      0.0001,      0.0584,      0.0009,      0.0263,      0.1353,      0.0690,      0.2670,      0.6769,      0.4036,     68.0616,     47.4648
      63,          1.033333,      0.1175,      0.2302,      0.5818,     -0.0218,      0.0001,      0.0588,      0.0010,      0.0266,      0.1363,      0.0697,      0.2694,      0.6841,      0.3933,     68.7824,     47.4527
      64,          1.050000,      0.1182,      0.2317,      0.5865,     -0.0219,      0.0001,      0.0592,      0.0010,      0.0269,      0.1373,      0.0704,      0.2718,      0.6912,      0.3820,     69.4299,     47.4374
      65,          1.066667,      0.1189,      0.2332,      0.5910,     -0.0220,      0.0001,      0.0596,      0.0011,      0.0272,      0.1384,      0.0710,      0.2742,      0.6980,      0.3710,     70.0015,     47.4204
      66,          1.083333,      0.1195,      0.2345,      0.5952,     -0.0222,      0.0001,      0.0600,      0.0011,      0.0275,      0.1393,      0.0716,      0.2764,      0.7045,      0.3603,     70.4463,     47.4026
      67,          1.100000,      0.1200,      0.2357,      0.5991,     -0.0223,      0.0001,      0.0603,      0.0012,      0.0277,      0.1402,      0.0722,      0.2785,      0.7105,      0.3495,     70.7469,     47.3813
      68,          1.116667,      0.1206,      0.2369,      0.6029,     -0.0225,      0.0001,      0.0606,      0.0012,      0.0279,      0.1409,      0.0726,      0.2804,      0.7160,      0.3389,     70.9229,     47.3429
      69,          1.133333,      0.1211,      0.2381,      0.6065,     -0.0225,      0.0001,      0.0609,      0.0012,      0.0282,      0.1417,      0.0731,      0.2823,      0.7217,      0.3281,     71.0172,     47.2993
      70,          1.150000,      0.1216,      0.2392,      0.6099,     -0.0226,      0.0001,      0.0612,      0.0013,      0.0284,      0.1425,      0.0737,      0.2842,      0.7271,      0.3181,     71.0595,     47.2452
      71,          1.166667,      0.1221,      0.2403,      0.6133,     -0.0228,      0.0001,      0.0615,      0.0013,      0.0286,      0.1432,      0.0741,      0.2860,      0.7321,      0.3082,     71.0724,     47.1891
      72,          1.183333,      0.1225,      0.2413,      0.6165,     -0.0228,      0.0001,      0.0618,      0.0014,      0.0288,      0.1439,      0.0746,      0.2875,      0.7367,      0.2984,     71.0669,     47.1305
      73,          1.200000,      0.1229,      0.2423,      0.6194,     -0.0229,      0.0001,      0.0620,      0.0014,      0.0290,      0.1445,      0.0749,      0.2890,      0.7411,      0.2889,     71.0513,     47.0664
      74,          1.216667,      0.1233,      0.2432,      0.6222,     -0.0231,      0.0001,      0.0623,      0.0014,      0.0291,      0.1451,      0.0754,      0.2906,      0.7455,      0.2798,     71.0302,     46.9997
      75,          1.233333,      0.1237,      0.2441,      0.6250,     -0.0231,      0.0001,      0.0625,      0.0015,      0.0294,      0.1458,      0.0758,      0.2921,      0.7498,      0.2709,     71.0082,     46.9302
      76,          1.250000,      0.1241,      0.2450,      0.6276,     -0.0232,      0.0000,      0.0628,      0.0015,      0.0295,      0.1463,      0.0761,      0.2935,      0.7537,      0.2624,     70.9872,     46.8586
      77,          1.266667,      0.1245,      0.2457,      0.6301,     -0.0233,      0.0001,      0.0630,      0.0015,      0.0296,      0.1468,      0.0764,      0.2948,      0.7574,      0.2541,     70.9663,     46.7835
      78,          1.283333,      0.1248,      0.2465,      0.6325,     -0.0233,      0.0000,      0.0632,      0.0015,      0.0298,      0.1473,      0.0768,      0.2961,      0.7611,      0.2461,     70.9460,     46.6954
      79,          1.300000,      0.1251,      0.2473,      0.6348,     -0.0234,      0.0000,      0.0634,      0.0016,      0.0300,      0.1479,      0.0771,      0.2974,      0.7647,      0.2385,     70.9258,     46.5987
      80,          1.316667,      0.1255,      0.2481,      0.6371,     -0.0235,      0.0001,      0.0636,      0.0016,      0.0301,      0.1484,      0.0774,      0.2986,      0.7681,      0.2313,     70.9050,     46.4946
      81,          1.333333,      0.1258,      0.2488,      0.6393,     -0.0236,      0.0000,      0.0638,      0.0016,      0.0302,      0.1488,      0.0777,      0.2997,      0.7713,      0.2244,     70.8771,     46.3843
      82,          1.350000,      0.1261,      0.2494,      0.6413,     -0.0236,      0.0000,      0.0640,      0.0016,      0.0303,      0.1492,      0.0780,      0.3007,      0.7743,      0.2179,     70.8429,     46.2681
      83,          1.366667,      0.1263,      0.2501,      0.6434,     -0.0237,      0.0000,      0.0641,      0.0017,      0.0305,      0.1497,      0.0782,      0.3018,      0.7773,      0.2115,     70.8000,     46.1470
      84,          1.383333,      0.1266,      0.2507,      0.6453,     -0.0238,      0.0000,      0.0643,      0.0017,      0.0306,      0.1501,      0.0785,      0.3029,      0.7802,      0.2053,     70.7458,     46.0186
      85,          1.400000,      0.1269,      0.2514,      0.6473,     -0.0239,      0.0000,      0.0645,      0.0017,      0.0307,      0.1505,      0.0787,      0.3038,      0.7829,      0.1994,     70.6842,     45.8827
      86,          1.416667,      0.1272,      0.2520,      0.6491,     -0.0239,      0.0000,      0.0646,      0.0017,      0.0308,      0.1508,      0.0790,      0.3046,      0.7854,      0.1937,     70.6091,     45.7397
      87,          1.433333,      0.1274,      0.2526,      0.6508,     -0.0240,      0.0000,      0.0648,      0.0017,      0.0308,      0.1512,      0.0792,      0.3056,      0.7881,      0.1883,     70.5194,     45.5853
      88,          1.450000,      0.1277,      0.2531,      0.6526,     -0.0240,      0.0000,      0.0649,      0.0018,      0.0310,      0.1515,      0.0794,      0.3065,      0.7906,      0.1831,     70.4086,     45.4282
      89,          1.466667,      0.1279,      0.2537,      0.6543,     -0.0241,      0.0000,      0.0651,      0.0017,      0.0311,      0.1519,      0.0797,      0.3074,      0.7931,      0.1782,     70.2673,     45.2592
      90,          1.483333,      0.1281,      0.2542,      0.6560,     -0.0241,      0.0000,      0.0652,      0.0018,      0.0312,      0.1522,      0.0799,      0.3082,      0.7955,      0.1735,     70.0834,     45.0770
      91,          1.500000,      0.1284,      0.2548,      0.6576,     -0.0242,      0.0000,      0.0654,      0.0018,      0.0313,      0.1526,      0.0801,      0.3091,      0.7979,      0.1691,     69.8489,     44.8815
      92,          1.516667,      0.1286,      0.2553,      0.6592,     -0.0242,      0.0000,      0.0655,      0.0018,      0.0314,      0.1529,      0.0803,      0.3099,      0.8002,      0.1648,     69.5415,     44.6676
      93,          1.533333,      0.1288,      0.2558,      0.6607,     -0.0243,      0.0000,      0.0656,      0.0018,      0.0315,      0.1532,      0.0805,      0.3107,      0.8024,      0.1607,     69.1776,     44.4335
      94,          1.550000,      0.1290,      0.2563,      0.6622,     -0.0243,      0.0000,      0.0657,      0.0018,      0.0316,      0.1535,      0.0807,      0.3114,      0.8045,      0.1568,     68.7369,     44.1642
      95,          1.566667,      0.1292,      0.2568,      0.6637,     -0.0243,      0.0000,      0.0659,      0.0019,      0.0317,      0.1538,      0.0809,      0.3122,      0.8067,      0.1530,     68.2572,     43.8417
      96,          1.583333,      0.1295,      0.2572,      0.6651,     -0.0244,      0.0000,      0.0660,      0.0019,      0.0318,      0.1541,      0.0810,      0.3129,      0.8088,      0.1494,     67.7373,     43.4582
      97,          1.600000,      0.1297,      0.2577,      0.6665,     -0.0245,      0.0000,      0.0662,      0.0019,      0.0319,      0.1544,      0.0812,      0.3136,      0.8107,      0.1459,     67.1843,     43.0071
      98,          1.616667,      0.1298,      0.2581,      0.6677,     -0.0245,      0.0000,      0.0662,      0.0019,      0.0320,      0.1546,      0.0813,      0.3143,      0.8126,      0.1424,     66.6045,     42.5281
      99,          1.633333,      0.1300,      0.2585,      0.6690,     -0.0245,      0.0000,      0.0663,      0.0020,      0.0321,      0.1549,      0.0815,      0.3150,      0.8145,      0.1392,     66.0036,     42.0142
     100,          1.650000,      0.1302,      0.2589,      0.6703,     -0.0246,      0.0000,      0.0665,      0.0019,      0.0321,      0.1551,      0.0817,      0.3156,      0.8163,      0.1360,     65.3837,     41.4562
     101,          1.666667,      0.1304,      0.2594,      0.6715,     -0.0246,      0.0000,      0.0666,      0.0020,      0.0322,      0.1554,      0.0818,      0.3162,      0.8181,      0.1330,     64.7437,     40.8535
     102,          1.683333,      0.1305,      0.2597,      0.6727,     -0.0246,      0.0000,      0.0667,      0.0020,      0.0323,      0.1556,      0.0820,      0.3168,      0.8197,      0.1300,     64.0830,     40.2033
     103,          1.700000,      0.1307,      0.2601,      0.6738,     -0.0247,      0.0000,      0.0668,      0.0020,      0.0324,      0.1558,      0.0821,      0.3174,      0.8214,      0.1272,     63.4003,     39.4907
     104,          1.716667,      0.1308,      0.2605,      0.6749,     -0.0247,      0.0000,      0.0669,      0.0020,      0.0324,      0.1561,      0.0822,      0.3180,      0.8230,      0.1243,     62.6962,     38.7086
     105,          1.733333,      0.1310,      0.2609,      0.6760,     -0.0247,      0.0000,      0.0669,      0.0020,      0.0325,      0.1563,      0.0824,      0.3185,      0.8246,      0.1216,     61.9681,     37.8557
     106,          1.750000,      0.1312,      0.2612,      0.6771,     -0.0248,      0.0000,      0.0671,      0.0020,      0.0326,      0.1565,      0.0825,      0.3191,      0.8261,      0.1190,     61.2068,     36.9267
     107,          1.766667,      0.1313,      0.2615,      0.6781,     -0.0248,      0.0000,      0.0672,      0.0021,      0.0327,      0.1567,      0.0826,      0.3196,      0.8276,      0.1165,     60.4156,     35.9119
     108,          1.783333,      0.1314,      0.2619,      0.6791,     -0.0248,      0.0000,      0.0672,      0.0021,      0.0328,      0.1569,      0.0828,      0.3201,      0.8291,      0.1140,     59.5888,     34.8433
     109,          1.800000,      0.1316,      0.2622,      0.6801,     -0.0249,      0.0000,      0.0673,      0.0021,      0.0328,      0.1571,      0.0829,      0.3206,      0.8305,      0.1117,     58.7258,     33.7269
     110,          1.816667,      0.1317,      0.2625,      0.6810,     -0.0249,      0.0000,      0.0674,      0.0021,      0.0329,      0.1573,      0.0830,      0.3211,      0.8318,      0.1093,     57.8175,     32.5442
     111,          1.833333,      0.1318,      0.2628,      0.6819,     -0.0249,      0.0000,      0.0675,      0.0021,      0.0329,      0.1575,      0.0831,      0.3216,      0.8331,      0.1070,     56.8490,     31.2908
     112,          1.850000,      0.1320,      0.2631,      0.6828,     -0.0250,      0.0000,      0.0675,      0.0021,      0.0330,      0.1576,      0.0832,      0.3220,      0.8345,      0.1048,     55.8004,     29.9741
     113,          1.866667,      0.1321,      0.2634,      0.6837,     -0.0250,      0.0000,      0.0676,      0.0021,      0.0330,      0.1578,      0.0833,      0.3225,      0.8357,      0.1026,     54.6657,     28.6029
     114,          1.883333,      0.1322,      0.2637,      0.6846,     -0.0251,      0.0000,      0.0677,      0.0021,      0.0331,      0.1580,      0.0834,      0.3229,      0.8370,      0.1004,     53.4393,     26.9142
     115,          1.900000,      0.1323,      0.2639,      0.6854,     -0.0251,      0.0000,      0.0678,      0.0021,      0.0331,      0.1581,      0.0835,      0.3233,      0.8382,      0.0983,     52.1100,     25.2513
     116,          1.916667,      0.1325,      0.2642,      0.6862,     -0.0251,      0.0000,      0.0679,      0.0021,      0.0331,      0.1583,      0.0835,      0.3238,      0.8394,      0.0963,     50.6709,     23.8389
     117,          1.933333,      0.1326,      0.2645,      0.6870,     -0.0251,      0.0000,      0.0679,      0.0021,      0.0332,      0.1584,      0.0836,      0.3242,      0.8405,      0.0943,     49.0908,     22.6531
     118,          1.950000,      0.1327,      0.2647,      0.6878,     -0.0251,      0.0000,      0.0680,      0.0021,      0.0332,      0.1586,      0.0837,      0.3245,      0.8417,      0.0923,     47.3497,     21.6675
     119,          1.966667,      0.1328,      0.2650,      0.6885,     -0.0252,      0.0000,      0.0681,      0.0021,      0.0332,      0.1587,      0.0836,      0.3242,      0.8426,      0.0904,     45.4162,     20.8609
     120,          1.983333,      0.1329,      0.2652,      0.6892,     -0.0252,      0.0000,      0.0681,      0.0021,      0.0332,      0.1588,      0.0836,      0.3246,      0.8436,      0.0886,     43.2631,     20.1921
     121,          2.000000,      0.1330,      0.2655,      0.6899,     -0.0252,      0.0000,      0.0682,      0.0021,      0.0332,      0.1589,      0.0836,      0.3249,      0.8447,      0.0868,     40.9028,     19.6276
     122,          2.016667,      0.1331,      0.2657,      0.6906,     -0.0253,      0.0000,      0.0683,      0.0021,      0.0332,      0.1590,      0.0836,      0.3253,      0.8457,      0.0850,     38.4961,     19.1426
     123,          2.033334,      0.1332,      0.2659,      0.6913,     -0.0253,      0.0000,      0.0683,      0.0021,      0.0332,      0.1591,      0.0836,      0.3256,      0.8467,      0.0832,     36.1611,     18.7017
     124,          2.050000,      0.1333,      0.2661,      0.6919,     -0.0254,      0.0000,      0.0684,      0.0020,      0.0332,      0.1592,      0.0836,      0.3259,      0.8476,      0.0815,     33.9150,     18.2703
     125,          2.066667,      0.1334,      0.2663,      0.6925,     -0.0254,      0.0000,      0.0685,      0.0020,      0.0332,      0.1593,      0.0836,      0.3262,      0.8485,      0.0797,     31.8647,     17.8448
     126,          2.083333,      0.1335,      0.2665,      0.6932,     -0.0254,      0.0000,      0.0685,      0.0020,      0.0332,      0.1594,      0.0836,      0.3266,      0.8494,      0.0781,     29.9238,     17.4102
     127,          2.100000,      0.1335,      0.2667,      0.6938,     -0.0254,      0.0000,      0.0685,      0.0020,      0.0332,      0.1595,      0.0837,      0.3268,      0.8502,      0.0764,     28.1084,     16.9813
     128,          2.116667,      0.1336,      0.2669,      0.6943,     -0.0255,      0.0000,      0.0686,      0.0020,      0.0332,      0.1596,      0.0837,      0.3271,      0.8511,      0.0747,     26.4265,     16.5332
     129,          2.133333,      0.1337,      0.2671,      0.6949,     -0.0255,      0.0000,      0.0686,      0.0020,      0.0332,      0.1597,      0.0837,      0.3274,      0.8519,      0.0731,     24.9502,     16.0429
     130,          2.150000,      0.1338,      0.2673,      0.6954,     -0.0255,      0.0000,      0.0687,      0.0020,      0.0332,      0.1598,      0.0837,      0.3277,      0.8527,      0.0716,     23.6274,     15.5383
     131,          2.166667,      0.1339,      0.2675,      0.6960,     -0.0255,      0.0000,      0.0687,      0.0020,      0.0332,      0.1598,      0.0837,      0.3280,      0.8535,      0.0700,     22.4499,     15.0235
     132,          2.183333,      0.1339,      0.2676,      0.6965,     -0.0256,      0.0000,      0.0688,      0.0020,      0.0332,      0.1600,      0.0837,      0.3282,      0.8542,      0.0684,     21.4523,     14.5093
     133,          2.200000,      0.1340,      0.2678,      0.6970,     -0.0256,      0.0000,      0.0688,      0.0020,      0.0332,      0.1600,      0.0837,      0.3285,      0.8549,      0.0669,     20.6044,     14.0073
