"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","SQ FC04.1_C [EG15_007]","SQ FC01.2_R [EG15_007]","SQ FC01.1_R [EG15_007]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0000,      0.0158,      0.0000
       7,          0.100000,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0000,      0.0374,      0.0000
       9,          0.133333,      0.0000,      0.0538,      0.0000
      10,          0.150000,      0.0000,      0.0697,      0.0000
      11,          0.166667,      0.0000,      0.0833,      0.0000
      12,          0.183333,      0.0000,      0.1052,      0.0000
      13,          0.200000,      0.0005,      0.1337,      0.3997
      14,          0.216667,      0.0059,     -0.1747,      1.4453
      15,          0.233333,      0.0170,     -0.1325,      2.2749
      16,          0.250000,      0.0348,      0.5997,      2.9403
      17,          0.266667,      0.0599,     -0.2070,      3.4594
      18,          0.283333,      0.0911,      1.3500,      3.9161
      19,          0.300000,      0.1271,     -0.5869,      4.3885
      20,          0.316667,      0.1666,     -0.0309,      4.8806
      21,          0.333333,      0.2057,     -0.1895,      5.3733
      22,          0.350000,      0.2437,      2.2458,      5.8728
      23,          0.366667,      0.2797,     -0.3104,      6.4042
      24,          0.383333,      0.3132,     -1.2565,      7.0597
      25,          0.400000,      0.3446,      2.4109,      7.8426
      26,          0.416667,      0.3722,     -0.6344,      8.7541
      27,          0.433333,      0.3974,     -2.6310,      9.8079
      28,          0.450000,      0.4213,      5.1354,     10.9635
      29,          0.466667,      0.4427,      5.1466,     12.4207
      30,          0.483333,      0.4605,      6.9579,     14.1092
      31,          0.500000,      0.4762,     -1.5722,     15.9266
      32,          0.516667,      0.4910,     -1.8915,     17.8159
      33,          0.533333,      0.5035,     11.9111,     20.4574
      34,          0.550000,      0.5147,     -0.1140,     24.2058
      35,          0.566667,      0.5244,     10.8014,     28.4598
      36,          0.583333,      0.5328,     10.6725,     31.4772
      37,          0.600000,      0.5393,     12.1022,     34.2756
      38,          0.616667,      0.5450,     13.8260,     36.7032
      39,          0.633333,      0.5484,     15.9557,     38.7999
      40,          0.650000,      0.5506,     18.5622,     40.6856
      41,          0.666667,      0.5522,     21.3577,     42.4257
      42,          0.683333,      0.5522,     24.1450,     44.0427
      43,          0.700000,      0.5512,     26.6606,     45.2932
      44,          0.716667,      0.5493,     29.1753,     46.1095
      45,          0.733333,      0.5467,     31.5277,     46.6173
      46,          0.750000,      0.5434,     33.8776,     46.9292
      47,          0.766667,      0.5388,     36.4443,     47.1262
      48,          0.783333,      0.5332,     39.4975,     47.2381
      49,          0.800000,      0.5272,     43.1678,     47.3054
      50,          0.816667,      0.5204,     47.2487,     47.3557
      51,          0.833333,      0.5134,     50.9886,     47.3924
      52,          0.850000,      0.5052,     54.0998,     47.4204
      53,          0.866667,      0.4965,     56.5918,     47.4377
      54,          0.883333,      0.4875,     58.6497,     47.4500
      55,          0.900000,      0.4780,     60.3724,     47.4599
      56,          0.916667,      0.4683,     61.8706,     47.4686
      57,          0.933333,      0.4582,     63.1761,     47.4754
      58,          0.950000,      0.4477,     64.3493,     47.4767
      59,          0.966667,      0.4371,     65.4013,     47.4754
      60,          0.983333,      0.4262,     66.3495,     47.4730
      61,          1.000000,      0.4160,     67.2142,     47.4699
      62,          1.016667,      0.4036,     68.0068,     47.4648
      63,          1.033333,      0.3933,     68.7315,     47.4526
      64,          1.050000,      0.3820,     69.3736,     47.4374
      65,          1.066667,      0.3710,     69.9446,     47.4205
      66,          1.083333,      0.3603,     70.3770,     47.4026
      67,          1.100000,      0.3495,     70.6635,     47.3812
      68,          1.116667,      0.3389,     70.8332,     47.3428
      69,          1.133333,      0.3281,     70.9237,     47.2994
      70,          1.150000,      0.3181,     70.9676,     47.2452
      71,          1.166667,      0.3082,     70.9827,     47.1891
      72,          1.183333,      0.2984,     70.9809,     47.1304
      73,          1.200000,      0.2889,     70.9673,     47.0664
      74,          1.216667,      0.2798,     70.9491,     46.9997
      75,          1.233333,      0.2709,     70.9307,     46.9302
      76,          1.250000,      0.2624,     70.9128,     46.8585
      77,          1.266667,      0.2541,     70.8950,     46.7835
      78,          1.283333,      0.2461,     70.8778,     46.6954
      79,          1.300000,      0.2385,     70.8602,     46.5987
      80,          1.316667,      0.2313,     70.8424,     46.4945
      81,          1.333333,      0.2244,     70.8174,     46.3843
      82,          1.350000,      0.2178,     70.7857,     46.2681
      83,          1.366667,      0.2115,     70.7452,     46.1470
      84,          1.383333,      0.2053,     70.6929,     46.0187
      85,          1.400000,      0.1994,     70.6323,     45.8827
      86,          1.416667,      0.1937,     70.5587,     45.7397
      87,          1.433333,      0.1883,     70.4702,     45.5849
      88,          1.450000,      0.1831,     70.3611,     45.4281
      89,          1.466667,      0.1782,     70.2215,     45.2592
