"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time(h)","V FC01.1_R [EG15_010]","V FC01.2_R [EG15_010]","V FC04.1_C [EG15_010]","V Pipe0 [EG15_010]","V Pipe1 [EG15_010]","V Pipe10 [EG15_010]","V Pipe11 [EG15_010]","V Pipe12 [EG15_010]","V Pipe13 [EG15_010]","V Pipe14 [EG15_010]","V Pipe15 [EG15_010]","V Pipe16 [EG15_010]","V Pipe17 [EG15_010]","V Pipe19 [EG15_010]","V Pipe2 [EG15_010]","V Pipe3 [EG15_010]","V Pipe4 [EG15_010]","V Pipe5 [EG15_010]","V Pipe6 [EG15_010]","V Pipe7 [EG15_010]","V Pipe8 [EG15_010]","V Pipe9 [EG15_010]","V Pit1 [EG15_010]","V Pit10 [EG15_010]","V Pit11 [EG15_010]","V Pit12 [EG15_010]","V Pit13 [EG15_010]","V Pit15 [EG15_010]","V Pit16 [EG15_010]","V Pit17 [EG15_010]","V Pit18 [EG15_010]","V Pit19 [EG15_010]","V Pit2 [EG15_010]","V Pit3 [EG15_010]","V Pit4 [EG15_010]","V Pit5 [EG15_010]","V Pit6 [EG15_010]","V Pit7 [EG15_010]","V Pit8 [EG15_010]","V Pit9 [EG15_010]"
      13,          0.200000,    0.931,    0.084,    0.246,    0.618,    0.849,    0.894,    0.532,    0.883,    0.834,    0.460,    0.849,    0.026,   -0.121,    0.957,    0.718,    0.679,    0.291,    0.925,    0.946,    0.692,    0.796,    0.912,    0.966,    0.816,    0.966,    0.966,    0.966,    0.966,    0.725,    0.966,    0.966,    0.966,    0.925,    0.720,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      14,          0.216667,    1.429,    1.003,    0.418,    0.602,    0.895,    0.037,   -0.132,   -0.243,    0.169,    0.282,   -0.478,    0.017,    0.412,    1.027,    0.755,    0.720,    0.371,    0.380,   -0.057,    0.738,    0.846,    0.988,    0.966,    0.801,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.874,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      15,          0.233333,    1.662,    0.490,    0.524,    0.020,    0.052,   -0.148,   -0.043,   -0.156,    0.264,    0.394,   -0.586,    0.018,    0.519,   -0.353,    0.069,    0.757,   -0.037,   -0.350,   -0.338,    0.019,   -0.117,   -0.138,    0.966,    0.791,    0.957,    0.964,    0.966,    0.966,    0.223,    0.966,    0.966,    0.894,    0.840,    0.000,    0.966,    0.966,    0.903,    0.966,    0.966,    0.966
      16,          0.250000,    1.811,    0.847,    0.612,    0.027,    0.246,    0.583,    0.681,    0.565,    0.605,    0.751,   -0.832,    0.038,    0.870,    0.015,    0.192,    0.015,   -0.088,   -0.085,   -0.068,    0.253,    0.427,    0.627,    0.966,   -0.054,    0.925,    0.942,    0.960,    0.966,    0.000,    0.966,    0.839,    0.802,    0.819,    0.000,    0.966,    0.935,    0.849,    0.966,    0.966,    0.901
      17,          0.266667,    1.911,    0.757,    0.690,    0.105,    0.359,    0.937,    0.636,    0.898,    0.236,   -0.161,    0.676,    0.001,   -0.448,    0.734,    0.093,    0.238,    0.370,    0.774,    0.705,    0.388,    0.696,    0.915,    0.966,   -0.215,   -0.274,   -0.267,   -0.221,   -0.128,    0.725,    0.459,    0.574,    0.618,    0.642,    0.000,    0.966,    0.906,    0.143,    0.113,   -0.079,   -0.253
      18,          0.283333,    1.992,    0.943,    0.757,    0.122,    0.342,    0.947,    0.526,    0.865,    0.193,   -0.065,    0.658,    0.001,   -0.340,    0.771,    0.076,    0.238,    0.406,    0.771,    0.667,    0.396,    0.714,    0.917,    0.640,   -0.173,   -0.137,   -0.189,   -0.242,   -0.171,    0.000,    0.295,    0.432,    0.475,    0.350,    0.186,    0.966,    0.860,    0.097,    0.084,   -0.134,   -0.272
      19,          0.300000,    2.069,    0.759,    0.816,    0.122,    0.301,    0.949,    0.439,    0.827,    0.179,   -0.027,    0.602,    0.001,   -0.266,    0.768,    0.060,    0.292,    0.461,    0.791,    0.616,    0.395,    0.728,    0.915,    0.339,   -0.135,   -0.106,   -0.129,   -0.203,   -0.232,    0.342,    0.221,    0.358,    0.395,    0.255,    0.186,    0.961,    0.669,    0.066,    0.066,   -0.158,   -0.256
      20,          0.316667,    2.144,    0.015,    0.868,    0.116,    0.278,    0.934,    0.401,    0.774,    0.163,   -0.026,    0.535,    0.001,   -0.237,    0.766,    0.058,    0.312,    0.478,    0.783,    0.548,    0.396,    0.728,    0.908,    0.248,   -0.124,   -0.098,   -0.109,   -0.152,   -0.261,    0.109,    0.175,    0.315,    0.351,    0.227,    0.186,    0.951,    0.501,    0.057,    0.041,   -0.168,   -0.200
      21,          0.333333,    2.214,    0.393,    0.911,    0.109,    0.213,    0.914,    0.372,    0.710,    0.155,   -0.010,    0.461,    0.001,   -0.197,    0.788,    0.058,    0.304,    0.474,    0.770,    0.476,    0.417,    0.733,    0.898,    0.218,   -0.112,   -0.085,   -0.096,   -0.135,   -0.281,   -0.018,    0.137,    0.276,    0.320,    0.113,    0.725,    0.919,    0.418,    0.051,    0.021,   -0.175,   -0.176
      22,          0.350000,    2.280,    1.002,    0.947,    0.098,    0.205,    0.885,    0.337,    0.640,    0.141,   -0.001,    0.378,    0.001,   -0.152,    0.758,    0.061,    0.297,    0.542,    0.749,    0.394,    0.414,    0.729,    0.884,    0.182,   -0.101,   -0.073,   -0.077,   -0.114,   -0.297,   -0.018,    0.114,    0.262,    0.307,    0.114,    0.107,    0.853,    0.351,    0.051,    0.003,   -0.181,   -0.157
