"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.461,          0.9544,      8.1380,          0.9544
     2,"FC01.2_R",          70.953,          1.2345,      4.9273,          1.2345
     3,"FC04.1_C",           0.000,          3.0001,      0.0000,          3.0001
     4,"Pipe0",           0.089,          0.0724,      0.8765,          0.0027
     5,"Pipe1",           0.120,          0.0299,      1.0022,          0.0299
     6,"Pipe10",           0.441,          0.0505,      1.6902,          0.0272
     7,"Pipe11",           0.467,          0.0551,      1.6511,          0.0551
     8,"Pipe12",           0.450,          0.0523,      1.6576,          0.0330
     9,"Pipe13",           0.486,          0.0550,      1.7190,          0.0550
    10,"Pipe14",           0.505,          0.0549,      1.7876,          0.0549
    11,"Pipe15",           0.270,          0.0556,      1.3325,          0.0556
    12,"Pipe16",           0.498,          0.0509,      1.3540,          0.0486
    13,"Pipe17",           0.527,          0.0549,      3.2405,          0.0420
    14,"Pipe19",           0.253,          0.0580,      1.3250,          0.0145
    15,"Pipe2",           0.068,          0.0506,      1.4087,          0.0080
    16,"Pipe3",           0.076,          0.1430,      0.7554,          0.0645
    17,"Pipe4",           0.137,          0.2161,      0.7198,          0.0153
    18,"Pipe5",           0.264,          0.0557,      1.3214,          0.0557
    19,"Pipe6",           0.263,          0.0557,      1.1816,          0.0556
    20,"Pipe7",           0.180,          0.0509,      1.4828,          0.0037
    21,"Pipe8",           0.324,          0.0319,      1.4799,          0.0117
    22,"Pipe9",           0.438,          0.0501,      1.5952,          0.0204
    23,"Pit1",           0.076,          0.0010,      0.8878,          0.0299
    24,"Pit10",           0.023,          0.0068,      0.9663,          0.0639
    25,"Pit11",           0.058,          0.0692,      0.9663,          0.0572
    26,"Pit12",           0.067,          0.0714,      0.9663,          0.0697
    27,"Pit13",           0.037,          0.0715,      0.9663,          0.0703
    28,"Pit14",           0.042,          0.0717,      0.9663,          0.0468
    29,"Pit15",           0.033,          0.0010,      0.9663,          0.0751
    30,"Pit16",           0.064,          0.0458,      0.9663,          0.0828
    31,"Pit17",           0.088,          0.0584,      0.9663,          0.0111
    32,"Pit18",           0.176,          0.0497,      0.7907,          0.0010
    33,"Pit19",           0.178,          0.0493,      0.7473,          0.0008
    34,"Pit2",           0.062,          0.0769,      0.9504,          0.0010
    35,"Pit3",           0.084,          0.0008,      0.8864,          0.0058
    36,"Pit4",           0.070,          0.2323,      0.9663,          0.0019
    37,"Pit5",           0.076,          0.1426,      0.9663,          0.0760
    38,"Pit6",           0.077,          0.0505,      0.9663,          0.0348
    39,"Pit7",           0.025,          0.0010,      0.9663,          0.0625
    40,"Pit8",           0.034,          0.0008,      0.9663,          0.0630
    41,"Pit9",           0.035,          0.0008,      0.9663,          0.0616
