"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.477,          0.9503,      8.1407,          0.9503
     2,"FC01.2_R",          71.073,          1.1716,     19.3874,          0.1921
     3,"FC04.1_C",           0.552,          0.6810,      1.1518,          0.6810
     4,"Pipe0",           0.038,          0.3397,      0.4873,          0.0946
     5,"Pipe1",           0.132,          0.2991,      0.4688,          0.2991
     6,"Pipe10",           0.319,          0.2829,      1.1286,          0.2829
     7,"Pipe11",           0.217,          0.2391,      0.9307,          0.2391
     8,"Pipe12",           0.285,          0.2718,      1.0102,          0.2718
     9,"Pipe13",           0.165,          0.2702,      1.0721,          0.2368
    10,"Pipe14",           0.251,          0.2368,      1.0176,          0.2159
    11,"Pipe15",           0.186,          0.2431,      0.9878,          0.2278
    12,"Pipe16",           0.164,          0.2078,      1.0042,          0.2078
    13,"Pipe17",           0.287,          0.2351,      1.1467,          0.2061
    14,"Pipe19",           0.264,          0.3261,      1.1438,          0.2463
    15,"Pipe2",           0.095,          0.2700,      0.3560,          0.1675
    16,"Pipe3",           0.112,          0.3378,      0.6478,          0.1876
    17,"Pipe4",           0.186,          0.4187,      0.6577,          0.4187
    18,"Pipe5",           0.265,          0.3022,      1.2021,          0.2338
    19,"Pipe6",           0.233,          0.2838,      0.9768,          0.2306
    20,"Pipe7",           0.146,          0.3375,      0.5459,          0.1346
    21,"Pipe8",           0.269,          0.3254,      0.9521,          0.3254
    22,"Pipe9",           0.317,          0.3011,      1.7381,          0.2437
    23,"Pit1",           0.048,          0.1927,      0.9663,          0.2682
    24,"Pit11",           0.142,          0.2580,      0.9663,          0.0930
    25,"Pit12",           0.066,          0.2589,      0.9663,          0.1350
    26,"Pit14",           0.042,          0.2601,      0.9663,          0.2094
    27,"Pit15",           0.025,          0.1865,      0.9663,          0.1977
    28,"Pit16",           0.022,          0.3008,      0.9663,          0.1786
    29,"Pit18",           0.127,          0.3197,      0.9663,          0.2169
    30,"Pit19",           0.146,          0.3402,      0.9663,          0.1993
    31,"Pit2",           0.098,          0.3004,      0.9663,          0.1498
    32,"Pit4",           0.094,          0.4189,      0.9663,          0.2442
    33,"Pit5",           0.112,          0.3386,      0.9663,          0.2196
    34,"Pit6",           0.099,          0.2699,      0.9663,          0.1872
    35,"Pit7",           0.021,          0.2692,      0.9663,          0.2574
    36,"Pit8",           0.021,          0.1816,      0.9663,          0.2615
    37,"Pit9",           0.054,          0.2524,      0.9663,          0.1876
