"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time (h)","SQ Pipe7 [EG15_005]","SQ Pipe6 [EG15_005]","SQ Pipe5 [EG15_005]","SQ Pipe19 [EG15_005]","SQ Pipe3 [EG15_005]","SQ Pipe2 [EG15_005]","SQ Pipe1 [EG15_005]","SQ Pipe0 [EG15_005]","SQ Pipe17 [EG15_005]","SQ Pipe16 [EG15_005]","SQ Pipe15 [EG15_005]","SQ Pipe14 [EG15_005]","SQ Pipe13 [EG15_005]","SQ Pipe12 [EG15_005]","SQ Pipe11 [EG15_005]","SQ Pipe10 [EG15_005]","SQ Pipe9 [EG15_005]","SQ Pipe8 [EG15_005]","SQ Pipe4 [EG15_005]","SQ FC04.1_C [EG15_005]","SQ FC01.2_R [EG15_005]","SQ FC01.1_R [EG15_005]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0002,      0.0001,      0.0001,      0.0000,      0.0002,      0.0000,      0.0000,      0.0006,      0.0002,      0.0001,      0.0002,      0.0002,      0.0000,      0.0002,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0007,      0.0004,      0.0003,      0.0000,      0.0006,      0.0000,      0.0000,      0.0017,      0.0004,      0.0002,      0.0005,      0.0004,      0.0000,      0.0003,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0010,      0.0007,      0.0006,      0.0000,      0.0014,      0.0000,      0.0000,      0.0029,      0.0009,      0.0003,      0.0013,      0.0013,      0.0000,      0.0006,      0.0000,      0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0017,      0.0011,      0.0006,      0.0000,      0.0028,      0.0031,      0.0000,      0.0046,      0.0023,      0.0011,      0.0024,      0.0030,      0.0000,      0.0010,      0.0000,      0.0007,      0.0002,     -0.0002,      0.0000,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0026,      0.0015,      0.0009,      0.0000,      0.0044,      0.0053,      0.0000,      0.0051,      0.0037,      0.0024,      0.0034,      0.0054,      0.0000,      0.0016,      0.0000,      0.0012,      0.0006,     -0.0006,      0.0000,      0.0000,      0.0157,      0.0000
       7,          0.100000,      0.0043,      0.0019,      0.0012,      0.0000,      0.0064,      0.0096,      0.0000,      0.0003,      0.0082,      0.0048,      0.0048,      0.0085,      0.0000,      0.0025,      0.0000,      0.0022,      0.0024,     -0.0024,      0.0000,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0076,      0.0026,      0.0014,      0.0000,      0.0079,      0.0137,      0.0000,     -0.0035,      0.0174,      0.0103,      0.0088,      0.0126,      0.0000,      0.0040,      0.0000,      0.0040,      0.0044,     -0.0044,      0.0000,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0112,      0.0034,      0.0017,      0.0000,      0.0103,      0.0143,      0.0000,     -0.0053,      0.0285,      0.0211,      0.0139,      0.0216,      0.0000,      0.0065,      0.0000,      0.0066,      0.0056,     -0.0056,      0.0000,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0052,      0.0046,      0.0019,      0.0011,      0.0127,      0.0156,      0.0141,     -0.0043,      0.0483,      0.0383,      0.0208,      0.0371,      0.0000,     -0.0005,      0.0000,      0.0091,      0.0072,     -0.0002,     -0.0011,      0.0000,      0.0690,      0.0000
      11,          0.166667,      0.0143,      0.0063,      0.0045,      0.0099,      0.0167,      0.0215,      0.0429,     -0.0002,      0.0766,      0.0664,      0.0269,      0.0549,      0.0000,     -0.0031,      0.0000,      0.0157,      0.0220,      0.0243,     -0.0099,      0.0000,      0.0825,      0.0000
      12,          0.183333,      0.0207,      0.0115,      0.0131,      0.0252,      0.0221,      0.0261,      0.0662,      0.0315,      0.1056,      0.1025,      0.0341,      0.0737,      0.0000,      0.0007,      0.0000,      0.0339,      0.0448,      0.0398,      0.0167,      0.0000,      0.1044,      0.0000
      13,          0.200000,      0.0275,      0.0281,      0.0408,      0.0696,      0.0140,      0.0368,      0.0727,      0.0201,      0.1218,      0.1446,      0.0483,      0.0919,      0.0019,     -0.0039,      0.0189,      0.0307,      0.0708,      0.0543,      0.0405,      0.0005,      0.0103,      0.3997
      14,          0.216667,      0.0378,      0.0609,      0.0797,      0.1141,      0.0284,      0.0468,      0.0861,      0.0208,      0.1239,      0.0069,      0.0787,      0.1180,      0.0364,      0.0477,      0.0841,      0.0594,      0.0980,      0.0695,      0.0594,      0.0059,      1.1346,      1.4453
      15,          0.233333,      0.0544,      0.0015,      0.1377,      0.1535,      0.0382,      0.0597,      0.1012,      0.0256,      0.2811,      0.0139,     -0.0670,      0.2374,      0.1264,      0.1269,      0.1708,      0.1167,      0.1340,      0.0989,      0.0747,      0.0170,      0.1431,      2.2749
      16,          0.250000,      0.0764,     -0.0735,     -0.0816,     -0.0744,     -0.0320,      0.0661,      0.1103,      0.0289,      0.1039,      0.0103,     -0.0222,      0.0468,     -0.0606,     -0.0531,     -0.0171,     -0.0463,     -0.0419,      0.1335,     -0.0100,      0.0348,      0.7178,      2.9403
      17,          0.266667,      0.1145,      0.1945,      0.1764,      0.1809,      0.0559,      0.0876,      0.1135,      0.0287,     -0.1148,      0.0012,      0.1210,      0.0047,      0.1578,      0.2611,      0.1624,      0.2685,      0.2561,      0.2101,      0.0958,      0.0599,      0.4786,      3.4594
      18,          0.283333,      0.1369,      0.2315,      0.2356,      0.2345,      0.0631,      0.0585,      0.1284,      0.0343,     -0.1072,      0.0005,      0.1094,      0.0169,      0.1456,      0.2806,      0.1486,      0.3189,      0.3151,      0.2577,      0.1106,      0.0911,     -0.0595,      3.9161
      19,          0.300000,      0.1401,      0.2226,      0.2567,      0.2557,      0.0786,      0.0529,      0.1315,      0.0351,     -0.0792,      0.0008,      0.0823,      0.0209,      0.1244,      0.2684,      0.1259,      0.3175,      0.3171,      0.2655,      0.1271,      0.1271,      0.0889,      4.3885
      20,          0.316667,      0.1397,      0.1964,      0.2624,      0.2601,      0.0982,      0.0505,      0.1138,      0.0372,     -0.0735,      0.0008,      0.0767,      0.0141,      0.1098,      0.2497,      0.1137,      0.3112,      0.3162,      0.2667,      0.1487,      0.1666,     -0.0478,      4.8806
      21,          0.333333,      0.1421,      0.1688,      0.2597,      0.2637,      0.1114,      0.0481,      0.1007,      0.0368,     -0.0587,      0.0007,      0.0619,      0.0172,      0.1003,      0.2274,      0.1027,      0.3036,      0.3138,      0.2664,      0.1640,      0.2057,      0.3778,      5.3733
      22,          0.350000,      0.1441,      0.1379,      0.2511,      0.2625,      0.1110,      0.0451,      0.0941,      0.0365,     -0.0438,      0.0007,      0.0470,      0.0207,      0.0914,      0.2030,      0.0937,      0.2935,      0.3103,      0.2659,      0.1693,      0.2437,      1.0445,      5.8728
      23,          0.366667,      0.1430,      0.1192,      0.2336,      0.2598,      0.1061,      0.0434,      0.0847,      0.0348,     -0.0396,      0.0008,      0.0429,      0.0142,      0.0756,      0.1771,      0.0779,      0.2825,      0.3061,      0.2631,      0.1760,      0.2797,      1.3556,      6.4042
      24,          0.383333,      0.1418,      0.1083,      0.2103,      0.2548,      0.1019,      0.0414,      0.0741,      0.0306,     -0.0372,      0.0007,      0.0402,      0.0102,      0.0641,      0.1533,      0.0663,      0.2685,      0.3014,      0.2604,      0.1813,      0.3132,      1.2338,      7.0597
      25,          0.400000,      0.1403,      0.0975,      0.1868,      0.2481,      0.0972,      0.0388,      0.0645,      0.0271,     -0.0319,      0.0007,      0.0349,      0.0081,      0.0557,      0.1368,      0.0578,      0.2502,      0.2952,      0.2568,      0.1843,      0.3446,     -1.3169,      7.8426
      26,          0.416667,      0.1386,      0.0869,      0.1656,      0.2399,      0.0923,      0.0352,      0.0557,      0.0236,     -0.0277,      0.0005,      0.0297,      0.0070,      0.0488,      0.1243,      0.0507,      0.2300,      0.2879,      0.2527,      0.1858,      0.3722,     -0.5394,      8.7541
      27,          0.433333,      0.1370,      0.0742,      0.1438,      0.2299,      0.0895,      0.0313,      0.0487,      0.0206,     -0.0211,      0.0006,      0.0239,      0.0070,      0.0435,      0.1133,      0.0453,      0.2102,      0.2801,      0.2488,      0.1827,      0.3974,      1.5127,      9.8079
      28,          0.450000,      0.1354,      0.0603,      0.1232,      0.2172,      0.0867,      0.0271,      0.0401,      0.0169,     -0.0156,      0.0005,      0.0179,      0.0078,      0.0391,      0.1038,      0.0407,      0.1914,      0.2716,      0.2448,      0.1778,      0.4213,     -0.2930,     10.9635
      29,          0.466667,      0.1336,      0.0530,      0.1112,      0.2012,      0.0837,      0.0227,      0.0301,      0.0126,     -0.0130,      0.0005,      0.0151,      0.0070,      0.0341,      0.0932,      0.0356,      0.1728,      0.2627,      0.2404,      0.1717,      0.4427,      5.7219,     12.4207
      30,          0.483333,      0.1318,      0.0472,      0.1008,      0.1841,      0.0803,      0.0174,      0.0197,      0.0080,     -0.0117,      0.0004,      0.0137,      0.0053,      0.0287,      0.0833,      0.0302,      0.1564,      0.2526,      0.2355,      0.1650,      0.4605,      7.3753,     14.1092
      31,          0.500000,      0.1294,      0.0418,      0.0919,      0.1664,      0.0764,      0.0116,      0.0096,      0.0038,     -0.0101,      0.0004,      0.0120,      0.0042,      0.0246,      0.0751,      0.0259,      0.1434,      0.2409,      0.2298,      0.1575,      0.4762,      8.6649,     15.9267
      32,          0.516667,      0.1267,      0.0366,      0.0812,      0.1486,      0.0719,      0.0052,      0.0004,      0.0006,     -0.0084,      0.0004,      0.0101,      0.0040,      0.0219,      0.0681,      0.0231,      0.1326,      0.2279,      0.2232,      0.1489,      0.4910,      6.2684,     17.8158
      33,          0.533333,      0.1235,      0.0301,      0.0693,      0.1319,      0.0668,      0.0000,     -0.0064,     -0.0005,     -0.0063,      0.0004,      0.0081,      0.0038,      0.0197,      0.0622,      0.0210,      0.1235,      0.2147,      0.2155,      0.1389,      0.5035,      7.1111,     20.4574
      34,          0.550000,      0.1205,      0.0241,      0.0576,      0.1141,      0.0622,     -0.0060,     -0.0153,     -0.0034,     -0.0040,      0.0003,      0.0055,      0.0045,      0.0180,      0.0569,      0.0192,      0.1152,      0.2015,      0.2079,      0.1299,      0.5147,      8.2458,     24.2059
      35,          0.566667,      0.1175,      0.0186,      0.0461,      0.0983,      0.0571,     -0.0123,     -0.0225,     -0.0064,     -0.0024,      0.0004,      0.0040,      0.0041,      0.0161,      0.0521,      0.0173,      0.1074,      0.1880,      0.2007,      0.1193,      0.5244,      9.3170,     28.4598
      36,          0.583333,      0.1144,      0.0132,      0.0349,      0.0762,      0.0508,     -0.0183,     -0.0289,     -0.0094,     -0.0008,      0.0003,      0.0021,      0.0043,      0.0148,      0.0473,      0.0158,      0.0995,      0.1746,      0.1934,      0.1059,      0.5328,     10.7414,     31.4772
      37,          0.600000,      0.1111,      0.0085,      0.0245,      0.0567,      0.0415,     -0.0235,     -0.0288,     -0.0097,      0.0000,      0.0003,      0.0012,      0.0039,      0.0129,      0.0425,      0.0138,      0.0920,      0.1616,      0.1855,      0.0862,      0.5393,     12.2150,     34.2756
      38,          0.616667,      0.1072,      0.0055,      0.0167,      0.0406,      0.0327,     -0.0279,     -0.0251,     -0.0090,      0.0000,      0.0003,      0.0012,      0.0032,      0.0111,      0.0375,      0.0119,      0.0826,      0.1483,      0.1767,      0.0666,      0.5450,     13.8318,     36.7033
      39,          0.633333,      0.1032,      0.0034,      0.0110,      0.0281,      0.0249,     -0.0308,     -0.0194,     -0.0061,      0.0003,      0.0003,      0.0009,      0.0025,      0.0091,      0.0328,      0.0099,      0.0739,      0.1362,      0.1676,      0.0483,      0.5484,     16.0628,     38.7999
      40,          0.650000,      0.0989,      0.0018,      0.0071,      0.0199,      0.0184,     -0.0327,     -0.0128,     -0.0037,      0.0006,      0.0002,      0.0005,      0.0021,      0.0077,      0.0289,      0.0084,      0.0660,      0.1246,      0.1578,      0.0335,      0.5507,     18.5761,     40.6856
