"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time(h)","Entry LC FC01.1_R [EG15_000]","Additional LC FC01.1_R [EG15_000]","Exit LC FC01.1_R [EG15_000]","Entry LC FC01.2_R [EG15_000]","Additional LC FC01.2_R [EG15_000]","Exit LC FC01.2_R [EG15_000]","Entry LC FC04.1_C [EG15_000]","Additional LC FC04.1_C [EG15_000]","Exit LC FC04.1_C [EG15_000]","Entry LC Pipe0 [EG15_000]","Additional LC Pipe0 [EG15_000]","Exit LC Pipe0 [EG15_000]","Entry LC Pipe1 [EG15_000]","Additional LC Pipe1 [EG15_000]","Exit LC Pipe1 [EG15_000]","Entry LC Pipe10 [EG15_000]","Additional LC Pipe10 [EG15_000]","Exit LC Pipe10 [EG15_000]","Entry LC Pipe11 [EG15_000]","Additional LC Pipe11 [EG15_000]","Exit LC Pipe11 [EG15_000]","Entry LC Pipe12 [EG15_000]","Additional LC Pipe12 [EG15_000]","Exit LC Pipe12 [EG15_000]","Entry LC Pipe13 [EG15_000]","Additional LC Pipe13 [EG15_000]","Exit LC Pipe13 [EG15_000]","Entry LC Pipe14 [EG15_000]","Additional LC Pipe14 [EG15_000]","Exit LC Pipe14 [EG15_000]","Entry LC Pipe15 [EG15_000]","Additional LC Pipe15 [EG15_000]","Exit LC Pipe15 [EG15_000]","Entry LC Pipe16 [EG15_000]","Additional LC Pipe16 [EG15_000]","Exit LC Pipe16 [EG15_000]","Entry LC Pipe17 [EG15_000]","Additional LC Pipe17 [EG15_000]","Exit LC Pipe17 [EG15_000]","Entry LC Pipe19 [EG15_000]","Additional LC Pipe19 [EG15_000]","Exit LC Pipe19 [EG15_000]","Entry LC Pipe2 [EG15_000]","Additional LC Pipe2 [EG15_000]","Exit LC Pipe2 [EG15_000]","Entry LC Pipe3 [EG15_000]","Additional LC Pipe3 [EG15_000]","Exit LC Pipe3 [EG15_000]","Entry LC Pipe4 [EG15_000]","Additional LC Pipe4 [EG15_000]","Exit LC Pipe4 [EG15_000]","Entry LC Pipe5 [EG15_000]","Additional LC Pipe5 [EG15_000]","Exit LC Pipe5 [EG15_000]","Entry LC Pipe6 [EG15_000]","Additional LC Pipe6 [EG15_000]","Exit LC Pipe6 [EG15_000]","Entry LC Pipe7 [EG15_000]","Additional LC Pipe7 [EG15_000]","Exit LC Pipe7 [EG15_000]","Entry LC Pipe8 [EG15_000]","Additional LC Pipe8 [EG15_000]","Exit LC Pipe8 [EG15_000]","Entry LC Pipe9 [EG15_000]","Additional LC Pipe9 [EG15_000]","Exit LC Pipe9 [EG15_000]","LC Pit1 [EG15_000]","LC Pit10 [EG15_000]","LC Pit11 [EG15_000]","LC Pit12 [EG15_000]","LC Pit13 [EG15_000]","LC Pit14 [EG15_000]","LC Pit15 [EG15_000]","LC Pit16 [EG15_000]","LC Pit17 [EG15_000]","LC Pit18 [EG15_000]","LC Pit19 [EG15_000]","LC Pit2 [EG15_000]","LC Pit3 [EG15_000]","LC Pit4 [EG15_000]","LC Pit5 [EG15_000]","LC Pit6 [EG15_000]","LC Pit7 [EG15_000]","LC Pit8 [EG15_000]","LC Pit9 [EG15_000]"
      21,          0.333333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.59,0.20,0.00,0.00,0.16,0.00,0.63,0.13,0.00,0.63,0.15,0.00,0.63,0.10,0.59,0.64,0.00,0.00,0.00,0.12,0.18,0.76,0.00,0.02,1.00,0.14,0.00,0.62,0.21,0.79,0.66,0.50,0.00,0.00,0.50,0.00,0.31,0.23,0.00,0.51,0.15,0.00,0.61,0.14,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.62,0.20,0.59,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      22,          0.350000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.65,0.11,0.00,0.00,0.16,0.00,0.63,0.12,0.00,0.63,0.14,0.00,0.63,0.09,0.59,0.64,0.00,0.00,0.00,0.12,0.18,0.76,0.00,0.02,1.00,0.13,0.00,0.63,0.21,0.84,0.63,0.00,0.00,1.00,0.50,0.00,0.31,0.23,0.00,0.54,0.15,0.00,0.63,0.14,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.63,0.20,0.59,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      23,          0.366667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.46,0.00,0.00,0.26,0.16,0.00,0.64,0.12,0.00,0.63,0.14,0.00,0.63,0.09,0.59,0.64,0.00,0.00,0.00,0.12,0.18,0.76,0.00,0.02,1.00,0.12,0.00,0.62,0.21,0.87,0.63,0.00,0.00,1.00,0.50,0.00,0.31,0.23,0.00,0.56,0.15,0.00,0.63,0.13,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.69,0.19,0.59,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      24,          0.383333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.62,0.16,0.00,0.62,0.12,0.00,0.63,0.14,0.00,0.63,0.09,0.59,0.64,0.00,0.00,0.00,0.11,0.18,0.76,0.00,0.02,1.00,0.10,0.00,0.62,0.20,0.93,0.63,0.00,0.00,1.00,0.50,0.00,0.31,0.23,0.00,0.58,0.14,0.00,0.63,0.13,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.63,0.19,0.59,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      25,          0.400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.63,0.16,0.00,0.63,0.12,0.00,0.63,0.14,0.00,0.63,0.08,0.59,0.64,0.00,0.00,0.27,0.10,0.18,0.77,0.00,0.02,1.00,0.06,0.00,0.57,0.20,0.99,0.63,0.00,0.00,1.00,0.50,0.00,0.31,0.23,0.00,0.61,0.14,0.00,0.63,0.12,0.00,0.63,0.50,0.00,0.37,0.22,0.00,0.63,0.19,0.59,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      26,          0.416667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.63,0.15,0.00,0.62,0.12,0.00,0.63,0.14,0.00,0.63,0.08,0.59,0.64,0.00,0.00,0.54,0.09,0.18,0.77,0.00,0.02,1.00,0.00,0.00,0.55,0.19,1.04,0.63,0.00,0.00,1.00,0.50,0.00,0.32,0.23,0.00,0.62,0.13,0.00,0.63,0.11,0.00,0.64,0.50,0.00,0.37,0.22,0.00,0.63,0.18,0.59,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      27,          0.433333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.63,0.15,0.00,0.63,0.11,0.00,0.63,0.13,0.00,0.63,0.07,0.59,0.65,0.00,0.00,0.87,0.07,0.18,0.78,0.00,0.02,1.00,0.00,0.00,0.48,0.19,0.90,0.69,0.00,0.00,1.00,0.50,0.00,0.33,0.22,0.00,0.57,0.11,0.00,0.63,0.11,0.00,0.64,0.50,0.00,0.37,0.22,0.00,0.62,0.18,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      28,          0.450000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.64,0.15,0.00,0.63,0.11,0.00,0.63,0.13,0.00,0.63,0.06,0.59,0.67,0.00,0.00,0.98,0.03,0.18,0.82,0.00,0.02,1.00,0.50,0.00,1.00,0.17,1.03,0.63,0.00,0.00,1.00,0.50,0.00,0.34,0.22,0.00,0.62,0.12,0.00,0.63,0.09,0.00,0.65,0.50,0.00,0.37,0.22,0.00,0.53,0.18,0.46,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      29,          0.466667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.64,0.14,0.00,0.63,0.10,0.00,0.63,0.13,0.00,0.63,0.04,0.59,0.68,0.00,0.00,1.00,0.00,0.18,0.80,0.17,0.02,1.00,0.50,0.00,1.00,0.16,1.03,0.63,0.00,0.00,1.00,0.50,0.00,0.37,0.22,0.00,0.62,0.10,0.00,0.63,0.05,0.00,0.68,0.50,0.00,0.38,0.22,0.00,0.54,0.17,0.47,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      30,          0.483333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.65,0.14,0.00,0.63,0.09,0.00,0.63,0.12,0.00,0.63,0.02,0.59,0.69,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.63,0.00,0.00,1.00,0.50,0.00,0.40,0.22,0.00,0.62,0.09,0.00,0.64,0.00,0.00,0.69,0.50,0.00,0.38,0.22,0.00,0.54,0.17,0.46,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      31,          0.500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.67,0.14,0.00,0.63,0.09,0.00,0.63,0.12,0.00,0.63,0.00,0.59,0.70,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.64,0.00,0.00,1.00,0.50,0.00,0.43,0.22,0.00,0.62,0.07,0.00,0.64,0.00,0.00,0.82,0.50,0.00,0.38,0.22,0.00,0.54,0.17,0.47,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      32,          0.516667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.69,0.15,0.00,0.63,0.08,0.00,0.64,0.12,0.00,0.63,0.00,0.59,0.74,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.64,0.00,0.00,1.00,0.50,0.00,0.46,0.22,0.00,0.62,0.03,0.00,0.65,0.50,0.00,1.00,0.50,0.00,0.39,0.22,0.00,0.52,0.15,0.45,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      33,          0.533333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.91,0.13,0.00,0.63,0.05,0.00,0.64,0.11,0.00,0.64,0.00,0.59,0.94,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.64,0.00,0.00,1.00,0.50,0.00,0.49,0.21,0.00,0.63,0.00,0.00,0.69,0.50,0.00,1.00,0.50,0.00,0.39,0.22,0.00,0.62,0.15,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      34,          0.550000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.13,0.00,0.63,0.04,0.00,0.65,0.10,0.00,0.64,0.00,0.59,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.65,0.00,0.00,1.00,0.50,0.00,0.51,0.21,0.00,0.63,0.00,0.00,0.72,0.50,0.00,1.00,0.50,0.00,0.40,0.22,0.00,0.62,0.15,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      35,          0.566667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.13,0.00,0.63,0.02,0.00,0.66,0.10,0.00,0.64,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.65,0.00,0.00,1.00,0.50,0.00,0.52,0.21,0.00,0.63,0.00,0.00,0.76,0.50,0.00,1.00,0.50,0.00,0.40,0.22,0.00,0.63,0.14,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      36,          0.583333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.12,0.00,0.63,0.00,0.00,0.65,0.09,0.00,0.63,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.00,0.63,0.00,0.00,1.00,0.50,0.00,0.52,0.21,0.00,0.61,0.00,0.00,0.69,0.50,0.00,1.00,0.50,0.00,0.41,0.22,0.00,0.63,0.14,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      37,          0.600000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.10,0.00,0.63,0.00,0.00,1.00,0.03,0.00,0.65,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.14,1.04,0.66,0.00,0.00,1.00,0.50,0.00,0.44,0.22,0.00,0.65,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.43,0.22,0.00,0.62,0.13,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      38,          0.616667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.10,0.00,0.63,0.50,0.00,1.00,0.03,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.81,0.00,0.00,1.00,0.50,0.00,0.69,0.16,0.00,0.69,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.44,0.22,0.00,0.63,0.12,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      39,          0.633333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.10,0.00,0.63,0.50,0.00,1.00,0.02,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.17,1.04,0.67,0.00,0.00,1.00,0.50,0.00,0.51,0.21,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.63,0.12,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      40,          0.650000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.10,0.00,0.63,0.50,0.00,1.00,0.02,0.00,0.67,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.16,1.04,0.68,0.00,0.00,1.00,0.50,0.00,0.55,0.21,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.63,0.13,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      41,          0.666667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.09,0.00,0.63,0.50,0.00,1.00,0.00,0.00,0.69,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.18,1.04,0.69,0.00,0.00,1.00,0.50,0.00,0.55,0.21,0.00,0.68,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.63,0.12,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      42,          0.683333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.01,1.04,0.96,0.00,0.00,1.00,0.50,0.00,0.00,0.24,0.00,0.70,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.46,0.22,0.00,0.63,0.09,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      43,          0.700000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,0.97,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.46,0.22,0.00,0.63,0.09,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      44,          0.716667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.03,0.00,0.65,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.14,1.04,0.76,0.00,0.00,1.00,0.50,0.00,0.48,0.21,0.00,0.68,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.46,0.22,0.00,0.63,0.11,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      45,          0.733333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.06,0.00,0.64,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.19,1.04,0.77,0.00,0.00,1.00,0.50,0.00,0.60,0.20,0.00,0.63,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.63,0.12,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      46,          0.750000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.23,0.41,0.86,0.00,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.22,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.62,0.10,0.59,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      47,          0.766667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.05,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.51,0.21,0.00,0.61,0.00,0.56,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      48,          0.783333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.51,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.21,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.44,0.22,0.00,0.61,0.00,0.57,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      49,          0.800000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.01,0.00,0.68,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.14,1.04,0.70,0.50,0.00,1.00,0.50,0.00,0.16,0.23,0.00,0.63,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.43,0.22,0.00,0.61,0.12,0.57,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      50,          0.816667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.06,0.00,0.66,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.25,0.08,0.72,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.42,0.22,0.00,0.61,0.13,0.57,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      51,          0.833333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.58,0.02,0.52,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      52,          0.850000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,1.00,0.24,0.00,0.74,0.50,0.00,1.00,0.00,0.00,0.01,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.23,0.00,0.69,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.18,0.50,0.00,1.00,0.50,0.00,0.67,0.19,0.00,0.14,0.17,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      53,          0.866667,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.00,0.00,0.68,0.00,0.00,1.00,0.50,0.00,1.00,0.14,1.04,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,0.45,0.22,0.00,0.62,0.00,0.58,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      54,          0.883333,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00,0.10,0.00,0.68,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.17,1.04,0.62,0.50,0.00,1.00,0.50,0.00,0.32,0.22,0.00,0.69,0.00,0.00,0.80,0.50,0.00,1.00,0.50,0.00,0.28,0.23,0.00,0.70,0.17,0.59,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      55,          0.900000,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.58,0.00,0.00,0.71,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,0.00,1.00,0.21,0.85,0.65,0.50,0.00,1.00,0.50,0.00,1.00,0.50,0.00,1.00,0.06,0.00,0.96,0.50,0.00,1.00,0.50,0.00,0.39,0.22,0.00,0.67,0.14,0.59,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
