"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time (h)","H FC01.1_R.1 [EG15_006]","H FC01.1_R.2 [EG15_006]","H FC01.2_R.1 [EG15_006]","H FC01.2_R.2 [EG15_006]","H FC04.1_C.1 [EG15_006]","H FC04.1_C.2 [EG15_006]","H mh1 [EG15_006]","H mh2 [EG15_006]","H mh3 [EG15_006]","H mh4 [EG15_006]","H Pipe16.2 [EG15_006]","H Pit1 [EG15_006]","H Pit1.1 [EG15_006]","H Pit11 [EG15_006]","H Pit11.1 [EG15_006]","H Pit12 [EG15_006]","H Pit12.1 [EG15_006]","H Pit14 [EG15_006]","H Pit14.1 [EG15_006]","H Pit15 [EG15_006]","H Pit15.1 [EG15_006]","H Pit16 [EG15_006]","H Pit16.1 [EG15_006]","H Pit18 [EG15_006]","H Pit18.1 [EG15_006]","H Pit19 [EG15_006]","H Pit19.1 [EG15_006]","H Pit2 [EG15_006]","H Pit2.1 [EG15_006]","H Pit4 [EG15_006]","H Pit4.1 [EG15_006]","H Pit5 [EG15_006]","H Pit5.1 [EG15_006]","H Pit6 [EG15_006]","H Pit6.1 [EG15_006]","H Pit7 [EG15_006]","H Pit7.1 [EG15_006]","H Pit8 [EG15_006]","H Pit8.1 [EG15_006]","H Pit9 [EG15_006]","H Pit9.1 [EG15_006]"
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     41.9345,     40.7035,     41.2645,     41.9476,     40.0943,     42.0444,     43.2445,     40.8692,     42.7960,     40.8039,     42.8213,     41.0128,     42.8666,     41.0407,     42.9917,     41.2022,     43.1391,     41.9662,     43.3268,     41.9692,     43.3456,     42.0448,     43.2278,     41.8151,     43.3118,     42.0120,     43.2822,     41.9609,     43.2594,     41.2642,     43.1486,     41.1506,     43.0075,     41.1535,     42.8715
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     41.9890,     40.7556,     41.2645,     42.0064,     40.2511,     42.0807,     43.2546,     40.9044,     42.8037,     40.8500,     42.8237,     41.0319,     42.8676,     41.0658,     42.9892,     41.2444,     43.1391,     42.0154,     43.3283,     42.0191,     43.3472,     42.0807,     43.2301,     41.9933,     43.3134,     42.0300,     43.2839,     42.0132,     43.2615,     41.3182,     43.1488,     41.2519,     43.0067,     41.2512,     42.8732
      13,          0.200000,     45.5333,     44.4990,     37.6104,     37.5275,     43.3579,     42.8085,     42.0871,     40.8063,     41.3016,     42.0575,     40.4869,     42.1087,     43.2504,     40.9347,     42.8103,     40.8782,     42.8251,     41.0649,     42.8686,     41.1214,     42.9922,     41.3253,     43.1393,     42.0643,     43.3299,     42.0690,     43.3491,     42.1102,     43.2333,     42.0970,     43.3151,     42.0981,     43.2859,     42.0646,     43.2644,     41.4026,     43.1491,     41.3960,     43.0078,     41.3978,     42.8748
      14,          0.216667,     45.7127,     44.4990,     37.7679,     37.5778,     43.3793,     42.8145,     42.1574,     40.9568,     41.4343,     42.1022,     40.9556,     42.1711,     43.2511,     40.9930,     42.8165,     40.9717,     42.8271,     41.1299,     42.8695,     41.2096,     42.9929,     41.4150,     43.1357,     42.1101,     43.3314,     42.1156,     43.3519,     42.1674,     43.2378,     42.1687,     43.3169,     42.1698,     43.2881,     42.1095,     43.2673,     41.5565,     43.1495,     41.5483,     43.0083,     41.5445,     42.8762
      15,          0.233333,     45.8228,     44.5526,     37.6302,     37.6128,     43.4010,     42.8280,     42.2096,     41.3347,     41.5884,     42.1531,     41.3342,     42.2258,     43.2521,     41.4764,     42.8219,     41.4018,     42.8291,     41.3262,     42.8704,     41.3278,     42.9936,     41.4835,     43.1394,     42.1625,     43.3351,     42.1700,     43.3585,     42.2216,     43.2420,     42.2233,     43.3184,     42.2241,     43.2902,     42.1608,     43.2727,     41.7201,     43.1501,     41.7000,     43.0089,     41.6793,     42.8777
      16,          0.250000,     45.9015,     44.6673,     37.7325,     37.6043,     43.4244,     42.8446,     42.3104,     42.3494,     42.3601,     42.3385,     42.3468,     42.3271,     43.2530,     42.3688,     42.8266,     42.3584,     42.8312,     42.3350,     42.8712,     42.3306,     42.9944,     42.3180,     43.1357,     42.3524,     43.3468,     42.3589,     43.3713,     42.3213,     43.2453,     42.2910,     43.3196,     42.2891,     43.2925,     42.3465,     43.2786,     42.3483,     43.1510,     42.3484,     43.0092,     42.3643,     42.8794
      17,          0.266667,     45.9588,     44.7498,     37.6874,     37.6242,     43.4490,     42.8562,     43.0708,     42.9174,     42.9313,     43.2376,     42.9169,     43.0884,     43.2538,     42.9045,     42.8553,     42.9047,     42.8673,     42.9279,     42.9056,     42.9772,     42.9953,     43.0228,     43.1357,     43.2686,     43.3591,     43.2856,     43.3838,     43.0841,     43.2478,     43.0819,     43.3206,     43.0896,     43.2949,     43.2457,     43.2857,     43.1395,     43.1527,     43.0388,     43.0332,     42.9507,     42.9222
      18,          0.283333,     46.0069,     44.8155,     37.6116,     37.6516,     43.4734,     42.8686,     43.2120,     42.9461,     42.9562,     43.2980,     42.9456,     43.2316,     43.2544,     42.9353,     42.8961,     42.9339,     42.8951,     42.9547,     42.9151,     43.0289,     43.0245,     43.1216,     43.1395,     43.3365,     43.3742,     43.3563,     43.4011,     43.2262,     43.2544,     43.2249,     43.3214,     43.2347,     43.2977,     43.3028,     43.3133,     43.1779,     43.1807,     43.0603,     43.0496,     42.9704,     42.9315
      19,          0.300000,     46.0548,     44.8760,     37.6633,     37.6480,     43.4970,     42.8814,     43.2354,     42.9695,     42.9783,     43.3098,     42.9689,     43.2509,     43.2609,     42.9634,     42.9335,     42.9610,     42.9319,     42.9766,     42.9310,     43.0416,     43.0313,     43.1414,     43.1430,     43.3508,     43.3903,     43.3717,     43.4179,     43.2455,     43.2659,     43.2539,     43.3220,     43.2676,     43.3060,     43.3141,     43.3229,     43.1894,     43.1914,     43.0706,     43.0580,     42.9883,     42.9449
      20,          0.316667,     46.1029,     44.9307,     37.6557,     37.6649,     43.5195,     42.8933,     43.2483,     42.9986,     43.0048,     43.3198,     42.9979,     43.2628,     43.2724,     42.9932,     42.9671,     42.9908,     42.9666,     43.0052,     42.9667,     43.0547,     43.0369,     43.1527,     43.1529,     43.3609,     43.4009,     43.3808,     43.4261,     43.2576,     43.2736,     43.2704,     43.3225,     43.2877,     43.3210,     43.3240,     43.3322,     43.2010,     43.2015,     43.0838,     43.0690,     43.0145,     42.9717
      21,          0.333333,     46.1494,     44.9903,     37.6804,     37.6829,     43.5393,     42.9049,     43.2564,     43.0261,     43.0325,     43.3288,     43.0254,     43.2703,     43.2795,     43.0199,     43.0000,     43.0193,     42.9993,     43.0318,     42.9984,     43.0682,     43.0420,     43.1619,     43.1611,     43.3703,     43.4087,     43.3921,     43.4395,     43.2653,     43.2792,     43.2801,     43.3237,     43.2982,     43.3323,     43.3328,     43.3402,     43.2113,     43.2105,     43.0993,     43.0796,     43.0412,     43.0025
      22,          0.350000,     46.1951,     45.0521,     37.7529,     37.7075,     43.5570,     42.9149,     43.2637,     43.0531,     43.0594,     43.3343,     43.0524,     43.2764,     43.2847,     43.0502,     43.0319,     43.0473,     43.0317,     43.0578,     43.0316,     43.0824,     43.0475,     43.1697,     43.1674,     43.3749,     43.4125,     43.3964,     43.4435,     43.2717,     43.2835,     43.2905,     43.3290,     43.3071,     43.3400,     43.3383,     43.3454,     43.2196,     43.2173,     43.1144,     43.0895,     43.0679,     43.0340
