"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","H FC01.1_R.1 [EG15_004]","H FC01.1_R.2 [EG15_004]","H FC01.2_R.1 [EG15_004]","H FC01.2_R.2 [EG15_004]","H FC04.1_C.1 [EG15_004]","H FC04.1_C.2 [EG15_004]","H mh1 [EG15_004]","H mh2 [EG15_004]","H mh3 [EG15_004]","H mh4 [EG15_004]","H Pipe16.2 [EG15_004]","H Pit1 [EG15_004]","H Pit1.1 [EG15_004]","H Pit11 [EG15_004]","H Pit11.1 [EG15_004]","H Pit12 [EG15_004]","H Pit12.1 [EG15_004]","H Pit14 [EG15_004]","H Pit14.1 [EG15_004]","H Pit15 [EG15_004]","H Pit15.1 [EG15_004]","H Pit16 [EG15_004]","H Pit16.1 [EG15_004]","H Pit18 [EG15_004]","H Pit18.1 [EG15_004]","H Pit19 [EG15_004]","H Pit19.1 [EG15_004]","H Pit2 [EG15_004]","H Pit2.1 [EG15_004]","H Pit4 [EG15_004]","H Pit4.1 [EG15_004]","H Pit5 [EG15_004]","H Pit5.1 [EG15_004]","H Pit6 [EG15_004]","H Pit6.1 [EG15_004]","H Pit7 [EG15_004]","H Pit7.1 [EG15_004]","H Pit8 [EG15_004]","H Pit8.1 [EG15_004]","H Pit9 [EG15_004]","H Pit9.1 [EG15_004]"
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     41.9350,     40.7028,     41.2645,     41.9487,     40.0967,     42.0461,     43.2445,     40.8692,     42.7960,     40.8008,     42.8213,     41.0127,     42.8666,     41.0403,     42.9917,     41.2016,     43.1391,     41.9652,     43.3268,     41.9682,     43.3456,     42.0464,     43.2278,     41.8144,     43.3118,     42.0120,     43.2822,     41.9582,     43.2594,     41.2649,     43.1486,     41.1503,     43.0075,     41.1532,     42.8715
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     41.9885,     40.7548,     41.2645,     42.0061,     40.2523,     42.0824,     43.2546,     40.9044,     42.8037,     40.8494,     42.8237,     41.0318,     42.8676,     41.0657,     42.9892,     41.2446,     43.1391,     42.0124,     43.3283,     42.0192,     43.3472,     42.0822,     43.2301,     41.9937,     43.3134,     42.0300,     43.2839,     42.0139,     43.2615,     41.3187,     43.1488,     41.2522,     43.0067,     41.2513,     42.8732
      13,          0.200000,     45.5333,     44.4990,     37.6104,     37.5275,     43.3579,     42.8085,     42.0868,     40.8032,     41.2981,     42.0572,     40.4853,     42.1033,     43.2504,     40.9344,     42.8103,     40.8898,     42.8251,     41.0649,     42.8686,     41.1214,     42.9922,     41.3256,     43.1393,     42.0643,     43.3299,     42.0716,     43.3491,     42.1102,     43.2333,     42.0983,     43.3151,     42.1000,     43.2859,     42.0652,     43.2644,     41.4036,     43.1491,     41.3970,     43.0078,     41.3988,     42.8748
      14,          0.216667,     45.7127,     44.4990,     37.7679,     37.5778,     43.3793,     42.8145,     42.1572,     40.9520,     41.4346,     42.1021,     40.9508,     42.1780,     43.2511,     40.9985,     42.8165,     40.9797,     42.8271,     41.1297,     42.8695,     41.2094,     42.9929,     41.4146,     43.1357,     42.1119,     43.3314,     42.1176,     43.3519,     42.1742,     43.2378,     42.1693,     43.3169,     42.1704,     43.2881,     42.1103,     43.2673,     41.5569,     43.1495,     41.5489,     43.0083,     41.5433,     42.8762
      15,          0.233333,     45.8228,     44.5526,     37.6302,     37.6128,     43.4010,     42.8280,     42.2096,     41.3312,     41.5915,     42.1526,     41.3307,     42.2321,     43.2521,     41.5221,     42.8219,     41.4459,     42.8291,     41.3229,     42.8704,     41.3252,     42.9936,     41.4835,     43.1394,     42.1684,     43.3351,     42.1757,     43.3585,     42.2279,     43.2420,     42.2242,     43.3184,     42.2249,     43.2902,     42.1610,     43.2727,     41.7153,     43.1501,     41.6963,     43.0089,     41.6738,     42.8777
      16,          0.250000,     45.9015,     44.6673,     37.7325,     37.6043,     43.4244,     42.8446,     42.3056,     42.3446,     42.3624,     42.3371,     42.3438,     42.3278,     43.2530,     42.3690,     42.8266,     42.3622,     42.8312,     42.3482,     42.8712,     42.3242,     42.9944,     42.3077,     43.1357,     42.3641,     43.3468,     42.3735,     43.3713,     42.3248,     43.2453,     42.2974,     43.3196,     42.3019,     43.2925,     42.3539,     43.2786,     42.3462,     43.1510,     42.3540,     43.0092,     42.3509,     42.8794
      17,          0.266667,     45.9588,     44.7498,     37.6874,     37.6242,     43.4490,     42.8562,     43.0784,     42.9125,     42.9287,     43.2634,     42.9114,     43.1012,     43.2538,     42.9003,     42.8549,     42.9003,     42.8666,     42.9240,     42.9051,     42.9736,     42.9953,     43.0131,     43.1357,     43.3168,     43.3591,     43.3335,     43.3838,     43.0966,     43.2478,     43.0899,     43.3206,     43.0982,     43.2949,     43.2598,     43.2862,     43.1337,     43.1527,     43.0391,     43.0328,     42.9524,     42.9232
      18,          0.283333,     46.0069,     44.8155,     37.6116,     37.6516,     43.4734,     42.8686,     43.2220,     42.9420,     42.9540,     43.2960,     42.9414,     43.2434,     43.2545,     42.9314,     42.8953,     42.9307,     42.8942,     42.9534,     42.9147,     43.0249,     43.0224,     43.1086,     43.1395,     43.3480,     43.3794,     43.3646,     43.4049,     43.2378,     43.2607,     43.2408,     43.3214,     43.2508,     43.2980,     43.3016,     43.3133,     43.1642,     43.1705,     43.0589,     43.0481,     42.9693,     42.9317
      19,          0.300000,     46.0548,     44.8760,     37.6633,     37.6480,     43.4970,     42.8814,     43.2425,     42.9661,     42.9759,     43.3083,     42.9654,     43.2591,     43.2686,     42.9594,     42.9321,     42.9577,     42.9305,     42.9741,     42.9299,     43.0372,     43.0290,     43.1255,     43.1357,     43.3620,     43.3950,     43.3786,     43.4187,     43.2533,     43.2701,     43.2683,     43.3220,     43.2808,     43.3084,     43.3135,     43.3239,     43.1786,     43.1858,     43.0698,     43.0562,     42.9858,     42.9437
      20,          0.316667,     46.1029,     44.9307,     37.6557,     37.6649,     43.5195,     42.8933,     43.2536,     42.9946,     43.0023,     43.3186,     42.9939,     43.2682,     43.2773,     42.9883,     42.9649,     42.9869,     42.9641,     43.0024,     42.9644,     43.0502,     43.0354,     43.1398,     43.1420,     43.3722,     43.4050,     43.3885,     43.4285,     43.2632,     43.2770,     43.2823,     43.3225,     43.2963,     43.3260,     43.3237,     43.3338,     43.1914,     43.1977,     43.0834,     43.0679,     43.0102,     42.9698
      21,          0.333333,     46.1494,     44.9903,     37.6804,     37.6829,     43.5393,     42.9049,     43.2610,     43.0220,     43.0293,     43.3279,     43.0214,     43.2746,     43.2829,     43.0177,     42.9975,     43.0154,     42.9964,     43.0287,     42.9958,     43.0640,     43.0407,     43.1498,     43.1514,     43.3816,     43.4121,     43.3997,     43.4420,     43.2701,     43.2821,     43.2921,     43.3244,     43.3062,     43.3362,     43.3327,     43.3420,     43.2031,     43.2085,     43.0985,     43.0788,     43.0376,     43.0002
      22,          0.350000,     46.1951,     45.0521,     37.7529,     37.7075,     43.5570,     42.9149,     43.2687,     43.0491,     43.0566,     43.3336,     43.0484,     43.2810,     43.2882,     43.0448,     43.0292,     43.0436,     43.0286,     43.0544,     43.0286,     43.0788,     43.0462,     43.1589,     43.1596,     43.3863,     43.4164,     43.4041,     43.4459,     43.2766,     43.2865,     43.3044,     43.3308,     43.3164,     43.3439,     43.3383,     43.3473,     43.2127,     43.2159,     43.1119,     43.0889,     43.0657,     43.0313
      23,          0.366667,     46.2424,     45.1136,     37.7735,     37.7199,     43.5726,     42.9256,     43.2748,     43.0769,     43.0830,     43.3381,     43.0762,     43.2859,     43.2922,     43.0746,     43.0607,     43.0720,     43.0606,     43.0794,     43.0609,     43.1003,     43.0621,     43.1676,     43.1675,     43.3898,     43.4194,     43.4074,     43.4488,     43.2820,     43.2905,     43.3124,     43.3383,     43.3236,     43.3500,     43.3428,     43.3516,     43.2199,     43.2212,     43.1257,     43.0970,     43.0916,     43.0610
      24,          0.383333,     46.2990,     45.1722,     37.7705,     37.7555,     43.5862,     42.9353,     43.2801,     43.1038,     43.1088,     43.3418,     43.1031,     43.2903,     43.2958,     43.1014,     43.0900,     43.0994,     43.0899,     43.1062,     43.0894,     43.1235,     43.0895,     43.1786,     43.1746,     43.3926,     43.4217,     43.4099,     43.4510,     43.2866,     43.2942,     43.3178,     43.3443,     43.3286,     43.3545,     43.3465,     43.3550,     43.2279,     43.2257,     43.1387,     43.1070,     43.1177,     43.0905
      25,          0.400000,     46.3643,     45.2333,     37.7728,     37.8119,     43.5984,     42.9432,     43.2850,     43.1296,     43.1337,     43.3451,     43.1290,     43.2945,     43.2993,     43.1272,     43.1175,     43.1255,     43.1177,     43.1315,     43.1174,     43.1469,     43.1174,     43.1890,     43.1804,     43.3948,     43.4233,     43.4117,     43.4524,     43.2911,     43.2980,     43.3224,     43.3491,     43.3328,     43.3581,     43.3496,     43.3578,     43.2349,     43.2296,     43.1567,     43.1242,     43.1414,     43.1175
      26,          0.416667,     46.4377,     45.2977,     37.9034,     37.8058,     43.6087,     42.9502,     43.2896,     43.1537,     43.1572,     43.3479,     43.1530,     43.2983,     43.3026,     43.1515,     43.1434,     43.1499,     43.1436,     43.1576,     43.1439,     43.1675,     43.1443,     43.1973,     43.1854,     43.3970,     43.4244,     43.4132,     43.4534,     43.2951,     43.3014,     43.3259,     43.3528,     43.3362,     43.3610,     43.3524,     43.3599,     43.2445,     43.2334,     43.1764,     43.1451,     43.1631,     43.1428
      27,          0.433333,     46.5194,     45.3666,     37.9151,     37.8849,     43.6177,     42.9562,     43.2935,     43.1757,     43.1795,     43.3506,     43.1751,     43.3018,     43.3054,     43.1742,     43.1674,     43.1726,     43.1675,     43.1792,     43.1678,     43.1855,     43.1682,     43.2135,     43.1907,     43.3984,     43.4254,     43.4144,     43.4543,     43.2989,     43.3043,     43.3297,     43.3557,     43.3392,     43.3633,     43.3548,     43.3617,     43.2512,     43.2367,     43.1953,     43.1675,     43.1849,     43.1668
      28,          0.450000,     46.6057,     45.4338,     38.0461,     37.9422,     43.6261,     42.9615,     43.2978,     43.1960,     43.2000,     43.3532,     43.1954,     43.3050,     43.3080,     43.1951,     43.1894,     43.1935,     43.1895,     43.1990,     43.1895,     43.2039,     43.1896,     43.2254,     43.1986,     43.3997,     43.4261,     43.4155,     43.4549,     43.3026,     43.3072,     43.3325,     43.3580,     43.3419,     43.3652,     43.3571,     43.3632,     43.2583,     43.2400,     43.2132,     43.1893,     43.2049,     43.1891
      29,          0.466667,     46.7104,     45.5131,     38.0795,     38.0858,     43.6334,     42.9662,     43.3025,     43.2151,     43.2185,     43.3558,     43.2144,     43.3084,     43.3106,     43.2143,     43.2096,     43.2128,     43.2096,     43.2177,     43.2095,     43.2218,     43.2095,     43.2391,     43.2123,     43.4011,     43.4268,     43.4165,     43.4555,     43.3064,     43.3098,     43.3353,     43.3599,     43.3445,     43.3668,     43.3594,     43.3645,     43.2666,     43.2438,     43.2303,     43.2093,     43.2230,     43.2092
      30,          0.483333,     46.8266,     45.6011,     38.1761,     38.1815,     43.6393,     42.9702,     43.3075,     43.2330,     43.2358,     43.3586,     43.2324,     43.3120,     43.3133,     43.2319,     43.2279,     43.2309,     43.2283,     43.2355,     43.2284,     43.2396,     43.2282,     43.2536,     43.2292,     43.4024,     43.4274,     43.4175,     43.4560,     43.3105,     43.3126,     43.3381,     43.3616,     43.3471,     43.3682,     43.3617,     43.3657,     43.2755,     43.2494,     43.2464,     43.2279,     43.2398,     43.2276
      31,          0.500000,     46.9465,     45.6933,     38.3078,     38.2454,     43.6445,     42.9740,     43.3129,     43.2495,     43.2521,     43.3616,     43.2489,     43.3155,     43.3161,     43.2487,     43.2453,     43.2476,     43.2454,     43.2517,     43.2455,     43.2571,     43.2454,     43.2667,     43.2463,     43.4038,     43.4280,     43.4187,     43.4565,     43.3145,     43.3152,     43.3407,     43.3632,     43.3496,     43.3695,     43.3641,     43.3668,     43.2858,     43.2581,     43.2616,     43.2449,     43.2557,     43.2449
      32,          0.516667,     47.0665,     45.7893,     38.3616,     38.3276,     43.6492,     42.9770,     43.3188,     43.2652,     43.2676,     43.3649,     43.2646,     43.3177,     43.3177,     43.2645,     43.2615,     43.2635,     43.2618,     43.2672,     43.2617,     43.2723,     43.2619,     43.2811,     43.2623,     43.4053,     43.4285,     43.4196,     43.4568,     43.3180,     43.3177,     43.3437,     43.3646,     43.3523,     43.3708,     43.3666,     43.3678,     43.2967,     43.2693,     43.2765,     43.2609,     43.2708,     43.2611
      33,          0.533333,     47.2276,     45.8979,     38.4467,     38.4126,     43.6532,     42.9796,     43.3240,     43.2798,     43.2822,     43.3686,     43.2792,     43.3209,     43.3207,     43.2793,     43.2766,     43.2783,     43.2770,     43.2816,     43.2770,     43.2858,     43.2767,     43.2940,     43.2769,     43.4069,     43.4290,     43.4208,     43.4571,     43.3218,     43.3197,     43.3465,     43.3660,     43.3547,     43.3719,     43.3687,     43.3687,     43.3082,     43.2817,     43.2906,     43.2764,     43.2853,     43.2764
      34,          0.550000,     47.4445,     46.0330,     38.5529,     38.5161,     43.6568,     42.9817,     43.3290,     43.2934,     43.2961,     43.3727,     43.2928,     43.3241,     43.3231,     43.2933,     43.2911,     43.2923,     43.2912,     43.2950,     43.2911,     43.2987,     43.2909,     43.3061,     43.2911,     43.4087,     43.4295,     43.4220,     43.4574,     43.3255,     43.3221,     43.3491,     43.3672,     43.3570,     43.3729,     43.3711,     43.3696,     43.3197,     43.2943,     43.3035,     43.2908,     43.2990,     43.2909
      35,          0.566667,     47.6946,     46.1870,     38.6559,     38.6171,     43.6598,     42.9835,     43.3344,     43.3065,     43.3091,     43.3764,     43.3059,     43.3280,     43.3263,     43.3065,     43.3046,     43.3055,     43.3048,     43.3079,     43.3048,     43.3112,     43.3047,     43.3177,     43.3046,     43.4103,     43.4300,     43.4231,     43.4577,     43.3300,     43.3255,     43.3519,     43.3684,     43.3595,     43.3741,     43.3738,     43.3706,     43.3300,     43.3069,     43.3163,     43.3042,     43.3118,     43.3043
      36,          0.583333,     47.9655,     46.3056,     38.7738,     38.7292,     43.6624,     42.9851,     43.3402,     43.3186,     43.3213,     43.3803,     43.3180,     43.3330,     43.3307,     43.3189,     43.3173,     43.3179,     43.3173,     43.3198,     43.3173,     43.3227,     43.3172,     43.3284,     43.3172,     43.4118,     43.4304,     43.4243,     43.4580,     43.3353,     43.3302,     43.3549,     43.3697,     43.3621,     43.3752,     43.3768,     43.3719,     43.3390,     43.3188,     43.3292,     43.3169,     43.3237,     43.3171
      37,          0.600000,     48.2413,     46.4057,     38.8978,     38.8383,     43.6644,     42.9861,     43.3467,     43.3302,     43.3327,     43.3841,     43.3296,     43.3394,     43.3368,     43.3305,     43.3292,     43.3296,     43.3293,     43.3312,     43.3294,     43.3336,     43.3292,     43.3400,     43.3288,     43.4134,     43.4307,     43.4252,     43.4580,     43.3419,     43.3366,     43.3582,     43.3709,     43.3649,     43.3765,     43.3799,     43.3734,     43.3491,     43.3302,     43.3400,     43.3288,     43.3350,     43.3290
      38,          0.616667,     48.4994,     46.4905,     39.0307,     38.9545,     43.6661,     42.9871,     43.3533,     43.3404,     43.3433,     43.3879,     43.3398,     43.3468,     43.3443,     43.3413,     43.3402,     43.3405,     43.3403,     43.3413,     43.3402,     43.3432,     43.3400,     43.3498,     43.3398,     43.4149,     43.4308,     43.4262,     43.4579,     43.3493,     43.3446,     43.3629,     43.3728,     43.3688,     43.3783,     43.3831,     43.3755,     43.3585,     43.3410,     43.3500,     43.3399,     43.3454,     43.3402
      39,          0.633333,     48.7366,     46.5595,     39.1825,     39.0796,     43.6672,     42.9877,     43.3606,     43.3503,     43.3532,     43.3920,     43.3497,     43.3549,     43.3531,     43.3515,     43.3506,     43.3508,     43.3507,     43.3512,     43.3507,     43.3526,     43.3506,     43.3586,     43.3504,     43.4166,     43.4309,     43.4272,     43.4578,     43.3570,     43.3531,     43.3684,     43.3752,     43.3733,     43.3805,     43.3869,     43.3784,     43.3671,     43.3509,     43.3593,     43.3500,     43.3550,     43.3503
      40,          0.650000,     48.9611,     46.6237,     39.3524,     39.2149,     43.6678,     42.9881,     43.3680,     43.3597,     43.3625,     43.3963,     43.3591,     43.3635,     43.3624,     43.3610,     43.3602,     43.3603,     43.3603,     43.3605,     43.3604,     43.3615,     43.3602,     43.3658,     43.3602,     43.4183,     43.4312,     43.4283,     43.4578,     43.3650,     43.3623,     43.3741,     43.3784,     43.3782,     43.3836,     43.3910,     43.3820,     43.3754,     43.3604,     43.3681,     43.3598,     43.3642,     43.3601
      41,          0.666667,     49.1778,     46.6779,     39.5393,     39.3554,     43.6683,     42.9883,     43.3756,     43.3687,     43.3713,     43.4007,     43.3682,     43.3720,     43.3714,     43.3700,     43.3694,     43.3694,     43.3695,     43.3695,     43.3695,     43.3703,     43.3696,     43.3723,     43.3695,     43.4200,     43.4315,     43.4298,     43.4578,     43.3732,     43.3715,     43.3801,     43.3826,     43.3834,     43.3873,     43.3954,     43.3864,     43.3831,     43.3693,     43.3764,     43.3689,     43.3728,     43.3691
      42,          0.683333,     49.3877,     46.7278,     39.7198,     39.4849,     43.6683,     42.9882,     43.3826,     43.3772,     43.3797,     43.4051,     43.3767,     43.3797,     43.3794,     43.3785,     43.3780,     43.3779,     43.3781,     43.3780,     43.3781,     43.3786,     43.3781,     43.3799,     43.3781,     43.4218,     43.4320,     43.4313,     43.4577,     43.3806,     43.3794,     43.3861,     43.3876,     43.3888,     43.3916,     43.3999,     43.3911,     43.3905,     43.3776,     43.3843,     43.3775,     43.3810,     43.3778
      43,          0.700000,     49.5545,     46.8444,     39.8850,     39.5985,     43.6680,     42.9880,     43.3895,     43.3853,     43.3876,     43.4098,     43.3848,     43.3872,     43.3871,     43.3865,     43.3861,     43.3860,     43.3862,     43.3860,     43.3862,     43.3864,     43.3861,     43.3873,     43.3861,     43.4238,     43.4325,     43.4330,     43.4576,     43.3880,     43.3872,     43.3922,     43.3931,     43.3945,     43.3965,     43.4047,     43.3965,     43.3977,     43.3859,     43.3919,     43.3857,     43.3888,     43.3860
      44,          0.716667,     49.6662,     46.9975,     40.0407,     39.6972,     43.6674,     42.9876,     43.3965,     43.3931,     43.3950,     43.4145,     43.3925,     43.3945,     43.3944,     43.3940,     43.3938,     43.3937,     43.3939,     43.3938,     43.3940,     43.3940,     43.3940,     43.3947,     43.3939,     43.4260,     43.4334,     43.4349,     43.4576,     43.3951,     43.3946,     43.3987,     43.3992,     43.4007,     43.4022,     43.4097,     43.4023,     43.4044,     43.3935,     43.3990,     43.3934,     43.3961,     43.3936
      45,          0.733333,     49.7367,     47.1344,     40.1859,     39.7861,     43.6666,     42.9871,     43.4035,     43.4004,     43.4021,     43.4198,     43.3998,     43.4021,     43.4021,     43.4013,     43.4011,     43.4010,     43.4012,     43.4010,     43.4012,     43.4013,     43.4013,     43.4019,     43.4013,     43.4291,     43.4348,     43.4375,     43.4578,     43.4024,     43.4021,     43.4053,     43.4057,     43.4070,     43.4080,     43.4150,     43.4081,     43.4086,     43.4008,     43.4056,     43.4009,     43.4031,     43.4011
      46,          0.750000,     49.7804,     47.2341,     40.3269,     39.8657,     43.6656,     42.9865,     43.4102,     43.4075,     43.4090,     43.4247,     43.4069,     43.4095,     43.4095,     43.4083,     43.4082,     43.4081,     43.4083,     43.4081,     43.4083,     43.4083,     43.4083,     43.4088,     43.4083,     43.4328,     43.4368,     43.4408,     43.4584,     43.4094,     43.4092,     43.4117,     43.4120,     43.4132,     43.4140,     43.4201,     43.4142,     43.4140,     43.4081,     43.4121,     43.4080,     43.4098,     43.4081
      47,          0.766667,     49.8081,     47.2966,     40.4750,     39.9419,     43.6642,     42.9855,     43.4164,     43.4142,     43.4153,     43.4292,     43.4136,     43.4157,     43.4157,     43.4148,     43.4149,     43.4148,     43.4150,     43.4148,     43.4150,     43.4150,     43.4150,     43.4154,     43.4151,     43.4364,     43.4390,     43.4438,     43.4589,     43.4156,     43.4154,     43.4178,     43.4181,     43.4191,     43.4198,     43.4250,     43.4199,     43.4190,     43.4146,     43.4180,     43.4146,     43.4161,     43.4148
      48,          0.783333,     49.8239,     47.3324,     40.6457,     40.0209,     43.6625,     42.9843,     43.4226,     43.4206,     43.4215,     43.4336,     43.4201,     43.4217,     43.4217,     43.4213,     43.4213,     43.4212,     43.4214,     43.4213,     43.4214,     43.4212,     43.4213,     43.4216,     43.4214,     43.4400,     43.4414,     43.4468,     43.4598,     43.4219,     43.4218,     43.4238,     43.4239,     43.4249,     43.4254,     43.4299,     43.4256,     43.4248,     43.4210,     43.4238,     43.4211,     43.4222,     43.4213
      49,          0.800000,     49.8334,     47.3523,     40.8509,     40.1062,     43.6606,     42.9830,     43.4284,     43.4267,     43.4272,     43.4378,     43.4262,     43.4280,     43.4280,     43.4274,     43.4274,     43.4273,     43.4275,     43.4274,     43.4275,     43.4275,     43.4276,     43.4277,     43.4276,     43.4435,     43.4441,     43.4496,     43.4607,     43.4277,     43.4276,     43.4295,     43.4297,     43.4304,     43.4307,     43.4345,     43.4310,     43.4304,     43.4272,     43.4293,     43.4272,     43.4279,     43.4273
