"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.477,          0.9503,      8.1407,          0.9503
     2,"FC01.2_R",          71.073,          1.1716,     19.3874,          0.1921
     3,"FC04.1_C",           0.552,          0.6825,      1.1518,          0.6825
     4,"Pipe0",           0.036,          0.2928,      0.4877,          0.0946
     5,"Pipe1",           0.125,          0.2783,      0.5954,          0.2018
     6,"Pipe10",           0.269,          0.2919,      0.9531,          0.2919
     7,"Pipe11",           0.215,          0.2386,      0.9249,          0.2386
     8,"Pipe12",           0.244,          0.2703,      0.8617,          0.2703
     9,"Pipe13",           0.143,          0.2689,      1.0475,          0.2355
    10,"Pipe14",           0.244,          0.2356,      1.0000,          0.2138
    11,"Pipe15",           0.182,          0.2436,      1.1909,          0.2121
    12,"Pipe16",           0.164,          0.2081,      1.0040,          0.2081
    13,"Pipe17",           0.282,          0.2348,      1.2857,          0.1974
    14,"Pipe19",           0.232,          0.3156,      1.1417,          0.2459
    15,"Pipe2",           0.087,          0.2666,      0.3563,          0.1675
    16,"Pipe3",           0.098,          0.3314,      0.6478,          0.1876
    17,"Pipe4",           0.174,          0.3809,      0.6146,          0.3809
    18,"Pipe5",           0.236,          0.2950,      1.0632,          0.2365
    19,"Pipe6",           0.214,          0.2825,      0.9806,          0.2296
    20,"Pipe7",           0.133,          0.3243,      0.5459,          0.1346
    21,"Pipe8",           0.240,          0.3244,      0.8496,          0.3244
    22,"Pipe9",           0.264,          0.2716,      1.1371,          0.2453
    23,"Pit1",           0.048,          0.1927,      0.9663,          0.2682
    24,"Pit11",           0.142,          0.2579,      0.9663,          0.0930
    25,"Pit12",           0.066,          0.2590,      0.9663,          0.1350
    26,"Pit14",           0.042,          0.2604,      0.9663,          0.2094
    27,"Pit15",           0.025,          0.1865,      0.9663,          0.1977
    28,"Pit16",           0.021,          0.2886,      0.9663,          0.1786
    29,"Pit18",           0.112,          0.2982,      0.9663,          0.2169
    30,"Pit19",           0.133,          0.3244,      0.9663,          0.1993
    31,"Pit2",           0.094,          0.2785,      0.9663,          0.1498
    32,"Pit4",           0.089,          0.4168,      0.9663,          0.2442
    33,"Pit5",           0.098,          0.3316,      0.9663,          0.2196
    34,"Pit6",           0.094,          0.2668,      0.9663,          0.1872
    35,"Pit7",           0.020,          0.2669,      0.9663,          0.2574
    36,"Pit8",           0.021,          0.1816,      0.9663,          0.2615
    37,"Pit9",           0.054,          0.2524,      0.9663,          0.1876
