"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","V FC01.1_R [EG15_005]","V FC01.2_R [EG15_005]","V FC04.1_C [EG15_005]","V Pipe0 [EG15_005]","V Pipe1 [EG15_005]","V Pipe10 [EG15_005]","V Pipe11 [EG15_005]","V Pipe12 [EG15_005]","V Pipe13 [EG15_005]","V Pipe14 [EG15_005]","V Pipe15 [EG15_005]","V Pipe16 [EG15_005]","V Pipe17 [EG15_005]","V Pipe19 [EG15_005]","V Pipe2 [EG15_005]","V Pipe3 [EG15_005]","V Pipe4 [EG15_005]","V Pipe5 [EG15_005]","V Pipe6 [EG15_005]","V Pipe7 [EG15_005]","V Pipe8 [EG15_005]","V Pipe9 [EG15_005]","V Pit1 [EG15_005]","V Pit11 [EG15_005]","V Pit12 [EG15_005]","V Pit14 [EG15_005]","V Pit15 [EG15_005]","V Pit16 [EG15_005]","V Pit18 [EG15_005]","V Pit19 [EG15_005]","V Pit2 [EG15_005]","V Pit4 [EG15_005]","V Pit5 [EG15_005]","V Pit6 [EG15_005]","V Pit7 [EG15_005]","V Pit8 [EG15_005]","V Pit9 [EG15_005]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.288,    0.000,    0.139,    0.000,    0.183,    0.000,    0.173,    0.202,    0.103,    0.196,    0.000,    0.000,    0.191,    0.000,    0.130,    0.115,    0.223,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.358,    0.000,    0.185,    0.000,    0.244,    0.000,    0.263,    0.276,    0.173,    0.261,    0.000,    0.000,    0.283,    0.000,    0.240,    0.217,    0.293,    0.000,    0.000,    0.223,    0.000,    0.000,    0.186,    0.000,    0.000,    0.186,    0.000,    0.725,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.398,    0.000,    0.242,    0.000,    0.282,    0.000,    0.333,    0.334,    0.247,    0.308,    0.000,    0.000,    0.341,    0.000,    0.279,    0.292,    0.318,    0.000,    0.000,    0.000,    0.725,    0.186,    0.186,    0.223,    0.725,    0.725,    0.000,    0.242,    0.000,    0.000,    0.966,    0.725,    0.000,    0.223
       5,          0.066667,    0.000,    0.210,    0.000,    0.442,    0.000,    0.297,    0.000,    0.317,    0.000,    0.403,    0.383,    0.318,    0.353,    0.000,    0.122,    0.397,    0.000,    0.288,    0.323,    0.355,   -0.162,    0.162,    0.725,    0.966,    0.725,    0.725,    0.000,    0.223,    0.186,    0.725,    0.242,    0.000,    0.966,    0.966,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.243,    0.000,    0.454,    0.000,    0.327,    0.000,    0.349,    0.000,    0.460,    0.413,    0.376,    0.313,    0.000,    0.100,    0.437,    0.000,    0.310,    0.345,    0.390,   -0.282,    0.282,    0.725,    0.966,    0.725,    0.186,    0.000,    0.000,    0.186,    0.725,    0.966,    0.000,    0.966,    0.966,    0.725,    0.000,    0.725
       7,          0.100000,    0.000,    0.284,    0.000,    0.003,    0.000,    0.377,    0.000,    0.387,    0.000,    0.509,    0.447,    0.437,    0.415,    0.000,    0.151,    0.477,    0.000,    0.327,    0.365,    0.435,   -0.382,    0.382,    0.000,    0.966,    0.725,    0.186,    0.000,    0.000,    0.966,    0.725,    0.966,    0.725,    0.966,    0.966,    0.725,    0.725,    0.000
       8,          0.116667,    0.000,    0.323,    0.000,   -0.034,    0.000,    0.439,    0.000,    0.430,    0.000,    0.557,    0.513,    0.518,    0.528,    0.000,    0.221,    0.500,    0.000,    0.343,    0.389,    0.496,   -0.439,    0.439,    0.223,    0.966,    0.966,    0.966,    0.000,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.725,    0.000,    0.725
       9,          0.133333,    0.000,    0.365,    0.000,   -0.035,    0.000,    0.480,    0.000,    0.478,    0.000,    0.633,    0.570,    0.608,    0.616,    0.000,    0.224,    0.532,    0.000,    0.355,    0.415,    0.543,   -0.463,    0.463,    0.000,    0.966,    0.966,    0.966,    0.000,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.725,    0.000,    0.000
      10,          0.150000,    0.000,    0.397,    0.000,   -0.020,    0.099,    0.517,    0.000,   -0.006,    0.000,    0.724,    0.628,    0.698,    0.742,    0.323,    0.207,    0.558,   -0.323,    0.366,    0.442,    0.022,   -0.016,    0.490,    0.223,    0.966,    0.966,    0.966,    0.000,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966
      11,          0.166667,    0.000,    0.422,    0.000,   -0.001,    0.232,    0.587,    0.000,   -0.027,    0.000,    0.802,    0.668,    0.797,    0.858,    0.526,    0.249,    0.595,   -0.526,    0.441,    0.474,    0.053,    0.145,    0.636,    0.000,    0.879,    0.966,    0.966,    0.223,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.186,    0.966
      12,          0.183333,    0.000,    0.456,    0.000,    0.111,    0.345,    0.708,    0.000,    0.003,    0.000,    0.870,    0.709,    0.888,    0.922,    0.657,    0.222,    0.637,    0.102,    0.562,    0.545,    0.073,    0.207,    0.761,    0.725,    0.819,    0.966,    0.966,    0.000,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      13,          0.200000,    0.931,    0.084,    0.246,    0.071,    0.354,    0.151,    0.109,   -0.016,    0.364,    0.926,    0.776,    0.971,    0.992,    0.856,    0.248,    0.182,    0.194,    0.742,    0.675,    0.097,    0.262,    0.860,    0.966,    0.792,    0.966,    0.966,    0.966,    0.223,    0.966,    0.966,    0.918,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      14,          0.216667,    1.429,    1.003,    0.418,    0.074,    0.384,    0.217,    0.402,    0.169,    0.721,    0.546,    0.886,    0.011,    0.557,    0.988,    0.268,    0.100,    0.261,    0.993,    0.825,    0.134,    0.317,    0.944,    0.966,    0.776,    0.934,    0.966,    0.966,    0.000,    0.966,    0.966,    0.866,    0.966,    0.966,    0.957,    0.966,    0.966,    0.966
      15,          0.233333,    1.662,    0.490,    0.524,    0.091,    0.426,    0.413,    0.738,    0.449,    1.020,    0.840,   -0.256,    0.022,    0.995,    1.086,    0.293,    0.135,    0.311,    1.200,    0.007,    0.192,    0.428,    1.039,    0.966,    0.760,    0.906,    0.966,    0.966,    0.223,    0.966,    0.894,    0.833,    0.966,    0.966,    0.882,    0.966,    0.966,    0.966
      16,          0.250000,    1.811,    0.847,    0.612,    0.102,    0.422,   -0.164,   -0.060,   -0.188,   -0.214,    0.165,   -0.078,    0.016,    0.368,   -0.263,    0.241,   -0.124,   -0.036,   -0.289,   -0.260,    0.270,    0.483,   -0.148,    0.966,    0.749,    0.882,    0.966,    0.966,    0.000,    0.839,    0.802,    0.813,    0.966,    0.934,    0.832,    0.966,    0.966,    0.944
      17,          0.266667,    1.911,    0.757,    0.690,    0.101,    0.402,    0.950,    0.575,    0.924,    0.559,    0.017,    0.428,    0.002,   -0.406,    0.640,    0.310,    0.198,    0.339,    0.624,    0.688,    0.405,    0.743,    0.906,    0.966,   -0.307,   -0.329,   -0.285,    0.966,    0.000,    0.785,    0.765,    0.802,    0.966,    0.901,    0.797,    0.966,   -0.052,   -0.289
      18,          0.283333,    1.992,    0.022,    0.757,    0.121,    0.454,    1.128,    0.526,    0.993,    0.515,    0.060,    0.387,    0.001,   -0.379,    0.830,    0.207,    0.223,    0.391,    0.834,    0.819,    0.484,    0.912,    1.115,    0.966,   -0.238,   -0.261,   -0.335,   -0.024,    0.223,    0.723,    0.685,    0.796,    0.966,    0.879,    0.288,    0.030,   -0.179,   -0.312
      19,          0.300000,    2.069,    0.168,    0.816,    0.124,    0.465,    1.124,    0.446,    0.950,    0.440,    0.074,    0.291,    0.001,   -0.280,    0.905,    0.187,    0.278,    0.450,    0.908,    0.788,    0.496,    0.939,    1.122,    0.966,   -0.190,   -0.184,   -0.309,   -0.188,    0.000,    0.556,    0.541,    0.793,    0.957,    0.825,    0.224,    0.004,   -0.198,   -0.285
      20,          0.316667,    2.144,    0.058,    0.868,    0.131,    0.403,    1.101,    0.402,    0.884,    0.388,    0.050,    0.271,    0.001,   -0.260,    0.920,    0.179,    0.348,    0.526,    0.929,    0.695,    0.494,    0.944,    1.119,    0.966,   -0.176,   -0.160,   -0.221,   -0.260,    0.057,    0.477,    0.471,    0.473,    0.947,    0.791,    0.188,   -0.023,   -0.205,   -0.252
      21,          0.333333,    2.214,    0.548,    0.911,    0.130,    0.356,    1.074,    0.363,    0.805,    0.355,    0.061,    0.219,    0.001,   -0.208,    0.933,    0.170,    0.394,    0.580,    0.919,    0.597,    0.503,    0.943,    1.110,    0.503,   -0.153,   -0.139,   -0.197,   -0.295,   -0.040,    0.424,    0.426,    0.336,    0.936,    0.672,    0.162,   -0.043,   -0.211,   -0.230
      22,          0.350000,    2.280,    0.981,    0.947,    0.129,    0.333,    1.038,    0.332,    0.718,    0.323,    0.073,    0.166,    0.001,   -0.155,    0.929,    0.160,    0.393,    0.599,    0.889,    0.488,    0.510,    0.941,    1.098,    0.360,   -0.130,   -0.118,   -0.167,   -0.313,   -0.090,    0.390,    0.398,    0.275,    0.902,    0.554,    0.143,   -0.063,   -0.216,   -0.201
      23,          0.366667,    2.347,    1.072,    0.978,    0.123,    0.300,    1.000,    0.276,    0.627,    0.268,    0.050,    0.152,    0.001,   -0.140,    0.919,    0.154,    0.375,    0.623,    0.827,    0.422,    0.506,    0.931,    1.083,    0.274,   -0.113,   -0.098,   -0.140,   -0.262,   -0.161,    0.372,    0.384,    0.221,    0.854,    0.472,    0.131,   -0.081,   -0.224,   -0.183
      24,          0.383333,    2.424,    0.866,    1.005,    0.108,    0.262,    0.950,    0.235,    0.542,    0.227,    0.036,    0.142,    0.001,   -0.132,    0.902,    0.146,    0.361,    0.642,    0.744,    0.383,    0.502,    0.921,    1.066,    0.214,   -0.099,   -0.087,   -0.127,   -0.193,   -0.227,    0.357,    0.373,    0.181,    0.825,    0.417,    0.121,   -0.104,   -0.218,   -0.160
      25,          0.400000,    2.511,   -0.464,    1.027,    0.096,    0.228,    0.885,    0.205,    0.484,    0.197,    0.029,    0.123,    0.001,   -0.113,    0.878,    0.137,    0.344,    0.652,    0.661,    0.345,    0.496,    0.909,    1.045,    0.171,   -0.087,   -0.073,   -0.115,   -0.164,   -0.262,    0.344,    0.363,    0.147,    0.807,    0.375,    0.110,   -0.131,   -0.209,   -0.145
      26,          0.416667,    2.605,   -0.160,    1.047,    0.084,    0.197,    0.814,    0.179,    0.440,    0.173,    0.025,    0.105,    0.001,   -0.098,    0.849,    0.125,    0.326,    0.657,    0.586,    0.308,    0.490,    0.894,    1.019,    0.136,   -0.076,   -0.063,   -0.105,   -0.141,   -0.285,    0.333,    0.355,    0.119,    0.798,    0.340,    0.098,   -0.153,   -0.196,   -0.135
      27,          0.433333,    2.705,    0.320,    1.063,    0.073,    0.172,    0.744,    0.160,    0.401,    0.154,    0.025,    0.084,    0.001,   -0.075,    0.813,    0.111,    0.317,    0.647,    0.509,    0.263,    0.485,    0.880,    0.991,    0.110,   -0.067,   -0.051,   -0.093,   -0.124,   -0.288,    0.322,    0.347,    0.099,    0.721,    0.320,    0.085,   -0.171,   -0.180,   -0.125
      28,          0.450000,    2.808,   -0.072,    1.078,    0.060,    0.142,    0.677,    0.144,    0.367,    0.138,    0.028,    0.063,    0.001,   -0.055,    0.769,    0.096,    0.307,    0.629,    0.436,    0.213,    0.479,    0.866,    0.961,    0.085,   -0.057,   -0.042,   -0.078,   -0.116,   -0.265,    0.312,    0.341,    0.078,    0.647,    0.301,    0.073,   -0.186,   -0.161,   -0.116
      29,          0.466667,    2.927,    1.046,    1.091,    0.045,    0.107,    0.612,    0.126,    0.330,    0.121,    0.025,    0.053,    0.001,   -0.046,    0.712,    0.080,    0.296,    0.608,    0.394,    0.187,    0.473,    0.851,    0.930,    0.060,   -0.049,   -0.036,   -0.070,   -0.107,   -0.223,    0.302,    0.334,    0.057,    0.583,    0.284,    0.060,   -0.195,   -0.147,   -0.106
      30,          0.483333,    3.054,    0.961,    1.102,    0.028,    0.070,    0.553,    0.107,    0.295,    0.102,    0.019,    0.048,    0.001,   -0.041,    0.651,    0.062,    0.284,    0.584,    0.357,    0.167,    0.466,    0.833,    0.894,    0.036,   -0.043,   -0.031,   -0.061,   -0.098,   -0.184,    0.290,    0.327,    0.037,    0.527,    0.266,    0.045,   -0.195,   -0.135,   -0.098
