"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time (h)","H FC01.1_R.1 [EG15_000]","H FC01.1_R.2 [EG15_000]","H FC01.2_R.1 [EG15_000]","H FC01.2_R.2 [EG15_000]","H FC04.1_C.1 [EG15_000]","H FC04.1_C.2 [EG15_000]","H Pipe16.2 [EG15_000]","H Pit1 [EG15_000]","H Pit1.1 [EG15_000]","H Pit10 [EG15_000]","H Pit10.1 [EG15_000]","H Pit11 [EG15_000]","H Pit11.1 [EG15_000]","H Pit12 [EG15_000]","H Pit12.1 [EG15_000]","H Pit13 [EG15_000]","H Pit13.1 [EG15_000]","H Pit14 [EG15_000]","H Pit14.1 [EG15_000]","H Pit15 [EG15_000]","H Pit15.1 [EG15_000]","H Pit16 [EG15_000]","H Pit16.1 [EG15_000]","H Pit17 [EG15_000]","H Pit17.1 [EG15_000]","H Pit18 [EG15_000]","H Pit18.1 [EG15_000]","H Pit19 [EG15_000]","H Pit19.1 [EG15_000]","H Pit2 [EG15_000]","H Pit2.1 [EG15_000]","H Pit3 [EG15_000]","H Pit3.1 [EG15_000]","H Pit4 [EG15_000]","H Pit4.1 [EG15_000]","H Pit5 [EG15_000]","H Pit5.1 [EG15_000]","H Pit6 [EG15_000]","H Pit6.1 [EG15_000]","H Pit7 [EG15_000]","H Pit7.1 [EG15_000]","H Pit8 [EG15_000]","H Pit8.1 [EG15_000]","H Pit9 [EG15_000]","H Pit9.1 [EG15_000]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2445,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     41.3168,     43.2811,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.3484,     43.2770,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8462,     41.8244,     43.2638,     40.8980,     42.7594,     40.7946,     42.7823,     40.6642,     42.8179,     40.1044,     42.8434,     41.0043,     42.8662,     41.1034,     42.9958,     41.3220,     43.1424,     41.8728,     43.2963,     41.9558,     43.3798,     42.0809,     43.4051,     41.7536,     43.2344,     41.6269,     43.2965,     41.6325,     43.3184,     42.0687,     43.2889,     41.8760,     43.2656,     41.4620,     43.1535,     41.1562,     43.0116,     40.9493,     42.8708
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.9705,     41.8247,     43.2638,     41.2027,     42.7594,     40.9761,     42.7823,     40.7825,     42.8179,     40.2313,     42.8434,     41.1458,     42.8662,     41.2888,     42.9958,     41.5246,     43.1423,     42.2611,     43.3064,     42.3488,     43.3869,     42.4092,     43.4066,     41.7901,     43.2354,     41.7653,     43.2965,     41.7730,     43.3186,     42.0832,     43.2892,     42.2604,     43.2665,     41.9419,     43.1535,     41.6716,     43.0116,     41.4264,     42.8708
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     40.4170,     41.8360,     43.2638,     41.9150,     42.7595,     41.5694,     42.7823,     41.2598,     42.8179,     40.5955,     42.8434,     41.3223,     42.8662,     41.4579,     42.9958,     41.6114,     43.1357,     43.2340,     43.3101,     43.3027,     43.3884,     43.3854,     43.4072,     41.8265,     43.2356,     41.8083,     43.2965,     41.8171,     43.3187,     42.0852,     43.2893,     43.2347,     43.2781,     42.8452,     43.1535,     42.5204,     43.0116,     42.2180,     42.8708
       5,          0.066667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     42.5402,     42.4228,     43.2638,     42.7719,     42.7750,     42.7070,     42.7823,     42.6177,     42.8179,     42.5495,     42.8434,     42.5016,     42.8662,     42.4651,     42.9958,     42.4085,     43.1357,     43.3047,     43.3241,     43.3618,     43.3996,     43.3776,     43.4188,     42.3751,     43.2357,     42.4043,     43.2965,     42.3356,     43.3187,     42.1938,     43.2894,     43.3087,     43.3069,     43.1693,     43.1664,     43.0189,     43.0304,     42.9108,     42.8906
       6,          0.083333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     42.8925,     43.2529,     43.2719,     42.8653,     42.8232,     42.8667,     42.8274,     42.8732,     42.8486,     42.8927,     42.8818,     42.9340,     42.8977,     43.0081,     43.0171,     43.1350,     43.1408,     43.3116,     43.3312,     43.3681,     43.4056,     43.3835,     43.4228,     43.2483,     43.2506,     43.2361,     43.2968,     43.2498,     43.3188,     43.2564,     43.2929,     43.3180,     43.3185,     43.1934,     43.1868,     43.0419,     43.0448,     42.9481,     42.9087
       7,          0.100000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     42.9096,     43.2758,     43.2865,     42.8943,     42.8576,     42.8910,     42.8559,     42.8964,     42.8752,     42.9100,     42.8980,     42.9364,     42.9039,     43.0268,     43.0220,     43.1522,     43.1585,     43.3291,     43.3433,     43.3839,     43.4227,     43.4001,     43.4402,     43.2704,     43.2714,     43.2644,     43.3043,     43.2808,     43.3217,     43.2901,     43.3109,     43.3302,     43.3301,     43.1981,     43.2002,     43.0571,     43.0583,     42.9554,     42.9134
       8,          0.116667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     42.9269,     43.2838,     43.2919,     42.9227,     42.8963,     42.9195,     42.8950,     42.9192,     42.8981,     42.9274,     42.9083,     42.9481,     42.9116,     43.0312,     43.0242,     43.1570,     43.1618,     43.3356,     43.3485,     43.3886,     43.4263,     43.4042,     43.4437,     43.2791,     43.2819,     43.2734,     43.3044,     43.2918,     43.3219,     43.3016,     43.3249,     43.3382,     43.3394,     43.2089,     43.2106,     43.0725,     43.0720,     42.9813,     42.9389
       9,          0.133333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     42.9536,     43.2893,     43.2962,     42.9561,     42.9423,     42.9551,     42.9405,     42.9506,     42.9361,     42.9538,     42.9274,     42.9825,     42.9282,     43.0198,     43.0270,     43.1748,     43.1629,     43.3373,     43.3511,     43.3908,     43.4278,     43.4060,     43.4447,     43.2850,     43.2889,     43.2757,     43.3062,     43.2995,     43.3220,     43.3098,     43.3346,     43.3423,     43.3442,     43.2191,     43.2169,     43.0851,     43.0823,     43.0087,     42.9610
      10,          0.150000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     42.9903,     43.2933,     43.2995,     42.9875,     42.9750,     42.9877,     42.9727,     42.9858,     42.9734,     42.9909,     42.9721,     43.0154,     42.9732,     43.0323,     43.0306,     43.1794,     43.1677,     43.3405,     43.3525,     43.3919,     43.4284,     43.4068,     43.4452,     43.2894,     43.2935,     43.2802,     43.3081,     43.3063,     43.3242,     43.3164,     43.3412,     43.3447,     43.3470,     43.2218,     43.2205,     43.0954,     43.0893,     43.0305,     42.9822
      11,          0.166667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.0216,     43.2970,     43.3024,     43.0187,     43.0057,     43.0184,     43.0064,     43.0171,     43.0073,     43.0223,     43.0074,     43.0443,     43.0096,     43.0543,     43.0421,     43.1820,     43.1731,     43.3435,     43.3536,     43.3926,     43.4287,     43.4073,     43.4454,     43.2934,     43.2970,     43.2863,     43.3108,     43.3123,     43.3317,     43.3221,     43.3460,     43.3464,     43.3491,     43.2230,     43.2229,     43.1054,     43.0943,     43.0525,     43.0072
      12,          0.183333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.0521,     43.3027,     43.3077,     43.0511,     43.0412,     43.0504,     43.0405,     43.0487,     43.0408,     43.0527,     43.0405,     43.0734,     43.0415,     43.0710,     43.0537,     43.1923,     43.1787,     43.3479,     43.3583,     43.3990,     43.4357,     43.4140,     43.4526,     43.2993,     43.3027,     43.2916,     43.3167,     43.3187,     43.3396,     43.3283,     43.3510,     43.3513,     43.3534,     43.2300,     43.2272,     43.1191,     43.1002,     43.0777,     43.0397
      13,          0.200000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.0810,     43.3064,     43.3106,     43.0862,     43.0725,     43.0805,     43.0723,     43.0783,     43.0718,     43.0816,     43.0719,     43.0890,     43.0711,     43.1081,     43.0735,     43.1889,     43.1835,     43.3524,     43.3606,     43.4012,     43.4374,     43.4160,     43.4542,     43.3035,     43.3061,     43.2992,     43.3214,     43.3237,     43.3452,     43.3332,     43.3558,     43.3547,     43.3572,     43.2336,     43.2319,     43.1350,     43.1073,     43.0970,     43.0727
      14,          0.216667,     45.6237,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.1094,     43.3100,     43.3134,     43.1135,     43.1017,     43.1084,     43.1013,     43.1068,     43.1016,     43.1100,     43.1013,     43.1166,     43.1011,     43.1325,     43.1019,     43.1978,     43.1880,     43.3545,     43.3622,     43.4024,     43.4381,     43.4169,     43.4547,     43.3073,     43.3099,     43.3034,     43.3245,     43.3282,     43.3505,     43.3376,     43.3595,     43.3569,     43.3596,     43.2396,     43.2355,     43.1508,     43.1192,     43.1226,     43.1013
      15,          0.233333,     45.7619,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.1362,     43.3141,     43.3176,     43.1391,     43.1288,     43.1346,     43.1288,     43.1336,     43.1293,     43.1370,     43.1294,     43.1430,     43.1296,     43.1558,     43.1298,     43.2072,     43.1931,     43.3565,     43.3634,     43.4033,     43.4384,     43.4176,     43.4550,     43.3113,     43.3135,     43.3076,     43.3272,     43.3319,     43.3546,     43.3411,     43.3622,     43.3588,     43.3614,     43.2456,     43.2385,     43.1685,     43.1360,     43.1471,     43.1281
