"EG15_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_002.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.477,          0.9480,      8.1407,          0.9480
     2,"FC01.2_R",          71.073,          1.1710,     19.3874,          0.1921
     3,"FC04.1_C",           0.552,          0.6812,      1.1518,          0.6812
     4,"Pipe0",           0.048,          0.2754,      0.6346,          0.2124
     5,"Pipe1",           0.121,          0.2536,      0.9029,          0.2200
     6,"Pipe10",           0.267,          0.2869,      0.9447,          0.2869
     7,"Pipe11",           0.192,          0.2545,      0.6802,          0.2545
     8,"Pipe12",           0.255,          0.2558,      0.9040,          0.2558
     9,"Pipe13",           0.161,          0.1961,      1.1024,          0.1961
    10,"Pipe14",           0.181,          0.1954,      1.1470,          0.1954
    11,"Pipe15",           0.150,          0.2563,      0.9610,          0.1980
    12,"Pipe16",           0.113,          0.1557,      0.9092,          0.1555
    13,"Pipe17",           0.193,          0.1941,      1.1744,          0.1941
    14,"Pipe19",           0.235,          0.3071,      1.0328,          0.2179
    15,"Pipe2",           0.067,          0.2505,      0.7870,          0.2265
    16,"Pipe3",           0.094,          0.3261,      0.7614,          0.2356
    17,"Pipe4",           0.167,          0.3655,      0.7068,          0.1818
    18,"Pipe5",           0.233,          0.2947,      0.9675,          0.2100
    19,"Pipe6",           0.222,          0.2625,      0.9091,          0.1996
    20,"Pipe7",           0.121,          0.3217,      0.7756,          0.2272
    21,"Pipe8",           0.210,          0.3220,      0.8458,          0.2166
    22,"Pipe9",           0.259,          0.2850,      0.9844,          0.2159
    23,"Pit1",           0.048,          0.1927,      0.9663,          0.2691
    24,"Pit10",           0.101,          0.2422,      0.9663,          0.0714
    25,"Pit11",           0.047,          0.2432,      0.9663,          0.2193
    26,"Pit12",           0.036,          0.2444,      0.9663,          0.2217
    27,"Pit13",           0.037,          0.2449,      0.9663,          0.2078
    28,"Pit14",           0.038,          0.2453,      0.9663,          0.2147
    29,"Pit15",           0.024,          0.1881,      0.9663,          0.2520
    30,"Pit16",           0.020,          0.1166,      0.9663,          0.1790
    31,"Pit17",           0.037,          0.2646,      0.9663,          0.2287
    32,"Pit18",           0.094,          0.3145,      0.9663,          0.1324
    33,"Pit19",           0.121,          0.3216,      0.9663,          0.1668
    34,"Pit2",           0.085,          0.2593,      0.9663,          0.1196
    35,"Pit3",           0.050,          0.2873,      0.9663,          0.1374
    36,"Pit4",           0.083,          0.3656,      0.9663,          0.2453
    37,"Pit5",           0.093,          0.3234,      0.9663,          0.2197
    38,"Pit6",           0.072,          0.2514,      0.9663,          0.1926
    39,"Pit7",           0.012,          0.2543,      0.9663,          0.2206
    40,"Pit8",           0.020,          0.1816,      0.9663,          0.2103
    41,"Pit9",           0.048,          0.2442,      0.9663,          0.2193
