"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time (h)","H FC01.1_R.1 [EG15_010]","H FC01.1_R.2 [EG15_010]","H FC01.2_R.1 [EG15_010]","H FC01.2_R.2 [EG15_010]","H FC04.1_C.1 [EG15_010]","H FC04.1_C.2 [EG15_010]","H Pipe16.2 [EG15_010]","H Pit1 [EG15_010]","H Pit1.1 [EG15_010]","H Pit10 [EG15_010]","H Pit10.1 [EG15_010]","H Pit11 [EG15_010]","H Pit11.1 [EG15_010]","H Pit12 [EG15_010]","H Pit12.1 [EG15_010]","H Pit13 [EG15_010]","H Pit13.1 [EG15_010]","H Pit15 [EG15_010]","H Pit15.1 [EG15_010]","H Pit16 [EG15_010]","H Pit16.1 [EG15_010]","H Pit17 [EG15_010]","H Pit17.1 [EG15_010]","H Pit18 [EG15_010]","H Pit18.1 [EG15_010]","H Pit19 [EG15_010]","H Pit19.1 [EG15_010]","H Pit2 [EG15_010]","H Pit2.1 [EG15_010]","H Pit3 [EG15_010]","H Pit3.1 [EG15_010]","H Pit4 [EG15_010]","H Pit4.1 [EG15_010]","H Pit5 [EG15_010]","H Pit5.1 [EG15_010]","H Pit6 [EG15_010]","H Pit6.1 [EG15_010]","H Pit7 [EG15_010]","H Pit7.1 [EG15_010]","H Pit8 [EG15_010]","H Pit8.1 [EG15_010]","H Pit9 [EG15_010]","H Pit9.1 [EG15_010]","H Storage_Tank [EG15_010]"
     150,          2.483333,     46.5271,     45.4418,     39.1786,     39.1118,     43.4337,     42.8299,     43.5750,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5755,     43.5750
     151,          2.500000,     46.5098,     45.4276,     39.1576,     39.0933,     43.4325,     42.8287,     43.5751,     43.5756,     43.5756,     43.5757,     43.5757,     43.5757,     43.5757,     43.5757,     43.5757,     43.5757,     43.5757,     43.5756,     43.5757,     43.5757,     43.5757,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5756,     43.5757,     43.5757,     43.5756,     43.5756,     43.5756,     43.5757,     43.5757,     43.5757,     43.5756,     43.5757,     43.5751
     152,          2.516667,     46.4916,     45.4116,     39.1379,     39.0759,     43.4311,     42.8276,     43.5753,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5758,     43.5753
     153,          2.533334,     46.4732,     45.3959,     39.1188,     39.0589,     43.4299,     42.8263,     43.5755,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5760,     43.5755
     154,          2.550000,     46.4545,     45.3791,     39.1002,     39.0427,     43.4287,     42.8251,     43.5756,     43.5762,     43.5762,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5762,     43.5762,     43.5762,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5761,     43.5756
     155,          2.566667,     46.4388,     45.3644,     39.0825,     39.0271,     43.4274,     42.8239,     43.5758,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5763,     43.5758
     156,          2.583333,     46.4195,     45.3472,     39.0654,     39.0120,     43.4262,     42.8228,     43.5759,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5764,     43.5759
     157,          2.600000,     46.3997,     45.3301,     39.0477,     38.9959,     43.4251,     42.8217,     43.5761,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5765,     43.5765,     43.5765,     43.5765,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5766,     43.5765,     43.5766,     43.5765,     43.5765,     43.5766,     43.5766,     43.5766,     43.5766,     43.5760
     158,          2.616667,     46.3801,     45.3124,     39.0307,     38.9811,     43.4239,     42.8206,     43.5762,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5767,     43.5762
     159,          2.633333,     46.3607,     45.2939,     39.0071,     38.9593,     43.4228,     42.8196,     43.5763,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5768,     43.5763
     160,          2.650000,     46.3456,     45.2780,     38.9863,     38.9408,     43.4217,     42.8185,     43.5764,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5770,     43.5770,     43.5770,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5769,     43.5764
     161,          2.666667,     46.3318,     45.2635,     38.9651,     38.9215,     43.4206,     42.8175,     43.5766,     43.5770,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5770,     43.5770,     43.5770,     43.5770,     43.5771,     43.5771,     43.5771,     43.5771,     43.5770,     43.5770,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5771,     43.5765
     162,          2.683333,     46.3167,     45.2488,     38.9446,     38.9026,     43.4195,     42.8165,     43.5767,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5772,     43.5767
     163,          2.700000,     46.3017,     45.2344,     38.9247,     38.8845,     43.4184,     42.8155,     43.5768,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5773,     43.5768
     164,          2.716667,     46.2850,     45.2191,     38.9038,     38.8656,     43.4173,     42.8144,     43.5769,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5773,     43.5774,     43.5773,     43.5773,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5774,     43.5769
     165,          2.733334,     46.2677,     45.2032,     38.8823,     38.8459,     43.4162,     42.8134,     43.5770,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5774,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5774,     43.5775,     43.5775,     43.5774,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5775,     43.5770
     166,          2.750000,     46.2499,     45.1869,     38.8610,     38.8262,     43.4152,     42.8124,     43.5770,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5775,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5775,     43.5775,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5775,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5770
     167,          2.766667,     46.2309,     45.1700,     38.8400,     38.8070,     43.4142,     42.8115,     43.5771,     43.5777,     43.5777,     43.5776,     43.5776,     43.5776,     43.5776,     43.5777,     43.5777,     43.5777,     43.5776,     43.5776,     43.5777,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5776,     43.5777,     43.5776,     43.5776,     43.5776,     43.5776,     43.5777,     43.5776,     43.5776,     43.5771
     168,          2.783334,     46.2116,     45.1521,     38.8180,     38.7874,     43.4132,     42.8106,     43.5772,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5777,     43.5772
     169,          2.800000,     46.1907,     45.1326,     38.7981,     38.7690,     43.4122,     42.8097,     43.5773,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5778,     43.5773
     170,          2.816667,     46.1691,     45.1105,     38.7753,     38.7477,     43.4112,     42.8088,     43.5774,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5779,     43.5774
     171,          2.833333,     46.1466,     45.0875,     38.7523,     38.7260,     43.4103,     42.8080,     43.5774,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5779,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5774
     172,          2.850000,     46.1237,     45.0617,     38.7283,     38.7032,     43.4093,     42.8072,     43.5775,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5780,     43.5775
     173,          2.866667,     46.0991,     45.0330,     38.7093,     38.6844,     43.4084,     42.8064,     43.5776,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5781,     43.5776
     174,          2.883333,     46.0757,     45.0024,     38.6873,     38.6631,     43.4075,     42.8057,     43.5777,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5777
     175,          2.900000,     46.0514,     44.9686,     38.6661,     38.6424,     43.4066,     42.8050,     43.5777,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5782,     43.5777
     176,          2.916667,     46.0270,     44.9330,     38.6446,     38.6213,     43.4057,     42.8044,     43.5778,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5783,     43.5778
     177,          2.933333,     46.0036,     44.8983,     38.6224,     38.5995,     43.4049,     42.8037,     43.5779,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5783,     43.5784,     43.5783,     43.5783,     43.5784,     43.5783,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5783,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5778
     178,          2.950000,     45.9808,     44.8646,     38.6006,     38.5780,     43.4041,     42.8032,     43.5779,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5784,     43.5779
     179,          2.966667,     45.9592,     44.8325,     38.5792,     38.5568,     43.4032,     42.8026,     43.5780,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5780
     180,          2.983334,     45.9390,     44.8022,     38.5570,     38.5351,     43.4025,     42.8021,     43.5780,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5785,     43.5780
     181,          3.000000,     45.9199,     44.7729,     38.5343,     38.5128,     43.4017,     42.8016,     43.5781,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5786,     43.5781
