No,Channel,US Node,DS Node,US Channel,DS Channel,Flags,Length,Form Loss,n or Cd,pSlope,US Invert,DS Invert,LBUS Obvert,RBUS Obvert,LBDS Obvert,RBDS Obvert,pBlockage
    37,"FC01.1_R","FC01.1_R.1","FC01.1_R.2","------","------","R",            10.4,   0.000,   0.012,   8.6,    45.400,    44.500,    47.200,    47.200,    46.300,    46.300,     0.000
    36,"FC01.2_R","FC01.2_R.1","FC01.2_R.2","------","------","R",            12.6,   0.000,   0.012,   0.8,    37.600,    37.500,    38.800,    38.800,    38.700,    38.700,     0.000
    35,"FC04.1_C","FC04.1_C.1","FC04.1_C.2","------","------","C",            23.9,   0.000,   0.012,   2.5,    43.350,    42.750,    44.550,    44.550,    43.950,    43.950,     0.000
     8,"Pipe0","Pit1","Pit2","------","Pipe1","C",            17.0,   0.000,   0.015,   0.8,    41.602,    41.468,    42.202,    42.202,    42.068,    42.068,     0.000
     7,"Pipe1","Pit2","mh1","Pipe0","Pipe19","C",            26.6,   0.000,   0.015,  -1.4,    41.468,    41.849,    42.068,    42.068,    42.449,    42.449,     0.000
    16,"Pipe10","Pit7","Pit8","Pipe9","Pipe12","C",            32.6,   0.000,   0.015,   0.5,    41.155,    40.988,    41.755,    41.755,    41.588,    41.588,     0.000
    15,"Pipe11","Pit9","mh3","Pipe12","Pipe13","C",            26.9,   0.000,   0.015,  -1.7,    40.808,    41.266,    41.408,    41.408,    41.866,    41.866,     0.000
    14,"Pipe12","Pit8","Pit9","Pipe10","Pipe11","C",            28.4,   0.000,   0.015,   0.6,    40.988,    40.808,    41.588,    41.588,    41.408,    41.408,     0.000
    13,"Pipe13","mh3","Pit11","Pipe11","Pipe14","C",            21.3,   0.000,   0.015,   2.8,    41.266,    40.660,    41.866,    41.866,    41.260,    41.260,     0.000
    12,"Pipe14","Pit11","Pit12","Pipe13","Pipe17","C",            26.3,   0.000,   0.015,   0.5,    40.660,    40.526,    41.260,    41.260,    41.126,    41.126,     0.000
