"EG15_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_009.tcf]","Time(h)","V FC01.1_R [EG15_009]","V FC01.2_R [EG15_009]","V FC04.1_C [EG15_009]","V Pipe0 [EG15_009]","V Pipe1 [EG15_009]","V Pipe10 [EG15_009]","V Pipe11 [EG15_009]","V Pipe12 [EG15_009]","V Pipe13 [EG15_009]","V Pipe14 [EG15_009]","V Pipe15 [EG15_009]","V Pipe16 [EG15_009]","V Pipe17 [EG15_009]","V Pipe19 [EG15_009]","V Pipe2 [EG15_009]","V Pipe3 [EG15_009]","V Pipe4 [EG15_009]","V Pipe5 [EG15_009]","V Pipe6 [EG15_009]","V Pipe7 [EG15_009]","V Pipe8 [EG15_009]","V Pipe9 [EG15_009]","V Pit1 [EG15_009]","V Pit10 [EG15_009]","V Pit11 [EG15_009]","V Pit12 [EG15_009]","V Pit13 [EG15_009]","V Pit14 [EG15_009]","V Pit15 [EG15_009]","V Pit16 [EG15_009]","V Pit17 [EG15_009]","V Pit18 [EG15_009]","V Pit19 [EG15_009]","V Pit2 [EG15_009]","V Pit3 [EG15_009]","V Pit4 [EG15_009]","V Pit5 [EG15_009]","V Pit6 [EG15_009]","V Pit7 [EG15_009]","V Pit8 [EG15_009]","V Pit9 [EG15_009]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.272,    0.256,    0.123,    0.106,    0.181,    0.241,    0.141,    0.000,    0.182,    0.198,    0.198,    0.240,    0.191,    0.158,    0.134,    0.191,    0.223,    0.243,    0.142,    0.000,    0.129,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.358,    0.354,    0.208,    0.284,    0.244,    0.282,    0.245,    0.000,    0.245,    0.267,    0.272,    0.327,    0.283,    0.244,    0.210,    0.258,    0.293,    0.306,    0.306,    0.223,    0.725,    0.000,    0.000,    0.000,    0.186,    0.000,    0.000,    0.725,    0.186,    0.000,    0.725,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.399,    0.420,    0.336,    0.318,    0.294,    0.407,    0.391,    0.000,    0.161,    0.335,    0.340,    0.405,    0.341,    0.304,    0.268,    0.298,    0.318,    0.359,    0.371,    0.000,    0.966,    0.725,    0.186,    0.155,    0.186,    0.223,    0.725,    0.186,    0.725,    0.000,    0.242,    0.000,    0.000,    0.000,    0.725,    0.725,    0.000,    0.223
       5,          0.066667,    0.000,    0.210,    0.000,    0.442,    0.462,    0.401,    0.288,    0.358,    0.485,    0.487,    0.000,    0.358,    0.440,    0.420,    0.452,    0.396,    0.359,    0.339,    0.345,    0.355,    0.395,    0.450,    0.725,    0.966,    0.966,    0.725,    0.725,    0.000,    0.000,    0.000,    0.186,    0.186,    0.725,    0.242,    0.000,    0.000,    0.966,    0.966,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.243,    0.000,    0.454,    0.558,    0.482,    0.138,    0.422,    0.541,    0.563,    0.000,    0.391,    0.531,    0.487,    0.485,    0.437,    0.410,    0.423,    0.393,    0.390,    0.434,    0.531,    0.725,    0.966,    0.966,    0.186,    0.966,    0.725,    0.000,    0.223,    0.186,    0.186,    0.725,    0.966,    0.000,    0.000,    0.966,    0.966,    0.725,    0.000,    0.725
       7,          0.100000,    0.000,    0.284,    0.000,    0.442,    0.581,    0.582,    0.142,    0.489,    0.605,    0.629,    0.000,    0.437,    0.612,    0.633,    0.517,    0.477,    0.465,    0.505,    0.454,    0.435,    0.497,    0.571,    0.000,    0.966,    0.966,    0.186,    0.966,    0.725,    0.000,    0.000,    0.725,    0.966,    0.725,    0.966,    0.000,    0.725,    0.966,    0.966,    0.725,    0.725,    0.000
       8,          0.116667,    0.000,    0.323,    0.000,    0.449,    0.618,    0.594,    0.216,    0.559,    0.686,    0.703,    0.000,    0.626,    0.704,    0.626,    0.546,    0.500,    0.517,    0.579,    0.525,    0.496,    0.545,    0.623,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.725,    0.000,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.725,    0.000,    0.725
       9,          0.133333,    0.000,    0.365,    0.000,    0.494,    0.666,    0.649,    0.260,    0.623,    0.771,    0.785,    0.000,    0.711,    0.791,    0.686,    0.557,    0.532,    0.564,    0.642,    0.601,    0.543,    0.603,    0.673,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.223,    0.725,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.129,    0.000,    0.000
      10,          0.150000,    0.000,    0.397,    0.000,    0.514,    0.725,    0.705,    0.338,    0.684,    0.866,    0.886,    0.470,    0.802,    0.887,    0.758,    0.588,    0.557,    0.612,    0.712,    0.695,    0.582,    0.655,    0.724,    0.223,    0.956,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.725,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966
