"EG15_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_009.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8577,      0.9503
     2,"FC01.1_R.2",     47.3962,      0.9584
     3,"FC01.2_R.1",     42.7854,      1.2476
     4,"FC01.2_R.2",     40.7782,      1.2574
     5,"FC04.1_C.1",     43.6683,      0.6814
     6,"FC04.1_C.2",     43.0758,      1.2265
     7,"Pipe16.2",     43.5765,      3.0001
     8,"Pit1",     43.5770,      3.0001
     9,"Pit1.1",     43.5770,      3.0001
    10,"Pit10",     43.5770,      3.0000
    11,"Pit10.1",     43.5770,      3.0000
    12,"Pit11",     43.5770,      2.9999
    13,"Pit11.1",     43.5770,      3.0001
    14,"Pit12",     43.5770,      3.0000
    15,"Pit12.1",     43.5770,      3.0000
    16,"Pit13",     43.5770,      3.0000
    17,"Pit13.1",     43.5770,      3.0001
    18,"Pit14",     43.5769,      3.0001
    19,"Pit14.1",     43.5770,      3.0001
    20,"Pit15",     43.5770,      2.9992
    21,"Pit15.1",     43.5770,      2.9993
    22,"Pit16",     43.5770,      3.0001
    23,"Pit16.1",     43.5770,      2.9980
    24,"Pit17",     43.5770,      2.9986
    25,"Pit17.1",     43.5770,      2.9982
    26,"Pit18",     43.5770,      3.0001
    27,"Pit18.1",     43.5770,      3.0001
    28,"Pit19",     43.5770,      3.0001
    29,"Pit19.1",     43.5770,      3.0001
    30,"Pit2",     43.5770,      2.9993
    31,"Pit2.1",     43.5770,      2.9992
    32,"Pit3",     43.5770,      2.9988
    33,"Pit3.1",     43.5770,      2.9987
    34,"Pit4",     43.5770,      3.0001
    35,"Pit4.1",     43.5770,      3.0001
    36,"Pit5",     43.5770,      3.0001
    37,"Pit5.1",     43.5770,      3.0001
    38,"Pit6",     43.5770,      2.9983
    39,"Pit6.1",     43.5770,      2.9982
    40,"Pit7",     43.5770,      3.0001
    41,"Pit7.1",     43.5770,      3.0001
    42,"Pit8",     43.5770,      3.0000
    43,"Pit8.1",     43.5770,      3.0000
    44,"Pit9",     43.5770,      3.0001
    45,"Pit9.1",     43.5770,      3.0001
