"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","H FC01.1_R.1 [EG15_007]","H FC01.1_R.2 [EG15_007]","H FC01.2_R.1 [EG15_007]","H FC01.2_R.2 [EG15_007]","H FC04.1_C.1 [EG15_007]","H FC04.1_C.2 [EG15_007]","H Node20.1 [EG15_007]","H Node20.2 [EG15_007]","H Pit10.1 [EG15_007]","H Pit10.2 [EG15_007]","H Pit11.1 [EG15_007]","H Pit11.2 [EG15_007]","H Pit13.1 [EG15_007]","H Pit13.2 [EG15_007]","H Pit15.1 [EG15_007]","H Pit15.2 [EG15_007]","H Pit18.1 [EG15_007]","H Pit18.2 [EG15_007]","H Pit19.1 [EG15_007]","H Pit19.2 [EG15_007]","H Pit2.1 [EG15_007]","H Pit2.2 [EG15_007]","H Pit4.1 [EG15_007]","H Pit4.2 [EG15_007]","H Pit5.1 [EG15_007]","H Pit5.2 [EG15_007]","H Pit6.1 [EG15_007]","H Pit6.2 [EG15_007]","H Pit7.1 [EG15_007]","H Pit7.2 [EG15_007]","H Pit9.1 [EG15_007]","H Pit9.2 [EG15_007]"
      83,          1.366667,     49.6712,     47.1164,     42.7443,     40.7506,     43.5421,     43.0229,     40.5760,     40.5760,     42.8993,     42.8993,     42.8992,     42.8992,     42.8973,     42.8973,     42.9913,     42.9913,     43.3686,     43.3686,     43.3937,     43.3937,     43.2429,     43.2429,     43.3158,     43.3158,     43.3043,     43.3043,     43.3025,     43.3025,     43.1622,     43.1622,     42.9015,     42.9015
      84,          1.383333,     49.6534,     47.0879,     42.7322,     40.7415,     43.5391,     43.0114,     40.5701,     40.5701,     42.8938,     42.8938,     42.8938,     42.8938,     42.8916,     42.8916,     42.9910,     42.9910,     43.3678,     43.3678,     43.3929,     43.3929,     43.2422,     43.2422,     43.3154,     43.3154,     43.3032,     43.3032,     43.3015,     43.3015,     43.1624,     43.1624,     42.8983,     42.8983
      85,          1.400000,     49.6347,     47.0584,     42.7188,     40.7315,     43.5362,     42.9983,     40.5637,     40.5637,     42.8886,     42.8886,     42.8886,     42.8886,     42.8863,     42.8863,     42.9907,     42.9907,     43.3670,     43.3670,     43.3922,     43.3922,     43.2416,     43.2416,     43.3150,     43.3150,     43.3021,     43.3021,     43.3005,     43.3005,     43.1625,     43.1625,     42.8960,     42.8960
      86,          1.416667,     49.6151,     47.0272,     42.7041,     40.7209,     43.5334,     42.9849,     40.5566,     40.5566,     42.8837,     42.8837,     42.8837,     42.8837,     42.8811,     42.8811,     42.9905,     42.9905,     43.3662,     43.3662,     43.3914,     43.3914,     43.2410,     43.2410,     43.3147,     43.3147,     43.3011,     43.3011,     43.2995,     43.2995,     43.1623,     43.1623,     42.8946,     42.8946
      87,          1.433333,     49.5939,     46.9951,     42.6881,     40.7098,     43.5307,     42.9712,     40.5490,     40.5490,     42.8789,     42.8789,     42.8789,     42.8789,     42.8761,     42.8761,     42.9903,     42.9903,     43.3654,     43.3654,     43.3906,     43.3906,     43.2405,     43.2405,     43.3144,     43.3144,     43.3001,     43.3001,     43.2986,     43.2986,     43.1622,     43.1622,     42.8935,     42.8935
      88,          1.450000,     49.5725,     46.9632,     42.6707,     40.6986,     43.5281,     42.9576,     40.5413,     40.5413,     42.8742,     42.8742,     42.8743,     42.8743,     42.8713,     42.8713,     42.9901,     42.9901,     43.3646,     43.3646,     43.3899,     43.3899,     43.2401,     43.2401,     43.3142,     43.3142,     43.2992,     43.2992,     43.2977,     43.2977,     43.1622,     43.1622,     42.8929,     42.8929
      89,          1.466667,     49.5495,     46.9321,     42.6517,     40.6875,     43.5255,     42.9438,     40.5334,     40.5334,     42.8698,     42.8698,     42.8699,     42.8699,     42.8667,     42.8667,     42.9899,     42.9899,     43.3640,     43.3640,     43.3892,     43.3892,     43.2397,     43.2397,     43.3139,     43.3139,     43.2984,     43.2984,     43.2969,     43.2969,     43.1622,     43.1622,     42.8926,     42.8926
      90,          1.483333,     49.5249,     46.9008,     42.6310,     40.6769,     43.5231,     42.9305,     40.5263,     40.5263,     42.8657,     42.8657,     42.8658,     42.8658,     42.8625,     42.8625,     42.9898,     42.9898,     43.3633,     43.3633,     43.3885,     43.3885,     43.2393,     43.2393,     43.3137,     43.3137,     43.2976,     43.2976,     43.2961,     43.2961,     43.1613,     43.1613,     42.8924,     42.8924
      91,          1.500000,     49.4985,     46.8681,     42.6084,     40.6671,     43.5207,     42.9186,     40.5198,     40.5198,     42.8617,     42.8617,     42.8618,     42.8618,     42.8589,     42.8589,     42.9897,     42.9897,     43.3627,     43.3627,     43.3879,     43.3879,     43.2389,     43.2389,     43.3135,     43.3135,     43.2969,     43.2969,     43.2953,     43.2953,     43.1607,     43.1607,     42.8920,     42.8920
      92,          1.516667,     49.4698,     46.8362,     42.5836,     40.6592,     43.5184,     42.9077,     40.5140,     40.5140,     42.8578,     42.8578,     42.8580,     42.8580,     42.8560,     42.8560,     42.9895,     42.9895,     43.3621,     43.3621,     43.3872,     43.3872,     43.2386,     43.2386,     43.3133,     43.3133,     43.2961,     43.2961,     43.2946,     43.2946,     43.1600,     43.1600,     42.8914,     42.8914
      93,          1.533333,     49.4385,     46.8063,     42.5562,     40.6519,     43.5162,     42.8981,     40.5089,     40.5089,     42.8542,     42.8542,     42.8543,     42.8543,     42.8535,     42.8535,     42.9894,     42.9894,     43.3615,     43.3615,     43.3866,     43.3866,     43.2383,     43.2383,     43.3131,     43.3131,     43.2955,     43.2955,     43.2940,     43.2940,     43.1591,     43.1591,     42.8909,     42.8909
      94,          1.550000,     49.4027,     46.7811,     42.5264,     40.6460,     43.5141,     42.8921,     40.5041,     40.5041,     42.8506,     42.8506,     42.8508,     42.8508,     42.8517,     42.8517,     42.9893,     42.9893,     43.3609,     43.3609,     43.3860,     43.3860,     43.2380,     43.2380,     43.3130,     43.3130,     43.2949,     43.2949,     43.2933,     43.2933,     43.1585,     43.1585,     42.8903,     42.8903
      95,          1.566667,     49.3602,     46.7573,     42.4943,     40.6399,     43.5120,     42.8889,     40.4997,     40.4997,     42.8473,     42.8473,     42.8474,     42.8474,     42.8511,     42.8511,     42.9892,     42.9892,     43.3604,     43.3604,     43.3854,     43.3854,     43.2377,     43.2377,     43.3128,     43.3128,     43.2943,     43.2943,     43.2927,     43.2927,     43.1580,     43.1580,     42.8897,     42.8897
      96,          1.583333,     49.3100,     46.7436,     42.4600,     40.6337,     43.5100,     42.8867,     40.4952,     40.4952,     42.8440,     42.8440,     42.8442,     42.8442,     42.8497,     42.8497,     42.9898,     42.9898,     43.3599,     43.3599,     43.3849,     43.3849,     43.2375,     43.2375,     43.3126,     43.3126,     43.2938,     43.2938,     43.2921,     43.2921,     43.1575,     43.1575,     42.8892,     42.8892
      97,          1.600000,     49.2515,     46.7311,     42.4238,     40.6271,     43.5080,     42.8853,     40.4905,     40.4905,     42.8409,     42.8409,     42.8410,     42.8410,     42.8487,     42.8487,     42.9897,     42.9897,     43.3593,     43.3593,     43.3843,     43.3843,     43.2371,     43.2371,     43.3124,     43.3124,     43.2932,     43.2932,     43.2914,     43.2914,     43.1569,     43.1569,     42.8887,     42.8887
      98,          1.616667,     49.1901,     46.7189,     42.3860,     40.6201,     43.5060,     42.8842,     40.4855,     40.4855,     42.8377,     42.8377,     42.8379,     42.8379,     42.8479,     42.8479,     42.9891,     42.9891,     43.3587,     43.3587,     43.3836,     43.3836,     43.2366,     43.2366,     43.3122,     43.3122,     43.2927,     43.2927,     43.2907,     43.2907,     43.1564,     43.1564,     42.8880,     42.8880
      99,          1.633333,     49.1250,     46.7054,     42.3471,     40.6129,     43.5041,     42.8833,     40.4802,     40.4802,     42.8347,     42.8347,     42.8349,     42.8349,     42.8473,     42.8473,     42.9893,     42.9893,     43.3582,     43.3582,     43.3830,     43.3830,     43.2361,     43.2361,     43.3120,     43.3120,     43.2920,     43.2920,     43.2900,     43.2900,     43.1559,     43.1559,     42.8876,     42.8876
     100,          1.650000,     49.0552,     46.6913,     42.3072,     40.6053,     43.5023,     42.8822,     40.4748,     40.4748,     42.8318,     42.8318,     42.8320,     42.8320,     42.8468,     42.8468,     42.9891,     42.9891,     43.3577,     43.3577,     43.3825,     43.3825,     43.2357,     43.2357,     43.3118,     43.3118,     43.2915,     43.2915,     43.2894,     43.2894,     43.1553,     43.1553,     42.8870,     42.8870
     101,          1.666667,     48.9809,     46.6761,     42.2663,     40.5975,     43.5005,     42.8810,     40.4690,     40.4690,     42.8290,     42.8290,     42.8292,     42.8292,     42.8463,     42.8463,     42.9899,     42.9899,     43.3571,     43.3571,     43.3816,     43.3816,     43.2352,     43.2352,     43.3116,     43.3116,     43.2910,     43.2910,     43.2887,     43.2887,     43.1549,     43.1549,     42.8865,     42.8865
     102,          1.683333,     48.9018,     46.6596,     42.2243,     40.5893,     43.4987,     42.8798,     40.4632,     40.4632,     42.8263,     42.8263,     42.8264,     42.8264,     42.8460,     42.8460,     42.9891,     42.9891,     43.3567,     43.3567,     43.3812,     43.3812,     43.2348,     43.2348,     43.3114,     43.3114,     43.2905,     43.2905,     43.2881,     43.2881,     43.1543,     43.1543,     42.8860,     42.8860
     103,          1.700000,     48.8167,     46.6403,     42.1813,     40.5809,     43.4970,     42.8787,     40.4570,     40.4570,     42.8237,     42.8237,     42.8239,     42.8239,     42.8456,     42.8456,     42.9891,     42.9891,     43.3562,     43.3562,     43.3806,     43.3806,     43.2344,     43.2344,     43.3112,     43.3112,     43.2900,     43.2900,     43.2875,     43.2875,     43.1539,     43.1539,     42.8855,     42.8855
     104,          1.716667,     48.7250,     46.6195,     42.1373,     40.5721,     43.4952,     42.8776,     40.4505,     40.4505,     42.8212,     42.8212,     42.8215,     42.8215,     42.8453,     42.8453,     42.9898,     42.9898,     43.3557,     43.3557,     43.3800,     43.3800,     43.2340,     43.2340,     43.3110,     43.3110,     43.2896,     43.2896,     43.2869,     43.2869,     43.1535,     43.1535,     42.8849,     42.8849
     105,          1.733333,     48.6272,     46.5965,     42.0921,     40.5629,     43.4936,     42.8765,     40.4438,     40.4438,     42.8189,     42.8189,     42.8191,     42.8191,     42.8450,     42.8450,     42.9896,     42.9896,     43.3552,     43.3552,     43.3794,     43.3794,     43.2336,     43.2336,     43.3109,     43.3109,     43.2892,     43.2892,     43.2862,     43.2862,     43.1531,     43.1531,     42.8844,     42.8844
     106,          1.750000,     48.5231,     46.5706,     42.0452,     40.5533,     43.4919,     42.8755,     40.4368,     40.4368,     42.8168,     42.8168,     42.8170,     42.8170,     42.8447,     42.8447,     42.9891,     42.9891,     43.3547,     43.3547,     43.3787,     43.3787,     43.2332,     43.2332,     43.3107,     43.3107,     43.2888,     43.2888,     43.2857,     43.2857,     43.1527,     43.1527,     42.8839,     42.8839
     107,          1.766667,     48.4123,     46.5435,     41.9968,     40.5432,     43.4903,     42.8745,     40.4293,     40.4293,     42.8147,     42.8147,     42.8149,     42.8149,     42.8444,     42.8444,     42.9894,     42.9894,     43.3542,     43.3542,     43.3782,     43.3782,     43.2328,     43.2328,     43.3106,     43.3106,     43.2884,     43.2884,     43.2851,     43.2851,     43.1523,     43.1523,     42.8833,     42.8833
     108,          1.783333,     48.2990,     46.5124,     41.9467,     40.5325,     43.4888,     42.8734,     40.4214,     40.4214,     42.8127,     42.8127,     42.8130,     42.8130,     42.8442,     42.8442,     42.9893,     42.9893,     43.3537,     43.3537,     43.3776,     43.3776,     43.2323,     43.2323,     43.3104,     43.3104,     43.2880,     43.2880,     43.2844,     43.2844,     43.1519,     43.1519,     42.8827,     42.8827
     109,          1.800000,     48.1843,     46.4801,     41.8949,     40.5213,     43.4872,     42.8724,     40.4129,     40.4129,     42.8108,     42.8108,     42.8111,     42.8111,     42.8439,     42.8439,     42.9892,     42.9892,     43.3533,     43.3533,     43.3770,     43.3770,     43.2319,     43.2319,     43.3102,     43.3102,     43.2876,     43.2876,     43.2838,     43.2838,     43.1515,     43.1515,     42.8821,     42.8821
     110,          1.816667,     48.0668,     46.4450,     41.8409,     40.5093,     43.4857,     42.8714,     40.4040,     40.4040,     42.8089,     42.8089,     42.8093,     42.8093,     42.8437,     42.8437,     42.9891,     42.9891,     43.3528,     43.3528,     43.3765,     43.3765,     43.2313,     43.2313,     43.3101,     43.3101,     43.2873,     43.2873,     43.2832,     43.2832,     43.1511,     43.1511,     42.8815,     42.8815
     111,          1.833333,     47.9469,     46.4073,     41.7839,     40.4964,     43.4842,     42.8703,     40.3943,     40.3943,     42.8073,     42.8073,     42.8077,     42.8077,     42.8435,     42.8435,     42.9891,     42.9891,     43.3523,     43.3523,     43.3758,     43.3758,     43.2309,     43.2309,     43.3100,     43.3100,     43.2869,     43.2869,     43.2826,     43.2826,     43.1509,     43.1509,     42.8805,     42.8805
     112,          1.850000,     47.8260,     46.3672,     41.7229,     40.4824,     43.4827,     42.8693,     40.3838,     40.3838,     42.8058,     42.8058,     42.8062,     42.8062,     42.8433,     42.8433,     42.9891,     42.9891,     43.3517,     43.3517,     43.3752,     43.3752,     43.2308,     43.2308,     43.3098,     43.3098,     43.2866,     43.2866,     43.2820,     43.2820,     43.1506,     43.1506,     42.8805,     42.8805
     113,          1.866667,     47.7056,     46.3240,     41.6577,     40.4670,     43.4812,     42.8683,     40.3722,     40.3722,     42.8043,     42.8043,     42.8048,     42.8048,     42.8431,     42.8431,     42.9891,     42.9891,     43.3513,     43.3513,     43.3746,     43.3746,     43.2304,     43.2304,     43.3097,     43.3097,     43.2863,     43.2863,     43.2813,     43.2813,     43.1503,     43.1503,     42.8805,     42.8805
     114,          1.883333,     47.5931,     46.2742,     41.5881,     40.4501,     43.4798,     42.8673,     40.3592,     40.3592,     42.8029,     42.8029,     42.8034,     42.8034,     42.8429,     42.8429,     42.9896,     42.9896,     43.3508,     43.3508,     43.3741,     43.3741,     43.2301,     43.2301,     43.3096,     43.3096,     43.2860,     43.2860,     43.2807,     43.2807,     43.1500,     43.1500,     42.8806,     42.8806
     115,          1.900000,     47.5019,     46.2188,     41.5136,     40.4314,     43.4784,     42.8663,     40.3448,     40.3448,     42.8014,     42.8014,     42.8021,     42.8021,     42.8427,     42.8427,     42.9891,     42.9891,     43.3504,     43.3504,     43.3735,     43.3735,     43.2297,     43.2297,     43.3095,     43.3095,     43.2857,     43.2857,     43.2801,     43.2801,     43.1497,     43.1497,     42.8803,     42.8803
     116,          1.916667,     47.4228,     46.1656,     41.4339,     40.4105,     43.4770,     42.8653,     40.3286,     40.3286,     42.8000,     42.8000,     42.8008,     42.8008,     42.8426,     42.8426,     42.9894,     42.9894,     43.3500,     43.3500,     43.3730,     43.3730,     43.2293,     43.2293,     43.3094,     43.3094,     43.2855,     43.2855,     43.2795,     43.2795,     43.1495,     43.1495,     42.8803,     42.8803
     117,          1.933333,     47.3551,     46.1166,     41.3478,     40.3870,     43.4756,     42.8643,     40.3100,     40.3100,     42.7986,     42.7986,     42.7996,     42.7996,     42.8424,     42.8424,     42.9893,     42.9893,     43.3495,     43.3495,     43.3724,     43.3724,     43.2289,     43.2289,     43.3094,     43.3094,     43.2852,     43.2852,     43.2788,     43.2788,     43.1492,     43.1492,     42.8803,     42.8803
     118,          1.950000,     47.2980,     46.0710,     41.2543,     40.3602,     43.4742,     42.8633,     40.2887,     40.2887,     42.7972,     42.7972,     42.7985,     42.7985,     42.8422,     42.8422,     42.9891,     42.9891,     43.3491,     43.3491,     43.3719,     43.3719,     43.2286,     43.2286,     43.3094,     43.3094,     43.2850,     43.2850,     43.2782,     43.2782,     43.1490,     43.1490,     42.8796,     42.8796
     119,          1.966667,     47.2507,     46.0328,     41.1522,     40.3294,     43.4728,     42.8623,     40.2638,     40.2638,     42.7959,     42.7959,     42.7973,     42.7973,     42.8420,     42.8420,     42.9892,     42.9892,     43.3487,     43.3487,     43.3714,     43.3714,     43.2284,     43.2284,     43.3093,     43.3093,     43.2847,     43.2847,     43.2776,     43.2776,     43.1488,     43.1488,     42.8790,     42.8790
     120,          1.983333,     47.2109,     46.0005,     41.0406,     40.2937,     43.4715,     42.8613,     40.2344,     40.2344,     42.7946,     42.7946,     42.7962,     42.7962,     42.8418,     42.8418,     42.9891,     42.9891,     43.3483,     43.3483,     43.3708,     43.3708,     43.2281,     43.2281,     43.3091,     43.3091,     43.2845,     43.2845,     43.2770,     43.2770,     43.1487,     43.1487,     42.8785,     42.8785
     121,          2.000000,     47.1770,     45.9733,     40.9195,     40.2518,     43.4702,     42.8604,     40.1999,     40.1999,     42.7935,     42.7935,     42.7953,     42.7953,     42.8417,     42.8417,     42.9891,     42.9891,     43.3478,     43.3478,     43.3703,     43.3703,     43.2278,     43.2278,     43.3090,     43.3090,     43.2843,     43.2843,     43.2765,     43.2765,     43.1485,     43.1485,     42.8781,     42.8781
     122,          2.016667,     47.1476,     45.9497,     40.7961,     40.2047,     43.4689,     42.8593,     40.1598,     40.1598,     42.7923,     42.7923,     42.7945,     42.7945,     42.8414,     42.8414,     42.9891,     42.9891,     43.3474,     43.3474,     43.3698,     43.3698,     43.2275,     43.2275,     43.3089,     43.3089,     43.2840,     43.2840,     43.2760,     43.2760,     43.1483,     43.1483,     42.8776,     42.8776
     123,          2.033334,     47.1206,     45.9289,     40.6754,     40.1534,     43.4675,     42.8583,     40.1150,     40.1150,     42.7912,     42.7912,     42.7937,     42.7937,     42.8412,     42.8412,     42.9891,     42.9891,     43.3469,     43.3469,     43.3697,     43.3697,     43.2272,     43.2272,     43.3088,     43.3088,     43.2838,     43.2838,     43.2754,     43.2754,     43.1482,     43.1482,     42.8771,     42.8771
     124,          2.050000,     47.0941,     45.9094,     40.5560,     40.0970,     43.4662,     42.8573,     40.0651,     40.0651,     42.7902,     42.7902,     42.7930,     42.7930,     42.8410,     42.8410,     42.9891,     42.9891,     43.3464,     43.3464,     43.3696,     43.3696,     43.2269,     43.2269,     43.3087,     43.3087,     43.2836,     43.2836,     43.2748,     43.2748,     43.1481,     43.1481,     42.8766,     42.8766
     125,          2.066667,     47.0677,     45.8899,     40.4416,     40.0365,     43.4650,     42.8564,     40.0116,     40.0116,     42.7892,     42.7892,     42.7923,     42.7923,     42.8408,     42.8408,     42.9891,     42.9891,     43.3458,     43.3458,     43.3692,     43.3692,     43.2266,     43.2266,     43.3086,     43.3086,     43.2834,     43.2834,     43.2740,     43.2740,     43.1480,     43.1480,     42.8761,     42.8761
     126,          2.083333,     47.0405,     45.8709,     40.3311,     39.9737,     43.4637,     42.8554,     39.9638,     39.9638,     42.7882,     42.7882,     42.7917,     42.7917,     42.8406,     42.8406,     42.9891,     42.9891,     43.3453,     43.3453,     43.3687,     43.3687,     43.2263,     43.2263,     43.3085,     43.3085,     43.2832,     43.2832,     43.2733,     43.2733,     43.1478,     43.1478,     42.8758,     42.8758
     127,          2.100000,     47.0135,     45.8512,     40.2258,     39.9102,     43.4624,     42.8544,     39.9374,     39.9374,     42.7872,     42.7872,     42.7911,     42.7911,     42.8404,     42.8404,     42.9891,     42.9891,     43.3448,     43.3448,     43.3682,     43.3682,     43.2260,     43.2260,     43.3084,     43.3084,     43.2829,     43.2829,     43.2726,     43.2726,     43.1477,     43.1477,     42.8754,     42.8754
     128,          2.116667,     46.9849,     45.8302,     40.1264,     39.8473,     43.4611,     42.8533,     39.9324,     39.9324,     42.7863,     42.7863,     42.7905,     42.7905,     42.8402,     42.8402,     42.9891,     42.9891,     43.3444,     43.3444,     43.3677,     43.3677,     43.2257,     43.2257,     43.3083,     43.3083,     43.2827,     43.2827,     43.2718,     43.2718,     43.1476,     43.1476,     42.8749,     42.8749
     129,          2.133333,     46.9534,     45.8076,     40.0345,     39.7857,     43.4598,     42.8523,     39.9305,     39.9305,     42.7855,     42.7855,     42.7900,     42.7900,     42.8400,     42.8400,     42.9891,     42.9891,     43.3440,     43.3440,     43.3672,     43.3672,     43.2255,     43.2255,     43.3082,     43.3082,     43.2825,     43.2825,     43.2711,     43.2711,     43.1474,     43.1474,     42.8745,     42.8745
     130,          2.150000,     46.9207,     45.7836,     39.9503,     39.7273,     43.4586,     42.8513,     39.9287,     39.9287,     42.7846,     42.7846,     42.7895,     42.7895,     42.8399,     42.8399,     42.9891,     42.9891,     43.3435,     43.3435,     43.3667,     43.3667,     43.2253,     43.2253,     43.3081,     43.3081,     43.2824,     43.2824,     43.2706,     43.2706,     43.1473,     43.1473,     42.8741,     42.8741
     131,          2.166667,     46.8869,     45.7582,     39.8734,     39.6721,     43.4573,     42.8504,     39.9273,     39.9273,     42.7838,     42.7838,     42.7891,     42.7891,     42.8397,     42.8397,     42.9891,     42.9891,     43.3431,     43.3431,     43.3662,     43.3662,     43.2251,     43.2251,     43.3080,     43.3080,     43.2822,     43.2822,     43.2701,     43.2701,     43.1472,     43.1472,     42.8737,     42.8737
     132,          2.183333,     46.8528,     45.7323,     39.8043,     39.6205,     43.4560,     42.8493,     39.9261,     39.9261,     42.7830,     42.7830,     42.7886,     42.7886,     42.8395,     42.8395,     42.9891,     42.9891,     43.3427,     43.3427,     43.3657,     43.3657,     43.2248,     43.2248,     43.3079,     43.3079,     43.2820,     43.2820,     43.2694,     43.2694,     43.1471,     43.1471,     42.8732,     42.8732
     133,          2.200000,     46.8191,     45.7061,     39.7436,     39.5741,     43.4548,     42.8483,     39.9250,     39.9250,     42.7821,     42.7821,     42.7881,     42.7881,     42.8394,     42.8394,     42.9891,     42.9891,     43.3422,     43.3422,     43.3652,     43.3652,     43.2244,     43.2244,     43.3078,     43.3078,     43.2818,     43.2818,     43.2689,     43.2689,     43.1471,     43.1471,     42.8728,     42.8728
     134,          2.216667,     46.7905,     45.6826,     39.6895,     39.5325,     43.4536,     42.8473,     39.9240,     39.9240,     42.7811,     42.7811,     42.7877,     42.7877,     42.8392,     42.8392,     42.9891,     42.9891,     43.3418,     43.3418,     43.3647,     43.3647,     43.2241,     43.2241,     43.3077,     43.3077,     43.2816,     43.2816,     43.2683,     43.2683,     43.1470,     43.1470,     42.8724,     42.8724
     135,          2.233333,     46.7669,     45.6612,     39.6407,     39.4946,     43.4525,     42.8462,     39.9229,     39.9229,     42.7803,     42.7803,     42.7872,     42.7872,     42.8391,     42.8391,     42.9891,     42.9891,     43.3414,     43.3414,     43.3643,     43.3643,     43.2238,     43.2238,     43.3076,     43.3076,     43.2814,     43.2814,     43.2678,     43.2678,     43.1473,     43.1473,     42.8720,     42.8720
     136,          2.250000,     46.7467,     45.6429,     39.5963,     39.4597,     43.4510,     42.8452,     39.9219,     39.9219,     42.7794,     42.7794,     42.7868,     42.7868,     42.8390,     42.8390,     42.9891,     42.9891,     43.3410,     43.3410,     43.3638,     43.3638,     43.2235,     43.2235,     43.3075,     43.3075,     43.2813,     43.2813,     43.2673,     43.2673,     43.1474,     43.1474,     42.8716,     42.8716
     137,          2.266667,     46.7288,     45.6263,     39.5553,     39.4272,     43.4499,     42.8441,     39.9208,     39.9208,     42.7785,     42.7785,     42.7864,     42.7864,     42.8388,     42.8388,     42.9893,     42.9893,     43.3406,     43.3406,     43.3633,     43.3633,     43.2232,     43.2232,     43.3075,     43.3075,     43.2811,     43.2811,     43.2668,     43.2668,     43.1471,     43.1471,     42.8711,     42.8711
     138,          2.283334,     46.7118,     45.6108,     39.5174,     39.3967,     43.4486,     42.8431,     39.9196,     39.9196,     42.7776,     42.7776,     42.7860,     42.7860,     42.8386,     42.8386,     42.9892,     42.9892,     43.3402,     43.3402,     43.3627,     43.3627,     43.2229,     43.2229,     43.3078,     43.3078,     43.2809,     43.2809,     43.2662,     43.2662,     43.1470,     43.1470,     42.8707,     42.8707
     139,          2.300000,     46.6948,     45.5954,     39.4813,     39.3676,     43.4474,     42.8420,     39.9186,     39.9186,     42.7767,     42.7767,     42.7856,     42.7856,     42.8385,     42.8385,     42.9891,     42.9891,     43.3397,     43.3397,     43.3621,     43.3621,     43.2226,     43.2226,     43.3078,     43.3078,     43.2807,     43.2807,     43.2655,     43.2655,     43.1469,     43.1469,     42.8703,     42.8703
     140,          2.316667,     46.6777,     45.5809,     39.4468,     39.3394,     43.4462,     42.8409,     39.9174,     39.9174,     42.7758,     42.7758,     42.7852,     42.7852,     42.8383,     42.8383,     42.9891,     42.9891,     43.3393,     43.3393,     43.3615,     43.3615,     43.2223,     43.2223,     43.3078,     43.3078,     43.2805,     43.2805,     43.2650,     43.2650,     43.1469,     43.1469,     42.8699,     42.8699
     141,          2.333333,     46.6608,     45.5660,     39.4137,     39.3122,     43.4450,     42.8399,     39.9162,     39.9162,     42.7750,     42.7750,     42.7849,     42.7849,     42.8381,     42.8381,     42.9893,     42.9893,     43.3388,     43.3388,     43.3609,     43.3609,     43.2221,     43.2221,     43.3077,     43.3077,     43.2803,     43.2803,     43.2646,     43.2646,     43.1471,     43.1471,     42.8695,     42.8695
     142,          2.350000,     46.6441,     45.5510,     39.3821,     39.2861,     43.4437,     42.8388,     39.9153,     39.9153,     42.7741,     42.7741,     42.7845,     42.7845,     42.8379,     42.8379,     42.9891,     42.9891,     43.3384,     43.3384,     43.3602,     43.3602,     43.2217,     43.2217,     43.3076,     43.3076,     43.2803,     43.2803,     43.2642,     43.2642,     43.1471,     43.1471,     42.8691,     42.8691
     143,          2.366667,     46.6292,     45.5357,     39.3522,     39.2611,     43.4425,     42.8377,     39.9140,     39.9140,     42.7733,     42.7733,     42.7841,     42.7841,     42.8378,     42.8378,     42.9892,     42.9892,     43.3379,     43.3379,     43.3596,     43.3596,     43.2214,     43.2214,     43.3074,     43.3074,     43.2803,     43.2803,     43.2636,     43.2636,     43.1471,     43.1471,     42.8688,     42.8688
     144,          2.383333,     46.6136,     45.5211,     39.3254,     39.2382,     43.4413,     42.8366,     39.9130,     39.9130,     42.7724,     42.7724,     42.7837,     42.7837,     42.8376,     42.8376,     42.9891,     42.9891,     43.3374,     43.3374,     43.3590,     43.3590,     43.2212,     43.2212,     43.3074,     43.3074,     43.2801,     43.2801,     43.2631,     43.2631,     43.1469,     43.1469,     42.8685,     42.8685
     145,          2.400000,     46.5970,     45.5065,     39.2989,     39.2157,     43.4400,     42.8355,     39.9117,     39.9117,     42.7715,     42.7715,     42.7834,     42.7834,     42.8375,     42.8375,     42.9891,     42.9891,     43.3370,     43.3370,     43.3584,     43.3584,     43.2212,     43.2212,     43.3077,     43.3077,     43.2798,     43.2798,     43.2626,     43.2626,     43.1472,     43.1472,     42.8683,     42.8683
     146,          2.416667,     46.5819,     45.4924,     39.2746,     39.1949,     43.4388,     42.8344,     39.9107,     39.9107,     42.7707,     42.7707,     42.7830,     42.7830,     42.8373,     42.8373,     42.9891,     42.9891,     43.3366,     43.3366,     43.3579,     43.3579,     43.2211,     43.2211,     43.3077,     43.3077,     43.2796,     43.2796,     43.2621,     43.2621,     43.1470,     43.1470,     42.8680,     42.8680
     147,          2.433333,     46.5687,     45.4793,     39.2506,     39.1744,     43.4375,     42.8333,     39.9096,     39.9096,     42.7699,     42.7699,     42.7827,     42.7827,     42.8372,     42.8372,     42.9891,     42.9891,     43.3362,     43.3362,     43.3573,     43.3573,     43.2210,     43.2210,     43.3076,     43.3076,     43.2795,     43.2795,     43.2616,     43.2616,     43.1471,     43.1471,     42.8678,     42.8678
     148,          2.450000,     46.5558,     45.4672,     39.2272,     39.1545,     43.4362,     42.8321,     39.9085,     39.9085,     42.7691,     42.7691,     42.7823,     42.7823,     42.8371,     42.8371,     42.9891,     42.9891,     43.3357,     43.3357,     43.3567,     43.3567,     43.2200,     43.2200,     43.3075,     43.3075,     43.2793,     43.2793,     43.2611,     43.2611,     43.1472,     43.1472,     42.8675,     42.8675
