"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","Q FC01.1_R [EG15_004]","Q FC01.2_R [EG15_004]","Q FC04.1_C [EG15_004]","Q Pipe0 [EG15_004]","Q Pipe1 [EG15_004]","Q Pipe10 [EG15_004]","Q Pipe11 [EG15_004]","Q Pipe12 [EG15_004]","Q Pipe13 [EG15_004]","Q Pipe14 [EG15_004]","Q Pipe15 [EG15_004]","Q Pipe16 [EG15_004]","Q Pipe17 [EG15_004]","Q Pipe19 [EG15_004]","Q Pipe2 [EG15_004]","Q Pipe3 [EG15_004]","Q Pipe4 [EG15_004]","Q Pipe5 [EG15_004]","Q Pipe6 [EG15_004]","Q Pipe7 [EG15_004]","Q Pipe8 [EG15_004]","Q Pipe9 [EG15_004]","Q Pit1 [EG15_004]","Q Pit11 [EG15_004]","Q Pit12 [EG15_004]","Q Pit14 [EG15_004]","Q Pit15 [EG15_004]","Q Pit16 [EG15_004]","Q Pit18 [EG15_004]","Q Pit19 [EG15_004]","Q Pit2 [EG15_004]","Q Pit4 [EG15_004]","Q Pit5 [EG15_004]","Q Pit6 [EG15_004]","Q Pit7 [EG15_004]","Q Pit8 [EG15_004]","Q Pit9 [EG15_004]"
      57,          0.933333,          47.475,          63.260,           0.458,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.001,           0.000,           0.000,           0.007,           0.005,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.007,           0.000,           0.002,           0.000,          -0.001,          -0.003,          -0.000,           0.000
      58,          0.950000,          47.477,          64.425,           0.448,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.005,           0.004,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.005,           0.000,           0.000,           0.000,          -0.001,          -0.002,          -0.000,           0.000
      59,          0.966667,          47.475,          65.469,           0.437,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.003,           0.003,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.003,           0.000,          -0.000,           0.000,          -0.001,          -0.002,           0.000,           0.000
      60,          0.983333,          47.473,          66.412,           0.426,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.002,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.002,           0.000,          -0.000,           0.000,          -0.000,          -0.001,           0.000,           0.000
      61,          1.000000,          47.470,          67.274,           0.416,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.002,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.002,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000
      62,          1.016667,          47.465,          68.061,           0.404,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.001,           0.000,          -0.000,          -0.001,           0.000,           0.000
      63,          1.033333,          47.453,          68.783,           0.393,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.001,           0.000,          -0.000,          -0.000,           0.000,           0.000
      64,          1.050000,          47.437,          69.430,           0.382,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.002,          -0.000,           0.000,          -0.000,           0.000,           0.000
      65,          1.066667,          47.420,          70.001,           0.371,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,          -0.000,           0.000,          -0.000,           0.000,           0.000
      66,          1.083333,          47.403,          70.446,           0.360,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.002,          -0.001,           0.000,           0.000,           0.000,           0.000
      67,          1.100000,          47.381,          70.747,           0.349,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      68,          1.116667,          47.343,          70.923,           0.339,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      69,          1.133333,          47.299,          71.017,           0.328,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.000,           0.000,           0.000,           0.000
      70,          1.150000,          47.245,          71.059,           0.318,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.000
      71,          1.166667,          47.189,          71.072,           0.308,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.000
      72,          1.183333,          47.130,          71.067,           0.298,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.001,           0.000,           0.000,           0.000,           0.000
      73,          1.200000,          47.066,          71.051,           0.289,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      74,          1.216667,          47.000,          71.030,           0.280,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      75,          1.233333,          46.930,          71.008,           0.271,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      76,          1.250000,          46.859,          70.987,           0.262,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.000
      77,          1.266667,          46.784,          70.966,           0.254,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      78,          1.283333,          46.695,          70.946,           0.246,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      79,          1.300000,          46.599,          70.926,           0.239,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      80,          1.316667,          46.495,          70.905,           0.231,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      81,          1.333333,          46.384,          70.877,           0.224,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      82,          1.350000,          46.268,          70.843,           0.218,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      83,          1.366667,          46.147,          70.800,           0.211,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      84,          1.383333,          46.019,          70.746,           0.205,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      85,          1.400000,          45.883,          70.684,           0.199,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      86,          1.416667,          45.740,          70.609,           0.194,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      87,          1.433333,          45.585,          70.519,           0.188,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      88,          1.450000,          45.428,          70.409,           0.183,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000
      89,          1.466667,          45.259,          70.267,           0.178,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      90,          1.483333,          45.077,          70.083,           0.173,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
      91,          1.500000,          44.881,          69.849,           0.169,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      92,          1.516667,          44.668,          69.541,           0.165,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
      93,          1.533333,          44.434,          69.178,           0.161,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      94,          1.550000,          44.164,          68.737,           0.157,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      95,          1.566667,          43.842,          68.257,           0.153,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
      96,          1.583333,          43.458,          67.737,           0.149,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      97,          1.600000,          43.007,          67.184,           0.146,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
      98,          1.616667,          42.528,          66.604,           0.142,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      99,          1.633333,          42.014,          66.004,           0.139,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     100,          1.650000,          41.456,          65.384,           0.136,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     101,          1.666667,          40.854,          64.744,           0.133,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     102,          1.683333,          40.203,          64.083,           0.130,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,          -0.000,           0.000,          -0.000,           0.000,           0.000,           0.000
     103,          1.700000,          39.490,          63.400,           0.127,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     104,          1.716667,          38.709,          62.696,           0.124,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     105,          1.733333,          37.856,          61.968,           0.122,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     106,          1.750000,          36.927,          61.207,           0.119,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     107,          1.766667,          35.911,          60.416,           0.116,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     108,          1.783333,          34.844,          59.589,           0.114,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     109,          1.800000,          33.727,          58.726,           0.112,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     110,          1.816667,          32.544,          57.818,           0.109,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     111,          1.833333,          31.291,          56.849,           0.107,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000
     112,          1.850000,          29.974,          55.801,           0.105,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     113,          1.866667,          28.603,          54.666,           0.103,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     114,          1.883333,          26.914,          53.439,           0.100,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     115,          1.900000,          25.251,          52.110,           0.098,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     116,          1.916667,          23.839,          50.671,           0.096,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     117,          1.933333,          22.652,          49.091,           0.094,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     118,          1.950000,          21.668,          47.350,           0.092,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     119,          1.966667,          20.862,          45.416,           0.090,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     120,          1.983333,          20.192,          43.263,           0.089,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     121,          2.000000,          19.628,          40.903,           0.087,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
     122,          2.016667,          19.143,          38.497,           0.085,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000
     123,          2.033334,          18.701,          36.161,           0.083,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000
