"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","Q FC01.1_R [EG15_004]","Q FC01.2_R [EG15_004]","Q FC04.1_C [EG15_004]","Q Pipe0 [EG15_004]","Q Pipe1 [EG15_004]","Q Pipe10 [EG15_004]","Q Pipe11 [EG15_004]","Q Pipe12 [EG15_004]","Q Pipe13 [EG15_004]","Q Pipe14 [EG15_004]","Q Pipe15 [EG15_004]","Q Pipe16 [EG15_004]","Q Pipe17 [EG15_004]","Q Pipe19 [EG15_004]","Q Pipe2 [EG15_004]","Q Pipe3 [EG15_004]","Q Pipe4 [EG15_004]","Q Pipe5 [EG15_004]","Q Pipe6 [EG15_004]","Q Pipe7 [EG15_004]","Q Pipe8 [EG15_004]","Q Pipe9 [EG15_004]","Q Pit1 [EG15_004]","Q Pit11 [EG15_004]","Q Pit12 [EG15_004]","Q Pit14 [EG15_004]","Q Pit15 [EG15_004]","Q Pit16 [EG15_004]","Q Pit18 [EG15_004]","Q Pit19 [EG15_004]","Q Pit2 [EG15_004]","Q Pit4 [EG15_004]","Q Pit5 [EG15_004]","Q Pit6 [EG15_004]","Q Pit7 [EG15_004]","Q Pit8 [EG15_004]","Q Pit9 [EG15_004]"
      14,          0.216667,           1.445,           1.135,           0.006,           0.021,           0.086,           0.059,           0.084,           0.048,           0.036,           0.107,           0.083,           0.007,           0.118,           0.114,           0.047,           0.028,           0.059,           0.088,           0.068,           0.038,           0.070,           0.098,           0.023,           0.113,           0.053,           0.034,           0.013,           0.000,           0.033,           0.042,           0.067,           0.033,           0.039,           0.050,           0.009,           0.012,           0.042
      15,          0.233333,           2.275,           0.143,           0.017,           0.026,           0.101,           0.115,           0.169,           0.125,           0.127,           0.236,          -0.059,           0.015,           0.278,           0.154,           0.060,           0.038,           0.075,           0.136,           0.007,           0.054,           0.098,           0.134,           0.026,           0.126,           0.058,           0.037,           0.015,           0.004,           0.046,           0.060,           0.077,           0.038,           0.047,           0.063,           0.011,           0.014,           0.047
      16,          0.250000,           2.940,           0.718,           0.035,           0.025,           0.102,          -0.042,          -0.016,          -0.047,          -0.069,           0.047,          -0.024,           0.013,           0.094,          -0.050,           0.057,          -0.029,           0.001,          -0.064,          -0.062,           0.080,           0.137,          -0.041,           0.030,           0.137,           0.063,           0.040,           0.018,           0.000,           0.075,           0.091,           0.085,           0.042,           0.053,           0.077,           0.014,           0.015,           0.052
      17,          0.266667,           3.459,           0.479,           0.060,           0.026,           0.108,           0.243,           0.132,           0.227,           0.127,           0.001,           0.103,           0.001,          -0.096,           0.157,           0.077,           0.053,           0.089,           0.151,           0.169,           0.112,           0.205,           0.232,           0.033,          -0.126,          -0.096,          -0.064,           0.021,           0.000,           0.105,           0.121,           0.091,           0.046,           0.059,           0.079,           0.020,          -0.011,          -0.093
      18,          0.283333,           3.916,          -0.060,           0.091,           0.034,           0.103,           0.257,           0.114,           0.230,           0.112,           0.007,           0.098,           0.000,          -0.096,           0.214,           0.040,           0.065,           0.114,           0.215,           0.208,           0.113,           0.203,           0.242,           0.035,          -0.105,          -0.102,          -0.110,          -0.007,           0.004,           0.091,           0.113,           0.069,           0.048,           0.066,           0.041,           0.016,          -0.027,          -0.116
      19,          0.300000,           4.389,           0.089,           0.127,           0.033,           0.087,           0.261,           0.097,           0.223,           0.095,           0.012,           0.073,           0.001,          -0.070,           0.218,           0.036,           0.081,           0.131,           0.222,           0.196,           0.112,           0.206,           0.241,           0.033,          -0.083,          -0.080,          -0.123,          -0.028,           0.000,           0.094,           0.112,           0.054,           0.050,           0.082,           0.036,           0.020,          -0.037,          -0.126
      20,          0.316667,           4.881,          -0.048,           0.167,           0.031,           0.079,           0.258,           0.090,           0.209,           0.085,           0.011,           0.063,           0.001,          -0.060,           0.215,           0.035,           0.086,           0.137,           0.222,           0.171,           0.112,           0.205,           0.239,           0.032,          -0.074,          -0.070,          -0.107,          -0.050,           0.007,           0.094,           0.112,           0.048,           0.051,           0.087,           0.035,           0.018,          -0.047,          -0.122
      21,          0.333333,           5.373,           0.378,           0.206,           0.029,           0.071,           0.253,           0.082,           0.194,           0.080,           0.014,           0.051,           0.001,          -0.048,           0.212,           0.032,           0.087,           0.143,           0.218,           0.147,           0.117,           0.206,           0.237,           0.029,          -0.065,          -0.061,          -0.095,          -0.071,           0.005,           0.089,           0.117,           0.042,           0.056,           0.087,           0.032,           0.016,          -0.059,          -0.111
      22,          0.350000,           5.873,           1.045,           0.244,           0.025,           0.059,           0.245,           0.075,           0.174,           0.073,           0.015,           0.040,           0.001,          -0.037,           0.211,           0.031,           0.081,           0.152,           0.212,           0.119,           0.116,           0.204,           0.234,           0.025,          -0.057,          -0.051,          -0.079,          -0.092,           0.001,           0.087,           0.116,           0.034,           0.071,           0.081,           0.031,           0.011,          -0.070,          -0.098
      23,          0.366667,           6.404,           1.356,           0.280,           0.022,           0.051,           0.236,           0.062,           0.151,           0.060,           0.011,           0.033,           0.001,          -0.029,           0.206,           0.031,           0.079,           0.156,           0.200,           0.099,           0.115,           0.202,           0.232,           0.022,          -0.048,          -0.040,          -0.066,          -0.100,          -0.006,           0.086,           0.115,           0.029,           0.077,           0.079,           0.031,           0.005,          -0.085,          -0.088
      24,          0.383333,           7.060,           1.234,           0.313,           0.019,           0.045,           0.225,           0.051,           0.128,           0.048,           0.008,           0.029,           0.001,          -0.025,           0.201,           0.030,           0.077,           0.156,           0.181,           0.091,           0.114,           0.199,           0.229,           0.019,          -0.040,          -0.033,          -0.060,          -0.092,          -0.019,           0.085,           0.115,           0.026,           0.079,           0.077,           0.030,          -0.003,          -0.097,          -0.077
      25,          0.400000,           7.843,          -1.317,           0.345,           0.017,           0.041,           0.211,           0.042,           0.112,           0.040,           0.005,           0.025,           0.001,          -0.022,           0.195,           0.028,           0.076,           0.155,           0.161,           0.078,           0.113,           0.197,           0.225,           0.017,          -0.034,          -0.027,          -0.055,          -0.079,          -0.035,           0.084,           0.114,           0.024,           0.079,           0.076,           0.028,          -0.014,          -0.098,          -0.069
      26,          0.416667,           8.754,           2.673,           0.372,           0.015,           0.037,           0.195,           0.035,           0.100,           0.033,           0.004,           0.022,           0.001,          -0.018,           0.190,           0.027,           0.075,           0.153,           0.137,           0.070,           0.113,           0.195,           0.221,           0.015,          -0.028,          -0.022,          -0.048,          -0.068,          -0.050,           0.082,           0.113,           0.022,           0.079,           0.075,           0.026,          -0.028,          -0.094,          -0.064
      27,          0.433333,           9.808,           1.870,           0.397,           0.013,           0.032,           0.176,           0.031,           0.090,           0.029,           0.004,           0.016,           0.001,          -0.014,           0.182,           0.024,           0.073,           0.151,           0.117,           0.056,           0.111,           0.192,           0.216,           0.013,          -0.024,          -0.018,          -0.039,          -0.060,          -0.066,           0.081,           0.112,           0.019,           0.078,           0.073,           0.024,          -0.041,          -0.085,          -0.059
      28,          0.450000,          10.964,           4.213,           0.421,           0.010,           0.027,           0.157,           0.027,           0.080,           0.025,           0.005,           0.012,           0.001,          -0.010,           0.174,           0.021,           0.071,           0.148,           0.099,           0.045,           0.110,           0.190,           0.211,           0.010,          -0.020,          -0.014,          -0.033,          -0.053,          -0.074,           0.079,           0.110,           0.016,           0.077,           0.071,           0.022,          -0.053,          -0.076,          -0.053
      29,          0.466667,          12.421,          -0.168,           0.443,           0.008,           0.020,           0.140,           0.022,           0.070,           0.020,           0.004,           0.010,           0.000,          -0.008,           0.163,           0.018,           0.069,           0.144,           0.088,           0.039,           0.109,           0.187,           0.205,           0.008,          -0.016,          -0.011,          -0.028,          -0.048,          -0.075,           0.078,           0.109,           0.012,           0.075,           0.069,           0.018,          -0.065,          -0.069,          -0.048
      30,          0.483333,          14.109,           0.019,           0.460,           0.005,           0.012,           0.125,           0.018,           0.061,           0.017,           0.002,           0.009,           0.000,          -0.007,           0.150,           0.014,           0.066,           0.138,           0.079,           0.035,           0.108,           0.184,           0.198,           0.005,          -0.014,          -0.009,          -0.025,          -0.044,          -0.071,           0.076,           0.108,           0.007,           0.072,           0.066,           0.014,          -0.073,          -0.063,          -0.042
      31,          0.500000,          15.927,           8.861,           0.476,           0.002,           0.004,           0.112,           0.015,           0.053,           0.014,           0.002,           0.008,           0.000,          -0.006,           0.136,           0.010,           0.063,           0.132,           0.071,           0.030,           0.107,           0.181,           0.190,           0.002,          -0.012,          -0.008,          -0.022,          -0.041,          -0.064,           0.074,           0.107,           0.003,           0.069,           0.063,           0.010,          -0.077,          -0.059,          -0.037
      32,          0.516667,          17.816,           6.407,           0.491,           0.000,          -0.001,           0.103,           0.013,           0.047,           0.012,           0.001,           0.007,           0.000,          -0.005,           0.123,           0.004,           0.060,           0.125,           0.062,           0.026,           0.105,           0.176,           0.181,           0.000,          -0.010,          -0.006,          -0.019,          -0.036,          -0.061,           0.072,           0.105,          -0.001,           0.066,           0.060,           0.005,          -0.077,          -0.055,          -0.034
      33,          0.533333,          20.457,           7.111,           0.503,          -0.001,          -0.008,           0.095,           0.012,           0.043,           0.011,           0.001,           0.005,           0.000,          -0.003,           0.110,           0.000,           0.056,           0.119,           0.054,           0.021,           0.103,           0.172,           0.171,          -0.001,          -0.009,          -0.005,          -0.016,          -0.032,          -0.056,           0.069,           0.103,          -0.007,           0.062,           0.056,           0.000,          -0.075,          -0.052,          -0.031
      34,          0.550000,          24.206,           8.245,           0.515,          -0.003,          -0.015,           0.088,           0.011,           0.039,           0.010,           0.002,           0.004,           0.000,          -0.002,           0.096,          -0.005,           0.053,           0.112,           0.045,           0.017,           0.101,           0.166,           0.161,          -0.003,          -0.008,          -0.004,          -0.013,          -0.028,          -0.051,           0.066,           0.101,          -0.012,           0.059,           0.053,          -0.005,          -0.072,          -0.049,          -0.028
      35,          0.566667,          28.460,           9.317,           0.524,          -0.006,          -0.022,           0.082,           0.010,           0.036,           0.009,           0.002,           0.003,           0.000,          -0.002,           0.082,          -0.011,           0.050,           0.105,           0.037,           0.014,           0.099,           0.162,           0.150,          -0.006,          -0.007,          -0.003,          -0.011,          -0.023,          -0.045,           0.063,           0.099,          -0.016,           0.055,           0.050,          -0.011,          -0.068,          -0.046,          -0.026
      36,          0.583333,          31.477,          10.741,           0.533,          -0.008,          -0.026,           0.075,           0.008,           0.032,           0.007,           0.002,           0.002,           0.000,          -0.001,           0.069,          -0.017,           0.046,           0.096,           0.030,           0.011,           0.096,           0.156,           0.139,          -0.008,          -0.006,          -0.002,          -0.009,          -0.019,          -0.039,           0.060,           0.096,          -0.018,           0.051,           0.046,          -0.017,          -0.064,          -0.043,          -0.023
