"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","H FC01.1_R.1 [EG15_008]","H FC01.1_R.2 [EG15_008]","H FC01.2_R.1 [EG15_008]","H FC01.2_R.2 [EG15_008]","H FC04.1_C.1 [EG15_008]","H FC04.1_C.2 [EG15_008]","H Node20.1 [EG15_008]","H Node20.2 [EG15_008]","H Node21.1 [EG15_008]","H Node21.2 [EG15_008]","H Pipe16.2 [EG15_008]","H Pit10 [EG15_008]","H Pit10.1 [EG15_008]","H Pit11 [EG15_008]","H Pit11.1 [EG15_008]","H Pit12 [EG15_008]","H Pit12.1 [EG15_008]","H Pit13 [EG15_008]","H Pit13.1 [EG15_008]","H Pit14 [EG15_008]","H Pit14.1 [EG15_008]","H Pit15 [EG15_008]","H Pit15.1 [EG15_008]","H Pit16 [EG15_008]","H Pit16.1 [EG15_008]","H Pit18.1 [EG15_008]","H Pit18.2 [EG15_008]","H Pit19.1 [EG15_008]","H Pit19.2 [EG15_008]","H Pit2.1 [EG15_008]","H Pit2.2 [EG15_008]","H Pit3.1 [EG15_008]","H Pit3.2 [EG15_008]","H Pit4.1 [EG15_008]","H Pit4.2 [EG15_008]","H Pit5.1 [EG15_008]","H Pit5.2 [EG15_008]","H Pit6.1 [EG15_008]","H Pit6.2 [EG15_008]","H Pit7 [EG15_008]","H Pit7.1 [EG15_008]","H Pit8 [EG15_008]","H Pit8.1 [EG15_008]","H Pit9 [EG15_008]","H Pit9.1 [EG15_008]"
      36,          0.583333,     47.9655,     46.3056,     38.7738,     38.7292,     43.6624,     42.9851,     43.3278,     43.4812,     43.3594,     43.7291,     43.3357,     43.3394,     43.3312,     43.3354,     43.3310,     43.3341,     43.3311,     43.3363,     43.3312,     43.3408,     43.3311,     43.3492,     43.3311,     43.3747,     43.3309,     43.4230,     43.4230,     43.4540,     43.4540,     43.3207,     43.3207,     43.3235,     43.3235,     43.3595,     43.3595,     43.3626,     43.3626,     43.3605,     43.3605,     43.4190,     43.3341,     43.3631,     43.3308,     43.3452,     43.3308
      37,          0.600000,     48.2413,     46.4057,     38.8978,     38.8383,     43.6644,     42.9861,     43.3402,     43.5241,     43.3617,     43.7436,     43.3473,     43.3503,     43.3419,     43.3464,     43.3418,     43.3453,     43.3420,     43.3479,     43.3421,     43.3529,     43.3422,     43.3620,     43.3423,     43.3927,     43.3426,     43.4226,     43.4226,     43.4536,     43.4536,     43.3347,     43.3347,     43.3362,     43.3362,     43.3596,     43.3596,     43.3634,     43.3634,     43.3627,     43.3627,     43.4284,     43.3438,     43.3753,     43.3414,     43.3549,     43.3415
      38,          0.616667,     48.4994,     46.4905,     39.0307,     38.9545,     43.6661,     42.9871,     43.3511,     43.5608,     43.3650,     43.7596,     43.3582,     43.3608,     43.3524,     43.3569,     43.3523,     43.3560,     43.3525,     43.3588,     43.3526,     43.3640,     43.3526,     43.3736,     43.3527,     43.4082,     43.3528,     43.4222,     43.4222,     43.4531,     43.4531,     43.3461,     43.3461,     43.3470,     43.3470,     43.3605,     43.3605,     43.3648,     43.3648,     43.3659,     43.3659,     43.4392,     43.3532,     43.3855,     43.3517,     43.3657,     43.3520
      39,          0.633333,     48.7366,     46.5595,     39.1825,     39.0796,     43.6672,     42.9877,     43.3605,     43.5963,     43.3695,     43.7798,     43.3683,     43.3707,     43.3622,     43.3668,     43.3621,     43.3660,     43.3622,     43.3689,     43.3623,     43.3743,     43.3623,     43.3843,     43.3623,     43.4224,     43.3621,     43.4218,     43.4218,     43.4526,     43.4526,     43.3556,     43.3556,     43.3565,     43.3565,     43.3633,     43.3633,     43.3673,     43.3673,     43.3702,     43.3702,     43.4506,     43.3630,     43.3960,     43.3618,     43.3759,     43.3620
      40,          0.650000,     48.9611,     46.6238,     39.3524,     39.2149,     43.6678,     42.9881,     43.3692,     43.6335,     43.3754,     43.8022,     43.3778,     43.3799,     43.3713,     43.3760,     43.3713,     43.3753,     43.3714,     43.3784,     43.3715,     43.3841,     43.3715,     43.3947,     43.3714,     43.4366,     43.3712,     43.4215,     43.4215,     43.4521,     43.4521,     43.3647,     43.3647,     43.3648,     43.3648,     43.3684,     43.3684,     43.3715,     43.3715,     43.3754,     43.3754,     43.4615,     43.3717,     43.4053,     43.3708,     43.3852,     43.3711
      41,          0.666667,     49.1778,     46.6779,     39.5393,     39.3554,     43.6683,     42.9883,     43.3776,     43.6731,     43.3818,     43.8286,     43.3866,     43.3887,     43.3799,     43.3847,     43.3798,     43.3840,     43.3799,     43.3871,     43.3799,     43.3930,     43.3799,     43.4046,     43.3798,     43.4504,     43.3796,     43.4213,     43.4213,     43.4515,     43.4515,     43.3733,     43.3733,     43.3740,     43.3740,     43.3761,     43.3761,     43.3773,     43.3773,     43.3815,     43.3815,     43.4726,     43.3801,     43.4144,     43.3795,     43.3940,     43.3797
      42,          0.683333,     49.3877,     46.7278,     39.7197,     39.4849,     43.6683,     42.9882,     43.3857,     43.7131,     43.3889,     43.8583,     43.3946,     43.3966,     43.3876,     43.3926,     43.3875,     43.3920,     43.3876,     43.3952,     43.3877,     43.4012,     43.3876,     43.4138,     43.3876,     43.4635,     43.3876,     43.4213,     43.4213,     43.4509,     43.4509,     43.3821,     43.3821,     43.3823,     43.3823,     43.3845,     43.3845,     43.3847,     43.3847,     43.3885,     43.3885,     43.4843,     43.3880,     43.4217,     43.3874,     43.4029,     43.3875
      43,          0.700000,     49.5545,     46.8444,     39.8850,     39.5985,     43.6680,     42.9880,     43.3937,     43.7528,     43.3961,     43.8897,     43.4024,     43.4042,     43.3950,     43.4002,     43.3950,     43.3996,     43.3951,     43.4029,     43.3952,     43.4091,     43.3952,     43.4227,     43.3952,     43.4761,     43.3953,     43.4218,     43.4218,     43.4502,     43.4502,     43.3904,     43.3904,     43.3904,     43.3904,     43.3928,     43.3928,     43.3925,     43.3925,     43.3956,     43.3956,     43.4955,     43.3955,     43.4288,     43.3948,     43.4113,     43.3949
      44,          0.716667,     49.6662,     46.9975,     40.0407,     39.6973,     43.6674,     42.9876,     43.4011,     43.7900,     43.4030,     43.9199,     43.4099,     43.4117,     43.4023,     43.4076,     43.4022,     43.4070,     43.4023,     43.4104,     43.4024,     43.4167,     43.4024,     43.4310,     43.4023,     43.4878,     43.4025,     43.4228,     43.4228,     43.4496,     43.4496,     43.3980,     43.3980,     43.3980,     43.3980,     43.4002,     43.4002,     43.3998,     43.3998,     43.4025,     43.4025,     43.5060,     43.4028,     43.4366,     43.4022,     43.4191,     43.4022
      45,          0.733333,     49.7367,     47.1344,     40.1859,     39.7861,     43.6666,     42.9871,     43.4080,     43.8247,     43.4098,     43.9493,     43.4173,     43.4190,     43.4094,     43.4149,     43.4094,     43.4143,     43.4095,     43.4178,     43.4095,     43.4243,     43.4095,     43.4392,     43.4095,     43.4988,     43.4094,     43.4246,     43.4246,     43.4491,     43.4491,     43.4049,     43.4049,     43.4049,     43.4049,     43.4069,     43.4069,     43.4067,     43.4067,     43.4091,     43.4091,     43.5159,     43.4098,     43.4444,     43.4093,     43.4264,     43.4094
      46,          0.750000,     49.7804,     47.2341,     40.3269,     39.8657,     43.6656,     42.9865,     43.4147,     43.8603,     43.4162,     43.9791,     43.4244,     43.4261,     43.4164,     43.4219,     43.4163,     43.4213,     43.4164,     43.4249,     43.4164,     43.4315,     43.4164,     43.4472,     43.4164,     43.5098,     43.4165,     43.4270,     43.4270,     43.4489,     43.4489,     43.4121,     43.4121,     43.4117,     43.4117,     43.4139,     43.4139,     43.4133,     43.4133,     43.4154,     43.4154,     43.5255,     43.4165,     43.4520,     43.4162,     43.4336,     43.4163
      47,          0.766667,     49.8081,     47.2966,     40.4750,     39.9419,     43.6642,     42.9855,     43.4211,     43.8938,     43.4224,     44.0088,     43.4310,     43.4327,     43.4228,     43.4284,     43.4228,     43.4279,     43.4228,     43.4316,     43.4229,     43.4382,     43.4229,     43.4545,     43.4229,     43.5198,     43.4227,     43.4298,     43.4298,     43.4488,     43.4488,     43.4187,     43.4187,     43.4186,     43.4186,     43.4202,     43.4202,     43.4196,     43.4196,     43.4215,     43.4215,     43.5348,     43.4229,     43.4591,     43.4226,     43.4402,     43.4227
      48,          0.783333,     49.8239,     47.3324,     40.6457,     40.0209,     43.6625,     42.9843,     43.4274,     43.9259,     43.4285,     44.0411,     43.4373,     43.4389,     43.4289,     43.4347,     43.4289,     43.4342,     43.4290,     43.4379,     43.4290,     43.4446,     43.4290,     43.4615,     43.4290,     43.5295,     43.4291,     43.4335,     43.4335,     43.4491,     43.4491,     43.4251,     43.4251,     43.4246,     43.4246,     43.4263,     43.4263,     43.4260,     43.4260,     43.4276,     43.4276,     43.5442,     43.4290,     43.4660,     43.4288,     43.4466,     43.4288
      49,          0.800000,     49.8334,     47.3523,     40.8509,     40.1062,     43.6606,     42.9830,     43.4331,     43.9560,     43.4345,     44.0749,     43.4434,     43.4450,     43.4348,     43.4407,     43.4347,     43.4402,     43.4348,     43.4439,     43.4349,     43.4507,     43.4349,     43.4681,     43.4348,     43.5384,     43.4348,     43.4377,     43.4377,     43.4500,     43.4500,     43.4310,     43.4310,     43.4308,     43.4308,     43.4328,     43.4328,     43.4324,     43.4324,     43.4333,     43.4333,     43.5535,     43.4349,     43.4728,     43.4347,     43.4528,     43.4348
      50,          0.816667,     49.8406,     47.3654,     41.0901,     40.1969,     43.6585,     42.9817,     43.4391,     43.9841,     43.4400,     44.1089,     43.4493,     43.4509,     43.4406,     43.4466,     43.4406,     43.4460,     43.4406,     43.4498,     43.4407,     43.4567,     43.4406,     43.4745,     43.4406,     43.5470,     43.4406,     43.4421,     43.4421,     43.4514,     43.4514,     43.4369,     43.4369,     43.4367,     43.4367,     43.4383,     43.4383,     43.4375,     43.4375,     43.4392,     43.4392,     43.5629,     43.4405,     43.4793,     43.4404,     43.4588,     43.4405
      51,          0.833333,     49.8458,     47.3748,     41.3222,     40.2820,     43.6563,     42.9804,     43.4448,     44.0118,     43.4456,     44.1426,     43.4550,     43.4567,     43.4461,     43.4523,     43.4461,     43.4517,     43.4461,     43.4555,     43.4462,     43.4625,     43.4462,     43.4807,     43.4462,     43.5553,     43.4462,     43.4464,     43.4464,     43.4534,     43.4534,     43.4427,     43.4427,     43.4424,     43.4424,     43.4441,     43.4441,     43.4435,     43.4435,     43.4443,     43.4443,     43.5722,     43.4459,     43.4858,     43.4460,     43.4646,     43.4460
      52,          0.850000,     49.8497,     47.3818,     41.5265,     40.3547,     43.6537,     42.9785,     43.4499,     44.0368,     43.4507,     44.1755,     43.4603,     43.4620,     43.4513,     43.4575,     43.4512,     43.4570,     43.4513,     43.4608,     43.4513,     43.4678,     43.4514,     43.4865,     43.4513,     43.5630,     43.4513,     43.4508,     43.4508,     43.4555,     43.4555,     43.4479,     43.4479,     43.4476,     43.4476,     43.4491,     43.4491,     43.4484,     43.4484,     43.4494,     43.4494,     43.5812,     43.4512,     43.4918,     43.4512,     43.4701,     43.4511
      53,          0.866667,     49.8522,     47.3865,     41.6961,     40.4140,     43.6510,     42.9767,     43.4547,     44.0603,     43.4556,     44.2101,     43.4653,     43.4671,     43.4562,     43.4626,     43.4562,     43.4620,     43.4562,     43.4659,     43.4563,     43.4729,     43.4563,     43.4919,     43.4562,     43.5702,     43.4562,     43.4554,     43.4554,     43.4585,     43.4585,     43.4527,     43.4527,     43.4523,     43.4523,     43.4540,     43.4540,     43.4535,     43.4535,     43.4543,     43.4543,     43.5901,     43.4561,     43.4977,     43.4561,     43.4753,     43.4561
      54,          0.883333,     49.8540,     47.3896,     41.8364,     40.4605,     43.6481,     42.9748,     43.4595,     44.0832,     43.4604,     44.2432,     43.4702,     43.4721,     43.4609,     43.4674,     43.4609,     43.4668,     43.4610,     43.4707,     43.4610,     43.4778,     43.4610,     43.4972,     43.4610,     43.5771,     43.4610,     43.4599,     43.4599,     43.4616,     43.4616,     43.4574,     43.4574,     43.4570,     43.4570,     43.4587,     43.4587,     43.4584,     43.4584,     43.4590,     43.4590,     43.5986,     43.4608,     43.5033,     43.4608,     43.4803,     43.4609
      55,          0.900000,     49.8554,     47.3919,     41.9542,     40.4971,     43.6450,     42.9728,     43.4641,     44.1061,     43.4649,     44.2751,     43.4748,     43.4768,     43.4655,     43.4721,     43.4655,     43.4714,     43.4655,     43.4753,     43.4655,     43.4825,     43.4655,     43.5023,     43.4655,     43.5839,     43.4655,     43.4641,     43.4641,     43.4648,     43.4648,     43.4622,     43.4622,     43.4617,     43.4617,     43.4636,     43.4636,     43.4630,     43.4630,     43.4635,     43.4635,     43.6069,     43.4654,     43.5087,     43.4654,     43.4851,     43.4654
      56,          0.916667,     49.8566,     47.3939,     42.0563,     40.5266,     43.6419,     42.9709,     43.4685,     44.1275,     43.4693,     44.3065,     43.4793,     43.4813,     43.4698,     43.4766,     43.4698,     43.4759,     43.4699,     43.4798,     43.4699,     43.4871,     43.4699,     43.5071,     43.4699,     43.5904,     43.4699,     43.4684,     43.4684,     43.4680,     43.4680,     43.4666,     43.4666,     43.4663,     43.4663,     43.4680,     43.4680,     43.4673,     43.4673,     43.4679,     43.4679,     43.6149,     43.4697,     43.5140,     43.4698,     43.4897,     43.4698
      57,          0.933333,     49.8576,     47.3954,     42.1446,     40.5503,     43.6385,     42.9687,     43.4725,     44.1470,     43.4734,     44.3359,     43.4835,     43.4855,     43.4740,     43.4808,     43.4739,     43.4801,     43.4740,     43.4841,     43.4740,     43.4913,     43.4740,     43.5117,     43.4740,     43.5965,     43.4739,     43.4724,     43.4724,     43.4710,     43.4710,     43.4707,     43.4707,     43.4702,     43.4702,     43.4718,     43.4718,     43.4716,     43.4716,     43.4720,     43.4720,     43.6224,     43.4738,     43.5189,     43.4739,     43.4941,     43.4739
      58,          0.950000,     49.8577,     47.3961,     42.2236,     40.5700,     43.6350,     42.9667,     43.4764,     44.1661,     43.4773,     44.3633,     43.4875,     43.4896,     43.4779,     43.4848,     43.4779,     43.4841,     43.4779,     43.4881,     43.4779,     43.4954,     43.4779,     43.5161,     43.4779,     43.6025,     43.4779,     43.4761,     43.4761,     43.4738,     43.4738,     43.4746,     43.4746,     43.4742,     43.4742,     43.4756,     43.4756,     43.4754,     43.4754,     43.4757,     43.4757,     43.6296,     43.4778,     43.5235,     43.4779,     43.4982,     43.4779
      59,          0.966667,     49.8576,     47.3961,     42.2940,     40.5865,     43.6315,     42.9649,     43.4802,     44.1851,     43.4809,     44.3914,     43.4914,     43.4935,     43.4816,     43.4887,     43.4816,     43.4879,     43.4817,     43.4920,     43.4817,     43.4993,     43.4817,     43.5203,     43.4817,     43.6083,     43.4817,     43.4798,     43.4798,     43.4773,     43.4773,     43.4785,     43.4785,     43.4781,     43.4781,     43.4796,     43.4796,     43.4791,     43.4791,     43.4795,     43.4795,     43.6366,     43.4814,     43.5280,     43.4815,     43.5022,     43.4816
      60,          0.983333,     49.8572,     47.3957,     42.3577,     40.6006,     43.6277,     42.9638,     43.4839,     44.2033,     43.4846,     44.4199,     43.4951,     43.4972,     43.4852,     43.4923,     43.4852,     43.4916,     43.4852,     43.4956,     43.4853,     43.5030,     43.4853,     43.5243,     43.4852,     43.6139,     43.4852,     43.4835,     43.4835,     43.4809,     43.4809,     43.4824,     43.4824,     43.4819,     43.4819,     43.4832,     43.4832,     43.4830,     43.4830,     43.4832,     43.4832,     43.6436,     43.4851,     43.5324,     43.4852,     43.5060,     43.4852
      61,          1.000000,     49.8568,     47.3951,     42.4159,     40.6129,     43.6242,     42.9637,     43.4874,     44.2205,     43.4882,     44.4472,     43.4987,     43.5009,     43.4887,     43.4959,     43.4887,     43.4951,     43.4887,     43.4992,     43.4887,     43.5066,     43.4888,     43.5283,     43.4888,     43.6192,     43.4888,     43.4871,     43.4871,     43.4845,     43.4845,     43.4859,     43.4859,     43.4853,     43.4853,     43.4869,     43.4869,     43.4865,     43.4865,     43.4867,     43.4867,     43.6503,     43.4886,     43.5366,     43.4887,     43.5097,     43.4887
      62,          1.016667,     49.8561,     47.3941,     42.4691,     40.6237,     43.6199,     42.9651,     43.4907,     44.2363,     43.4912,     44.4720,     43.5020,     43.5042,     43.4920,     43.4992,     43.4920,     43.4984,     43.4920,     43.5025,     43.4920,     43.5100,     43.4920,     43.5319,     43.4920,     43.6241,     43.4920,     43.4902,     43.4902,     43.4878,     43.4878,     43.4891,     43.4891,     43.4886,     43.4886,     43.4902,     43.4902,     43.4897,     43.4897,     43.4899,     43.4899,     43.6565,     43.4919,     43.5405,     43.4919,     43.5131,     43.4920
      63,          1.033333,     49.8543,     47.3921,     42.5182,     40.6335,     43.6162,     42.9690,     43.4937,     44.2513,     43.4942,     44.4952,     43.5052,     43.5074,     43.4951,     43.5024,     43.4951,     43.5016,     43.4951,     43.5057,     43.4951,     43.5132,     43.4951,     43.5354,     43.4951,     43.6289,     43.4951,     43.4932,     43.4932,     43.4908,     43.4908,     43.4923,     43.4923,     43.4916,     43.4916,     43.4932,     43.4932,     43.4927,     43.4927,     43.4929,     43.4929,     43.6623,     43.4949,     43.5442,     43.4950,     43.5164,     43.4951
      64,          1.050000,     49.8522,     47.3892,     42.5634,     40.6430,     43.6122,     42.9758,     43.4966,     44.2659,     43.4972,     44.5181,     43.5082,     43.5105,     43.4980,     43.5055,     43.4980,     43.5046,     43.4981,     43.5087,     43.4981,     43.5163,     43.4981,     43.5387,     43.4981,     43.6334,     43.4980,     43.4962,     43.4962,     43.4938,     43.4938,     43.4953,     43.4953,     43.4946,     43.4946,     43.4964,     43.4964,     43.4957,     43.4957,     43.4958,     43.4958,     43.6679,     43.4979,     43.5477,     43.4980,     43.5195,     43.4980
      65,          1.066667,     49.8497,     47.3857,     42.6044,     40.6523,     43.6082,     42.9857,     43.4996,     44.2800,     43.5001,     44.5406,     43.5111,     43.5134,     43.5009,     43.5084,     43.5008,     43.5075,     43.5009,     43.5116,     43.5009,     43.5192,     43.5009,     43.5419,     43.5009,     43.6378,     43.5009,     43.4992,     43.4992,     43.4968,     43.4968,     43.4983,     43.4983,     43.4975,     43.4975,     43.4991,     43.4991,     43.4984,     43.4984,     43.4987,     43.4987,     43.6734,     43.5008,     43.5511,     43.5008,     43.5225,     43.5008
      66,          1.083333,     49.8472,     47.3820,     42.6412,     40.6643,     43.6042,     42.9986,     43.5023,     44.2935,     43.5028,     44.5621,     43.5139,     43.5163,     43.5036,     43.5112,     43.5036,     43.5103,     43.5036,     43.5145,     43.5036,     43.5221,     43.5036,     43.5449,     43.5037,     43.6420,     43.5037,     43.5019,     43.5019,     43.4997,     43.4997,     43.5010,     43.5010,     43.5003,     43.5003,     43.5017,     43.5017,     43.5014,     43.5014,     43.5015,     43.5015,     43.6787,     43.5034,     43.5544,     43.5036,     43.5254,     43.5036
      67,          1.100000,     49.8442,     47.3779,     42.6732,     40.6794,     43.6002,     43.0128,     43.5049,     44.3060,     43.5053,     44.5821,     43.5166,     43.5190,     43.5062,     43.5138,     43.5062,     43.5130,     43.5062,     43.5171,     43.5062,     43.5247,     43.5062,     43.5478,     43.5062,     43.6459,     43.5062,     43.5046,     43.5046,     43.5022,     43.5022,     43.5036,     43.5036,     43.5029,     43.5029,     43.5042,     43.5042,     43.5039,     43.5039,     43.5040,     43.5040,     43.6836,     43.5061,     43.5575,     43.5062,     43.5281,     43.5062
      68,          1.116667,     49.8387,     47.3712,     42.7004,     40.6967,     43.5962,     43.0273,     43.5073,     44.3180,     43.5078,     44.6008,     43.5192,     43.5215,     43.5087,     43.5164,     43.5087,     43.5155,     43.5087,     43.5197,     43.5088,     43.5273,     43.5088,     43.5506,     43.5087,     43.6497,     43.5087,     43.5069,     43.5069,     43.5049,     43.5049,     43.5061,     43.5061,     43.5054,     43.5054,     43.5066,     43.5066,     43.5064,     43.5064,     43.5064,     43.5064,     43.6883,     43.5085,     43.5604,     43.5087,     43.5307,     43.5087
      69,          1.133333,     49.8325,     47.3620,     42.7233,     40.7142,     43.5920,     43.0410,     43.5097,     44.3297,     43.5102,     44.6198,     43.5216,     43.5240,     43.5111,     43.5188,     43.5111,     43.5179,     43.5111,     43.5221,     43.5111,     43.5298,     43.5111,     43.5533,     43.5111,     43.6533,     43.5111,     43.5094,     43.5094,     43.5074,     43.5074,     43.5086,     43.5086,     43.5078,     43.5078,     43.5088,     43.5088,     43.5089,     43.5089,     43.5089,     43.5089,     43.6929,     43.5109,     43.5632,     43.5110,     43.5332,     43.5111
      70,          1.150000,     49.8249,     47.3516,     42.7421,     40.7306,     43.5881,     43.0532,     43.5121,     44.3409,     43.5125,     44.6382,     43.5239,     43.5264,     43.5134,     43.5212,     43.5134,     43.5202,     43.5134,     43.5245,     43.5134,     43.5321,     43.5134,     43.5558,     43.5134,     43.6568,     43.5134,     43.5117,     43.5117,     43.5099,     43.5099,     43.5109,     43.5109,     43.5101,     43.5101,     43.5112,     43.5112,     43.5112,     43.5112,     43.5112,     43.5112,     43.6974,     43.5132,     43.5660,     43.5133,     43.5356,     43.5134
      71,          1.166667,     49.8169,     47.3401,     42.7571,     40.7449,     43.5842,     43.0626,     43.5143,     44.3520,     43.5147,     44.6555,     43.5262,     43.5287,     43.5156,     43.5234,     43.5156,     43.5225,     43.5156,     43.5267,     43.5156,     43.5345,     43.5156,     43.5583,     43.5156,     43.6602,     43.5156,     43.5140,     43.5140,     43.5123,     43.5123,     43.5132,     43.5132,     43.5124,     43.5124,     43.5136,     43.5136,     43.5135,     43.5135,     43.5135,     43.5135,     43.7016,     43.5155,     43.5686,     43.5156,     43.5380,     43.5156
      72,          1.183333,     49.8086,     47.3279,     42.7685,     40.7566,     43.5802,     43.0690,     43.5164,     44.3622,     43.5167,     44.6715,     43.5284,     43.5309,     43.5177,     43.5256,     43.5177,     43.5247,     43.5177,     43.5289,     43.5177,     43.5366,     43.5177,     43.5607,     43.5177,     43.6634,     43.5177,     43.5160,     43.5160,     43.5144,     43.5144,     43.5153,     43.5153,     43.5145,     43.5145,     43.5157,     43.5157,     43.5155,     43.5155,     43.5156,     43.5156,     43.7056,     43.5175,     43.5711,     43.5177,     43.5402,     43.5177
      73,          1.200000,     49.7996,     47.3147,     42.7767,     40.7657,     43.5763,     43.0733,     43.5183,     44.3719,     43.5186,     44.6867,     43.5304,     43.5329,     43.5197,     43.5276,     43.5197,     43.5267,     43.5197,     43.5310,     43.5198,     43.5387,     43.5198,     43.5629,     43.5198,     43.6664,     43.5197,     43.5179,     43.5179,     43.5165,     43.5165,     43.5172,     43.5172,     43.5165,     43.5165,     43.5177,     43.5177,     43.5175,     43.5175,     43.5174,     43.5174,     43.7093,     43.5195,     43.5735,     43.5197,     43.5423,     43.5197
      74,          1.216667,     49.7902,     47.3005,     42.7820,     40.7722,     43.5725,     43.0756,     43.5203,     44.3812,     43.5206,     44.7023,     43.5324,     43.5349,     43.5216,     43.5296,     43.5216,     43.5287,     43.5217,     43.5329,     43.5217,     43.5407,     43.5217,     43.5651,     43.5217,     43.6694,     43.5216,     43.5199,     43.5199,     43.5187,     43.5187,     43.5192,     43.5192,     43.5184,     43.5184,     43.5196,     43.5196,     43.5195,     43.5195,     43.5195,     43.5195,     43.7131,     43.5215,     43.5758,     43.5216,     43.5443,     43.5216
      75,          1.233333,     49.7804,     47.2857,     42.7847,     40.7762,     43.5688,     43.0757,     43.5222,     44.3904,     43.5225,     44.7173,     43.5343,     43.5368,     43.5235,     43.5315,     43.5235,     43.5305,     43.5235,     43.5348,     43.5235,     43.5426,     43.5235,     43.5671,     43.5235,     43.6722,     43.5235,     43.5219,     43.5219,     43.5208,     43.5208,     43.5211,     43.5211,     43.5203,     43.5203,     43.5213,     43.5213,     43.5214,     43.5214,     43.5214,     43.5214,     43.7168,     43.5234,     43.5780,     43.5235,     43.5462,     43.5235
      76,          1.250000,     49.7703,     47.2704,     42.7854,     40.7780,     43.5651,     43.0737,     43.5240,     44.3994,     43.5243,     44.7313,     43.5361,     43.5387,     43.5253,     43.5333,     43.5253,     43.5324,     43.5253,     43.5366,     43.5253,     43.5445,     43.5253,     43.5691,     43.5253,     43.6750,     43.5253,     43.5237,     43.5237,     43.5227,     43.5227,     43.5230,     43.5230,     43.5222,     43.5222,     43.5233,     43.5233,     43.5232,     43.5232,     43.5232,     43.5232,     43.7202,     43.5252,     43.5801,     43.5253,     43.5481,     43.5253
      77,          1.266667,     49.7598,     47.2545,     42.7840,     40.7778,     43.5615,     43.0700,     43.5257,     44.4077,     43.5259,     44.7444,     43.5379,     43.5405,     43.5270,     43.5351,     43.5270,     43.5342,     43.5270,     43.5384,     43.5271,     43.5463,     43.5271,     43.5711,     43.5271,     43.6776,     43.5270,     43.5253,     43.5253,     43.5245,     43.5245,     43.5247,     43.5247,     43.5238,     43.5238,     43.5250,     43.5250,     43.5249,     43.5249,     43.5249,     43.5249,     43.7235,     43.5269,     43.5822,     43.5270,     43.5499,     43.5270
      78,          1.283333,     49.7475,     47.2366,     42.7808,     40.7758,     43.5580,     43.0650,     43.5274,     44.4156,     43.5276,     44.7577,     43.5396,     43.5422,     43.5287,     43.5368,     43.5287,     43.5359,     43.5287,     43.5401,     43.5287,     43.5480,     43.5287,     43.5729,     43.5287,     43.6801,     43.5287,     43.5270,     43.5270,     43.5264,     43.5264,     43.5263,     43.5263,     43.5255,     43.5255,     43.5265,     43.5265,     43.5266,     43.5266,     43.5266,     43.5266,     43.7267,     43.5286,     43.5842,     43.5287,     43.5517,     43.5287
      79,          1.300000,     49.7339,     47.2159,     42.7761,     40.7722,     43.5546,     43.0585,     43.5290,     44.4236,     43.5293,     44.7707,     43.5412,     43.5438,     43.5303,     43.5384,     43.5303,     43.5375,     43.5303,     43.5417,     43.5303,     43.5496,     43.5303,     43.5747,     43.5303,     43.6825,     43.5303,     43.5287,     43.5287,     43.5282,     43.5282,     43.5280,     43.5280,     43.5271,     43.5271,     43.5282,     43.5282,     43.5282,     43.5282,     43.5282,     43.5282,     43.7299,     43.5302,     43.5861,     43.5303,     43.5533,     43.5303
      80,          1.316667,     49.7194,     47.1929,     42.7702,     40.7675,     43.5513,     43.0524,     43.5306,     44.4315,     43.5308,     44.7830,     43.5428,     43.5455,     43.5318,     43.5400,     43.5318,     43.5391,     43.5319,     43.5433,     43.5319,     43.5512,     43.5319,     43.5764,     43.5319,     43.6850,     43.5319,     43.5303,     43.5303,     43.5298,     43.5298,     43.5296,     43.5296,     43.5288,     43.5288,     43.5299,     43.5299,     43.5298,     43.5298,     43.5298,     43.5298,     43.7329,     43.5318,     43.5879,     43.5318,     43.5550,     43.5318
      81,          1.333333,     49.7041,     47.1687,     42.7627,     40.7616,     43.5482,     43.0427,     43.5321,     44.4388,     43.5323,     44.7944,     43.5444,     43.5470,     43.5334,     43.5416,     43.5334,     43.5406,     43.5334,     43.5449,     43.5334,     43.5528,     43.5334,     43.5781,     43.5334,     43.6873,     43.5334,     43.5317,     43.5317,     43.5313,     43.5313,     43.5312,     43.5312,     43.5303,     43.5303,     43.5313,     43.5313,     43.5314,     43.5314,     43.5313,     43.5313,     43.7357,     43.5333,     43.5897,     43.5334,     43.5566,     43.5334
      82,          1.350000,     49.6879,     47.1431,     42.7536,     40.7544,     43.5451,     43.0330,     43.5335,     44.4458,     43.5338,     44.8054,     43.5459,     43.5485,     43.5348,     43.5431,     43.5348,     43.5421,     43.5349,     43.5464,     43.5349,     43.5543,     43.5349,     43.5798,     43.5349,     43.6895,     43.5349,     43.5331,     43.5331,     43.5327,     43.5327,     43.5326,     43.5326,     43.5317,     43.5317,     43.5327,     43.5327,     43.5328,     43.5328,     43.5328,     43.5328,     43.7385,     43.5348,     43.5914,     43.5348,     43.5581,     43.5348
