"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.607,          0.9497,      8.1631,          0.9497
     2,"FC01.2_R",          71.329,          1.1755,      8.2778,          0.2050
     3,"FC04.1_C",           0.552,          0.6809,      1.1514,          0.6809
     4,"Pipe0",           0.031,          0.3341,      0.4611,          0.1732
     5,"Pipe1",           0.115,          0.2804,      0.8917,          0.2284
     6,"Pipe10",           0.271,          0.2920,      0.9604,          0.2920
     7,"Pipe11",           0.200,          0.2592,      0.7063,          0.2592
     8,"Pipe12",           0.258,          0.2609,      0.9175,          0.2088
     9,"Pipe13",           0.172,          0.2491,      1.1151,          0.2031
    10,"Pipe14",           0.194,          0.2491,      1.1663,          0.2026
    11,"Pipe15",           0.135,          0.2626,      0.9125,          0.2047
    12,"Pipe16",           0.125,          0.1656,      0.9343,          0.1654
    13,"Pipe17",           0.209,          0.2017,      1.2082,          0.2017
    14,"Pipe19",           0.222,          0.3249,      0.9994,          0.2255
    15,"Pipe2",           0.068,          0.2558,      0.8184,          0.2339
    16,"Pipe3",           0.101,          0.3336,      0.7690,          0.2441
    17,"Pipe4",           0.167,          0.3813,      0.7168,          0.1984
    18,"Pipe5",           0.222,          0.3118,      0.9330,          0.2171
    19,"Pipe6",           0.217,          0.2835,      0.8628,          0.2067
    20,"Pipe7",           0.128,          0.3165,      0.8134,          0.2346
    21,"Pipe8",           0.207,          0.3338,      0.8476,          0.2227
    22,"Pipe9",           0.259,          0.2634,      0.9961,          0.2232
    23,"Pit1",           0.035,          0.4170,      0.9663,          0.0954
    24,"Pit10",           0.115,          0.2490,      0.9663,          0.0954
    25,"Pit11",           0.052,          0.2503,      0.9663,          0.2146
    26,"Pit12",           0.044,          0.2521,      0.9663,          0.1953
    27,"Pit13",           0.073,          0.1303,      0.9663,          0.2272
    28,"Pit14",           0.037,          0.2534,      0.9663,          0.2291
    29,"Pit15",           0.029,          0.2637,      0.9663,          0.2707
    30,"Pit16",           0.013,          0.1149,      0.9663,          0.1188
    31,"Pit17",           0.046,          0.4171,      0.9663,          0.2367
    32,"Pit18",           0.086,          0.3183,      0.9663,          0.2393
    33,"Pit19",           0.129,          0.3162,      0.9663,          0.2040
    34,"Pit2",           0.104,          0.2853,      0.9663,          0.1554
    35,"Pit3",           0.042,          0.4014,      0.9663,          0.4205
    36,"Pit4",           0.088,          0.4133,      0.9663,          0.3102
    37,"Pit5",           0.106,          0.3337,      0.9663,          0.2083
    38,"Pit6",           0.077,          0.2563,      0.9663,          0.1181
    39,"Pit7",           0.025,          0.2606,      0.9663,          0.2626
    40,"Pit8",           0.025,          0.2549,      0.9663,          0.1983
    41,"Pit9",           0.035,          0.1717,      0.9663,          0.2462
