"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time(h)","F FC01.1_R [EG15_008]","F FC01.2_R [EG15_008]","F FC04.1_C [EG15_008]","F Node20 [EG15_008]","F Node21 [EG15_008]","F Pipe10 [EG15_008]","F Pipe11 [EG15_008]","F Pipe12 [EG15_008]","F Pipe13 [EG15_008]","F Pipe14 [EG15_008]","F Pipe15 [EG15_008]","F Pipe16 [EG15_008]","F Pipe17 [EG15_008]","F Pipe19 [EG15_008]","F Pipe5 [EG15_008]","F Pipe6 [EG15_008]","F Pipe9 [EG15_008]","F Pit10 [EG15_008]","F Pit11 [EG15_008]","F Pit12 [EG15_008]","F Pit13 [EG15_008]","F Pit14 [EG15_008]","F Pit15 [EG15_008]","F Pit16 [EG15_008]","F Pit18 [EG15_008]","F Pit19 [EG15_008]","F Pit2 [EG15_008]","F Pit3 [EG15_008]","F Pit4 [EG15_008]","F Pit5 [EG15_008]","F Pit6 [EG15_008]","F Pit7 [EG15_008]","F Pit8 [EG15_008]","F Pit9 [EG15_008]"
      21,          0.333333,A,A,A,,,F,F,F,F L,F,F L,F,F L,F,F,F L,F,R,R,R,R,R,R,N,,,,,,,,R,R,R
      22,          0.350000,A,A,A,,,F,F,F,F L,F,F,F,F,F,F,F,F,R,R,R,R,R,R,N,,,,,,,,R,R,R
      23,          0.366667,A,J,A,,,F,F L,F,F,F,F L,F,F,F,F,F,F,R,R,R,R,R,R,D,,,,,,,,R,R,R
      24,          0.383333,A,J,A,,,F,F,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      25,          0.400000,A,A,A,,,F,F,F,F,F,F,F,F L,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      26,          0.416667,A,D,A,,,F,F L,F,F,F,F,F,F L,F,F L,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      27,          0.433333,A,J,A,,,F,F L,F,F L,F,F L,F,F,F,F L,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      28,          0.450000,A,D,A,,,F,F L,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      29,          0.466667,A,D,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      30,          0.483333,A,D,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      31,          0.500000,A,J,A,,,F,F L,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      32,          0.516667,A,D,A,,,F,F L,F L,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      33,          0.533333,A,D,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      34,          0.550000,A,D,A,,,F,F L,F L,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      35,          0.566667,B,D,A,,,F,F L,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      36,          0.583333,L,D,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      37,          0.600000,L,F,A,,,F,F L,F,F,F,F L,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      38,          0.616667,L,F,A,,,F,F L,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      39,          0.633333,L,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      40,          0.650000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      41,          0.666667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      42,          0.683333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      43,          0.700000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      44,          0.716667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      45,          0.733333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      46,          0.750000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      47,          0.766667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      48,          0.783333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      49,          0.800000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      50,          0.816667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
