"EG15_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_009.tcf]","Time (h)","SQ Pipe7 [EG15_009]","SQ Pipe6 [EG15_009]","SQ Pipe5 [EG15_009]","SQ Pipe19 [EG15_009]","SQ Pipe3 [EG15_009]","SQ Pipe2 [EG15_009]","SQ Pipe1 [EG15_009]","SQ Pipe0 [EG15_009]","SQ Pipe17 [EG15_009]","SQ Pipe16 [EG15_009]","SQ Pipe15 [EG15_009]","SQ Pipe14 [EG15_009]","SQ Pipe13 [EG15_009]","SQ Pipe12 [EG15_009]","SQ Pipe11 [EG15_009]","SQ Pipe10 [EG15_009]","SQ Pipe9 [EG15_009]","SQ Pipe8 [EG15_009]","SQ Pipe4 [EG15_009]","SQ FC04.1_C [EG15_009]","SQ FC01.2_R [EG15_009]","SQ FC01.1_R [EG15_009]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0002,      0.0002,      0.0001,      0.0002,      0.0002,      0.0003,      0.0004,      0.0005,      0.0002,      0.0002,      0.0000,      0.0001,      0.0003,      0.0002,      0.0002,      0.0001,      0.0001,      0.0003,      0.0002,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0007,      0.0004,      0.0004,      0.0005,      0.0006,      0.0012,      0.0017,      0.0018,      0.0005,      0.0003,      0.0000,      0.0006,      0.0010,      0.0003,      0.0006,      0.0003,      0.0009,      0.0009,      0.0003,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0010,      0.0008,      0.0009,      0.0014,      0.0014,      0.0031,      0.0037,      0.0029,      0.0013,      0.0004,      0.0000,      0.0026,      0.0033,      0.0007,      0.0010,      0.0013,      0.0022,      0.0018,      0.0008,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0017,      0.0015,      0.0019,      0.0036,      0.0028,      0.0050,      0.0055,      0.0046,      0.0045,      0.0019,      0.0000,      0.0070,      0.0069,      0.0018,      0.0015,      0.0030,      0.0049,      0.0028,      0.0018,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0026,      0.0027,      0.0038,      0.0070,      0.0044,      0.0069,      0.0102,      0.0051,      0.0103,      0.0043,      0.0000,      0.0132,      0.0111,      0.0037,      0.0036,      0.0054,      0.0083,      0.0042,      0.0032,      0.0000,      0.0157,      0.0000
       7,          0.100000,      0.0043,      0.0051,      0.0082,      0.0124,      0.0064,      0.0091,      0.0151,      0.0046,      0.0187,      0.0094,      0.0000,      0.0209,      0.0178,      0.0071,      0.0054,      0.0102,      0.0139,      0.0077,      0.0057,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0076,      0.0098,      0.0148,      0.0206,      0.0079,      0.0115,      0.0196,      0.0049,      0.0332,      0.0239,      0.0000,      0.0330,      0.0299,      0.0127,      0.0120,      0.0166,      0.0202,      0.0115,      0.0091,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0113,      0.0173,      0.0228,      0.0298,      0.0103,      0.0126,      0.0265,      0.0075,      0.0520,      0.0413,      0.0000,      0.0507,      0.0472,      0.0202,      0.0200,      0.0239,      0.0276,      0.0176,      0.0133,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0151,      0.0316,      0.0347,      0.0442,      0.0126,      0.0158,      0.0373,      0.0089,      0.0791,      0.0684,      0.0060,      0.0786,      0.0726,      0.0295,      0.0352,      0.0334,      0.0370,      0.0248,      0.0187,      0.0000,      0.0690,      0.0000
      11,          0.166667,      0.0191,      0.0444,      0.0505,      0.0613,      0.0166,      0.0203,      0.0465,      0.0113,      0.1190,      0.1022,      0.0464,      0.1127,      0.1016,      0.0410,      0.0518,      0.0452,      0.0493,      0.0320,      0.0254,      0.0000,      0.0825,      0.0000
      12,          0.183333,      0.0245,      0.0632,      0.0697,      0.0802,      0.0221,      0.0266,      0.0559,      0.0152,      0.1631,      0.1087,      0.0773,      0.1505,      0.1332,      0.0566,      0.0723,      0.0608,      0.0658,      0.0416,      0.0333,      0.0000,      0.1044,      0.0000
      13,          0.200000,      0.0310,      0.0868,      0.0913,      0.1026,      0.0287,      0.0359,      0.0675,      0.0196,      0.0641,      0.0806,      0.1052,      0.1931,      0.1695,      0.0777,      0.0985,      0.0812,      0.0873,      0.0532,      0.0387,      0.0005,      0.0103,      0.3997
      14,          0.216667,      0.0399,     -0.0177,      0.0641,      0.1291,      0.0362,      0.0437,      0.0816,      0.0217,      0.1002,      0.0099,     -0.1088,      0.0755,      0.0459,     -0.0649,     -0.0336,      0.0091,      0.1140,      0.0668,      0.0574,      0.0059,      1.1346,      1.4453
      15,          0.233333,      0.0411,     -0.0707,     -0.0749,     -0.0680,      0.0440,      0.0194,      0.0220,      0.0062,      0.1439,      0.0100,     -0.1563,      0.1192,      0.0857,     -0.0308,     -0.0009,     -0.0308,     -0.0226,      0.0040,      0.0009,      0.0170,      0.1431,      2.2749
      16,          0.250000,      0.0703,      0.0063,      0.0227,      0.0375,     -0.0792,      0.0527,      0.0801,      0.0133,      0.2850,      0.0200,     -0.2712,      0.2696,      0.2425,      0.1404,      0.1643,      0.1550,      0.1723,      0.1191,     -0.0627,      0.0348,      0.7178,      2.9403
      17,          0.266667,      0.1098,      0.1962,      0.1824,      0.1895,      0.0649,      0.0260,      0.1091,      0.0284,     -0.0918,      0.0016,      0.1118,     -0.0224,      0.0767,      0.2587,      0.1953,      0.2666,      0.2591,      0.1969,      0.0968,      0.0599,      0.4786,      3.4594
      18,          0.283333,      0.1120,      0.2216,      0.2290,      0.2196,      0.0674,      0.0219,      0.1011,      0.0383,     -0.0810,      0.0006,      0.1311,     -0.0094,      0.0669,      0.2499,      0.1658,      0.2692,      0.2600,      0.2023,      0.1118,      0.0911,      0.9364,      3.9161
      19,          0.300000,      0.1119,      0.2091,      0.2264,      0.2259,      0.0888,      0.0172,      0.0963,      0.0424,     -0.0459,      0.0007,      0.1090,      0.0068,      0.0611,      0.2416,      0.1341,      0.2708,      0.2595,      0.2059,      0.1315,      0.1271,      0.4929,      4.3885
      20,          0.316667,      0.1119,      0.1905,      0.2301,      0.2219,      0.0902,      0.0165,      0.0854,      0.0328,     -0.0282,      0.0009,      0.0922,      0.0139,      0.0589,      0.2258,      0.1224,      0.2663,      0.2573,      0.2061,      0.1394,      0.1666,     -0.0873,      4.8806
      21,          0.333333,      0.1179,      0.1639,      0.2265,      0.2285,      0.0861,      0.0164,      0.0537,      0.0286,     -0.0258,      0.0008,      0.0788,      0.0093,      0.0510,      0.2087,      0.1117,      0.2611,      0.2547,      0.2075,      0.1353,      0.2057,      0.2985,      5.3733
      22,          0.350000,      0.1173,      0.1360,      0.2191,      0.2172,      0.0859,      0.0173,      0.0646,      0.0252,     -0.0184,      0.0009,      0.0602,      0.0102,      0.0458,      0.1887,      0.1002,      0.2532,      0.2507,      0.2062,      0.1548,      0.2437,      1.1138,      5.8728
      23,          0.366667,      0.1167,      0.1124,      0.2101,      0.2192,      0.0790,      0.0181,      0.0404,      0.0193,     -0.0126,      0.0012,      0.0466,      0.0100,      0.0401,      0.1655,      0.0887,      0.2445,      0.2471,      0.2050,      0.1555,      0.2797,      0.6823,      6.4042
      24,          0.383333,      0.1161,      0.1007,      0.1916,      0.2141,      0.0777,      0.0187,      0.0342,      0.0150,     -0.0112,      0.0007,      0.0407,      0.0067,      0.0319,      0.1421,      0.0742,      0.2343,      0.2436,      0.2035,      0.1562,      0.3132,      1.2450,      7.0597
      25,          0.400000,      0.1153,      0.0917,      0.1708,      0.2095,      0.0760,      0.0187,      0.0271,      0.0116,     -0.0112,      0.0008,      0.0369,      0.0038,      0.0248,      0.1233,      0.0620,      0.2200,      0.2393,      0.2017,      0.1544,      0.3446,      2.0861,      7.8426
      26,          0.416667,      0.1145,      0.0816,      0.1504,      0.2041,      0.0750,      0.0185,      0.0210,      0.0088,     -0.0097,      0.0007,      0.0330,      0.0030,      0.0209,      0.1099,      0.0530,      0.2043,      0.2336,      0.1997,      0.1518,      0.3722,      2.7384,      8.7541
      27,          0.433333,      0.1136,      0.0679,      0.1281,      0.1942,      0.0735,      0.0175,      0.0183,      0.0074,     -0.0079,      0.0006,      0.0265,      0.0026,      0.0179,      0.0992,      0.0465,      0.1853,      0.2279,      0.1975,      0.1538,      0.3974,      2.0439,      9.8079
      28,          0.450000,      0.1127,      0.0557,      0.1088,      0.1861,      0.0717,      0.0161,      0.0145,      0.0056,     -0.0051,      0.0006,      0.0203,      0.0031,      0.0164,      0.0897,      0.0410,      0.1662,      0.2223,      0.1953,      0.1479,      0.4213,     -0.3516,     10.9635
      29,          0.466667,      0.1118,      0.0479,      0.0963,      0.1777,      0.0697,      0.0143,      0.0133,      0.0051,     -0.0039,      0.0005,      0.0167,      0.0025,      0.0137,      0.0804,      0.0357,      0.1491,      0.2157,      0.1932,      0.1391,      0.4427,      5.8672,     12.4207
      30,          0.483333,      0.1108,      0.0426,      0.0879,      0.1621,      0.0668,      0.0124,      0.0082,      0.0030,     -0.0036,      0.0005,      0.0143,      0.0017,      0.0112,      0.0700,      0.0307,      0.1329,      0.2078,      0.1907,      0.1376,      0.4605,      7.5332,     14.1092
      31,          0.500000,      0.1096,      0.0379,      0.0792,      0.1493,      0.0647,      0.0097,     -0.0005,      0.0002,     -0.0028,      0.0005,      0.0123,      0.0015,      0.0096,      0.0610,      0.0258,      0.1194,      0.1986,      0.1878,      0.1309,      0.4762,      8.6651,     15.9267
      32,          0.516667,      0.1082,      0.0340,      0.0713,      0.1346,      0.0618,      0.0067,     -0.0020,      0.0000,     -0.0028,      0.0004,      0.0107,      0.0007,      0.0076,      0.0538,      0.0223,      0.1094,      0.1878,      0.1845,      0.1262,      0.4910,      6.2674,     17.8159
      33,          0.533333,      0.1068,      0.0285,      0.0608,      0.1159,      0.0596,      0.0034,     -0.0073,     -0.0002,     -0.0017,      0.0004,      0.0084,      0.0009,      0.0067,      0.0486,      0.0200,      0.1006,      0.1766,      0.1811,      0.1247,      0.5035,      7.1111,     20.4574
      34,          0.550000,      0.1053,      0.0224,      0.0499,      0.1027,      0.0567,      0.0002,     -0.0093,     -0.0015,     -0.0009,      0.0004,      0.0056,      0.0008,      0.0057,      0.0436,      0.0176,      0.0918,      0.1653,      0.1777,      0.1158,      0.5147,      8.2462,     24.2058
      35,          0.566667,      0.1036,      0.0181,      0.0415,      0.0891,      0.0544,     -0.0016,     -0.0118,     -0.0024,     -0.0003,      0.0004,      0.0039,      0.0007,      0.0051,      0.0397,      0.0158,      0.0843,      0.1531,      0.1736,      0.1092,      0.5244,      9.3170,     28.4598
      36,          0.583333,      0.1020,      0.0126,      0.0306,      0.0683,      0.0503,     -0.0052,     -0.0149,     -0.0038,      0.0000,      0.0003,      0.0024,      0.0007,      0.0042,      0.0346,      0.0134,      0.0768,      0.1402,      0.1699,      0.1057,      0.5328,     10.7410,     31.4772
      37,          0.600000,      0.1000,      0.0084,      0.0211,      0.0508,      0.0462,     -0.0089,     -0.0162,     -0.0048,      0.0000,      0.0003,      0.0009,      0.0002,      0.0031,      0.0298,      0.0109,      0.0676,      0.1271,      0.1653,      0.0946,      0.5393,     12.2149,     34.2756
      38,          0.616667,      0.0977,      0.0052,      0.0138,      0.0344,      0.0395,     -0.0118,     -0.0161,     -0.0047,      0.0000,      0.0003,      0.0000,      0.0002,      0.0025,      0.0251,      0.0090,      0.0587,      0.1145,      0.1601,      0.0806,      0.5450,     13.8316,     36.7033
      39,          0.633333,      0.0952,      0.0031,      0.0080,      0.0220,      0.0305,     -0.0140,     -0.0124,     -0.0038,      0.0000,      0.0003,      0.0000,      0.0000,      0.0017,      0.0212,      0.0072,      0.0512,      0.1029,      0.1542,      0.0608,      0.5484,     16.0630,     38.8000
