"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time(h)","V FC01.1_R [EG15_006]","V FC01.2_R [EG15_006]","V FC04.1_C [EG15_006]","V Pipe0 [EG15_006]","V Pipe1 [EG15_006]","V Pipe10 [EG15_006]","V Pipe11 [EG15_006]","V Pipe12 [EG15_006]","V Pipe13 [EG15_006]","V Pipe14 [EG15_006]","V Pipe15 [EG15_006]","V Pipe16 [EG15_006]","V Pipe17 [EG15_006]","V Pipe19 [EG15_006]","V Pipe2 [EG15_006]","V Pipe3 [EG15_006]","V Pipe4 [EG15_006]","V Pipe5 [EG15_006]","V Pipe6 [EG15_006]","V Pipe7 [EG15_006]","V Pipe8 [EG15_006]","V Pipe9 [EG15_006]","V Pit1 [EG15_006]","V Pit11 [EG15_006]","V Pit12 [EG15_006]","V Pit14 [EG15_006]","V Pit15 [EG15_006]","V Pit16 [EG15_006]","V Pit18 [EG15_006]","V Pit19 [EG15_006]","V Pit2 [EG15_006]","V Pit4 [EG15_006]","V Pit5 [EG15_006]","V Pit6 [EG15_006]","V Pit7 [EG15_006]","V Pit8 [EG15_006]","V Pit9 [EG15_006]"
      11,          0.166667,    0.000,    0.422,    0.000,   -0.001,    0.233,    0.587,    0.000,   -0.026,    0.000,    0.802,    0.668,    0.796,    0.838,    0.526,    0.249,    0.595,   -0.526,    0.441,    0.474,    0.053,    0.145,    0.636,    0.000,    0.879,    0.966,    0.966,    0.223,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.186,    0.966
      12,          0.183333,    0.000,    0.456,    0.000,    0.108,    0.342,    0.708,    0.000,    0.002,    0.000,    0.870,    0.709,    0.887,    0.921,    0.658,    0.221,    0.637,    0.102,    0.562,    0.545,    0.074,    0.209,    0.761,    0.725,    0.819,    0.966,    0.966,    0.000,    0.223,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      13,          0.200000,    0.931,    0.084,    0.246,    0.059,    0.355,    0.150,    0.108,   -0.016,    0.364,    0.926,    0.776,    0.969,    1.028,    0.856,    0.248,    0.219,    0.210,    0.742,    0.675,    0.097,    0.260,    0.860,    0.966,    0.792,    0.966,    0.966,    0.966,    0.223,    0.966,    0.966,    0.918,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      14,          0.216667,    1.429,    1.003,    0.418,    0.074,    0.385,    0.208,    0.400,    0.168,    0.720,    0.502,    0.900,    0.011,    0.526,    0.988,    0.268,    0.101,    0.262,    0.915,    0.852,    0.135,    0.319,    0.944,    0.966,    0.776,    0.934,    0.966,    0.966,    0.000,    0.966,    0.966,    0.866,    0.966,    0.966,    0.957,    0.966,    0.966,    0.966
      15,          0.233333,    1.662,    0.490,    0.524,    0.091,    0.425,    0.406,    0.727,    0.440,    1.015,    0.828,   -0.238,    0.023,    0.979,    1.085,    0.293,    0.135,    0.312,    1.043,    0.021,    0.193,    0.428,    1.039,    0.966,    0.760,    0.906,    0.966,    0.966,    0.223,    0.966,    0.894,    0.833,    0.966,    0.966,    0.882,    0.966,    0.966,    0.966
      16,          0.250000,    1.811,    0.847,    0.612,    0.086,    0.369,   -0.155,   -0.075,   -0.178,   -0.274,    0.157,   -0.081,    0.026,    0.364,   -0.208,    0.244,   -0.181,   -0.056,   -0.215,   -0.162,    0.285,    0.491,   -0.142,    0.966,    0.749,    0.882,    0.966,    0.966,    0.000,    0.839,    0.802,    0.813,    0.966,    0.934,    0.832,    0.966,    0.966,    0.944
      17,          0.266667,    1.911,    0.757,    0.690,    0.096,    0.387,    0.880,    0.507,    0.825,    0.490,    0.013,    0.381,    0.002,   -0.357,    0.582,    0.305,    0.200,    0.327,    0.558,    0.620,    0.398,    0.727,    0.842,    0.966,   -0.289,   -0.311,   -0.276,    0.966,    0.000,    0.785,    0.765,    0.802,    0.966,    0.901,    0.797,    0.966,   -0.101,   -0.277
      18,          0.283333,    1.992,    0.022,    0.757,    0.121,    0.410,    0.951,    0.438,    0.841,    0.432,    0.035,    0.353,    0.000,   -0.348,    0.798,    0.127,    0.230,    0.398,    0.801,    0.750,    0.435,    0.809,    0.932,    0.966,   -0.207,   -0.245,   -0.326,   -0.098,    0.223,    0.564,    0.557,    0.601,    0.966,    0.871,    0.166,    0.046,   -0.160,   -0.292
      19,          0.300000,    2.069,    0.168,    0.816,    0.123,    0.347,    0.950,    0.373,    0.809,    0.365,    0.051,    0.261,    0.001,   -0.251,    0.814,    0.107,    0.300,    0.475,    0.831,    0.706,    0.445,    0.834,    0.935,    0.590,   -0.163,   -0.157,   -0.297,   -0.187,    0.195,    0.449,    0.450,    0.358,    0.957,    0.811,    0.120,    0.029,   -0.171,   -0.272
      20,          0.316667,    2.144,    0.058,    0.868,    0.119,    0.307,    0.935,    0.334,    0.755,    0.326,    0.046,    0.230,    0.001,   -0.217,    0.821,    0.100,    0.338,    0.518,    0.823,    0.617,    0.439,    0.834,    0.931,    0.335,   -0.145,   -0.136,   -0.207,   -0.245,    0.010,    0.394,    0.399,    0.260,    0.947,    0.601,    0.100,    0.008,   -0.178,   -0.219
