"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8555,      0.9547
     2,"FC01.1_R.2",     47.3914,      0.9623
     3,"FC01.2_R.1",     42.7359,      1.2834
     4,"FC01.2_R.2",     40.7336,      1.2958
     5,"FC04.1_C.1",     43.3490,      3.0001
     6,"FC04.1_C.2",     43.0199,      1.2578
     7,"Pipe16.2",     43.5978,      3.0001
     8,"Pit1",     43.5983,      2.4975
     9,"Pit1.1",     43.5983,      2.4974
    10,"Pit10",     43.5983,      2.5119
    11,"Pit10.1",     43.5983,      2.5119
    12,"Pit11",     43.5983,      2.5778
    13,"Pit11.1",     43.5983,      2.5778
    14,"Pit12",     43.5983,      2.7574
    15,"Pit12.1",     43.5983,      2.7573
    16,"Pit13",     43.5983,      2.5040
    17,"Pit13.1",     43.5983,      2.5015
    18,"Pit14",     43.5983,      2.5055
    19,"Pit14.1",     43.5983,      2.5055
    20,"Pit15",     43.5983,      2.5081
    21,"Pit15.1",     43.5983,      2.5081
    22,"Pit16",     43.5983,      2.5718
    23,"Pit16.1",     43.5983,      2.5718
    24,"Pit17",     43.5983,      2.4189
    25,"Pit17.1",     43.5983,      2.4189
    26,"Pit18",     43.5984,      2.4191
    27,"Pit18.1",     43.5984,      2.4190
    28,"Pit19",     43.5984,      2.3526
    29,"Pit19.1",     43.5984,      2.3526
    30,"Pit2",     43.5983,      2.4958
    31,"Pit2.1",     43.5983,      2.4960
    32,"Pit3",     43.5983,      2.4387
    33,"Pit3.1",     43.5983,      2.4387
    34,"Pit4",     43.5983,      2.4389
    35,"Pit4.1",     43.5983,      2.4849
    36,"Pit5",     43.5983,      2.4828
    37,"Pit5.1",     43.5983,      2.4828
    38,"Pit6",     43.5983,      2.4792
    39,"Pit6.1",     43.5983,      2.4792
    40,"Pit7",     43.5983,      2.4783
    41,"Pit7.1",     43.5983,      2.4783
    42,"Pit8",     43.5983,      2.4800
    43,"Pit8.1",     43.5983,      2.4799
    44,"Pit9",     43.5982,      2.7723
    45,"Pit9.1",     43.5982,      2.7723
