"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow","PF01 Status","PF01 Trigger","PF01 Orifice Height","PF01 Orifice Width","PF01 Flow"
       1,          0.000000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.000000,    0.000,    0.000,              0.000
       2,          0.016667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.016790,    0.000,    0.000,              0.000
       3,          0.033333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.033449,    0.000,    0.000,              0.000
       4,          0.050000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.050116,    0.000,    0.000,              0.000
       5,          0.066667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.066806,    0.000,    0.000,              0.000
       6,          0.083333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.083449,    0.000,    0.000,              0.000
       7,          0.100000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.100123,    0.000,    0.000,              0.000
       8,          0.116667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.116782,    0.000,    0.000,              0.000
       9,          0.133333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.133468,    0.000,    0.000,              0.000
      10,          0.150000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.150126,    0.000,    0.000,              0.000
      11,          0.166667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.166786,    0.000,    0.000,              0.000
      12,          0.183333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.183449,    0.000,    0.000,              0.000
      13,          0.200000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.200129,    0.000,    0.000,              0.000
      14,          0.216667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.216782,    0.000,    0.000,              0.000
      15,          0.233333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",           0.233442,    0.000,    0.000,              0.000
      16,          0.250000,"Closed      ",           0.000343,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.250103,    0.001,    0.002,              0.000
      17,          0.266667,"Closed      ",           0.111429,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.266766,    0.167,    0.557,              0.212
      18,          0.283333,"Closed      ",           0.222517,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.283429,    0.334,    1.113,              0.924
      19,          0.300000,"Closed      ",           0.333615,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.300094,    0.500,    1.668,              2.193
      20,          0.316667,"Closed      ",           0.444718,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.316759,    0.667,    2.224,              3.987
      21,          0.333333,"Closed      ",           0.555836,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.333428,    0.834,    2.779,              6.155
      22,          0.350000,"Closed      ",           0.666960,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.350096,    1.000,    3.335,              8.576
      23,          0.366667,"Closed      ",           0.778119,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.366768,    1.167,    3.891,             10.693
      24,          0.383333,"Closed      ",           0.889251,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",           0.383436,    1.334,    4.446,             10.568
      25,          0.400000,"Opening     ",           0.997024,    0.059,    0.126,    0.007,    0.000,    0.000,              0.000,"Closing     ",           0.400099,    1.496,    4.985,             10.144
      26,          0.416667,"Opening     ",           0.000000,    4.003,    8.506,    0.500,    0.000,    0.000,              0.000,"Closing     ",           0.416759,    0.000,    0.000,              0.001
      27,          0.433333,"Opening     ",           0.000000,    4.103,    8.724,    0.517,    0.000,    0.000,              0.000,"Closed      ",           0.433464,    0.000,    0.000,              0.000
      28,          0.450000,"Opening     ",           0.000000,    4.203,    8.940,    0.534,    0.000,    0.000,              0.000,"Closed      ",           0.450124,    0.000,    0.000,              0.000
      29,          0.466667,"Opening     ",           0.000000,    4.303,    9.157,    0.550,    0.000,    0.000,              0.000,"Closed      ",           0.466786,    0.000,    0.000,              0.000
      30,          0.483333,"Opening     ",           0.000000,    4.403,    9.373,    0.567,    0.000,    0.052,              0.052,"Closed      ",           0.483448,    0.000,    0.000,              0.000
      31,          0.500000,"Opening     ",           0.000000,    4.503,    9.590,    0.584,    0.000,    0.449,              0.449,"Closed      ",           0.500111,    0.000,    0.000,              0.000
      32,          0.516667,"Opening     ",           0.000000,    4.603,    9.807,    0.600,    0.000,    1.258,              1.258,"Closed      ",           0.516775,    0.000,    0.000,              0.000
      33,          0.533333,"Opening     ",           0.000000,    4.703,   10.023,    0.617,    0.000,    2.657,              2.657,"Closed      ",           0.533439,    0.000,    0.000,              0.000
