"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow"
      60,          0.983333,"Fully Open  ",          50.218185,    7.000,   15.000,    1.000,    0.000,   94.908,             94.908
      61,          1.000000,"Fully Open  ",          50.209145,    7.000,   15.000,    1.000,    0.000,   94.524,             94.524
      62,          1.016667,"Fully Open  ",          50.200733,    7.000,   15.000,    1.000,    0.000,   94.167,             94.167
      63,          1.033333,"Fully Open  ",          50.191677,    7.000,   15.000,    1.000,    0.000,   93.784,             93.784
      64,          1.050000,"Fully Open  ",          50.182289,    7.000,   15.000,    1.000,    0.000,   93.388,             93.388
      65,          1.066667,"Fully Open  ",          50.172539,    7.000,   15.000,    1.000,    0.000,   92.978,             92.978
      66,          1.083333,"Fully Open  ",          50.162506,    7.000,   15.000,    1.000,    0.000,   92.557,             92.557
      67,          1.100000,"Fully Open  ",          50.151638,    7.000,   15.000,    1.000,    0.000,   92.103,             92.103
      68,          1.116667,"Fully Open  ",          50.137150,    7.000,   15.000,    1.000,    0.000,   91.500,             91.500
      69,          1.133333,"Fully Open  ",          50.120121,    7.000,   15.000,    1.000,    0.000,   90.794,             90.794
      70,          1.150000,"Fully Open  ",          50.101448,    7.000,   15.000,    1.000,    0.000,   90.023,             90.023
      71,          1.166667,"Fully Open  ",          50.079533,    7.000,   15.000,    1.000,    0.000,   89.123,             89.123
      72,          1.183333,"Fully Open  ",          50.055573,    7.000,   15.000,    1.000,    0.000,   88.145,             88.145
      73,          1.200000,"Fully Open  ",          50.029171,    7.000,   15.000,    1.000,    0.000,   87.075,             87.075
      74,          1.216667,"Fully Open  ",          50.000610,    7.000,   15.000,    1.000,    0.000,   85.926,             85.926
      75,          1.233333,"Fully Open  ",          49.970047,    7.000,   15.000,    1.000,    0.000,   84.707,             84.707
      76,          1.250000,"Fully Open  ",          49.937733,    7.000,   15.000,    1.000,    0.000,   83.428,             83.428
      77,          1.266667,"Fully Open  ",          49.903435,    7.000,   15.000,    1.000,    0.000,   82.085,             82.085
      78,          1.283333,"Fully Open  ",          49.865612,    7.000,   15.000,    1.000,    0.000,   80.618,             80.618
      79,          1.300000,"Fully Open  ",          49.824135,    7.000,   15.000,    1.000,    0.000,   79.028,             79.028
      80,          1.316667,"Fully Open  ",          49.779953,    7.000,   15.000,    1.000,    0.000,   77.354,             77.354
      81,          1.333333,"Fully Open  ",          49.732792,    7.000,   15.000,    1.000,    0.000,   75.592,             75.592
      82,          1.350000,"Fully Open  ",          49.682777,    7.000,   15.000,    1.000,    0.000,   73.749,             73.749
      83,          1.366667,"Fully Open  ",          49.630054,    7.000,   15.000,    1.000,    0.000,   71.835,             71.835
      84,          1.383333,"Fully Open  ",          49.574684,    7.000,   15.000,    1.000,    0.000,   69.857,             69.857
      85,          1.400000,"Fully Open  ",          49.516602,    7.000,   15.000,    1.000,    0.000,   67.818,             67.818
      86,          1.416667,"Fully Open  ",          49.455956,    7.000,   15.000,    1.000,    0.000,   65.728,             65.728
      87,          1.433333,"Fully Open  ",          49.392586,    7.000,   15.000,    1.000,    0.000,   63.584,             63.584
      88,          1.450000,"Fully Open  ",          49.328121,    7.000,   15.000,    1.000,    0.000,   61.446,             61.446
      89,          1.466667,"Fully Open  ",          49.262390,    7.000,   15.000,    1.000,    0.000,   59.312,             59.312
      90,          1.483333,"Fully Open  ",          49.195610,    7.000,   15.000,    1.000,    0.000,   57.189,             57.189
      91,          1.500000,"Fully Open  ",          49.127609,    7.000,   15.000,    1.000,    0.000,   55.074,             55.074
      92,          1.516667,"Fully Open  ",          49.058456,    7.000,   15.000,    1.000,    0.000,   52.972,             52.972
      93,          1.533333,"Fully Open  ",          48.988899,    7.000,   15.000,    1.000,    0.000,   50.907,             50.907
      94,          1.550000,"Fully Open  ",          48.918564,    7.000,   15.000,    1.000,    0.000,   48.868,             48.868
      95,          1.566667,"Fully Open  ",          48.847054,    7.000,   15.000,    1.000,    0.000,   46.846,             46.846
      96,          1.583333,"Fully Open  ",          48.774353,    7.000,   15.000,    1.000,    0.000,   44.842,             44.842
      97,          1.600000,"Fully Open  ",          48.700081,    7.000,   15.000,    1.000,    0.000,   42.848,             42.848
      98,          1.616667,"Fully Open  ",          48.629425,    7.000,   15.000,    1.000,    0.000,   41.001,             41.001
      99,          1.633333,"Fully Open  ",          48.562939,    7.000,   15.000,    1.000,    0.000,   39.306,             39.306
     100,          1.650000,"Fully Open  ",          48.499435,    7.000,   15.000,    1.000,    0.000,   37.727,             37.727
     101,          1.666667,"Fully Open  ",          48.438698,    7.000,   15.000,    1.000,    0.000,   36.252,             36.252
     102,          1.683333,"Fully Open  ",          48.380207,    7.000,   15.000,    1.000,    0.000,   34.866,             34.866
     103,          1.700000,"Fully Open  ",          48.322685,    7.000,   15.000,    1.000,    0.000,   33.533,             33.533
     104,          1.716667,"Fully Open  ",          48.265266,    7.000,   15.000,    1.000,    0.000,   32.234,             32.234
     105,          1.733333,"Fully Open  ",          48.207550,    7.000,   15.000,    1.000,    0.000,   30.959,             30.959
     106,          1.750000,"Fully Open  ",          48.149544,    7.000,   15.000,    1.000,    0.000,   29.708,             29.708
     107,          1.766667,"Fully Open  ",          48.090572,    7.000,   15.000,    1.000,    0.000,   28.467,             28.467
     108,          1.783333,"Fully Open  ",          48.035530,    7.000,   15.000,    1.000,    0.000,   27.336,             27.336
