"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow"
      25,          0.400000,"Closed      ",           0.400119,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      26,          0.416667,"Closed      ",           0.416782,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      27,          0.433333,"Closed      ",           0.433448,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      28,          0.450000,"Closed      ",           0.450111,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      29,          0.466667,"Closed      ",           0.466776,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      30,          0.483333,"Closed      ",           0.483440,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      31,          0.500000,"Opening     ",           0.500106,    0.013,    0.027,    0.002,    0.000,    0.000,              0.000
      32,          0.516667,"Opening     ",           0.516770,    4.012,    8.526,    0.502,    0.000,    0.672,              0.672
      33,          0.533333,"Opening     ",           0.533434,    4.112,    8.742,    0.518,    0.000,    1.726,              1.726
      34,          0.550000,"Opening     ",           0.550098,    4.212,    8.959,    0.534,    0.000,    3.298,              3.298
      35,          0.566667,"Opening     ",           0.566764,    4.312,    9.175,    0.551,    0.000,    5.532,              5.532
      36,          0.583333,"Opening     ",           0.583428,    4.412,    9.392,    0.568,    0.000,    8.485,              8.485
      37,          0.600000,"Opening     ",           0.600093,    4.512,    9.608,    0.584,    0.000,   12.142,             12.142
      38,          0.616667,"Opening     ",           0.616757,    4.612,    9.825,    0.601,    0.000,   16.276,             16.276
      39,          0.633333,"Opening     ",           0.633423,    4.712,   10.041,    0.617,    0.000,   20.864,             20.864
      40,          0.650000,"Opening     ",           0.650089,    4.812,   10.258,    0.634,    0.000,   25.834,             25.834
      41,          0.666667,"Opening     ",           0.666754,    4.912,   10.475,    0.651,    0.000,   31.158,             31.158
      42,          0.683333,"Opening     ",           0.683419,    5.012,   10.692,    0.668,    0.000,   36.711,             36.711
      43,          0.700000,"Opening     ",           0.700086,    5.112,   10.909,    0.684,    0.000,   42.353,             42.353
      44,          0.716667,"Opening     ",           0.716752,    5.212,   11.125,    0.701,    0.000,   48.002,             48.002
      45,          0.733333,"Opening     ",           0.733418,    5.312,   11.342,    0.718,    0.000,   53.612,             53.612
      46,          0.750000,"Opening     ",           0.750084,    5.412,   11.559,    0.734,    0.000,   59.158,             59.158
      47,          0.766667,"Opening     ",           0.766750,    5.512,   11.775,    0.751,    0.000,   64.570,             64.570
      48,          0.783333,"Opening     ",           0.783417,    5.612,   11.992,    0.768,    0.000,   69.735,             69.735
      49,          0.800000,"Opening     ",           0.800083,    5.712,   12.209,    0.785,    0.000,   74.652,             74.652
      50,          0.816667,"Opening     ",           0.816749,    5.812,   12.425,    0.801,    0.000,   79.301,             79.301
      51,          0.833333,"Opening     ",           0.833416,    5.912,   12.642,    0.818,    0.000,   83.694,             83.694
      52,          0.850000,"Opening     ",           0.850083,    6.012,   12.858,    0.834,    0.000,   87.816,             87.816
      53,          0.866667,"Opening     ",           0.866749,    6.112,   13.075,    0.851,    0.000,   91.633,             91.633
      54,          0.883333,"Opening     ",           0.883416,    6.212,   13.291,    0.867,    0.000,   95.178,             95.178
      55,          0.900000,"Opening     ",           0.900083,    6.312,   13.508,    0.884,    0.000,   98.463,             98.463
      56,          0.916667,"Opening     ",           0.916750,    6.412,   13.724,    0.900,    0.000,  101.493,            101.493
      57,          0.933333,"Opening     ",           0.933417,    6.512,   13.941,    0.917,    0.000,  104.271,            104.271
      58,          0.950000,"Opening     ",           0.950083,    6.612,   14.158,    0.934,    0.000,  106.777,            106.777
      59,          0.966667,"Opening     ",           0.966750,    6.712,   14.374,    0.951,    0.000,  109.032,            109.032
      60,          0.983333,"Opening     ",           0.983418,    6.812,   14.591,    0.968,    0.000,  111.035,            111.035
      61,          1.000000,"Opening     ",           1.000084,    6.912,   14.808,    0.984,    0.000,  112.807,            112.807
      62,          1.016667,"Fully Open  ",           1.016752,    7.000,   15.000,    1.000,    0.000,  113.923,            113.923
      63,          1.033333,"Fully Open  ",           1.033418,    7.000,   15.000,    1.000,    0.000,  111.263,            111.263
      64,          1.050000,"Fully Open  ",           1.050086,    7.000,   15.000,    1.000,    0.000,  108.812,            108.812
      65,          1.066667,"Fully Open  ",           1.066753,    7.000,   15.000,    1.000,    0.000,  106.586,            106.586
      66,          1.083333,"Fully Open  ",           1.083419,    7.000,   15.000,    1.000,    0.000,  104.570,            104.570
      67,          1.100000,"Fully Open  ",           1.100087,    7.000,   15.000,    1.000,    0.000,  102.688,            102.688
      68,          1.116667,"Fully Open  ",           1.116753,    7.000,   15.000,    1.000,    0.000,  100.826,            100.826
      69,          1.133333,"Fully Open  ",           1.133420,    7.000,   15.000,    1.000,    0.000,   99.006,             99.006
      70,          1.150000,"Fully Open  ",           1.150088,    7.000,   15.000,    1.000,    0.000,   97.209,             97.209
      71,          1.166667,"Fully Open  ",           1.166754,    7.000,   15.000,    1.000,    0.000,   95.444,             95.444
      72,          1.183333,"Fully Open  ",           1.183421,    7.000,   15.000,    1.000,    0.000,   93.704,             93.704
      73,          1.200000,"Fully Open  ",           1.200089,    7.000,   15.000,    1.000,    0.000,   91.971,             91.971
      74,          1.216667,"Fully Open  ",           1.216755,    7.000,   15.000,    1.000,    0.000,   90.236,             90.236
      75,          1.233333,"Fully Open  ",           1.233422,    7.000,   15.000,    1.000,    0.000,   88.489,             88.489
      76,          1.250000,"Fully Open  ",           1.250090,    7.000,   15.000,    1.000,    0.000,   86.739,             86.739
      77,          1.266667,"Fully Open  ",           1.266756,    7.000,   15.000,    1.000,    0.000,   84.981,             84.981
      78,          1.283333,"Fully Open  ",           1.283423,    7.000,   15.000,    1.000,    0.000,   83.142,             83.142
      79,          1.300000,"Fully Open  ",           1.300091,    7.000,   15.000,    1.000,    0.000,   81.254,             81.254
      80,          1.316667,"Fully Open  ",           1.316757,    7.000,   15.000,    1.000,    0.000,   79.293,             79.293
      81,          1.333333,"Fully Open  ",           1.333425,    7.000,   15.000,    1.000,    0.000,   77.288,             77.288
      82,          1.350000,"Fully Open  ",           1.350092,    7.000,   15.000,    1.000,    0.000,   75.233,             75.233
      83,          1.366667,"Fully Open  ",           1.366759,    7.000,   15.000,    1.000,    0.000,   73.128,             73.128
      84,          1.383333,"Fully Open  ",           1.383426,    7.000,   15.000,    1.000,    0.000,   70.983,             70.983
      85,          1.400000,"Fully Open  ",           1.400093,    7.000,   15.000,    1.000,    0.000,   68.797,             68.797
      86,          1.416667,"Fully Open  ",           1.416759,    7.000,   15.000,    1.000,    0.000,   66.586,             66.586
      87,          1.433333,"Fully Open  ",           1.433426,    7.000,   15.000,    1.000,    0.000,   64.331,             64.331
      88,          1.450000,"Fully Open  ",           1.450093,    7.000,   15.000,    1.000,    0.000,   62.095,             62.095
      89,          1.466667,"Fully Open  ",           1.466759,    7.000,   15.000,    1.000,    0.000,   59.869,             59.869
      90,          1.483333,"Fully Open  ",           1.483426,    7.000,   15.000,    1.000,    0.000,   57.671,             57.671
      91,          1.500000,"Fully Open  ",           1.500093,    7.000,   15.000,    1.000,    0.000,   55.488,             55.488
      92,          1.516667,"Fully Open  ",           1.516759,    7.000,   15.000,    1.000,    0.000,   53.326,             53.326
      93,          1.533333,"Fully Open  ",           1.533426,    7.000,   15.000,    1.000,    0.000,   51.209,             51.209
      94,          1.550000,"Fully Open  ",           1.550093,    7.000,   15.000,    1.000,    0.000,   49.129,             49.129
      95,          1.566667,"Fully Open  ",           1.566759,    7.000,   15.000,    1.000,    0.000,   47.069,             47.069
      96,          1.583333,"Fully Open  ",           1.583426,    7.000,   15.000,    1.000,    0.000,   45.034,             45.034
      97,          1.600000,"Fully Open  ",           1.600094,    7.000,   15.000,    1.000,    0.000,   43.012,             43.012
      98,          1.616667,"Fully Open  ",           1.616760,    7.000,   15.000,    1.000,    0.000,   41.140,             41.140
      99,          1.633333,"Fully Open  ",           1.633427,    7.000,   15.000,    1.000,    0.000,   39.423,             39.423
     100,          1.650000,"Fully Open  ",           1.650094,    7.000,   15.000,    1.000,    0.000,   37.826,             37.826
     101,          1.666667,"Fully Open  ",           1.666760,    7.000,   15.000,    1.000,    0.000,   36.336,             36.336
     102,          1.683333,"Fully Open  ",           1.683427,    7.000,   15.000,    1.000,    0.000,   34.935,             34.935
     103,          1.700000,"Fully Open  ",           1.700094,    7.000,   15.000,    1.000,    0.000,   33.591,             33.591
     104,          1.716667,"Fully Open  ",           1.716760,    7.000,   15.000,    1.000,    0.000,   32.283,             32.283
     105,          1.733333,"Fully Open  ",           1.733427,    7.000,   15.000,    1.000,    0.000,   31.000,             31.000
     106,          1.750000,"Fully Open  ",           1.750094,    7.000,   15.000,    1.000,    0.000,   29.742,             29.742
     107,          1.766667,"Fully Open  ",           1.766760,    7.000,   15.000,    1.000,    0.000,   28.496,             28.496
     108,          1.783333,"Fully Open  ",           1.783427,    7.000,   15.000,    1.000,    0.000,   27.359,             27.359
     109,          1.800000,"Fully Open  ",           1.800094,    7.000,   15.000,    1.000,    0.000,   26.356,             26.356
     110,          1.816667,"Fully Open  ",           1.816760,    7.000,   15.000,    1.000,    0.000,   25.451,             25.451
     111,          1.833333,"Fully Open  ",           1.833427,    7.000,   15.000,    1.000,    0.000,   24.638,             24.638
     112,          1.850000,"Fully Open  ",           1.850094,    7.000,   15.000,    1.000,    0.000,   23.890,             23.890
     113,          1.866667,"Fully Open  ",           1.866761,    7.000,   15.000,    1.000,    0.000,   23.214,             23.214
     114,          1.883333,"Fully Open  ",           1.883428,    7.000,   15.000,    1.000,    0.000,   22.596,             22.596
     115,          1.900000,"Fully Open  ",           1.900095,    7.000,   15.000,    1.000,    0.000,   22.031,             22.031
     116,          1.916667,"Fully Open  ",           1.916761,    7.000,   15.000,    1.000,    0.000,   21.522,             21.522
     117,          1.933333,"Fully Open  ",           1.933428,    7.000,   15.000,    1.000,    0.000,   21.033,             21.033
     118,          1.950000,"Fully Open  ",           1.950095,    7.000,   15.000,    1.000,    0.000,   20.577,             20.577
     119,          1.966667,"Fully Open  ",           1.966761,    7.000,   15.000,    1.000,    0.000,   20.163,             20.163
     120,          1.983333,"Fully Open  ",           1.983428,    7.000,   15.000,    1.000,    0.000,   19.787,             19.787
     121,          2.000000,"Fully Open  ",           2.000095,    7.000,   15.000,    1.000,    0.000,   19.434,             19.434
     122,          2.016667,"Fully Open  ",           2.016856,    7.000,   15.000,    1.000,    0.000,   19.102,             19.102
     123,          2.033334,"Fully Open  ",           2.033523,    7.000,   15.000,    1.000,    0.000,   18.763,             18.763
     124,          2.050000,"Fully Open  ",           2.050189,    7.000,   15.000,    1.000,    0.000,   18.409,             18.409
     125,          2.066667,"Fully Open  ",           2.066856,    7.000,   15.000,    1.000,    0.000,   18.046,             18.046
     126,          2.083333,"Fully Open  ",           2.083428,    7.000,   15.000,    1.000,    0.000,   17.666,             17.666
     127,          2.100000,"Fully Open  ",           2.100095,    7.000,   15.000,    1.000,    0.000,   17.276,             17.276
     128,          2.116667,"Fully Open  ",           2.116761,    7.000,   15.000,    1.000,    0.000,   16.859,             16.859
     129,          2.133333,"Fully Open  ",           2.133428,    7.000,   15.000,    1.000,    0.000,   16.409,             16.409
     130,          2.150000,"Fully Open  ",           2.150095,    7.000,   15.000,    1.000,    0.000,   15.938,             15.938
     131,          2.166667,"Fully Open  ",           2.166761,    7.000,   15.000,    1.000,    0.000,   15.441,             15.441
     132,          2.183333,"Fully Open  ",           2.183428,    7.000,   15.000,    1.000,    0.000,   14.926,             14.926
     133,          2.200000,"Fully Open  ",           2.200095,    7.000,   15.000,    1.000,    0.000,   14.445,             14.445
     134,          2.216667,"Fully Open  ",           2.216761,    7.000,   15.000,    1.000,    0.000,   14.037,             14.037
     135,          2.233333,"Fully Open  ",           2.233428,    7.000,   15.000,    1.000,    0.000,   13.681,             13.681
     136,          2.250000,"Fully Open  ",           2.250095,    7.000,   15.000,    1.000,    0.000,   13.365,             13.365
     137,          2.266667,"Fully Open  ",           2.266856,    7.000,   15.000,    1.000,    0.000,   13.082,             13.082
     138,          2.283334,"Fully Open  ",           2.283523,    7.000,   15.000,    1.000,    0.000,   12.819,             12.819
     139,          2.300000,"Fully Open  ",           2.300189,    7.000,   15.000,    1.000,    0.000,   12.551,             12.551
     140,          2.316667,"Fully Open  ",           2.316856,    7.000,   15.000,    1.000,    0.000,   12.285,             12.285
     141,          2.333333,"Fully Open  ",           2.333428,    7.000,   15.000,    1.000,    0.000,   12.025,             12.025
     142,          2.350000,"Fully Open  ",           2.350096,    7.000,   15.000,    1.000,    0.000,   11.764,             11.764
     143,          2.366667,"Fully Open  ",           2.366763,    7.000,   15.000,    1.000,    0.000,   11.516,             11.516
     144,          2.383333,"Fully Open  ",           2.383429,    7.000,   15.000,    1.000,    0.000,   11.288,             11.288
     145,          2.400000,"Fully Open  ",           2.400096,    7.000,   15.000,    1.000,    0.000,   11.079,             11.079
     146,          2.416667,"Fully Open  ",           2.416763,    7.000,   15.000,    1.000,    0.000,   10.878,             10.878
     147,          2.433333,"Fully Open  ",           2.433429,    7.000,   15.000,    1.000,    0.000,   10.697,             10.697
     148,          2.450000,"Fully Open  ",           2.450096,    7.000,   15.000,    1.000,    0.000,   10.512,             10.512
     149,          2.466667,"Fully Open  ",           2.466763,    7.000,   15.000,    1.000,    0.000,   10.312,             10.312
     150,          2.483333,"Fully Open  ",           2.483429,    7.000,   15.000,    1.000,    0.000,   10.116,             10.116
     151,          2.500000,"Fully Open  ",           2.500192,    7.000,   15.000,    1.000,    0.000,    9.893,              9.893
     152,          2.516667,"Fully Open  ",           2.516858,    7.000,   15.000,    1.000,    0.000,    9.677,              9.677
     153,          2.533334,"Fully Open  ",           2.533525,    7.000,   15.000,    1.000,    0.000,    9.450,              9.450
     154,          2.550000,"Fully Open  ",           2.550192,    7.000,   15.000,    1.000,    0.000,    9.212,              9.212
     155,          2.566667,"Fully Open  ",           2.566858,    7.000,   15.000,    1.000,    0.000,    8.968,              8.968
     156,          2.583333,"Fully Open  ",           2.583429,    7.000,   15.000,    1.000,    0.000,    8.722,              8.722
     157,          2.600000,"Fully Open  ",           2.600096,    7.000,   15.000,    1.000,    0.000,    8.477,              8.477
     158,          2.616667,"Fully Open  ",           2.616763,    7.000,   15.000,    1.000,    0.000,    8.248,              8.248
     159,          2.633333,"Fully Open  ",           2.633429,    7.000,   15.000,    1.000,    0.000,    8.028,              8.028
     160,          2.650000,"Fully Open  ",           2.650096,    7.000,   15.000,    1.000,    0.000,    7.817,              7.817
     161,          2.666667,"Fully Open  ",           2.666763,    7.000,   15.000,    1.000,    0.000,    7.612,              7.612
     162,          2.683333,"Fully Open  ",           2.683429,    7.000,   15.000,    1.000,    0.000,    7.418,              7.418
     163,          2.700000,"Fully Open  ",           2.700096,    7.000,   15.000,    1.000,    0.000,    7.227,              7.227
     164,          2.716667,"Fully Open  ",           2.716763,    7.000,   15.000,    1.000,    0.000,    7.037,              7.037
     165,          2.733334,"Fully Open  ",           2.733525,    7.000,   15.000,    1.000,    0.000,    6.860,              6.860
     166,          2.750000,"Fully Open  ",           2.750192,    7.000,   15.000,    1.000,    0.000,    6.646,              6.646
     167,          2.766667,"Fully Open  ",           2.766858,    7.000,   15.000,    1.000,    0.000,    6.439,              6.439
     168,          2.783334,"Fully Open  ",           2.783525,    7.000,   15.000,    1.000,    0.000,    6.223,              6.223
     169,          2.800000,"Fully Open  ",           2.800192,    7.000,   15.000,    1.000,    0.000,    6.001,              6.001
     170,          2.816667,"Fully Open  ",           2.816858,    7.000,   15.000,    1.000,    0.000,    5.767,              5.767
     171,          2.833333,"Fully Open  ",           2.833429,    7.000,   15.000,    1.000,    0.000,    5.536,              5.536
     172,          2.850000,"Fully Open  ",           2.850096,    7.000,   15.000,    1.000,    0.000,    5.302,              5.302
     173,          2.866667,"Fully Open  ",           2.866763,    7.000,   15.000,    1.000,    0.000,    5.060,              5.060
     174,          2.883333,"Fully Open  ",           2.883429,    7.000,   15.000,    1.000,    0.000,    4.824,              4.824
     175,          2.900000,"Fully Open  ",           2.900096,    7.000,   15.000,    1.000,    0.000,    4.616,              4.616
     176,          2.916667,"Fully Open  ",           2.916763,    7.000,   15.000,    1.000,    0.000,    4.395,              4.395
     177,          2.933333,"Fully Open  ",           2.933429,    7.000,   15.000,    1.000,    0.000,    4.169,              4.169
     178,          2.950000,"Fully Open  ",           2.950096,    7.000,   15.000,    1.000,    0.000,    3.953,              3.953
     179,          2.966667,"Fully Open  ",           2.966858,    7.000,   15.000,    1.000,    0.000,    3.747,              3.747
     180,          2.983334,"Fully Open  ",           2.983525,    7.000,   15.000,    1.000,    0.000,    3.554,              3.554
     181,          3.000000,"Fully Open  ",           3.000139,    7.000,   15.000,    1.000,    0.000,    3.372,              3.372
