iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0.00418091,0.112762,1.52588e-05,99.4265
200,        225.479,2.64151,2.42017,0.346848,1.00555,0.0403137,95.9313
300,        432.823,1.85994,1.81452,0.438736,1.00183,0.0887756,96.2778
400,        598.933,1.57733,1.06667,0.436493,1.00703,0.107864,96.3595
500,        727.059,1.18299,1.17647,0.341858,1.00142,0.0924377,96.5615
600,        836.879,1.07011,1.04019,0.310577,1.00082,0.0962219,96.7676
700,        938.057,0.997655,0.997392,0.278931,1.00055,0.101929,96.925
800,       1033.125,0.943942,0.9375,0.256332,1.00049,0.10968,97.0326
900,       1124.056,0.900712,0.885781,0.235123,1.00038,0.115585,97.1674
1000,       1211.143,0.864708,0.857143,0.215988,1.00035,0.118317,97.2831
1100,       1295.021,0.834319,0.832643,0.214874,1.00034,0.131897,97.3818
1200,       1375.524,0.806424,0.746048,0.2229,1.00031,0.149124,97.4282
1300,       1453.247,0.780616,0.779221,0.220291,1.00032,0.161194,97.4662
1400,       1529.427,0.755473,0.745685,0.26181,1.00038,0.212967,97.55
1500,       1602.204,0.726947,0.71186,0.278305,1.00038,0.248215,97.5846
1600,       1672.586,0.700245,0.673993,0.283218,1.00035,0.270874,97.6317
1700,       1740.674,0.677825,0.674156,0.317459,1.00026,0.271057,97.6828
1800,       1807.253,0.663986,0.659341,0.465591,1.00015,0.273071,97.7438
1900,       1872.391,0.656221,0.652174,0.358047,1.00009,0.282059,97.7793
2000,       1937.538,0.651939,0.643361,0.40683,1.00005,0.293396,97.8419
2100,       2001.935,0.645763,0.645161,0.39447,0.994293,0.300079,97.8808
2200,       2065.123,0.628882,0.622809,0.357315,0.970428,0.300079,97.9201
2300,       2126.353,0.613097,0.611759,0.339111,0.94751,0.300079,97.9414
2400,       2186.400,0.601059,0.6,0.335251,0.930023,0.300034,97.9719
2500,       2245.545,0.596341,0.594059,0.334961,0.923492,0.300018,97.9939
2600,       2304.118,0.59166,0.588235,0.33345,0.916718,0.300018,98.012
2700,       2362.786,0.587284,0.581473,0.332016,0.910324,0.300018,98.05
2800,       2420.971,0.585407,0.582524,0.331894,0.90773,0.300018,98.0796
2900,       2479.223,0.584487,0.582524,0.33197,0.906494,0.300003,98.115
3000,       2537.476,0.583508,0.582524,0.331787,0.905106,0.300003,98.1524
3100,       2595.713,0.582502,0.575151,0.331482,0.903656,0.300003,98.1914
3200,       2653.269,0.581468,0.576922,0.331131,0.90213,0.300003,98.2067
3300,       2710.962,0.58147,0.576923,0.331345,0.902206,0.300003,98.2289
3400,       2768.654,0.582093,0.576923,0.331757,0.903183,0.299988,98.2484
3500,       2826.408,0.582688,0.582524,0.332047,0.904083,0.300003,98.2672
3600,       2884.660,0.583283,0.582524,0.332291,0.904984,0.299988,98.3006
3700,       2942.913,0.586139,0.582526,0.333786,0.909348,0.299988,98.3271
3800,       3001.177,0.58922,0.588235,0.335083,0.913956,0.299988,98.3428
3900,       3060.000,0.592106,0.588235,0.336166,0.918243,0.299988,98.367
4000,       3118.824,0.59637,0.588235,0.337982,0.924637,0.299957,98.3797
4100,       3178.218,0.604558,0.594059,0.341782,0.936996,0.299957,98.3898
4200,       3238.200,0.613295,0.6,0.345352,0.950058,0.299957,98.3919
4300,       3299.388,0.622537,0.612244,0.348999,0.963837,0.299957,98.4036
4400,       3361.263,0.632241,0.631579,0.352875,0.978317,0.299957,98.4077
4500,       3424.468,0.644977,0.638298,0.358337,0.997421,0.299927,98.4199
4600,       3489.032,0.64717,0.645161,0.357315,1,0.293304,98.4458
4700,       3553.548,0.647753,0.64516,0.354904,1,0.285904,98.4676
4800,       3618.065,0.648366,0.645161,0.352295,0.999985,0.278076,98.4869
4900,       3682.581,0.649078,0.645161,0.349686,1,0.267807,98.5038
5000,       3747.097,0.649901,0.645161,0.353851,0.999985,0.259216,98.5181
5100,       3811.613,0.650764,0.645161,0.359177,0.999985,0.257385,98.5298
5200,       3876.129,0.651669,0.645163,0.365311,0.999985,0.255371,98.5387
5300,       3940.645,0.652465,0.645161,0.371246,0.999985,0.252502,98.5453
5400,       4005.652,0.653232,0.652174,0.374313,0.999985,0.249542,98.562
5500,       4070.870,0.654019,0.652174,0.376617,0.999985,0.246414,98.5815
5600,       4136.087,0.654818,0.652174,0.379425,0.999985,0.243042,98.5984
5700,       4201.305,0.655698,0.652174,0.382355,0.999985,0.239471,98.6129
5800,       4266.522,0.656629,0.652174,0.388794,0.999985,0.235916,98.6248
5900,       4331.739,0.657612,0.652174,0.387772,0.999985,0.231537,98.6342
6000,       4396.957,0.658616,0.652174,0.386414,1,0.226746,98.641
6100,       4462.174,0.659572,0.652171,0.383163,0.999985,0.221344,98.6455
6200,       4527.692,0.660549,0.659341,0.379028,0.999985,0.215088,98.6545
6300,       4593.626,0.661537,0.659341,0.339157,0.999985,0.209167,98.6701
6400,       4659.560,0.662194,0.659341,0.312958,1,0.204758,98.6835
6500,       4725.495,0.66276,0.659341,0.311523,0.999985,0.200714,98.6952
6600,       4791.429,0.663255,0.659342,0.310425,1,0.196335,98.7055
6700,       4857.363,0.663711,0.659341,0.308792,0.999985,0.192474,98.7146
6800,       4923.297,0.664278,0.659341,0.30687,0.999985,0.19072,98.7225
6900,       4989.231,0.664927,0.659341,0.304993,0.999985,0.188782,98.7289
7000,       5055.165,0.665618,0.659342,0.302567,0.999985,0.186783,98.7339
7100,       5121.099,0.666258,0.659341,0.299927,0.999985,0.184601,98.7373
7200,       5187.033,0.666726,0.659341,0.29892,1,0.181259,98.7398
7300,       5253.334,0.667133,0.666667,0.297775,1,0.179184,98.7483
7400,       5320.000,0.667499,0.666667,0.300003,0.999985,0.17691,98.7627
7500,       5386.667,0.667785,0.666663,0.303482,1,0.174515,98.7762
7600,       5453.333,0.66805,0.666667,0.306229,1,0.172165,98.7889
7700,       5520.000,0.668284,0.666667,0.308868,1,0.171799,98.8008
7800,       5586.667,0.668508,0.666667,0.310791,1,0.16893,98.812
7900,       5653.333,0.668733,0.666668,0.312546,1,0.167114,98.8226
8000,       5720.000,0.668947,0.666667,0.314163,1,0.165512,98.8325
8100,       5786.667,0.669162,0.666667,0.315201,1,0.164001,98.8419
8200,       5853.333,0.669417,0.666667,0.315964,1,0.162842,98.8506
8300,       5920.000,0.669703,0.666667,0.317444,0.999985,0.161255,98.8587
8400,       5986.667,0.67003,0.666668,0.319489,1,0.159546,98.8661
8500,       6053.334,0.670367,0.666667,0.319214,1,0.157532,98.8728
8600,       6120.000,0.670736,0.666667,0.319168,1,0.155609,98.8787
8700,       6186.667,0.671125,0.666667,0.320618,1,0.153168,98.884
8800,       6253.334,0.671524,0.666663,0.320663,0.999985,0.150726,98.8885
8900,       6320.000,0.671934,0.666667,0.320816,0.999985,0.148041,98.8922
9000,       6386.667,0.672232,0.666667,0.321869,1,0.145355,98.8954
9100,       6453.333,0.672499,0.666667,0.322906,0.999985,0.141937,98.898
9200,       6520.000,0.672724,0.666667,0.324188,0.999985,0.139343,98.9002
9300,       6586.667,0.672971,0.666668,0.325165,1,0.137192,98.9021
9400,       6653.333,0.673217,0.666667,0.326233,1,0.13504,98.9035
9500,       6720.000,0.673484,0.666667,0.327194,1,0.13266,98.9045
9600,       6786.667,0.673721,0.666667,0.328903,1,0.130249,98.9052
9700,       6853.334,0.673906,0.666668,0.330856,1,0.127853,98.9055
9800,       6920.000,0.674081,0.666667,0.332245,1,0.125473,98.9056
9900,       6986.967,0.674235,0.674157,0.333374,0.999985,0.122665,98.9097
10000,       7054.382,0.67441,0.674157,0.423004,1,0.120377,98.9199
10100,       7121.798,0.674636,0.674157,0.417007,1,0.118393,98.9296
10200,       7189.214,0.674873,0.674154,0.41478,0.999985,0.115997,98.9388
10300,       7256.629,0.675141,0.674157,0.412277,0.999985,0.113144,98.9475
10400,       7324.045,0.675429,0.674157,0.409454,0.999985,0.112015,98.9556
10500,       7391.461,0.675728,0.674157,0.406433,0.999985,0.111221,98.9632
10600,       7458.877,0.676048,0.674164,0.403259,1,0.110886,98.9703
10700,       7526.293,0.676306,0.674157,0.400101,0.999985,0.110687,98.9768
10800,       7593.708,0.676554,0.674157,0.397293,1,0.110306,98.9829
10900,       7661.124,0.676771,0.674157,0.395325,1,0.108459,98.9886
11000,       7728.540,0.676977,0.674157,0.392685,0.999985,0.108078,98.9939
11100,       7795.955,0.677215,0.674154,0.390198,1,0.10643,98.9989
11200,       7863.371,0.677494,0.674157,0.387146,1,0.105072,99.0034
